name,party,state,incumbent_challenge,candidate_id,office,active
"ACHILLES, TODD BAKER",INDEPENDENT,ID,Challenger,S6ID00146,Senate,C
"ADEFOPE, JOHN",REPUBLICAN PARTY,TX,Challenger,S6TX00578,Senate,N
"ADLAKHA, SARAH ANNE DR",REPUBLICAN PARTY,MS,Challenger,S6MS00109,Senate,C
"AGNEW, BROOKS ALEXANDER",REPUBLICAN PARTY,NC,Open seat,S6NC00365,Senate,N
"ALBARES, NICHOLAS S.",DEMOCRATIC PARTY,LA,Challenger,S6LA00706,Senate,C
"ALCALA, NATASHA",DEMOCRATIC PARTY,ME,Challenger,S6ME00308,Senate,N
"ALCORN, ETHAN WELD MR",UNAFFILIATED,ME,Challenger,S6ME00423,Senate,N
"ALLEN, KEITH",REPUBLICAN PARTY,TX,Challenger,S6TX00305,Senate,N
"ALLRED, COLIN",DEMOCRATIC PARTY,TX,Challenger,S4TX00722,Senate,C
"ALME, KURT",REPUBLICAN PARTY,MT,Open seat,S6MT00295,Senate,C
"ALVAREZ, ANDREW",REPUBLICAN PARTY,TX,Challenger,S6TX00370,Senate,N
"ANDREWS, ANNIE",DEMOCRATIC PARTY,SC,Challenger,S6SC04239,Senate,C
"APPELHANS, JEFFERY RYAN",DEMOCRATIC PARTY,DE,Challenger,S6DE00263,Senate,N
"ARENHOLZ, ASHLEY HINSON",REPUBLICAN PARTY,IA,Open seat,S6IA00314,Senate,C
"ARRINGTON, BRYAN LAMONT SGT.",UNAFFILIATED,UT,Challenger,S6UT00287,Senate,N
"ARRINGTON, RANDALL STEVEN PHD",REPUBLICAN PARTY,LA,Challenger,S6LA00516,Senate,N
"ARRINGTON, RANDALL STEVEN PHD",REPUBLICAN PARTY,LA,Challenger,S6LA00524,Senate,N
"ASHBY, MICAH",REPUBLICAN PARTY,AR,Challenger,S6AR00207,Senate,C
"ATKINS, JOEY MENDOZA",DEMOCRATIC PARTY,FL,Challenger,S6FL00749,Senate,C
"AUSTIN, KYLE",LIBERTARIAN PARTY,MT,Open seat,S6MT00261,Senate,C
"AXTELL SCHULTZ, DEBRA LEANNE MS",REPUBLICAN PARTY,NE,Challenger,S6NE00178,Senate,N
"AYYADURAI, SHIVA DR",INDEPENDENT,MA,Challenger,S8MA00268,Senate,C
"BAHRY, MICHAEL",INDEPENDENT,RI,Challenger,S6RI00288,Senate,C
"BAISLEY, MARK",REPUBLICAN PARTY,CO,Challenger,S6CO00507,Senate,C
"BANKHEAD, ALANI INES",DEMOCRATIC PARTY,MT,Open seat,S6MT00253,Senate,C
"BAPTISTE, ASHLEY JEAN",REPUBLICAN PARTY,FL,Challenger,S8FL00323,Senate,N
"BARR, GARLAND ANDY",REPUBLICAN PARTY,KY,Open seat,S6KY00286,Senate,C
"BARTELL, ELBERT",INDEPENDENT,GA,Challenger,S6GA00317,Senate,N
"BARTZIS, PANAGIOTI JOHN MR",REPUBLICAN PARTY,IL,Open seat,S6IL00532,Senate,N
"BAUER, ANDRE",REPUBLICAN PARTY,SC,Challenger,S6SC04262,Senate,C
"BEARDSLEY, CHRISTOPHER MR.",DEMOCRATIC PARTY,DE,Challenger,S6DE00156,Senate,C
"BEAUDION, JULIAN C",DEMOCRATIC PARTY,SD,Challenger,S6SD01125,Senate,C
"BECH, NATHAN ALEXANDER",REPUBLICAN PARTY,MA,Challenger,S6MA00270,Senate,C
"BECK, WILLIAM EVAN SCOTT",DEMOCRATIC PARTY,OK,Challenger,S6OK04155,Senate,N
"BELLOWS, SHENNA",DEMOCRATIC PARTY,ME,Challenger,S6ME00456,Senate,N
"BENAVIDEZ, BILLY ARTHUR",DEMOCRATIC PARTY,WY,,S6WY00258,Senate,N
"BENDER, ANNA",REPUBLICAN PARTY,TX,Challenger,S6TX00560,Senate,C
"BENGS, BRIAN",INDEPENDENT,SD,Challenger,S6SD01117,Senate,C
"BENHAM, KENT",REPUBLICAN PARTY,MI,Open seat,S6MI00400,Senate,N
"BENNETT, DOUGLAS",REPUBLICAN PARTY,IL,Open seat,S6IL00391,Senate,C
"BERMAN, JOHN",REPUBLICAN PARTY,IA,Open seat,S6IA00199,Senate,N
"BIBLER, BRIAN CHRISTOPHER MR",REPUBLICAN PARTY,OH,Challenger,S6OH00312,Senate,N
"BIERSCHWALE, VIRGIL",REPUBLICAN PARTY,TX,Challenger,S0TX00365,Senate,C
"BLACKWOLF, MICHAEL JAMES MR.",DEMOCRATIC PARTY,MT,Open seat,S6MT00246,Senate,C
"BLAND, DEXTER",INDEPENDENT,DE,Challenger,S6DE00164,Senate,N
"BODNAR, SETH",INDEPENDENT,MT,Open seat,S6MT00287,Senate,C
"BONDS, NICKOLAS",DEMOCRATIC PARTY,ID,Challenger,S6ID00179,Senate,N
"BOOKER, CHARLES",DEMOCRATIC PARTY,KY,Open seat,S6KY00385,Senate,C
"BOOKER, CORY A.",DEMOCRATIC PARTY,NJ,Incumbent,S4NJ00185,Senate,C
"BOTSFORD, STEVE",DEMOCRATIC PARTY,IL,Open seat,S6IL00656,Senate,C
"BOX, REAGAN",REPUBLICAN PARTY,GA,Challenger,S6GA00267,Senate,C
"BRADSHAW, MARQUITA",DEMOCRATIC PARTY,TN,Challenger,S4TN00542,Senate,N
"BRAGGS, MARNISHA BRECHE",REPUBLICAN PARTY,MI,Open seat,S6MI00558,Senate,N
"BRAY, SHANNON",LIBERTARIAN PARTY,NC,,S0NC00335,Senate,N
"BRENKUS, JASON ELLIOT",LIBERTARIAN PARTY,SC,Challenger,S6SC04338,Senate,N
"BRENNER, GARY DAVID MR JR",DEMOCRATIC PARTY,PA,Challenger,S6PA00357,Senate,N
"BRESLIN, KAREN",DEMOCRATIC PARTY,CO,Challenger,S6CO00408,Senate,C
"BREWER, MARIA A",DEMOCRATIC PARTY,TN,Challenger,S6TN00380,Senate,C
"BREWER, M SUSANNA MRS.",REPUBLICAN PARTY,OH,Challenger,S6OH00411,Senate,N
"BRIGMAN, BRADLEY",REPUBLICAN PARTY,GA,Challenger,S6GA00465,Senate,N
"BRISCO, DELBERT EUGENE MR",CONSTITUTION PARTY,WA,Challenger,S6WA00461,Senate,N
"BROOKS, CHRISTOPHER JARRED",REPUBLICAN PARTY,MN,Open seat,S6MN00523,Senate,N
"BROWN, BRANDON",DEMOCRATIC PARTY,SC,Challenger,S6SC04270,Senate,C
"BROWN, DON",REPUBLICAN PARTY,NC,Open seat,S6NC00373,Senate,C
"BROWN GAINES, JENNIFER TAWANDA",LIBERAL PARTY,TX,Challenger,S6TX00594,Senate,N
"BROWN, SCOTT P.",REPUBLICAN PARTY,NH,Open seat,S6NH00166,Senate,C
"BROWN, SHERROD",DEMOCRATIC PARTY,OH,Challenger,S6OH00163,Senate,C
"BROWN, THEODORE E. JR.",LIBERTARIAN PARTY,TX,Challenger,S4TX00888,Senate,C
"BRUCE, CATHERINE FLEMING MS.",DEMOCRATIC PARTY,SC,Challenger,S2SC00145,Senate,N
"BUCKNER, DUKE",REPUBLICAN PARTY,SC,Challenger,S6SC04395,Senate,C
"BUCKNER, WILLIAM SEAN",REPUBLICAN PARTY,OK,Challenger,S6OK04254,Senate,N
"BURBANK, CINDY",,NE,Challenger,S6NE00145,Senate,C
"BURBRIDGE, CONNOR",DEMOCRATIC PARTY,RI,Challenger,S6RI00270,Senate,C
"BURKE, TRACIE",DEMOCRATIC PARTY,LA,Challenger,S6LA00607,Senate,N
"BURTON, MARQUETT DAVON",REPUBLICAN PARTY,GA,Challenger,S6GA00457,Senate,N
"BURTON, MATTHEW SETH",REPUBLICAN PARTY,AL,Open seat,S6AL00500,Senate,C
"BUSTOS, AWISI",DEMOCRATIC PARTY,IL,Open seat,S6IL00565,Senate,C
"BYRD, JAMES WILLARD MR.",DEMOCRATIC PARTY,WY,Challenger,S6WY00217,Senate,C
"CAIN, JOSHUA",INDEPENDENT,TX,Challenger,S6TX00420,Senate,N
"CALABRESE, CARMEM VINCENT MR.",REPUBLICAN PARTY,ME,Challenger,S6ME00316,Senate,C
"CALABRESE, CARMEN VINCENT MR.",REPUBLICAN PARTY,ME,Challenger,S6ME00324,Senate,C
"CALDERON, AMANDA J JILLIAN MRS",REPUBLICAN PARTY,CO,Challenger,S6CO00523,Senate,N
"CALHOUN, LEE",REPUBLICAN PARTY,MT,,S6MT00329,Senate,C
"CALLAHAN, SAXON",DEMOCRATIC PARTY,NJ,Challenger,S6NJ00354,Senate,N
"CAMERON, DANIEL",REPUBLICAN PARTY,KY,Open seat,S6KY00237,Senate,C
"CAMPBELL, CHRISTOPHER TODD",OTHER,KY,Open seat,S6KY00377,Senate,C
"CANADY, SARA LARUE",REPUBLICAN PARTY,TX,Challenger,S6TX00545,Senate,C
"CAPITO, SHELLEY MOORE",REPUBLICAN PARTY,WV,Incumbent,S4WV00159,Senate,C
"CAPPARELL, CHRISTOPHER PAUL",REPUBLICAN PARTY,GA,Challenger,S6GA00358,Senate,N
"CAPPARELLI, R CARY",REPUBLICAN PARTY,IL,Open seat,S6IL00490,Senate,C
"CARDUCCI, NICHOLAS MATTHEW",INDEPENDENT,NJ,Challenger,S4NJ00342,Senate,N
"CARLIN, JAMES",REPUBLICAN PARTY,IA,Open seat,S6IA00249,Senate,C
"CARLSON, OWEN",DEMOCRATIC PARTY,CA,Challenger,S6CA01103,Senate,N
"CARLSON, OWEN NICHOLAS",LIBERTY UNION PARTY,DC,Challenger,S6DC00022,Senate,N
"CARLSON, OWEN NICHOLAS",VETERANS PARTY,WV,Challenger,S6WV00220,Senate,N
"CARLSON, OWEN NICHOLAS",PERSONAL CHOICE PARTY,VI,Challenger,S6VI00018,Senate,N
"CARLSON, OWEN NICHOLAS",NONE,VA,Challenger,S6VA00242,Senate,N
"CARLSON, OWEN NICHOLAS",NO PARTY AFFILIATION,PR,Challenger,S6PR00017,Senate,N
"CARLSON, OWEN NICHOLAS",NEW JERSEY CONSERVATIVE PARTY,NJ,Challenger,S6NJ00461,Senate,N
"CARLSON, OWEN NICHOLAS",U.S. TAXPAYERS PARTY,TN,Challenger,S6TN00430,Senate,N
"CARLSON, OWEN NICHOLAS",NON-PARTY,AR,Challenger,S6AR00231,Senate,N
"CARLSON, OWEN NICHOLAS",NO PARTY AFFILIATION,PR,Challenger,S6PR00017,Senate,N
"CARLSON, OWEN NICHOLAS",LIBERAL PARTY,HI,Challenger,S6HI00313,Senate,N
"CARLSON, OWEN NICHOLAS",ONE EARTH PARTY,NC,Open seat,S6NC00589,Senate,N
"CARLSON, OWEN NICHOLAS",U.S. TAXPAYERS PARTY,TN,Challenger,S6TN00430,Senate,N
"CARLSON, OWEN NICHOLAS",TAXPAYERS,ME,Challenger,S6ME00472,Senate,N
"CARLSON, OWEN NICHOLAS",PEACE AND FREEDOM,PA,Challenger,S6PA00381,Senate,N
"CARLSON, OWEN NICHOLAS",INDEPENDENT CONSERVATIVE DEMOCRATIC,UT,Challenger,S6UT00295,Senate,N
"CARLSON, OWEN NICHOLAS",JEWISH/CHRISTIAN NATIONAL,MD,Challenger,S6MD03698,Senate,N
"CARLSON, OWEN NICHOLAS",VETERANS PARTY,WV,Challenger,S6WV00220,Senate,N
"CARLSON, OWEN NICHOLAS",LIBERTY UNION PARTY,DC,Challenger,S6DC00022,Senate,N
"CARLSON, OWEN NICHOLAS",NONE,VA,Challenger,S6VA00242,Senate,N
"CARLSON, OWEN NICHOLAS",NEW JERSEY CONSERVATIVE PARTY,NJ,Challenger,S6NJ00461,Senate,N
"CARLSON, OWEN NICHOLAS",INDEPENDENT,NV,Challenger,S6NV00366,Senate,N
"CARRARO, JOSEPH JOHN",INDEPENDENT,NM,Challenger,S6NM01194,Senate,N
"CARTER, EARL LEROY",REPUBLICAN PARTY,GA,Challenger,S6GA00374,Senate,C
"CASSIDY, WILLIAM M.",REPUBLICAN PARTY,LA,Incumbent,S4LA00107,Senate,C
"CASSITY, R.O.",DEMOCRATIC PARTY,OK,Challenger,S0OK00420,Senate,N
"CATLETT, ANISSA",REPUBLICAN PARTY,KY,Open seat,S6KY00401,Senate,N
"CHANDLER, THARON",INDEPENDENT,TN,,S4TN00583,Senate,N
"CHANNON, MATT",REPUBLICAN PARTY,NM,Challenger,S6NM01178,Senate,N
"CHAPMAN, CHRISTOPH LA'FLARE",REPUBLICAN PARTY,GA,Challenger,S6GA00291,Senate,N
"CHEW, BOB",OTHER,CO,Challenger,S6CO00556,Senate,C
"CHEW, ROBERT",,CO,Challenger,S6CO00549,Senate,C
"CHICK, CAMERON ALTON MR. SR.",INDEPENDENT,NM,Challenger,S6NM01152,Senate,N
"CHLEBEK, CASIMER MR.",REPUBLICAN PARTY,IL,Open seat,S6IL00466,Senate,C
"CHRISTENSEN, LYDIA LYNN",LIBERTARIAN PARTY,MI,Open seat,S6MI00442,Senate,N
"CHURCHILL, PANO DR",INDEPENDENT,FL,Challenger,S6FL00905,Senate,N
"CLEMENT, CHRISTINA LOREN REV DR TRUSTE",REPUBLICAN PARTY,GA,Challenger,S6GA00366,Senate,C
"COLBERT, MICHAEL",REPUBLICAN PARTY,AL,Open seat,S6AL00526,Senate,N
"COLLINS, MICHAEL A JR",REPUBLICAN PARTY,GA,Challenger,S6GA00390,Senate,C
"COLLINS, SUSAN M.",REPUBLICAN PARTY,ME,Incumbent,S6ME00159,Senate,C
"COLOM, SCOTT",DEMOCRATIC PARTY,MS,Challenger,S6MS00133,Senate,C
"COLON, ROBERT",DEMOCRATIC PARTY,NC,,S2NC00745,Senate,N
"COONS, CHRISTOPHER A.",DEMOCRATIC PARTY,DE,Incumbent,S0DE00092,Senate,C
"COOPER, ROY",DEMOCRATIC PARTY,NC,Open seat,S6NC00407,Senate,C
"COPPOLA, ALEC",REPUBLICAN PARTY,DE,,S6DE00214,Senate,N
"CORNYN, JOHN SEN",REPUBLICAN PARTY,TX,Incumbent,S2TX00106,Senate,C
"COSTELLO, DAVID",DEMOCRATIC PARTY,ME,Challenger,S4ME00113,Senate,C
"COTTONHAM, MARKEDA ANN",REPUBLICAN PARTY,LA,Challenger,S6LA00656,Senate,N
"COTTON, THOMAS",REPUBLICAN PARTY,AR,Incumbent,S4AR00103,Senate,C
"COWEN, CALVIN",REPUBLICAN PARTY,SC,Challenger,S6SC04379,Senate,C
"COYNE, JOHN F III",REPUBLICAN PARTY,GA,,S4GA11202,Senate,N
"CRAIG, ANGIE",DEMOCRATIC PARTY,MN,Open seat,S6MN00499,Senate,C
"CROCKETT, GARY",DEMOCRATIC PARTY,LA,Challenger,S6LA00680,Senate,C
"CROCKETT, JASMINE",DEMOCRATIC PARTY,TX,Challenger,S6TX00552,Senate,C
"CRUZ, PAUL RON",DEMOCRATIC PARTY,FL,Challenger,S6FL00723,Senate,N
"DAINES, STEVE",REPUBLICAN PARTY,MT,Incumbent,S2MT00096,Senate,C
"DALE, CLINTON ROOSEVELT",INDEPENDENT,CO,Challenger,S4CO00452,Senate,N
"DANIELS, LORITA DR.",DEMOCRATIC PARTY,VA,Challenger,S6VA00184,Senate,C
"DANSIE, RICHARD",REPUBLICAN PARTY,NC,Open seat,S6NC00472,Senate,N
"DANS, PAUL",REPUBLICAN PARTY,SC,Challenger,S6SC04296,Senate,C
"DAVIS, CHRISTY",DEMOCRATIC PARTY,KS,Challenger,S6KS00247,Senate,C
"DAVIS, JAMIE",DEMOCRATIC PARTY,LA,Challenger,S6LA00615,Senate,C
"DAWICKI, MORGAN GIFFORD",INDEPENDENT,MA,Challenger,S6MA00262,Senate,C
"DEAN, JONATHAN",DEMOCRATIC PARTY,IL,Open seat,S6IL00623,Senate,C
"DEATON, JOHN",REPUBLICAN PARTY,MA,Challenger,S6MA00304,Senate,C
"DEBERRY, SHAUNESI YVETTE",INDEPENDENT,NC,Open seat,S6NC00399,Senate,N
