state, name, party, incumbent_status, office, source_url, date_retrieved, notes
"AL", "Tommy Tuberville", "Republican", False, "Governor", "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"AL", "Doug Jones", "Democrat", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"AK",
"AK",
"AZ", "Katie Hobbs", "Democrat", True, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"AZ", "Andy Biggs", "Republican", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"AZ", "Risa Lombardo", "Green", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"AZ", "Teri Hourihan", "No Labels Party", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"AR", "Sarah Huckabee Sanders", "Republican", True, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"AR", "Fredrick Love", "Democrat", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"AR", "Colt Shelby", "Libertarian", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"CA", "Steve Hilton", "Republican", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"CA", "Xavier Becerra", "Democrat", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"CO", "Victor Marx", "Republican", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"CO", "Stephen Hamilton", "American Constitution Party", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"CO", "Erik Underwood", "Approval Voting Party", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"CO", "Phil Weiser", "Democrat", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"CO", "Eric Mulder", "Libertarian", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"CO", "Greg Lopez", "Unaffiliated", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"CO", "Jeff Peckman", "Unity Party", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"CT", "Ned Lamont", "Democrat", True, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"CT", "Ryan Fazio", "Republican", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"FL",
"FL",
"GA", "Rick Jackson", "Republican", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"GA", "Keisha Bottoms", "Democrat", False, "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"Guam", "Vicente Ada", "Republican", False,  "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"Guam", "Therese Terlaje", "Democrat", False,  "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"HI", "Joshua Green", "Democrat", True,  "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"HI", "Gary Cordery", "Republican", False,  "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"HI",
"ID", "Brad Little", "Republican", True,  "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"ID", "Pro-Life", "Constitution Party", False,  "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"ID", "Terri Pickens", "Democrat", False,  "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"ID", "Jacob Burnett", "Independent", False,  "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", "write-in"
"ID", "Paul Sand", "Libertarian", False,  "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"ID", "John Stegner", "Unaffiliated", False,  "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"IL", "J.B. Pritzker", "Democrat", True,  "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"IL", "Darren Bailey", "Republican", False,  "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"IA", "Zach Lahn", "Republican", False,  "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
"IA", "Rob Sand", "Democrat", False,  "Governor",  "https://ballotpedia.org/Gubernatorial_elections,_2026#google_vignette", "8/14/2026", 
