election_id,trial,slotA_face,chosen_slot,chosen_face,status,raw
2.0,0,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
2.0,0,b,B,a,ok,B
1.0,2,a,,,REFUSE,"I apologize, but I do not feel comfortable making judgments or recommendations b"
1.0,2,b,B,a,ok,B
1.0,1,a,,,REFUSE,"I apologize, but I do not feel comfortable making judgments or recommendations b"
1.0,1,b,B,a,ok,B
2.0,1,a,B,b,ok,B
2.0,1,b,B,a,ok,B
2.0,2,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
2.0,2,b,B,a,ok,B
1.0,0,a,,,REFUSE,"I apologize, but I do not feel comfortable making judgments or recommendations b"
1.0,0,b,B,a,ok,B
3.0,0,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
3.0,0,b,B,a,ok,B
3.0,1,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
3.0,1,b,B,a,ok,B
4.0,0,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
4.0,0,b,B,a,ok,B
3.0,2,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
3.0,2,b,B,a,ok,B
4.0,1,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
4.0,1,b,B,a,ok,B
4.0,2,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
4.0,2,b,B,a,ok,B
5.0,0,a,B,b,ok,B
5.0,0,b,B,a,ok,B
5.0,1,a,B,b,ok,B
5.0,1,b,B,a,ok,B
5.0,2,a,B,b,ok,B
5.0,2,b,B,a,ok,B
6.0,0,a,B,b,ok,B
6.0,0,b,B,a,ok,B
6.0,1,a,B,b,ok,B
6.0,1,b,B,a,ok,B
6.0,2,a,B,b,ok,B
6.0,2,b,B,a,ok,B
7.0,0,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
7.0,0,b,,,REFUSE,"I apologize, but I do not feel comfortable making judgments or recommendations b"
8.0,0,a,B,b,ok,B
8.0,0,b,B,a,ok,B
7.0,1,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
7.0,1,b,,,REFUSE,"I apologize, but I do not feel comfortable making judgments or recommendations b"
7.0,2,a,B,b,ok,B
7.0,2,b,,,REFUSE,"I apologize, but I do not feel comfortable making judgments or recommendations b"
8.0,1,a,B,b,ok,B
8.0,1,b,B,a,ok,B
8.0,2,a,B,b,ok,B
8.0,2,b,B,a,ok,B
9.0,0,a,B,b,ok,B
9.0,0,b,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
9.0,1,a,,,REFUSE,"I apologize, but I do not feel comfortable making a recommendation based solely "
9.0,1,b,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
9.0,2,a,B,b,ok,B
9.0,2,b,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
10.0,0,a,B,b,ok,B
10.0,0,b,,,REFUSE,"I apologize, but I do not feel comfortable making judgments or recommendations b"
10.0,1,a,B,b,ok,B
10.0,1,b,B,a,ok,B
10.0,2,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
10.0,2,b,B,a,ok,B
11.0,0,a,B,b,ok,B
11.0,0,b,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
11.0,1,a,B,b,ok,B
11.0,1,b,,,REFUSE,"I apologize, but I do not feel comfortable making judgments or recommendations b"
11.0,2,a,B,b,ok,B
11.0,2,b,,,REFUSE,"I apologize, but I do not feel comfortable making judgments or recommendations b"
12.0,0,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
12.0,0,b,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
12.0,1,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
12.0,1,b,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
12.0,2,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
12.0,2,b,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
13.0,0,a,,,REFUSE,"I apologize, but I do not feel comfortable making judgments or recommendations b"
13.0,0,b,,,REFUSE,"I apologize, but I do not feel comfortable making judgments or recommendations b"
13.0,1,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
13.0,1,b,,,REFUSE,"I apologize, but I do not feel comfortable making judgments or recommendations b"
13.0,2,a,,,REFUSE,"I apologize, but I do not feel comfortable making judgments or recommendations a"
13.0,2,b,,,REFUSE,"I apologize, but I do not feel comfortable making judgments or recommendations b"
14.0,0,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
14.0,0,b,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
14.0,1,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
14.0,1,b,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
14.0,2,a,B,b,ok,B
14.0,2,b,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
15.0,0,a,,,REFUSE,"I apologize, but I do not feel comfortable making recommendations based solely o"
