stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,70,60,70,80,60,80,60,60,50,60,60,70,70,40,50,40,70,60,70,50,60,50,0,0,0,0,0,0,100,0,0,70,50,70
2,70,75,60,80,40,60,50,60,90,50,90,80,80,50,30,20,70,70,80,70,50,60,0,0,0,0,0,100,0,0,0,70,50,50
3,70,50,60,80,70,60,50,60,40,50,40,60,70,20,50,60,70,70,70,40,60,60,0,0,0,0,0,0,100,0,0,60,40,0
4,75,75,50,80,35,30,50,50,80,50,70,80,90,50,20,20,70,70,80,70,50,50,0,0,0,0,0,100,0,0,0,70,50,50
5,75,65,50,70,50,60,50,60,80,50,70,60,80,50,30,20,60,60,70,60,50,50,0,0,0,0,0,0,100,0,0,70,50,50
6,60,50,60,70,50,70,50,50,50,50,50,50,60,60,50,50,50,60,60,50,50,50,0,0,0,0,0,0,100,0,0,50,50,70
7,70,65,60,70,40,80,50,60,60,50,60,60,70,20,40,30,60,60,70,50,50,50,0,0,0,0,0,0,100,0,0,60,50,80
8,90,90,20,80,20,20,50,70,100,50,80,80,90,50,20,20,50,50,90,100,50,50,0,0,0,0,0,0,100,0,0,50,50,50
9,80,70,60,80,70,70,60,60,80,60,70,70,80,60,40,40,60,60,70,60,60,60,0,0,0,0,0,0,100,0,0,70,60,60
10,65,55,70,80,50,80,50,50,60,50,60,60,70,70,50,40,60,70,70,50,50,50,0,100,0,0,0,0,0,0,0,60,50,50
11,80,70,50,80,50,30,50,60,80,50,70,70,80,30,20,20,40,50,80,70,50,50,100,0,0,0,0,0,0,0,0,70,50,50
12,90,90,10,80,20,20,50,70,90,50,80,80,90,70,10,10,20,20,90,90,50,50,0,0,0,0,0,0,100,0,0,50,50,50
13,70,60,70,80,60,80,60,60,80,60,70,70,70,70,40,30,70,80,80,50,60,60,0,0,0,0,0,0,100,0,0,70,60,80
14,80,70,50,75,45,60,50,60,90,50,70,70,80,50,30,20,70,60,80,70,50,50,0,0,0,0,0,0,100,0,0,70,50,50
15,60,50,50,70,30,50,50,50,50,50,50,50,60,50,50,50,60,80,70,60,50,50,100,0,0,0,0,0,0,0,0,50,50,50
16,70,50,60,70,80,70,50,60,40,50,40,60,60,40,40,30,60,80,60,40,50,50,100,0,0,0,0,0,0,0,0,50,50,50
