stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,80,70,50,80,50,30,50,60,80,50,70,70,80,30,30,30,50,50,80,70,50,50,100,0,0,0,0,0,0,0,0,70,50,50
24,80,60,70,80,80,80,50,70,50,70,60,70,80,20,40,20,70,80,70,40,70,50,0,0,0,0,0,0,100,0,0,70,50,50
31,60,40,60,60,80,70,60,60,40,50,50,60,60,60,50,40,70,60,60,40,50,50,0,0,0,0,0,0,100,0,0,50,50,60
40,75,60,60,80,60,70,50,60,80,60,70,60,80,20,30,20,60,60,70,50,60,50,0,0,0,0,0,0,100,0,0,70,50,50
55,80,70,40,80,30,30,50,60,90,50,70,70,80,40,20,20,50,50,80,80,50,50,0,0,0,0,0,0,100,0,0,70,50,80
60,80,75,30,70,20,20,50,60,50,50,50,70,80,80,20,20,30,30,70,90,50,50,0,0,0,0,0,0,100,0,0,50,50,80
64,80,75,60,80,50,40,50,60,90,50,80,70,90,70,20,20,60,60,80,70,50,50,0,0,80,0,0,0,80,0,0,80,50,50
67,60,60,60,70,35,70,50,60,50,50,50,60,70,40,40,40,50,70,70,50,50,50,0,50,50,0,0,0,100,0,0,60,50,50
68,70,60,60,70,40,80,50,60,80,50,70,60,70,40,40,30,70,60,70,50,50,50,0,0,0,0,0,0,100,0,0,60,50,60
71,80,75,60,80,35,80,50,60,90,50,80,70,80,40,20,20,70,80,80,70,50,60,100,0,0,0,0,100,0,0,0,70,50,80
77,80,70,60,80,60,70,50,70,90,70,80,80,80,40,20,20,70,70,80,70,60,60,0,0,0,0,0,0,100,0,0,80,60,70
89,80,80,40,80,30,20,50,60,90,50,80,80,90,80,20,20,50,60,80,90,50,50,80,20,20,20,20,20,80,0,20,70,50,50
97,75,70,50,80,50,30,50,60,80,50,70,70,80,60,20,20,40,50,70,70,50,50,0,0,0,0,0,0,100,0,0,70,50,50
102,80,60,50,80,70,60,50,60,60,60,50,60,70,50,40,40,60,60,70,50,60,60,0,0,0,0,0,0,100,0,0,60,50,50
108,60,70,50,70,30,30,50,50,40,50,50,60,70,70,40,30,50,60,60,70,50,50,80,0,0,0,0,0,0,0,0,50,50,50
159,70,70,60,70,40,70,50,60,70,50,70,70,70,50,40,30,50,70,70,60,50,50,0,0,0,0,0,0,100,0,0,70,50,80
175,60,65,50,70,30,30,50,60,40,50,50,60,70,70,40,30,50,60,70,60,50,50,0,0,0,0,0,0,100,0,0,50,50,50
185,60,70,50,70,35,30,50,50,50,50,60,60,70,60,40,30,50,70,70,70,50,50,70,50,50,50,50,50,50,50,50,60,50,60
200,70,60,70,80,70,80,60,70,60,60,60,70,70,70,50,40,60,70,70,50,60,50,0,0,0,0,0,0,100,0,0,70,60,90
210,70,70,60,80,40,70,50,60,70,50,70,70,70,50,40,30,60,60,80,60,50,50,0,0,0,0,0,0,100,0,0,70,50,80
214,80,70,30,70,30,20,50,60,80,50,70,70,80,70,20,20,20,20,70,80,50,50,0,0,0,0,0,0,80,0,0,50,50,50
219,80,75,40,80,40,20,50,60,90,50,70,70,80,80,20,20,30,30,80,80,50,50,0,0,0,0,0,0,100,0,0,70,50,80
238,75,60,50,70,60,70,60,60,70,50,60,60,70,60,30,30,60,60,70,50,50,50,0,0,0,0,0,0,100,0,0,60,50,50
245,70,65,40,75,45,30,50,60,80,50,70,60,80,60,30,20,30,50,70,60,50,60,0,0,0,0,0,0,100,0,0,60,50,80
248,80,70,60,80,50,70,50,50,90,50,80,70,80,30,20,20,60,60,80,60,60,60,0,0,0,0,0,0,100,0,0,80,50,80
260,80,75,50,80,45,30,50,60,90,50,80,80,80,50,20,20,60,60,80,80,50,50,100,0,0,0,0,0,0,0,0,80,50,50
278,70,60,50,70,60,70,50,50,50,50,50,60,70,50,40,30,70,60,70,50,50,50,0,0,0,0,0,0,100,0,0,60,50,60
282,65,60,50,70,40,40,50,50,50,50,50,60,70,40,50,40,50,50,60,60,50,50,0,0,0,0,0,0,100,0,0,50,50,50
287,60,50,60,70,60,80,60,60,40,50,50,50,60,20,50,50,60,60,60,40,50,50,0,0,0,0,0,0,100,0,0,50,50,50
295,70,60,60,80,50,70,50,60,80,50,70,60,70,30,30,40,50,50,70,60,50,50,0,0,0,0,0,0,100,0,0,70,50,50
297,75,70,60,80,35,40,50,60,90,50,80,70,70,40,30,20,50,50,80,70,50,60,0,0,0,0,0,0,100,0,0,70,50,50
299,70,50,60,80,60,70,60,60,40,50,50,60,60,60,50,50,60,60,70,50,50,50,100,0,0,0,0,0,0,0,0,60,50,50
313,70,70,60,80,50,80,50,60,80,50,70,70,80,50,40,30,60,70,80,60,60,60,0,0,0,0,0,0,100,0,0,70,50,50
315,70,65,60,80,45,70,50,60,70,50,70,60,80,20,40,30,60,60,70,60,60,50,0,0,0,0,0,0,100,0,0,70,50,50
322,60,50,50,60,50,50,50,50,40,50,50,60,50,50,40,40,50,50,60,50,50,50,0,100,0,0,0,0,0,0,0,50,50,50
332,70,65,40,70,35,30,50,60,70,50,60,60,70,70,30,30,50,60,70,70,50,50,0,0,0,0,0,0,100,0,0,60,50,50
333,75,65,60,80,45,70,50,60,80,50,70,60,80,30,30,20,60,60,70,60,60,50,0,0,0,0,0,0,100,0,0,70,50,50
352,80,60,70,90,80,80,50,60,40,60,50,80,70,0,40,20,80,80,70,40,60,50,0,0,0,0,0,100,0,0,0,70,50,0
366,70,60,60,80,50,80,50,50,80,50,60,60,70,50,40,50,50,80,70,50,50,50,0,0,0,0,0,0,100,0,0,60,50,50
372,80,70,60,80,40,70,50,60,90,50,80,70,80,20,20,20,60,60,80,70,50,50,0,100,100,0,0,0,0,0,0,70,50,50
378,70,60,40,70,40,40,50,60,60,50,60,60,70,60,30,40,60,60,70,60,50,50,0,0,0,0,0,0,100,0,0,60,50,80
381,80,50,50,70,80,70,60,70,50,60,50,60,70,0,30,40,70,80,60,40,60,50,0,0,0,0,0,0,100,0,0,60,50,60
382,70,60,60,70,50,80,50,50,70,50,70,60,60,70,40,40,60,60,70,50,50,50,0,0,0,0,0,0,100,0,0,60,50,70
389,70,70,50,70,35,30,50,50,50,50,50,70,80,70,30,20,60,80,70,70,50,50,0,0,0,0,0,100,0,0,0,50,50,50
421,80,65,50,80,60,60,50,60,80,60,60,60,80,60,30,40,60,60,80,60,50,60,0,0,0,0,0,0,100,0,0,70,50,50
424,80,60,50,80,80,60,50,60,80,60,60,60,70,30,20,20,70,70,70,50,50,50,0,0,0,0,0,0,100,0,0,70,50,50
430,80,70,30,80,20,30,50,70,90,50,80,80,80,50,20,20,50,50,80,90,50,50,0,0,0,0,0,0,100,0,0,50,50,50
446,70,60,60,80,50,60,50,60,50,50,50,60,70,50,50,50,60,60,70,50,50,50,100,0,0,0,0,0,0,0,0,60,50,50
454,70,75,50,80,30,20,50,60,70,50,70,70,80,70,40,20,50,70,80,80,50,50,100,0,0,0,0,0,0,0,0,70,50,50
457,75,75,50,75,35,25,50,50,90,50,75,75,75,75,25,25,75,75,75,75,50,50,75,25,50,25,25,75,25,0,50,75,50,50
483,70,65,70,80,45,80,50,60,70,50,70,70,80,40,40,30,60,60,80,60,60,50,0,0,0,0,0,0,100,0,0,70,50,60
496,80,70,50,80,40,40,50,60,90,50,70,70,80,50,20,20,60,60,80,80,50,50,0,0,0,0,0,0,100,0,0,70,50,70
501,70,70,50,80,30,20,50,50,60,50,60,70,80,70,30,20,70,80,80,70,50,50,0,0,0,0,0,100,0,0,0,70,50,50
515,70,75,50,70,40,20,50,60,60,50,60,70,80,80,40,30,30,70,70,70,50,50,0,0,0,0,0,0,80,0,0,60,50,50
520,80,70,50,80,50,40,50,60,90,50,70,70,80,60,20,20,60,60,80,70,50,60,0,0,0,0,0,0,80,0,0,70,50,80
527,75,65,50,75,55,60,50,60,80,50,70,70,80,60,30,20,60,60,70,60,50,50,0,0,0,0,0,0,100,0,0,70,50,50
530,75,70,60,80,60,60,60,70,80,60,80,80,80,70,40,30,70,70,80,70,60,60,0,0,0,0,0,0,100,0,0,80,60,60
