election_id,trial,slotA_face,chosen_slot,chosen_face,status,raw
2.0,0,a,A,a,ok,A
2.0,0,b,B,a,ok,B
1.0,0,a,A,a,ok,A
1.0,0,b,B,a,ok,B
1.0,1,a,A,a,ok,A
1.0,1,b,B,a,ok,B
1.0,2,a,A,a,ok,A
1.0,2,b,B,a,ok,B
2.0,1,a,A,a,ok,A
2.0,1,b,B,a,ok,B
2.0,2,a,A,a,ok,A
2.0,2,b,B,a,ok,B
3.0,1,a,A,a,ok,A
3.0,1,b,B,a,ok,B
3.0,0,a,A,a,ok,A
3.0,0,b,B,a,ok,B
3.0,2,a,A,a,ok,A
3.0,2,b,B,a,ok,B
4.0,1,a,A,a,ok,A
4.0,1,b,B,a,ok,B
4.0,0,a,A,a,ok,A
4.0,0,b,B,a,ok,B
4.0,2,a,A,a,ok,A
4.0,2,b,B,a,ok,B
5.0,1,a,B,b,ok,B
5.0,1,b,A,b,ok,A
5.0,0,a,A,a,ok,A
5.0,0,b,A,b,ok,A
5.0,2,a,B,b,ok,B
5.0,2,b,A,b,ok,A
6.0,0,a,B,b,ok,B
6.0,0,b,A,b,ok,A
6.0,1,a,B,b,ok,B
6.0,1,b,A,b,ok,A
6.0,2,a,B,b,ok,B
6.0,2,b,A,b,ok,A
7.0,0,a,A,a,ok,A
7.0,0,b,B,a,ok,B
7.0,1,a,A,a,ok,A
7.0,1,b,B,a,ok,B
7.0,2,a,A,a,ok,A
7.0,2,b,B,a,ok,B
8.0,0,a,B,b,ok,B
8.0,0,b,A,b,ok,A
8.0,1,a,B,b,ok,B
8.0,1,b,A,b,ok,A
8.0,2,a,B,b,ok,B
8.0,2,b,A,b,ok,A
9.0,0,a,B,b,ok,B
9.0,0,b,A,b,ok,A
9.0,1,a,B,b,ok,B
9.0,1,b,A,b,ok,A
9.0,2,a,B,b,ok,B
9.0,2,b,A,b,ok,A
10.0,0,a,B,b,ok,B
10.0,0,b,A,b,ok,A
10.0,1,a,B,b,ok,B
10.0,1,b,A,b,ok,A
10.0,2,a,B,b,ok,B
10.0,2,b,A,b,ok,A
11.0,1,a,B,b,ok,B
11.0,1,b,A,b,ok,A
11.0,0,a,B,b,ok,B
11.0,0,b,A,b,ok,A
