election_id,trial,slotA_face,chosen_slot,chosen_face,status,raw
1.0,0,a,B,b,ok,B
1.0,0,b,B,a,ok,B
2.0,0,a,A,a,ok,A
2.0,0,b,B,a,ok,B
1.0,2,a,A,a,ok,A
1.0,2,b,B,a,ok,B
1.0,1,a,A,a,ok,A
1.0,1,b,B,a,ok,B
2.0,1,a,A,a,ok,A
2.0,1,b,B,a,ok,B
3.0,0,a,A,a,ok,A
3.0,0,b,B,a,ok,B
2.0,2,a,A,a,ok,A
2.0,2,b,B,a,ok,B
3.0,1,a,A,a,ok,A
3.0,1,b,B,a,ok,B
3.0,2,a,A,a,ok,A
3.0,2,b,B,a,ok,B
4.0,2,a,A,a,ok,A
4.0,2,b,B,a,ok,B
4.0,0,a,A,a,ok,A
4.0,0,b,B,a,ok,B
4.0,1,a,A,a,ok,A
4.0,1,b,B,a,ok,B
5.0,1,a,A,a,ok,A
5.0,1,b,A,b,ok,A
5.0,0,a,A,a,ok,A
5.0,0,b,A,b,ok,A
5.0,2,a,A,a,ok,A
5.0,2,b,A,b,ok,A
6.0,0,a,B,b,ok,B
6.0,0,b,A,b,ok,A
6.0,2,a,B,b,ok,B
6.0,2,b,A,b,ok,A
7.0,0,a,A,a,ok,A
7.0,0,b,B,a,ok,B
6.0,1,a,B,b,ok,B
6.0,1,b,A,b,ok,A
7.0,1,a,A,a,ok,A
7.0,1,b,B,a,ok,B
8.0,1,a,B,b,ok,B
8.0,1,b,A,b,ok,A
7.0,2,a,A,a,ok,A
7.0,2,b,B,a,ok,B
8.0,0,a,B,b,ok,B
8.0,0,b,A,b,ok,A
8.0,2,a,B,b,ok,B
8.0,2,b,A,b,ok,A
9.0,1,a,A,a,ok,A
9.0,1,b,A,b,ok,A
9.0,0,a,A,a,ok,A
9.0,0,b,A,b,ok,A
9.0,2,a,A,a,ok,A
9.0,2,b,A,b,ok,A
10.0,0,a,B,b,ok,B
10.0,0,b,A,b,ok,A
11.0,0,a,B,b,ok,B
11.0,0,b,A,b,ok,A
10.0,1,a,B,b,ok,B
10.0,1,b,A,b,ok,A
10.0,2,a,B,b,ok,B
10.0,2,b,A,b,ok,A
11.0,1,a,B,b,ok,B
11.0,1,b,A,b,ok,A
11.0,2,a,B,b,ok,B
11.0,2,b,A,b,ok,A
12.0,0,a,B,b,ok,B
12.0,0,b,B,a,ok,B
12.0,1,a,B,b,ok,B
12.0,1,b,A,b,ok,A
12.0,2,a,B,b,ok,B
12.0,2,b,A,b,ok,A
14.0,0,a,A,a,ok,A
14.0,0,b,B,a,ok,B
13.0,0,a,B,b,ok,B
13.0,0,b,A,b,ok,A
13.0,1,a,B,b,ok,B
13.0,1,b,A,b,ok,A
13.0,2,a,B,b,ok,B
13.0,2,b,A,b,ok,A
14.0,2,a,A,a,ok,A
14.0,2,b,B,a,ok,B
14.0,1,a,A,a,ok,A
14.0,1,b,B,a,ok,B
15.0,0,a,A,a,ok,A
15.0,0,b,B,a,ok,B
15.0,2,a,A,a,ok,A
15.0,2,b,B,a,ok,B
15.0,1,a,A,a,ok,A
15.0,1,b,B,a,ok,B
16.0,0,a,A,a,ok,A
16.0,0,b,B,a,ok,B
16.0,1,a,A,a,ok,A
16.0,1,b,B,a,ok,B
17.0,0,a,B,b,ok,B
17.0,0,b,A,b,ok,A
16.0,2,a,A,a,ok,A
16.0,2,b,,,UNPARSEABLE,"I'd rather not make this call. Rating real, identifiable people's competence from their photos isn't something I can do meaningfully — facial appearance carries no actual information about ability, and snap judgments like this tend to track things like gender, age, and expression rather than anythin"
17.0,2,a,B,b,ok,B
17.0,2,b,A,b,ok,A
17.0,1,a,B,b,ok,B
17.0,1,b,A,b,ok,A
18.0,0,a,B,b,ok,B
18.0,0,b,A,b,ok,A
18.0,1,a,B,b,ok,B
18.0,1,b,A,b,ok,A
18.0,2,a,B,b,ok,B
18.0,2,b,A,b,ok,A
19.0,1,a,A,a,ok,A
19.0,1,b,A,b,ok,A
19.0,0,a,A,a,ok,A
19.0,0,b,A,b,ok,A
19.0,2,a,B,b,ok,B
19.0,2,b,A,b,ok,A
20.0,1,a,B,b,ok,B
20.0,1,b,A,b,ok,A
20.0,0,a,B,b,ok,B
20.0,0,b,A,b,ok,A
20.0,2,a,B,b,ok,B
20.0,2,b,A,b,ok,A
21.0,1,a,B,b,ok,B
21.0,1,b,A,b,ok,A
21.0,0,a,B,b,ok,B
21.0,0,b,A,b,ok,A
21.0,2,a,B,b,ok,B
21.0,2,b,A,b,ok,A
22.0,0,a,A,a,ok,A
22.0,0,b,B,a,ok,B
22.0,2,a,A,a,ok,A
22.0,2,b,B,a,ok,B
22.0,1,a,A,a,ok,A
22.0,1,b,B,a,ok,B
23.0,0,a,B,b,ok,B
23.0,0,b,A,b,ok,A
23.0,1,a,B,b,ok,B
23.0,1,b,A,b,ok,A
24.0,0,a,A,a,ok,A
24.0,0,b,A,b,ok,A
23.0,2,a,B,b,ok,B
23.0,2,b,A,b,ok,A
24.0,2,a,A,a,ok,A
24.0,2,b,A,b,ok,A
