stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,55,45,60,60,62,90,48,60,15,45,30,48,45,15,40,35,32,55,60,20,52,50,4,20,20,6,10,3,90,25,20,48,35,55
2,78,70,45,70,38,12,45,60,92,55,88,68,72,75,25,20,58,88,80,65,45,65,8,20,60,35,25,62,22,30,25,60,50,60
3,62,45,55,76,66,88,48,60,18,48,28,45,72,15,40,55,32,45,60,20,66,52,8,15,22,6,10,4,88,30,25,58,42,30
4,80,74,40,72,26,8,38,60,82,60,76,66,80,55,30,22,45,85,78,74,55,62,8,22,58,25,22,55,30,30,22,62,52,42
5,80,62,40,68,52,12,40,62,92,60,84,58,70,30,25,30,24,72,80,58,58,55,5,8,14,5,8,3,93,30,25,62,52,45
6,45,38,45,45,52,78,50,50,25,42,40,55,32,60,45,45,33,55,45,25,35,65,5,12,18,8,12,4,93,30,40,30,30,58
7,62,55,52,55,40,88,52,62,45,55,48,48,52,15,45,40,30,72,62,42,45,42,8,15,25,10,15,4,88,40,25,48,42,68
8,85,75,25,65,5,30,40,65,93,60,85,65,75,55,20,25,13,40,80,93,65,55,5,8,15,5,8,2,95,30,20,45,40,45
9,80,42,40,70,68,12,58,60,82,60,72,50,62,58,25,45,30,70,70,38,50,62,5,25,35,6,10,3,78,30,30,52,55,40
10,60,38,48,62,62,87,58,60,25,45,32,50,42,30,35,55,42,82,55,22,35,52,10,45,68,20,32,12,45,30,25,40,45,50
11,78,55,45,74,55,22,42,62,78,55,70,55,72,12,30,32,35,72,72,48,55,58,95,5,8,20,15,2,6,30,30,62,45,40
12,85,72,22,68,6,35,40,62,88,60,78,68,72,45,25,35,8,22,78,92,62,52,3,3,6,3,5,2,97,30,25,45,45,45
13,78,45,55,62,58,88,58,65,85,60,75,55,35,25,35,45,30,62,70,40,42,55,5,15,15,8,12,4,92,35,25,55,45,80
14,80,65,45,70,33,72,45,65,88,60,78,55,70,20,30,40,22,70,75,60,60,55,5,10,15,5,8,3,93,40,30,65,50,55
15,62,52,40,62,20,72,38,58,25,45,35,48,52,25,42,42,42,95,62,50,35,48,95,8,15,40,22,4,5,30,30,42,38,48
16,68,45,60,68,76,88,50,60,30,48,38,52,62,20,40,30,42,28,65,22,45,45,88,10,18,30,25,4,12,25,15,55,45,55
17,65,52,42,60,22,72,45,62,40,52,42,45,55,18,40,48,25,82,62,48,50,52,8,30,35,10,15,4,82,40,30,45,40,52
18,80,76,35,72,27,10,40,60,78,60,72,65,80,92,30,20,55,92,70,74,55,62,20,30,50,35,30,55,25,30,25,60,55,45
19,80,68,38,70,27,12,42,65,78,60,68,55,75,60,32,28,24,75,72,68,55,58,5,10,18,5,8,3,93,40,25,58,45,50
20,78,62,40,68,24,65,48,60,82,55,75,58,70,15,35,40,58,92,72,62,45,62,8,15,35,25,20,78,20,30,35,58,50,45
21,72,65,32,66,27,12,42,60,58,52,48,55,68,92,40,30,26,78,62,64,52,58,32,20,40,20,25,6,68,40,28,52,40,42
22,72,55,40,60,40,62,45,58,85,55,75,60,55,72,40,55,27,35,70,55,50,68,5,8,12,6,8,3,95,40,40,50,45,72
23,68,52,45,65,48,78,45,62,70,55,65,45,65,20,40,45,32,82,68,42,52,55,15,20,40,12,18,5,75,40,30,58,48,48
24,68,45,62,72,82,88,55,62,55,50,50,52,72,20,45,35,28,12,65,25,72,45,3,8,10,4,6,2,96,22,20,66,52,35
25,80,58,42,72,58,12,40,62,82,60,72,55,68,82,30,30,30,55,72,50,62,62,5,10,15,5,8,3,94,40,28,62,50,62
26,70,74,38,63,30,10,40,55,60,50,58,62,80,88,45,22,27,38,65,70,65,55,8,22,30,10,12,4,85,30,25,55,45,35
27,82,66,35,70,40,10,45,65,90,62,80,60,72,88,30,28,33,72,78,65,55,62,12,22,55,15,20,5,65,40,25,62,45,52
28,63,60,45,68,32,78,42,60,32,48,38,50,62,20,40,40,35,92,62,48,50,55,20,62,55,20,25,6,45,40,30,50,42,40
29,68,60,58,66,38,88,52,65,55,55,52,55,62,20,45,35,35,88,68,48,50,50,10,78,35,12,18,6,45,35,22,55,50,48
30,82,52,38,66,52,15,52,62,92,60,80,58,52,78,30,45,28,45,75,52,50,62,4,6,12,5,8,3,95,40,30,58,52,78
31,45,32,55,48,66,58,55,50,25,40,45,52,35,45,52,45,30,68,50,20,40,55,8,15,20,10,15,5,88,25,35,35,35,60
32,80,65,35,68,38,10,45,65,85,60,78,55,70,92,30,25,38,62,72,62,50,58,18,25,72,25,30,10,45,40,25,60,50,52
33,85,72,20,60,3,30,55,60,80,55,70,70,70,30,25,30,12,35,80,95,65,50,8,8,12,8,10,3,95,25,25,30,45,55
34,82,66,35,68,30,12,45,62,96,60,88,62,62,88,22,30,32,85,70,68,48,62,20,18,48,18,22,6,68,40,30,60,45,72
35,55,48,52,55,47,85,50,58,30,45,45,55,48,20,55,45,30,82,70,32,50,50,6,22,30,8,12,4,82,30,30,45,38,45
36,70,58,52,74,48,82,42,60,60,52,52,52,78,15,55,40,30,88,70,40,62,58,8,45,38,8,12,4,66,35,30,62,45,35
37,80,70,20,60,4,20,40,55,35,45,35,65,65,75,20,30,12,25,65,88,65,50,4,5,10,5,6,2,96,25,25,35,45,35
38,76,55,55,66,48,84,58,70,72,60,65,48,74,8,40,40,27,38,70,45,62,45,3,6,10,5,7,2,96,35,25,70,55,55
39,78,52,35,60,38,12,60,62,88,60,75,50,62,85,25,40,22,75,70,55,45,55,4,8,15,5,8,3,94,35,30,52,50,45
40,78,55,58,70,52,88,58,70,78,62,70,50,78,8,45,35,30,60,72,40,62,45,4,12,18,6,10,3,92,30,22,72,52,45
41,55,45,52,50,45,82,50,48,62,45,58,58,40,25,55,55,30,80,60,35,48,45,6,22,25,10,12,4,82,30,30,42,40,50
42,78,62,45,70,42,12,52,60,60,55,58,55,72,60,30,25,55,90,72,55,45,60,15,20,60,40,30,60,22,30,25,58,52,48
43,82,63,40,68,42,12,55,65,90,62,82,58,72,88,30,30,25,82,75,62,55,60,5,15,25,6,10,3,90,40,22,62,52,45
44,68,52,42,60,26,76,52,62,62,55,55,50,60,20,55,45,40,92,62,55,45,52,88,10,22,40,25,4,10,40,30,50,45,58
45,66,58,52,60,32,79,52,62,68,55,66,57,60,12,45,30,72,85,68,52,35,60,4,8,15,12,10,93,5,25,25,50,48,45
46,76,74,55,72,26,79,40,65,85,55,78,60,80,20,40,25,28,85,76,68,66,55,8,20,22,8,10,4,88,40,30,65,45,45
47,82,74,25,70,8,15,35,60,78,55,70,65,72,78,25,25,25,45,75,88,62,52,8,15,25,8,12,4,88,30,20,40,40,40
48,63,40,52,70,66,88,58,60,72,55,70,52,55,20,45,55,35,55,72,25,55,60,6,40,35,8,12,5,70,30,25,52,42,40
49,68,62,55,65,26,82,45,62,62,55,60,55,58,20,48,32,40,92,68,55,45,50,10,82,35,12,15,8,35,40,25,52,45,45
