stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,78,58,45,75,55,25,42,60,78,55,68,52,72,12,30,30,32,72,72,48,55,58,95,5,8,15,12,2,8,30,30,62,45,40
24,70,45,62,72,82,88,55,60,55,50,50,52,75,15,45,35,30,12,65,25,72,45,3,8,10,4,6,2,96,25,20,65,55,40
31,45,32,55,48,68,60,55,50,25,40,45,55,35,45,55,45,30,62,50,20,42,55,6,15,20,8,15,5,85,25,40,35,35,60
40,78,55,55,68,55,88,58,70,78,60,70,50,75,8,45,38,28,62,70,40,62,45,5,12,18,5,8,3,93,40,22,70,50,45
55,76,55,35,62,16,62,52,65,82,60,70,55,60,18,38,48,22,76,68,65,55,52,6,10,15,6,8,3,94,40,32,52,45,62
60,72,62,25,60,5,20,40,60,30,50,35,60,55,88,25,30,15,40,55,82,60,50,5,8,15,6,8,3,93,30,25,35,40,60
64,82,72,40,72,42,8,45,62,88,60,80,62,78,95,25,20,33,70,78,62,58,58,8,22,52,15,20,8,68,35,22,66,52,45
67,58,62,62,62,33,88,42,62,20,45,35,52,65,20,42,30,32,85,65,45,50,45,12,45,42,15,20,5,68,35,25,52,35,45
68,76,52,42,60,34,76,52,62,85,55,72,50,52,18,32,48,25,30,68,50,50,48,3,6,12,5,8,2,96,40,25,55,48,58
71,78,65,45,65,30,82,52,62,95,60,88,62,58,20,25,35,45,92,78,60,45,60,25,35,72,35,35,20,35,40,30,62,45,62
77,78,55,45,63,47,76,45,65,92,60,82,55,62,25,35,45,28,75,75,45,55,55,4,8,12,5,8,3,94,40,30,62,50,55
89,82,70,25,65,16,8,42,60,92,60,82,68,80,88,25,30,20,62,75,85,65,58,45,12,25,20,15,3,65,30,25,50,45,40
97,82,62,35,70,38,12,45,65,88,60,75,55,70,92,25,30,20,40,75,60,55,60,5,8,15,4,8,3,95,40,25,60,45,45
102,80,48,40,72,68,12,45,60,70,58,60,50,68,70,30,42,26,68,72,40,58,60,5,10,15,5,10,3,92,25,30,58,55,45
108,65,62,40,63,27,12,42,58,22,45,35,52,60,95,30,25,40,78,58,58,45,58,32,25,62,40,38,18,40,30,30,48,42,45
159,72,62,55,65,40,88,45,65,62,55,60,55,48,20,45,35,35,88,68,50,48,58,6,35,48,12,18,5,72,40,28,55,40,72
175,52,58,52,62,26,20,40,55,12,45,30,55,55,75,45,32,20,35,70,52,55,58,8,12,18,8,12,4,93,30,35,42,35,35
185,68,58,45,65,38,20,45,60,55,50,55,50,60,60,40,35,35,78,65,52,50,58,15,35,50,20,25,12,60,40,30,55,45,55
200,55,32,62,50,68,92,68,55,35,45,40,62,32,45,40,45,38,55,60,22,30,42,8,30,35,15,25,6,75,25,18,35,45,82
210,65,52,45,60,35,82,45,62,55,50,48,45,48,20,45,45,32,80,60,42,48,52,6,40,35,8,12,4,72,30,25,48,40,58
214,78,62,30,65,12,12,45,60,70,55,60,58,55,70,40,35,18,25,68,78,55,52,4,5,10,4,6,2,96,30,25,45,45,55
219,82,72,35,70,32,8,40,60,88,60,80,62,70,92,25,22,18,30,75,72,62,60,3,6,12,4,5,2,96,40,25,60,45,62
238,78,52,38,65,55,12,55,65,70,60,60,48,62,88,25,35,28,65,65,45,50,55,8,15,22,8,12,4,88,40,28,55,55,45
245,80,58,35,65,33,10,55,65,85,60,75,55,65,90,25,35,20,55,70,60,55,60,3,6,12,4,6,2,95,40,25,55,50,55
248,78,55,45,65,42,82,55,65,85,60,75,50,60,15,35,45,30,70,70,45,55,55,5,20,22,8,12,4,88,40,25,62,45,65
260,78,70,40,68,33,12,45,62,92,60,85,65,76,70,30,22,48,90,78,68,45,60,25,25,75,40,40,20,25,30,25,60,52,65
278,72,40,38,62,62,32,42,60,42,52,38,45,50,35,33,45,26,42,62,32,48,58,8,12,16,7,12,4,93,40,40,48,48,58
282,58,52,45,62,35,22,50,55,25,45,40,50,60,20,40,40,25,62,65,45,52,60,10,18,25,8,12,4,85,30,42,47,38,35
287,52,30,55,60,62,88,65,62,20,45,25,40,48,12,40,60,32,62,55,15,45,40,8,20,25,10,15,5,88,30,22,40,45,45
295,74,52,42,62,42,76,52,65,80,60,68,48,60,22,38,48,26,68,66,48,55,52,4,8,14,5,8,3,94,45,30,58,50,48
297,72,48,38,60,27,55,42,60,92,55,82,55,50,30,32,55,30,88,78,55,45,62,10,30,40,12,15,5,72,40,45,52,42,48
299,55,28,45,60,62,25,58,60,15,45,25,40,42,55,30,55,42,72,55,18,35,50,12,35,62,20,35,10,50,30,40,35,50,38
313,72,60,55,63,42,84,55,65,80,58,72,55,62,20,45,35,32,82,70,50,55,52,6,30,45,12,15,5,72,40,25,62,45,50
315,72,62,48,68,40,84,42,62,74,55,65,52,78,15,45,32,30,78,70,50,62,52,8,22,30,8,12,3,82,30,30,62,45,45
322,55,52,60,55,38,82,50,45,15,35,30,62,55,25,40,30,45,75,70,30,35,45,20,40,60,30,55,12,40,25,25,42,45,65
332,74,52,33,62,27,12,55,62,72,58,60,48,45,88,30,45,22,74,62,55,45,60,8,18,25,8,12,4,88,40,33,45,45,40
333,78,62,50,74,38,82,45,68,80,60,72,52,78,15,40,35,22,75,76,52,68,55,4,8,12,4,6,3,94,40,30,70,48,45
352,55,38,62,68,78,88,55,55,15,40,28,50,62,10,40,40,62,35,62,12,45,45,8,45,25,15,18,65,15,20,20,50,55,35
366,72,45,45,68,52,82,58,62,82,60,68,52,48,25,40,62,30,85,70,40,45,55,5,30,35,8,12,4,78,40,25,48,42,42
372,78,62,55,68,42,88,50,65,90,60,82,58,68,12,30,30,45,85,78,55,48,55,10,72,55,20,22,12,40,40,25,62,50,55
378,72,48,32,65,22,42,45,60,62,52,50,50,45,45,45,60,22,55,62,55,52,62,8,12,18,8,12,3,93,40,45,45,42,62
381,70,33,45,62,82,82,60,60,55,55,45,45,55,10,35,55,26,15,60,25,48,42,4,8,12,5,8,3,95,25,20,45,55,50
382,62,55,45,58,45,70,48,55,68,52,60,58,45,62,45,40,30,88,65,48,40,70,8,22,35,12,18,5,80,30,35,42,35,68
389,62,76,48,66,28,10,40,55,20,45,38,65,75,88,40,15,42,88,62,65,50,60,45,40,62,45,40,15,33,30,25,52,42,40
421,82,48,35,78,52,15,42,60,78,58,60,48,62,62,32,58,22,62,72,45,55,65,8,10,15,6,10,3,93,40,40,55,50,45
424,82,40,45,68,74,26,62,65,85,62,72,55,60,20,30,45,23,18,72,40,50,58,5,6,10,5,8,3,96,25,35,58,62,50
430,82,70,25,68,6,35,40,65,88,62,78,65,63,70,25,35,18,70,75,88,60,55,6,10,18,6,10,3,93,40,25,45,45,50
446,62,42,50,72,58,78,55,60,35,45,45,45,60,15,40,55,40,85,65,25,50,50,82,12,20,25,25,4,15,30,25,52,45,35
454,65,85,40,68,24,8,30,55,35,45,50,72,88,92,40,12,18,62,72,80,65,58,95,5,8,15,8,2,8,25,20,52,35,28
457,82,78,35,70,24,8,38,60,85,55,80,68,75,95,25,15,52,80,78,78,45,62,45,20,45,55,35,20,25,30,25,60,50,62
483,76,55,50,62,42,82,58,68,68,60,62,50,58,15,38,40,26,50,66,45,55,50,3,8,12,4,8,2,96,40,22,60,45,58
496,78,45,38,68,33,32,48,60,85,58,72,52,58,25,30,55,22,72,72,52,48,62,8,12,18,8,12,4,92,40,55,52,45,58
501,76,74,40,72,28,12,45,60,62,55,62,63,76,88,32,20,48,92,72,70,50,60,30,20,55,45,30,45,22,32,25,60,50,45
515,62,82,50,65,26,8,33,55,30,48,45,70,80,95,45,15,12,22,70,72,72,58,3,5,10,3,5,2,97,25,25,58,40,35
520,80,45,30,68,42,15,50,62,88,60,70,50,50,85,25,62,28,65,70,48,45,62,5,8,12,5,8,3,93,40,35,50,50,70
527,78,55,40,68,45,15,55,65,80,60,72,50,62,85,25,32,28,78,70,52,50,55,8,20,30,10,15,4,85,40,30,60,52,45
530,78,55,42,66,44,16,55,65,85,60,76,55,65,45,32,35,25,55,72,55,55,60,4,8,14,5,8,3,94,40,30,60,48,45
552,72,65,35,68,15,62,38,62,58,55,55,58,55,40,45,35,28,78,65,72,58,55,8,20,28,10,15,4,85,40,30,45,40,50
559,68,74,40,70,26,12,33,55,22,45,35,62,63,88,33,20,25,76,60,66,58,60,15,15,22,10,12,3,85,32,25,52,40,45
594,62,35,42,62,58,32,48,60,35,45,33,42,50,45,32,48,28,70,55,25,45,55,12,18,20,8,14,4,86,30,45,45,45,40
599,72,48,40,60,52,25,58,55,62,45,55,52,55,45,40,35,40,75,60,42,30,40,20,75,35,18,25,8,40,25,25,42,68,70
606,58,60,58,60,38,88,45,60,40,50,48,55,42,20,55,30,40,88,68,45,45,55,8,40,52,15,20,6,65,35,25,48,35,72
612,82,66,30,70,14,22,35,60,90,60,78,62,72,55,30,38,28,55,78,78,60,55,8,15,25,10,12,4,88,30,25,50,48,72
619,72,68,30,60,4,55,40,55,65,50,70,62,62,20,40,35,16,62,72,88,60,50,8,12,18,8,12,3,93,30,25,35,40,40
622,72,42,40,62,62,45,48,58,85,55,72,50,58,25,35,45,27,42,70,35,52,58,5,8,12,5,8,3,94,35,45,55,50,48
626,70,52,42,68,45,22,48,60,35,50,38,48,58,45,30,35,32,82,62,45,45,58,88,10,15,25,22,4,15,35,30,50,42,52
631,60,40,33,55,22,25,55,60,20,45,28,45,45,80,35,50,25,70,50,42,40,55,8,10,15,8,12,3,92,30,40,35,40,40
656,62,42,40,70,42,78,50,60,35,48,35,45,40,20,40,68,28,72,60,33,52,60,8,32,25,8,12,4,82,40,32,42,40,35
657,82,78,45,72,38,8,45,60,93,60,88,72,85,92,25,12,55,92,80,72,60,68,8,22,52,30,22,68,20,30,20,65,55,40
683,68,55,45,60,38,76,48,62,55,52,55,55,45,25,52,45,27,60,60,48,50,65,8,15,20,8,12,4,90,40,40,48,40,78
706,76,48,35,72,52,15,45,60,68,55,55,50,58,85,40,55,20,72,65,45,50,65,6,10,15,5,10,3,93,40,40,52,48,45
718,68,66,25,62,24,8,32,55,25,45,30,58,65,92,25,30,13,22,40,65,62,62,5,6,10,4,6,2,96,30,30,45,42,55
719,82,48,40,68,72,12,52,62,82,62,72,50,62,70,25,32,23,15,70,42,55,55,3,5,8,3,6,2,97,30,25,60,55,60
721,82,72,25,70,8,20,35,65,90,60,82,62,72,72,25,30,32,55,78,90,55,52,18,20,45,20,22,8,70,25,20,45,45,70
747,78,68,25,60,4,45,45,60,60,55,58,62,60,30,30,35,20,45,72,90,60,50,8,15,20,8,10,3,90,25,25,35,45,35
758,78,68,48,72,30,78,45,62,85,60,78,58,78,20,40,32,28,85,78,60,65,58,5,40,35,8,12,4,78,40,30,68,45,45
768,76,62,40,66,33,12,52,60,72,55,66,55,66,78,35,30,20,62,68,60,58,55,4,8,14,5,8,3,95,40,25,58,50,45
774,68,52,48,60,52,82,52,62,72,55,65,50,55,20,55,42,30,38,68,42,52,50,4,8,14,5,8,3,94,40,28,55,45,55
784,70,52,45,58,55,72,52,55,85,50,75,62,48,72,42,52,22,28,70,45,55,65,3,8,12,6,8,2,96,30,35,52,45,62
794,74,70,32,65,16,8,42,60,68,55,62,62,60,88,40,30,35,72,70,82,55,55,62,25,45,45,32,8,35,30,22,48,45,45
804,78,38,40,60,55,45,62,62,88,60,75,50,55,12,30,55,30,66,70,40,42,52,5,8,14,6,10,3,93,30,48,52,55,50
810,78,62,45,70,34,78,45,65,75,60,68,50,70,20,35,40,25,68,72,55,55,55,8,15,20,8,12,3,92,45,25,62,45,50
817,82,72,25,68,5,20,45,62,85,60,75,68,62,70,30,30,35,85,78,92,50,50,92,8,15,30,20,3,8,25,20,40,45,65
820,68,47,35,72,36,15,42,60,25,45,30,45,50,88,30,55,30,75,55,42,50,65,8,22,28,8,12,4,85,40,40,42,38,35
849,78,40,48,68,72,88,58,65,78,60,65,45,62,12,35,55,24,28,68,30,55,45,3,6,8,3,5,2,96,30,22,62,58,55
877,62,48,50,58,44,82,48,60,45,50,42,45,55,18,45,45,28,55,58,35,55,50,6,15,18,8,12,4,92,40,30,52,45,52
884,62,52,55,58,45,85,50,62,55,50,55,48,45,12,48,40,42,72,65,38,40,48,10,40,62,22,30,10,55,30,25,48,45,72
891,78,66,35,72,23,8,55,62,92,60,82,62,80,85,25,25,27,68,78,70,62,62,12,20,55,15,20,5,70,30,22,60,50,40
905,78,55,40,70,42,25,45,60,70,55,60,52,58,12,42,40,25,72,70,52,50,65,8,15,20,8,12,4,88,40,50,55,45,58
907,82,62,32,70,22,10,45,65,92,60,82,60,65,88,20,40,26,64,78,70,55,60,6,8,18,6,10,3,92,40,25,58,50,65
915,76,68,38,72,38,12,42,60,60,55,55,58,76,88,35,22,32,82,70,62,55,60,94,6,10,22,14,2,8,30,25,58,45,50
921,78,52,33,74,30,30,48,60,82,55,65,50,68,65,30,55,26,92,72,55,48,60,93,6,9,20,12,2,8,40,32,52,42,40
927,72,55,45,72,38,78,50,65,62,55,52,45,60,15,45,55,28,75,65,45,55,55,5,10,15,5,8,3,93,45,30,52,40,42
930,58,38,55,70,55,84,60,60,35,45,48,45,58,15,45,55,30,80,62,22,58,52,8,35,28,8,12,5,78,30,25,52,42,30
