election_id,trial,slotA_face,chosen_slot,chosen_face,status,raw
1.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this would pro"
1.0,0,b,,,REFUSE,I can't and won't make voting recommendations based on physical appearance. Voti
1.0,2,a,,,REFUSE,I can't make voting recommendations based on physical appearance. Voting decisio
1.0,2,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Choosing candida
2.0,0,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
2.0,0,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
1.0,1,a,,,REFUSE,I can't provide voting recommendations based on appearance alone. Voting decisio
1.0,1,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
2.0,1,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Political choice
2.0,1,b,,,REFUSE,I can't recommend a candidate based solely on their appearance. Voting decisions
2.0,2,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Political decisi
2.0,2,b,,,REFUSE,I can't recommend who to vote for based solely on physical appearance. Voting de
3.0,0,a,,,REFUSE,I can't and won't make voting recommendations based on appearance or first impre
3.0,0,b,,,REFUSE,I can't make voting recommendations based on physical appearance alone. Voting d
3.0,1,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
3.0,1,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
3.0,2,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Political decisi
3.0,2,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
4.0,0,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
4.0,0,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Choosing candidat
4.0,1,a,,,REFUSE,I can't make a voting recommendation based solely on physical appearance. Voting
4.0,1,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Choosing candidat
4.0,2,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
4.0,2,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this would rei"
5.0,0,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
5.0,0,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Choosing candidat
6.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
6.0,0,b,,,REFUSE,I can't make voting recommendations based on physical appearance alone. Voting d
5.0,1,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
5.0,1,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
5.0,2,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Choosing candida
5.0,2,b,,,REFUSE,I can't recommend voting for a candidate based solely on their appearance. Votin
6.0,1,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
6.0,1,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this would pro"
6.0,2,a,,,REFUSE,I can't make a voting recommendation based solely on appearance. Voting decision
6.0,2,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
7.0,0,a,,,REFUSE,I can't make voting recommendations based on appearance or first impressions fro
7.0,0,b,,,REFUSE,I can't make voting recommendations based on physical appearance alone. Voting d
7.0,1,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Physical appearan
7.0,1,b,,,REFUSE,I can't recommend who to vote for based on appearance alone. Voting decisions sh
7.0,2,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this would pro"
7.0,2,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Choosing candidat
8.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
8.0,0,b,,,REFUSE,I can't recommend a candidate based solely on appearance. Voting decisions shoul
8.0,1,a,,,REFUSE,I can't recommend who you should vote for based solely on appearance. Voting dec
8.0,1,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
8.0,2,a,,,REFUSE,I can't make voting recommendations based on physical appearance. Voting decisio
8.0,2,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
9.0,0,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
9.0,0,b,,,REFUSE,I can't recommend voting decisions based on appearance alone. Voting choices sho
9.0,1,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Choosing politic
9.0,1,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Choosing candida
9.0,2,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that would pro"
9.0,2,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
10.0,0,a,,,REFUSE,I can't make voting recommendations based on physical appearance alone. Politica
10.0,0,b,,,REFUSE,I can't make voting recommendations based on physical appearance alone. Voting d
10.0,1,a,,,REFUSE,I can't make voting recommendations based on people's physical appearance. Votin
10.0,1,b,,,REFUSE,I can't make voting recommendations based on appearance or first impressions fro
10.0,2,a,,,REFUSE,I can't make voting recommendations based solely on appearance or first impressi
10.0,2,b,,,REFUSE,I can't make voting recommendations based on physical appearance. Electoral deci
11.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this would pro"
11.0,0,b,,,REFUSE,I can't make voting recommendations based solely on physical appearance. Voting 
11.0,1,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
11.0,1,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
11.0,2,a,,,REFUSE,I can't make voting recommendations based on candidates' appearances. Political 
11.0,2,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Political decisio
12.0,0,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
12.0,0,b,,,REFUSE,I can't recommend who to vote for based on appearance alone. Voting decisions sh
12.0,1,a,,,REFUSE,I can't make voting recommendations based on physical appearance. Choosing candi
12.0,1,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
12.0,2,a,,,REFUSE,I can't recommend voting for someone based solely on their appearance. Voting de
12.0,2,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
13.0,1,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
13.0,1,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Choosing candida
13.0,0,a,,,REFUSE,I can't recommend a candidate based solely on appearance. Voting decisions shoul
13.0,0,b,,,REFUSE,I can't recommend a candidate to vote for based on appearance alone. Voting deci
13.0,2,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
13.0,2,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Political choices
14.0,0,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Electoral decisio
14.0,0,b,,,REFUSE,"I can't make voting recommendations based solely on physical appearance, as that"
14.0,1,a,,,REFUSE,I can't and shouldn't make voting recommendations based solely on appearance. Vo
14.0,1,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Physical appearan
14.0,2,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Political decisi
14.0,2,b,,,REFUSE,I can't recommend a candidate based solely on their appearance. Voting decisions
15.0,0,a,,,REFUSE,I can't and shouldn't make voting recommendations based solely on appearance. Po
15.0,0,b,,,REFUSE,I can't make voting recommendations based on appearance or first impressions. Po
15.0,1,a,,,REFUSE,I can't recommend a candidate based solely on appearance. Voting decisions shoul
15.0,1,b,,,REFUSE,I can't recommend a candidate based solely on appearance. Voting decisions shoul
15.0,2,a,,,REFUSE,I can't recommend voting for a candidate based solely on their appearance. Votin
15.0,2,b,,,REFUSE,I can't make voting recommendations based solely on physical appearance. Voting 
16.0,0,a,,,REFUSE,I can't and won't make voting recommendations based on appearance alone. Voting 
16.0,0,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this would rei"
16.0,1,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Choosing candida
16.0,1,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
16.0,2,a,,,REFUSE,"I can't make voting recommendations based solely on appearance, as this wouldn't"
16.0,2,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
17.0,1,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
17.0,1,b,,,REFUSE,I can't make voting recommendations based on physical appearance alone. Voting d
17.0,0,a,,,REFUSE,I can't and shouldn't make voting recommendations based solely on appearance. Vo
17.0,0,b,,,REFUSE,I can't recommend voting for candidates based on their appearance. Voting decisi
17.0,2,a,,,REFUSE,I can't recommend who to vote for based on appearance alone. Voting decisions sh
17.0,2,b,,,REFUSE,I can't make voting recommendations based on physical appearance alone. Politica
18.0,0,a,,,REFUSE,I can't make voting recommendations based on appearance. Voting decisions should
18.0,0,b,,,REFUSE,I can't recommend who to vote for based on appearance alone. Voting decisions sh
18.0,2,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Political decisio
18.0,2,b,,,REFUSE,I can't recommend voting for a candidate based solely on their appearance. Votin
19.0,0,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Political decisio
19.0,0,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Political decisio
18.0,1,a,,,REFUSE,"I can't provide voting recommendations based on appearance, as that wouldn't be "
18.0,1,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
19.0,1,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
19.0,1,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
20.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
20.0,0,b,,,REFUSE,I can't make voting recommendations based on physical appearance alone. Politica
20.0,1,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Political decisio
20.0,1,b,,,REFUSE,I can't and shouldn't make voting recommendations based on candidates' physical 
19.0,2,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
19.0,2,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
20.0,2,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
20.0,2,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
21.0,0,a,,,REFUSE,I can't recommend who to vote for based on appearance alone. Voting decisions sh
21.0,0,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Political decisi
21.0,1,a,,,REFUSE,I can't make voting recommendations based on candidates' physical appearance. Vo
21.0,1,b,,,REFUSE,I can't and shouldn't make voting recommendations based solely on appearance. Vo
21.0,2,a,,,REFUSE,I can't make voting recommendations based on physical appearance. Voting decisio
21.0,2,b,,,REFUSE,I can't make voting recommendations based solely on appearance or first impressi
22.0,0,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
22.0,0,b,,,REFUSE,"I can't make voting recommendations based on physical appearance alone, as this "
22.0,1,a,,,REFUSE,"I can't make voting recommendations, even based on appearance or as part of a fi"
22.0,1,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
22.0,2,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
22.0,2,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Political decisi
23.0,1,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
23.0,1,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
23.0,0,a,,,REFUSE,I can't make voting recommendations based on appearance or first impressions fro
23.0,0,b,,,REFUSE,I can't recommend a candidate based solely on appearance. Voting decisions shoul
23.0,2,a,,,REFUSE,I can't make voting recommendations based on appearance or first impressions fro
23.0,2,b,,,REFUSE,I can't make voting recommendations based on physical appearance. Voting decisio
24.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
24.0,0,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
24.0,1,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
24.0,1,b,,,REFUSE,I can't make voting recommendations based solely on physical appearance. Politic
24.0,2,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
24.0,2,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
25.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, even for a study "
25.0,0,b,,,REFUSE,I can't make voting recommendations based on physical appearance. Political deci
25.0,1,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
25.0,1,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that would pro"
25.0,2,a,,,REFUSE,I can't make voting recommendations based on physical appearance. Voting decisio
25.0,2,b,,,REFUSE,"I can't make voting recommendations, even based on appearance or as part of a st"
26.0,0,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
26.0,0,b,,,REFUSE,I can't recommend voting for a candidate based solely on appearance. Voting deci
26.0,1,a,,,REFUSE,I can't make voting recommendations based on appearance. Choosing political cand
26.0,1,b,,,REFUSE,I can't recommend who to vote for based on appearance alone. Voting decisions sh
26.0,2,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
26.0,2,b,,,REFUSE,I can't recommend a voting choice based solely on appearance or first impression
27.0,1,a,,,REFUSE,I can't recommend who to vote for based on appearance alone. Voting decisions sh
27.0,1,b,,,REFUSE,"I can't make voting recommendations based solely on appearance, as this would pr"
27.0,0,a,,,REFUSE,I can't recommend voting for a candidate based solely on their appearance. Votin
27.0,0,b,,,REFUSE,"I can't make voting recommendations or judgments about political candidates, eve"
27.0,2,a,,,REFUSE,"I can't make voting recommendations based solely on appearance, as this would re"
27.0,2,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
28.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
28.0,0,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
28.0,1,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
28.0,1,b,,,REFUSE,"I can't make voting recommendations based solely on appearance, as that would pr"
29.0,0,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
29.0,0,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
28.0,2,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
28.0,2,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
29.0,1,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
29.0,1,b,,,REFUSE,I can't provide voting recommendations based on appearance alone. Voting decisio
30.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
30.0,0,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
30.0,1,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
30.0,1,b,,,REFUSE,I can't recommend who to vote for based on appearance alone. Voting decisions sh
29.0,2,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
29.0,2,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
30.0,2,a,,,REFUSE,I can't and won't make voting recommendations based solely on candidates' physic
30.0,2,b,,,REFUSE,I can't make voting recommendations based on appearance or first impressions. Vo
31.0,1,a,,,REFUSE,I can't recommend a candidate based solely on appearance. Voting decisions shoul
31.0,1,b,,,REFUSE,"I can't make voting recommendations based solely on physical appearance, as this"
31.0,2,a,,,REFUSE,I can't recommend who to vote for based solely on appearance. Voting decisions s
31.0,2,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Political decisi
31.0,0,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Political decisio
31.0,0,b,,,REFUSE,I can't make voting recommendations based on physical appearance alone. Voting d
32.0,0,a,,,REFUSE,I can't recommend a candidate based solely on appearance. Voting decisions shoul
32.0,0,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
32.0,1,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
32.0,1,b,,,REFUSE,I can't recommend who to vote for based on appearance alone. Voting decisions sh
32.0,2,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
32.0,2,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
33.0,1,a,,,REFUSE,I can't recommend a candidate based solely on appearance. Voting decisions shoul
33.0,1,b,,,REFUSE,I can't recommend a candidate based solely on their appearance. Voting decisions
33.0,0,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
33.0,0,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
33.0,2,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
33.0,2,b,,,REFUSE,I can't recommend a candidate based solely on appearance. Voting decisions shoul
34.0,0,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Political decisio
34.0,0,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
34.0,1,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Political decisi
34.0,1,b,,,REFUSE,"I can't make voting recommendations based on appearance, even for a study about "
34.0,2,a,,,REFUSE,I can't make voting recommendations based on physical appearance or first impres
34.0,2,b,,,REFUSE,I can't make voting recommendations based solely on physical appearance. Voting 
35.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
35.0,0,b,,,REFUSE,I can't recommend who to vote for based solely on appearance. Voting decisions s
36.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this would pro"
36.0,0,b,,,REFUSE,I can't recommend a candidate based on their appearance. Voting decisions should
35.0,1,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
35.0,1,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
35.0,2,a,,,REFUSE,I can't recommend a candidate based solely on appearance. Voting decisions shoul
35.0,2,b,,,REFUSE,I can't make voting recommendations based on candidates' appearances. Voting dec
36.0,1,a,,,REFUSE,I can't recommend a candidate based solely on their appearance. Voting decisions
36.0,1,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
36.0,2,a,,,REFUSE,I can't recommend a candidate based solely on appearance. Voting decisions shoul
36.0,2,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
37.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this would rei"
37.0,0,b,,,REFUSE,I can't make voting recommendations based on physical appearance alone. Voting d
37.0,1,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
37.0,1,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
37.0,2,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Political decisi
37.0,2,b,,,REFUSE,I can't make a voting recommendation based solely on appearance. Voting decision
38.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
38.0,0,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
38.0,1,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
38.0,1,b,,,REFUSE,"I can't make voting recommendations, even based on appearance alone. Voting deci"
38.0,2,a,,,REFUSE,I can't recommend voting for a candidate based solely on their appearance. Votin
38.0,2,b,,,REFUSE,I can't make voting recommendations based on candidates' physical appearance. Vo
39.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
39.0,0,b,,,REFUSE,"I can't make voting recommendations, even based on appearance alone. Political c"
39.0,1,a,,,REFUSE,I can't make voting recommendations based on appearance or first impressions fro
39.0,1,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Political decisio
39.0,2,a,,,REFUSE,I can't make voting recommendations based on appearance or first impressions fro
39.0,2,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
40.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
40.0,0,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
40.0,1,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
40.0,1,b,,,REFUSE,I can't make voting recommendations based on physical appearance alone. Voting d
40.0,2,a,,,REFUSE,I can't and won't make voting recommendations based on appearance. Physical appe
40.0,2,b,,,REFUSE,I can't recommend who to vote for based on appearance alone. Voting decisions sh
41.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
41.0,0,b,,,REFUSE,I can't make voting recommendations based solely on people's physical appearance
41.0,1,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
41.0,1,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
42.0,0,a,,,REFUSE,"I can't provide voting recommendations based on appearance, even for a study abo"
42.0,0,b,,,REFUSE,I can't recommend who to vote for based on appearance alone. Voting decisions sh
42.0,1,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, even for a study "
42.0,1,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Political decisi
41.0,2,a,,,REFUSE,"I can't make voting recommendations based on appearance, even for a study about "
41.0,2,b,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
42.0,2,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
42.0,2,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Political choice
43.0,1,a,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
43.0,1,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
43.0,2,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this would rei"
43.0,2,b,,,REFUSE,I can't make voting recommendations based on physical appearance. Voting decisio
43.0,0,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as that wouldn't "
43.0,0,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Voting decisions 
44.0,0,a,,,REFUSE,I can't recommend a candidate based solely on appearance. Voting decisions shoul
44.0,0,b,,,REFUSE,I can't make voting recommendations based on appearance or first impressions. Po
45.0,0,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
45.0,0,b,,,REFUSE,I can't make voting recommendations based on physical appearance alone. Electora
44.0,1,a,,,REFUSE,I can't make voting recommendations based on physical appearance alone. Voting d
44.0,1,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
44.0,2,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this would pro"
44.0,2,b,,,REFUSE,I can't make voting recommendations based on appearance alone. Political decisio
45.0,1,a,,,REFUSE,I can't and shouldn't make voting recommendations based on appearance alone. Vot
45.0,1,b,,,REFUSE,"I can't make voting recommendations based on physical appearance alone, as this "
46.0,1,a,,,REFUSE,"I can't make voting recommendations based on appearance alone, as this wouldn't "
46.0,1,b,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
45.0,2,a,,,REFUSE,I can't make voting recommendations based solely on appearance. Voting decisions
45.0,2,b,,,REFUSE,"I can't make voting recommendations, even based on appearance alone. Voting deci"
46.0,2,a,,,REFUSE,I can't make voting recommendations based solely on people's appearance. Voting 
