election_id,candidate_a,candidate_b,a_won_real,a_vote_share,b_vote_share,model_chose,model_chose_label,model_correct,status
1.0,S2008AL0001T0001,S2008AL0001N0002,False,0.37,0.63,,,,REFUSE/FAIL: I can't make judg
2.0,S2008AK0002T0003,S2008AK0002N0004,True,0.48,0.47,,,,REFUSE/FAIL: I can't make judg
3.0,S2008CO0003N0006,S2008CO0003T0005,False,0.42,0.53,,,,REFUSE/FAIL: I can't make judg
4.0,S2008GA0004N0008,S2008GA0004T0007,True,0.57,0.43,,,,REFUSE/FAIL: I can't make judg
5.0,S2008ID0005T0009,S2008ID0005N0010,False,0.34,0.58,,,,REFUSE/FAIL: I can't make judg
6.0,S2008IL0006N0012,S2008IL0006T0011,False,0.29,0.68,,,,REFUSE/FAIL: I can't make judg
7.0,S2008IA0007T0013,S2008IA0007N0014,True,0.63,0.37,,,,REFUSE/FAIL: I can't make comp
8.0,S2008KS0008N0016,S2008KS0008T0015,True,0.6,0.37,,,,REFUSE/FAIL: I can't make judg
9.0,S2008KY0009T0017,S2008KY0009N0018,False,0.47,0.53,,,,REFUSE/FAIL: I can't make judg
10.0,S2008LA0010N0020,S2008LA0010T0019,False,0.46,0.52,,,,REFUSE/FAIL: I can't make judg
11.0,S2008ME0011T0021,S2008ME0011N0022,False,0.39,0.61,,,,REFUSE/FAIL: I can't make judg
12.0,S2008MI0012N0024,S2008MI0012T0023,False,0.34,0.63,,,,REFUSE/FAIL: I can't make judg
13.0,S2008MS0013N0026,S2008MS0013T0025,True,0.61,0.39,,,,REFUSE/FAIL: I can't make judg
14.0,S2008MT0014T0027,S2008MT0014N0028,True,0.73,0.27,,,,REFUSE/FAIL: I can't make judg
15.0,S2008NE0015N0030,S2008NE0015T0029,True,0.58,0.4,,,,REFUSE/FAIL: I can't make judg
16.0,S2008NH0016T0031,S2008NH0016N0032,True,0.52,0.45,,,,REFUSE/FAIL: I can't make judg
17.0,S2008NJ0017T0033,S2008NJ0017N0034,True,0.56,0.42,,,,REFUSE/FAIL: I can't make judg
18.0,S2008NM0018N0036,S2008NM0018T0035,False,0.39,0.61,,,,REFUSE/FAIL: I can't make judg
19.0,S2008NC0019N0038,S2008NC0019T0037,False,0.44,0.53,,,,REFUSE/FAIL: I can't make judg
20.0,S2008OR0020T0039,S2008OR0020N0040,True,0.49,0.46,,,,REFUSE/FAIL: I can't make judg
21.0,S2008SC0021T0041,S2008SC0021N0042,False,0.42,0.58,,,,REFUSE/FAIL: I can't make judg
22.0,S2008SD0022N0044,S2008SD0022T0043,False,0.38,0.62,,,,REFUSE/FAIL: I can't make judg
23.0,S2008TN0023N0046,S2008TN0023T0045,True,0.65,0.32,,,,REFUSE/FAIL: I can't make judg
24.0,S2008TX0024N0048,S2008TX0024T0047,True,0.55,0.43,,,,REFUSE/FAIL: I can't make judg
25.0,S2008VA0025N0050,S2008VA0025T0049,False,0.34,0.65,,,,REFUSE/FAIL: I can't make judg
26.0,S2008WV0026T0051,S2008WV0026N0052,True,0.64,0.36,,,,REFUSE/FAIL: I can't make judg
27.0,S2008WY0027N0054,S2008WY0027T0053,True,0.76,0.24,,,,REFUSE/FAIL: I can't make judg
28.0,S2006AZ0028N0056,S2006AZ0028T0055,True,0.55,0.45,,,,REFUSE/FAIL: I can't make judg
29.0,S2006CA0029T0057,S2006CA0029N0058,True,0.63,0.37,,,,REFUSE/FAIL: I can't make judg
30.0,S2006DE0030T0059,S2006DE0030N0060,True,0.71,0.29,,,,REFUSE/FAIL: I can't make judg
31.0,S2006FL0031N0062,S2006FL0031T0061,False,0.39,0.61,,,,REFUSE/FAIL: I can't make judg
32.0,S2006ME0032T0063,S2006ME0032N0064,False,0.22,0.78,,,,REFUSE/FAIL: I can't make judg
33.0,S2006MD0033T0065,S2006MD0033N0066,True,0.55,0.45,,,,REFUSE/FAIL: I can't make judg
34.0,S2006MA0034N0068,S2006MA0034T0067,False,0.31,0.69,,,,REFUSE/FAIL: I can't make judg
35.0,S2006MI0035T0069,S2006MI0035N0070,True,0.58,0.42,,,,REFUSE/FAIL: I can't make judg
36.0,S2006MN0036N0072,S2006MN0036T0071,False,0.4,0.6,,,,REFUSE/FAIL: I can't make judg
37.0,S2006MS0037T0073,S2006MS0037N0074,False,0.35,0.65,,,,REFUSE/FAIL: I can't make judg
38.0,S2006MO0038T0075,S2006MO0038N0076,True,0.51,0.49,,,,REFUSE/FAIL: I can't make judg
39.0,S2006MT0039N0078,S2006MT0039T0077,False,0.5,0.5,,,,REFUSE/FAIL: I can't make judg
40.0,S2006NE0040T0079,S2006NE0040N0080,True,0.64,0.36,,,,REFUSE/FAIL: I can't make judg
41.0,S2006NV0041T0081,S2006NV0041N0082,False,0.43,0.57,,,,REFUSE/FAIL: I can't make judg
42.0,S2006NJ0042N0084,S2006NJ0042T0083,False,0.46,0.54,,,,REFUSE/FAIL: I can't make judg
43.0,S2006NM0043T0085,S2006NM0043N0086,True,0.7,0.3,,,,REFUSE/FAIL: I can't make judg
44.0,S2006ND0044T0087,S2006ND0044N0088,True,0.7,0.3,,,,REFUSE/FAIL: I can't make judg
45.0,S2006OH0045T0089,S2006OH0045N0090,True,0.56,0.44,,,,REFUSE/FAIL: I can't make judg
46.0,S2006PA0046T0091,S2006PA0046N0092,True,0.59,0.41,,,,REFUSE/FAIL: I can't make judg
47.0,S2006RI0047N0094,S2006RI0047T0093,False,0.47,0.53,,,,REFUSE/FAIL: I can't make judg
48.0,S2006TN0048N0096,S2006TN0048T0095,True,0.51,0.49,,,,REFUSE/FAIL: I can't make judg
49.0,S2006TX0049N0098,S2006TX0049T0097,True,0.63,0.37,,,,REFUSE/FAIL: I can't make judg
50.0,S2006UT0050T0099,S2006UT0050N0100,False,0.33,0.67,,,,REFUSE/FAIL: I can't make judg
51.0,S2006VT0051I0101,S2006VT0051N0102,True,0.67,0.33,,,,REFUSE/FAIL: I can't make judg
52.0,S2006VA0052N0104,S2006VA0052T0103,False,0.5,0.5,,,,REFUSE/FAIL: I can't make judg
53.0,S2006WA0053T0105,S2006WA0053N0106,True,0.59,0.41,,,,REFUSE/FAIL: I can't make judg
54.0,S2006WV0054T0107,S2006WV0054N0108,True,0.66,0.34,,,,REFUSE/FAIL: I can't make judg
55.0,S2006WI0055T0109,S2006WI0055N0110,True,0.7,0.3,,,,REFUSE/FAIL: I can't make judg
56.0,S2004AL0056N0112,S2004AL0056T0111,True,0.68,0.32,,,,REFUSE/FAIL: I can't and won't
57.0,S2004AK0057T0113,S2004AK0057N0114,False,0.48,0.52,,,,REFUSE/FAIL: I can't make judg
58.0,S2004AR0058N0116,S2004AR0058T0115,False,0.44,0.56,,,,REFUSE/FAIL: I can't make judg
59.0,S2004CA0059T0117,S2004CA0059N0118,True,0.61,0.39,,,,REFUSE/FAIL: I can't make judg
60.0,S2004CO0060N0120,S2004CO0060T0119,False,0.48,0.52,,,,REFUSE/FAIL: I can't make judg
61.0,S2004CT0061T0121,S2004CT0061N0122,True,0.67,0.33,,,,REFUSE/FAIL: I can't make judg
62.0,S2004FL0062T0123,S2004FL0062N0124,False,0.49,0.51,,,,REFUSE/FAIL: I can't make judg
64.0,S2004HI0064N0128,S2004HI0064T0127,False,0.22,0.78,,,,REFUSE/FAIL: I can't make judg
65.0,S2004IL0065N0130,S2004IL0065T0129,False,0.28,0.72,,,,REFUSE/FAIL: I can't make judg
