stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,75,65,35,70,45,15,45,60,80,30,70,50,85,20,10,20,30,45,75,65,60,50,95,5,5,10,5,5,10,50,50,65,50,25
24,68,48,72,78,78,85,58,72,38,52,42,48,88,12,58,15,18,22,76,28,82,50,3,4,5,3,4,2,95,50,50,75,50,25
31,50,40,60,50,70,80,50,65,35,30,55,60,30,45,30,45,25,65,60,25,50,50,10,15,25,10,15,5,85,50,50,40,50,70
40,70,55,60,75,65,85,65,70,80,65,75,45,80,10,25,30,30,70,75,40,65,50,5,5,20,5,5,5,85,50,50,70,50,35
55,75,65,30,60,25,85,50,70,85,30,75,40,60,20,15,45,20,60,75,70,60,50,5,5,10,5,5,5,90,50,50,65,50,80
60,65,72,25,58,8,42,50,65,47,35,50,62,73,62,12,22,18,28,68,78,62,50,12,12,17,8,12,8,83,20,50,30,50,72
64,75,70,35,70,65,15,45,60,85,55,75,55,85,40,10,20,30,60,80,75,60,50,30,15,40,15,15,10,60,50,50,70,50,20
67,65,70,45,65,25,85,50,60,50,30,45,40,80,20,20,25,30,80,70,60,55,50,10,30,40,10,10,10,80,50,50,55,50,30
68,75,65,35,60,35,75,50,60,85,30,70,55,75,25,15,45,20,45,75,65,60,50,5,5,10,5,5,5,85,50,50,60,50,20
71,78,72,35,68,32,85,45,55,92,50,82,75,78,15,18,22,58,85,78,68,50,50,25,35,45,30,15,15,45,0,50,68,50,95
77,75,65,40,65,65,85,50,70,90,30,80,45,75,30,15,35,20,60,80,60,60,50,5,5,10,5,5,5,90,50,50,70,50,45
89,75,70,25,65,25,20,45,60,90,35,80,65,85,40,15,20,25,75,85,80,65,50,75,15,20,15,15,10,35,50,50,65,50,45
97,78,72,25,68,25,15,45,75,82,60,75,55,85,65,10,20,20,25,80,75,65,50,5,5,10,5,5,5,90,50,50,70,50,25
102,75,55,35,75,70,15,45,65,60,25,55,40,85,35,15,25,20,45,75,50,65,50,5,5,15,5,5,5,85,50,50,60,50,25
108,65,75,45,65,25,15,45,60,40,45,50,55,80,60,20,25,45,55,70,70,60,50,40,20,35,25,15,15,45,50,50,60,50,45
159,75,68,40,70,48,87,50,60,80,40,70,45,70,20,15,25,28,80,75,65,60,50,10,30,25,5,5,5,75,50,50,65,50,80
175,58,72,62,67,28,18,48,52,38,42,43,63,78,42,32,28,18,28,73,68,63,50,8,8,12,5,5,5,87,50,50,58,50,37
185,75,70,40,75,25,15,30,60,55,40,60,50,85,40,10,15,45,75,80,70,70,60,15,25,60,10,10,15,40,50,50,65,50,70
200,75,60,65,65,65,85,50,60,80,30,75,65,70,25,15,20,45,65,80,55,45,50,10,65,25,5,10,10,70,0,50,65,55,90
210,72,75,45,70,32,85,50,65,68,30,70,60,80,20,15,25,20,80,75,60,65,50,10,25,20,5,5,5,80,30,40,65,45,70
214,75,65,25,70,15,20,50,55,65,45,55,40,75,40,10,30,15,10,70,70,60,50,5,5,10,5,5,5,85,50,50,20,50,25
219,75,70,30,65,25,15,40,60,80,20,75,50,80,70,15,20,15,25,75,75,60,50,5,5,10,5,5,5,85,50,50,65,50,60
238,75,60,35,70,65,15,55,70,75,45,65,40,75,35,10,20,20,60,75,60,60,50,10,10,15,5,10,10,85,50,50,65,50,70
245,75,70,25,60,28,15,50,65,85,30,70,45,75,30,10,20,20,40,75,75,60,50,5,5,10,5,5,5,85,50,50,65,50,70
248,75,70,40,65,45,85,50,60,85,30,75,45,80,25,15,20,20,70,80,65,60,50,10,20,25,5,5,5,75,50,50,65,50,90
260,75,68,35,55,58,15,45,60,85,30,78,50,82,55,12,18,45,78,72,70,60,50,8,12,78,15,18,10,15,50,50,68,50,65
278,70,55,30,65,70,20,50,60,65,30,55,40,70,25,15,25,20,50,70,55,55,50,5,5,10,5,5,5,85,50,50,60,50,70
282,60,70,45,70,25,15,40,65,35,30,40,65,80,10,25,25,20,55,75,70,60,50,10,10,15,5,10,5,85,0,50,50,50,40
287,55,45,40,65,65,85,60,70,35,30,40,35,70,15,25,45,20,75,65,30,60,50,5,10,10,5,5,5,90,50,50,55,50,60
295,75,60,35,65,60,85,55,70,80,30,75,40,80,10,15,25,25,60,75,65,65,50,5,5,10,5,5,5,85,0,50,70,50,45
297,75,65,30,70,25,25,50,60,85,55,75,65,75,15,10,40,35,80,80,70,60,50,30,25,30,15,15,15,70,50,50,65,50,45
299,68,48,58,72,62,28,58,50,38,50,42,55,42,62,32,48,48,78,68,46,50,50,62,42,46,28,36,22,42,50,50,58,50,42
313,78,68,48,72,62,88,50,63,83,62,77,70,87,32,22,27,32,78,82,67,72,50,8,22,27,8,8,8,83,50,50,73,50,23
315,68,72,58,70,45,82,50,62,78,48,68,58,88,22,38,22,22,72,78,62,72,50,12,12,28,8,8,8,82,50,50,68,50,22
322,68,62,47,58,22,35,50,42,37,30,47,63,72,50,22,27,22,50,73,57,50,50,22,65,27,17,55,17,65,50,50,57,63,62
332,75,70,25,50,18,10,45,60,70,55,65,45,65,40,5,20,15,70,70,75,50,50,5,5,20,5,5,5,85,50,50,60,50,10
333,75,70,45,75,35,85,50,65,85,55,75,45,90,20,15,25,15,75,80,60,70,50,5,5,10,5,5,5,85,0,50,70,50,10
352,72,48,68,78,78,88,52,62,32,50,42,64,82,18,28,22,48,28,76,32,68,50,12,45,35,12,12,18,65,50,50,72,50,28
366,75,60,40,70,45,80,50,60,80,30,70,65,75,30,20,40,40,85,75,65,55,50,30,60,40,15,15,10,50,50,50,65,50,30
372,78,72,40,73,65,87,50,65,88,58,82,60,83,15,20,25,50,82,77,68,65,50,20,55,60,18,18,18,45,50,50,72,50,45
378,70,60,25,65,25,55,50,65,65,40,55,45,35,30,15,50,20,30,75,70,55,50,5,5,10,5,5,5,85,50,50,50,50,90
381,75,45,35,65,80,85,55,70,70,40,60,35,75,0,15,25,20,30,70,50,50,50,5,5,10,5,5,5,90,50,50,60,50,80
382,75,65,35,60,40,75,50,60,80,45,70,50,65,30,15,25,25,75,75,65,50,50,15,20,30,10,15,10,75,50,50,60,50,65
389,62,78,42,58,32,12,28,52,47,33,43,68,83,88,18,17,43,83,73,72,58,50,45,35,55,25,20,12,35,50,50,63,50,47
421,75,60,25,75,30,15,45,70,70,40,55,40,80,40,5,55,15,40,70,65,60,50,5,5,10,5,5,5,85,50,50,65,50,25
424,78,62,38,72,78,18,58,68,83,52,67,42,77,12,8,28,18,22,72,63,62,50,8,7,12,5,8,5,87,50,50,63,52,22
430,75,70,15,50,10,45,42,50,85,50,65,60,75,60,20,30,20,45,75,80,50,50,10,10,15,5,10,5,85,50,50,50,50,25
446,68,50,58,72,68,82,57,60,62,40,60,45,75,18,25,40,32,85,70,35,65,50,90,10,10,10,10,10,15,50,50,60,50,30
454,68,78,32,63,22,12,28,62,57,48,52,68,88,87,12,12,18,62,72,77,62,50,92,7,7,18,7,7,12,50,50,63,50,22
457,78,72,38,68,28,18,48,62,83,60,74,65,78,42,12,22,52,72,77,76,63,50,35,28,65,28,22,18,42,50,50,68,58,62
483,70,62,45,65,48,88,55,70,65,60,70,40,80,25,20,30,15,35,75,45,65,50,5,10,15,5,10,5,90,50,50,60,50,35
496,78,68,32,62,32,28,48,58,82,28,72,48,78,18,22,38,22,58,76,72,58,52,8,12,18,5,8,5,82,50,52,65,48,75
501,75,78,45,75,35,15,45,65,60,55,65,60,85,65,15,10,60,85,80,75,65,50,25,20,40,15,15,45,35,50,50,70,60,20
515,65,75,60,70,25,15,50,60,40,30,55,65,85,70,25,10,15,20,80,70,65,50,5,5,10,5,5,5,90,50,50,65,50,30
520,75,65,25,70,20,15,45,60,85,40,70,50,75,40,5,30,20,40,75,70,60,50,10,10,15,5,5,5,85,50,50,60,50,85
527,75,65,35,60,42,15,45,65,80,30,70,45,75,40,15,25,20,50,75,65,60,50,5,5,20,5,5,5,85,50,50,65,50,25
530,75,70,35,60,60,15,50,65,85,40,75,65,80,40,10,20,25,45,75,70,65,50,5,5,15,5,5,5,85,20,50,65,50,20
552,75,65,30,70,15,65,50,60,65,45,65,40,70,35,15,30,25,65,75,75,60,50,10,10,15,5,5,5,85,50,50,20,50,20
559,70,75,40,60,25,15,45,60,35,50,35,60,80,45,10,15,20,35,75,70,60,50,10,10,15,5,5,5,85,50,50,60,50,60
594,62,48,35,68,72,25,52,58,32,28,42,38,78,35,18,22,22,58,72,45,62,52,28,12,22,8,15,5,78,0,50,58,38,18
599,75,65,25,70,25,15,45,55,80,40,70,60,75,50,10,20,40,50,80,70,50,50,15,65,20,10,10,15,30,50,50,60,70,90
606,60,70,65,70,35,78,50,50,55,30,65,65,70,25,40,20,30,80,80,60,55,50,10,25,30,10,10,10,70,0,50,60,50,75
612,75,70,25,60,20,15,45,60,85,30,75,55,80,40,5,20,25,70,80,75,50,50,30,10,25,5,5,5,70,50,50,65,50,80
619,75,70,15,55,10,70,50,75,65,50,70,45,45,25,15,35,20,50,85,80,65,50,10,10,15,5,10,5,85,50,50,25,50,15
622,78,68,35,72,62,88,48,72,83,42,76,56,87,22,12,23,22,44,82,63,73,50,3,3,7,3,3,3,92,50,50,74,50,8
626,75,60,45,70,68,15,45,50,35,25,40,65,80,30,10,15,35,80,75,55,60,50,90,5,5,10,5,5,10,50,50,65,45,85
631,68,58,22,62,18,28,48,62,48,38,42,58,72,42,12,28,18,52,72,76,58,50,8,8,12,5,8,5,87,32,50,18,50,22
656,68,58,42,72,38,78,50,62,57,48,50,45,72,22,28,38,18,72,73,57,62,50,12,18,18,8,8,8,87,50,50,58,50,22
657,75,82,65,75,35,15,50,40,90,50,80,78,90,70,20,15,45,85,85,80,70,50,20,30,40,25,20,35,45,50,50,70,50,20
683,65,60,45,55,25,80,50,60,55,30,55,45,65,20,25,35,20,70,70,60,50,55,10,15,20,5,10,5,85,10,50,50,50,80
706,75,60,35,70,65,15,45,65,65,40,55,45,75,60,20,35,20,60,70,60,60,50,10,10,15,5,10,5,85,50,50,65,50,35
718,68,77,30,58,28,18,42,62,42,38,32,58,78,48,12,22,18,22,62,72,68,50,8,8,12,5,8,5,88,50,50,58,50,78
719,75,58,38,62,72,18,48,68,82,32,72,45,85,35,15,18,22,18,75,38,68,50,5,8,12,5,8,5,88,50,50,68,50,78
721,85,75,15,70,10,40,45,80,95,50,80,70,80,40,5,20,30,60,85,90,60,50,60,20,40,25,20,15,50,50,50,50,70,85
758,75,72,35,70,25,85,45,60,90,55,75,50,85,20,15,25,30,75,80,65,70,50,30,35,40,10,10,10,70,0,50,65,50,20
768,75,70,30,60,25,15,40,60,80,45,70,45,75,40,15,25,10,25,75,70,65,50,5,5,10,5,5,5,90,50,50,60,50,40
774,75,60,35,65,65,80,45,70,85,25,75,40,80,10,15,25,20,25,80,60,60,50,5,5,10,5,5,5,90,0,50,65,50,40
784,75,70,45,65,65,85,50,40,85,60,80,75,80,75,20,30,20,25,75,65,70,55,5,5,10,5,5,5,85,50,50,70,50,55
794,68,78,28,62,18,12,30,65,60,45,55,68,82,45,12,18,30,72,72,77,72,50,88,8,12,18,8,8,12,0,50,62,50,22
804,75,60,35,65,65,25,60,55,80,45,70,60,70,10,10,25,20,65,75,65,55,50,5,5,10,5,5,5,85,50,50,65,50,20
810,78,72,38,73,37,83,48,67,82,62,74,57,87,22,18,32,18,42,83,68,68,50,8,7,18,5,5,5,87,50,50,68,50,47
