stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,62,58,45,68,48,25,30,55,70,50,60,45,75,10,30,25,25,25,65,45,55,50,90,5,5,10,5,2,5,30,20,50,30,30
24,65,45,60,68,75,90,45,55,45,50,50,55,75,20,40,25,25,10,60,20,75,35,3,5,5,2,3,2,90,50,15,60,40,30
31,45,40,55,55,62,55,45,55,30,40,55,60,40,45,45,40,25,40,55,25,45,50,5,10,15,5,10,3,80,40,25,35,25,55
40,68,58,55,65,48,92,45,65,80,55,65,45,78,15,35,30,15,35,70,30,68,40,3,5,8,2,3,2,88,50,15,62,35,35
55,68,55,30,62,12,35,45,60,85,55,65,45,55,30,30,55,15,80,65,70,55,50,5,10,15,5,5,3,80,50,25,40,35,55
60,60,60,20,55,3,20,40,60,30,45,35,45,40,70,20,30,15,45,55,75,55,40,5,5,10,5,5,3,85,30,20,30,30,55
64,68,65,45,65,42,15,30,60,85,55,70,55,75,80,20,15,35,75,70,55,55,55,5,15,55,5,15,5,45,50,15,55,40,35
67,60,68,55,65,28,90,25,60,30,50,45,55,75,30,35,20,25,90,65,40,55,50,5,40,30,5,5,5,60,50,20,50,30,35
68,68,58,45,60,32,85,40,65,85,55,70,50,60,30,30,45,20,35,65,55,55,50,3,3,5,3,5,2,90,50,20,45,30,45
71,68,62,55,62,32,90,40,60,92,55,78,60,62,20,30,35,45,90,70,55,45,55,5,20,60,15,15,10,30,50,15,50,40,55
77,68,55,45,60,40,85,35,65,90,55,80,55,65,30,40,55,20,25,70,50,60,50,3,5,8,3,5,2,88,50,20,50,40,45
89,68,70,30,60,20,10,35,55,90,50,75,55,75,80,20,30,20,30,65,80,60,55,20,10,30,10,10,5,55,50,15,40,30,30
97,70,68,40,65,38,10,30,60,85,55,70,50,75,80,20,30,15,35,65,60,60,55,3,3,5,2,3,2,90,50,15,45,30,35
102,65,45,40,68,68,15,40,60,60,55,50,45,68,60,30,45,15,30,65,35,60,55,5,5,8,3,5,3,85,30,15,45,35,30
108,55,65,45,60,25,15,30,55,30,45,40,50,55,85,25,25,40,80,55,55,45,55,15,20,55,10,20,5,40,50,20,35,30,35
159,62,60,48,60,35,85,30,55,58,50,55,50,50,35,40,30,35,85,60,45,50,55,5,30,40,5,10,3,70,50,20,45,30,65
175,42,62,58,60,28,15,30,55,15,40,40,55,65,70,45,20,15,35,70,45,55,50,3,5,8,2,5,2,85,50,20,40,30,30
185,62,65,45,60,30,10,30,55,55,50,55,50,60,75,30,25,25,85,60,60,50,55,5,30,45,5,15,5,55,50,20,45,30,55
200,55,40,60,55,58,90,60,55,40,45,50,60,40,55,45,40,35,35,60,25,45,45,5,20,30,5,10,5,65,30,20,35,30,65
210,62,58,45,60,30,85,30,60,55,50,55,45,50,30,40,35,30,80,60,45,50,50,5,30,25,5,5,3,65,50,20,45,35,70
214,65,55,30,60,12,15,40,60,65,55,55,45,50,60,30,40,15,35,60,70,55,50,3,3,5,3,5,3,85,50,20,40,30,40
219,68,70,40,65,32,10,30,55,85,55,70,60,65,80,25,30,15,40,65,70,55,55,3,3,5,3,5,2,90,50,15,45,30,35
238,65,52,40,60,55,15,45,60,70,55,55,45,60,80,25,35,25,45,60,45,50,50,5,10,25,5,10,3,65,50,20,45,40,35
245,68,60,40,65,38,10,40,60,80,55,65,50,65,75,20,35,15,40,65,55,55,55,3,3,5,3,5,2,90,50,20,45,30,55
248,68,55,45,65,42,90,45,60,88,55,70,50,65,15,30,45,20,30,65,40,60,55,5,15,10,5,5,3,85,20,20,45,30,55
260,68,70,40,65,33,8,30,55,90,55,75,60,78,65,25,20,45,90,70,68,55,55,25,15,55,15,20,5,25,30,15,45,30,40
278,62,45,40,60,55,30,35,60,45,55,45,40,55,40,30,40,15,45,55,35,55,60,3,3,5,2,5,2,88,50,30,40,30,55
282,55,58,48,62,35,15,40,55,30,40,50,52,65,15,35,30,20,35,65,45,55,55,10,15,20,5,10,3,70,50,25,45,30,30
287,50,35,55,60,50,90,65,60,20,40,40,45,55,20,45,55,25,25,55,20,55,40,5,10,15,5,5,3,80,30,20,35,30,30
295,68,55,45,65,40,85,40,65,80,60,65,45,60,25,30,55,15,25,65,45,60,50,3,5,8,3,5,2,90,50,15,50,40,40
297,68,58,45,65,32,40,30,55,92,55,75,60,55,30,25,45,25,90,75,62,55,65,10,20,35,5,10,5,55,50,40,50,30,45
299,52,38,48,60,55,25,65,55,25,40,35,45,45,60,35,55,35,15,60,25,35,55,5,10,55,5,15,5,40,30,25,35,35,25
313,62,58,55,60,40,90,45,60,75,55,65,50,65,30,40,30,30,80,65,40,55,50,5,20,35,5,5,5,65,50,20,50,30,40
315,68,65,52,65,38,85,30,60,78,55,65,50,80,20,40,30,20,80,70,45,65,50,5,15,20,5,5,3,80,50,20,55,40,35
322,45,40,55,50,35,75,35,40,20,35,40,65,35,20,35,25,25,80,65,25,35,45,5,25,30,5,15,5,60,30,20,30,20,60
332,62,55,40,60,30,15,45,60,70,55,55,45,50,80,30,40,15,65,60,55,50,55,5,5,15,5,5,3,80,30,20,40,30,30
333,68,62,52,72,35,85,30,60,75,55,62,50,80,25,35,30,15,80,70,40,70,50,3,5,8,2,3,2,88,50,15,62,30,30
352,55,40,65,68,68,90,45,55,20,40,40,50,65,10,40,35,55,30,65,15,60,45,15,40,30,10,10,30,20,20,15,50,35,20
366,62,45,48,65,45,90,55,60,85,55,68,55,50,30,40,65,30,90,65,40,55,55,5,20,30,3,5,3,70,50,20,40,30,30
372,68,62,55,65,35,85,35,55,88,55,75,55,70,15,30,25,35,90,70,45,55,55,5,40,55,5,10,5,40,50,15,55,35,45
378,62,48,35,60,22,40,35,55,55,50,45,45,45,35,40,55,20,35,55,55,55,55,5,5,8,3,5,3,85,50,35,40,35,65
381,65,40,45,60,78,90,55,60,45,55,40,50,55,10,30,55,20,15,60,30,55,40,3,5,5,3,5,3,85,30,15,40,35,30
382,62,58,45,55,42,65,30,55,72,55,65,62,40,70,35,40,25,90,60,50,40,65,5,15,30,5,10,3,70,50,30,35,30,65
389,55,68,45,62,28,15,30,55,30,45,45,60,70,85,30,20,45,90,65,55,45,55,10,25,55,10,15,5,30,50,20,40,30,30
421,68,45,35,70,52,15,40,60,72,55,50,45,65,55,30,60,15,35,65,42,55,60,3,3,5,2,3,2,85,50,20,40,30,25
424,70,45,40,65,72,25,45,60,80,60,65,45,65,15,20,40,12,10,65,45,55,50,2,2,3,2,3,2,90,30,20,40,35,30
430,70,65,20,60,5,45,30,60,90,50,65,55,50,60,15,35,15,35,65,85,55,40,5,5,10,5,5,3,85,50,20,30,20,30
446,58,45,52,68,48,85,40,55,30,40,45,42,60,20,35,55,35,90,65,25,55,45,55,15,40,10,15,5,25,20,20,45,30,25
454,55,82,40,62,24,10,15,55,40,45,55,65,85,80,35,15,15,35,60,78,60,50,90,5,5,10,5,2,10,50,20,40,30,20
457,68,72,40,65,25,10,30,55,85,55,70,60,65,85,20,20,45,80,70,75,45,55,35,15,45,30,20,10,20,50,15,45,30,55
483,65,55,55,60,40,90,55,65,65,55,60,45,60,20,35,35,20,30,65,40,60,45,3,5,8,3,5,3,90,50,15,55,35,45
496,65,50,45,60,40,40,35,60,85,55,70,50,60,25,30,45,25,25,65,55,55,60,5,5,10,5,10,3,85,50,40,45,30,55
501,65,68,45,68,28,10,35,55,60,50,60,55,70,80,30,20,45,95,70,65,50,55,35,20,40,30,15,20,20,50,15,45,35,30
515,55,68,45,60,28,10,25,55,30,40,45,55,65,80,35,20,10,25,60,55,55,50,2,3,5,2,3,2,90,50,20,45,30,35
520,68,52,40,65,40,15,55,60,85,55,65,50,55,75,30,55,20,45,65,55,55,55,3,5,10,3,5,2,85,50,25,40,30,60
527,68,58,42,65,40,15,40,65,80,55,68,45,70,65,25,30,22,80,65,50,55,55,5,10,15,3,5,3,70,50,15,50,35,35
530,68,55,45,62,42,15,55,60,85,60,75,55,65,40,30,35,20,40,65,55,55,55,2,5,10,3,5,2,85,50,20,50,35,45
552,62,58,35,60,15,30,25,60,55,50,55,50,45,55,45,40,20,75,60,65,55,50,5,15,20,5,5,3,75,50,25,40,30,55
559,60,72,40,65,22,10,20,55,30,45,40,55,60,75,25,20,20,80,60,68,55,60,30,15,25,10,10,5,55,50,20,40,30,35
594,58,42,45,60,48,45,40,55,35,50,40,45,55,40,30,40,20,25,60,35,50,55,10,10,15,5,10,5,75,50,30,40,35,35
599,62,45,40,55,48,15,40,55,55,45,45,50,45,20,30,20,40,85,60,35,25,30,20,65,25,10,20,5,30,30,15,25,45,65
606,52,60,55,60,33,85,30,55,25,45,40,55,45,20,40,30,30,90,70,40,50,55,5,30,40,5,10,3,70,50,25,40,30,70
612,68,62,35,60,20,15,30,55,85,55,70,60,65,40,20,30,35,30,70,75,45,45,5,5,70,5,30,5,30,50,15,45,40,65
619,65,60,20,55,3,40,30,60,55,50,55,50,45,20,30,35,15,30,60,80,55,45,5,5,10,5,5,3,85,50,20,30,20,30
622,68,55,45,62,55,55,30,60,85,55,72,48,70,25,35,40,20,40,65,40,60,55,3,5,8,3,3,2,88,50,40,55,40,35
626,60,55,40,62,42,20,35,55,40,50,40,45,55,45,30,30,25,85,60,45,50,55,85,5,5,10,5,2,10,50,15,40,30,60
631,55,40,35,55,25,15,60,55,40,45,35,40,50,55,30,45,15,35,55,45,45,50,5,5,5,5,5,3,90,30,25,30,30,30
656,60,45,40,68,35,85,35,55,35,45,35,45,45,20,35,65,20,75,60,35,55,60,5,15,15,5,5,3,80,50,25,35,25,30
657,68,75,45,65,35,10,30,55,90,55,80,65,82,85,20,10,45,95,75,65,55,60,3,8,40,5,10,45,25,50,15,55,40,35
683,62,58,45,60,32,75,35,55,55,50,55,50,55,20,40,45,20,30,65,50,55,60,5,5,10,5,5,3,85,50,25,45,30,75
706,65,55,35,72,45,15,35,60,65,50,45,45,60,75,40,55,20,25,65,50,55,60,5,5,10,5,5,3,85,40,25,40,30,30
718,60,68,30,60,25,10,25,55,30,45,35,50,65,75,20,25,15,30,40,65,55,55,5,5,10,5,5,3,88,50,20,40,30,60
719,68,58,42,65,62,15,40,62,78,60,68,45,65,60,25,30,15,12,62,45,60,55,2,2,3,2,3,2,92,40,15,45,40,55
721,75,65,25,65,8,20,30,60,90,55,75,55,65,55,20,30,30,35,65,85,55,40,5,10,40,5,10,5,55,50,10,30,30,70
747,70,65,20,55,2,45,40,60,55,50,45,50,55,30,20,30,15,35,60,85,55,50,5,5,10,5,5,3,80,50,20,30,30,10
