stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,66,60,35,68,47,15,28,55,72,50,60,45,82,8,25,15,25,75,70,45,55,50,90,5,5,8,5,3,10,50,25,55,38,20
24,62,42,55,65,78,92,48,58,52,42,45,52,78,8,42,25,15,6,58,18,65,48,3,4,4,3,4,3,90,50,28,58,32,20
31,48,40,52,55,62,55,40,60,40,45,55,58,45,40,45,40,25,35,55,30,50,50,3,5,8,3,5,2,85,50,35,35,30,55
40,68,55,58,68,58,95,50,65,78,52,62,45,82,5,28,25,15,40,68,28,62,48,3,8,8,3,5,3,88,50,25,65,40,32
55,68,52,22,58,12,62,55,60,88,52,68,45,48,12,22,42,15,78,62,62,52,50,4,8,12,4,5,3,82,50,50,18,30,78
60,62,55,15,52,5,15,42,55,25,48,38,45,35,58,15,20,8,32,55,72,52,50,3,4,8,3,5,3,85,50,50,15,30,68
64,68,65,45,65,42,8,35,60,85,55,70,55,75,80,20,20,35,75,65,55,55,55,5,15,55,5,15,5,45,20,15,55,40,35
67,60,68,55,65,30,90,30,65,30,50,45,55,75,30,40,25,30,90,65,40,55,50,10,40,30,5,10,5,55,50,25,50,30,35
68,68,58,45,62,32,90,45,65,85,55,68,52,55,25,30,55,15,35,65,55,55,50,2,3,5,2,5,2,90,50,20,45,30,45
71,68,62,52,65,32,90,45,60,92,55,78,60,65,20,30,35,45,90,70,55,45,55,5,25,55,15,15,10,30,30,25,50,35,60
77,68,55,38,58,42,88,38,62,92,55,75,48,65,12,25,48,22,55,68,42,55,50,3,5,5,3,4,3,88,50,40,52,48,45
89,68,70,28,58,18,5,42,58,88,48,65,55,72,78,15,28,18,55,62,75,55,52,25,8,30,8,10,5,55,50,45,48,38,38
97,68,65,40,65,38,15,30,60,82,55,65,45,70,80,25,30,20,45,65,60,55,55,5,5,8,5,5,3,85,30,20,45,35,30
102,68,52,42,68,62,8,40,62,58,55,48,42,68,60,30,45,15,35,62,38,58,55,3,3,5,2,3,2,90,20,15,40,40,32
108,55,68,45,62,25,12,30,60,25,45,40,55,60,85,25,20,35,80,65,58,45,55,15,20,55,10,20,5,35,30,25,40,30,35
159,62,58,48,60,35,90,30,60,62,50,55,48,45,30,45,35,35,90,62,45,50,55,5,30,35,5,5,3,60,50,25,45,30,70
175,45,62,55,60,28,15,30,55,20,40,40,55,65,65,45,25,20,35,70,45,55,50,5,10,10,5,5,3,80,50,30,40,30,35
185,65,68,45,62,30,15,30,60,55,50,55,52,62,75,35,30,30,80,60,62,50,55,5,25,40,5,15,5,55,50,25,45,35,55
200,55,42,62,55,62,92,62,55,35,50,45,62,52,38,42,28,38,55,62,22,42,48,5,32,30,8,10,5,68,50,48,38,40,68
210,62,58,45,60,32,85,35,65,55,50,52,45,45,25,40,40,30,75,65,45,50,55,5,35,30,5,5,3,65,50,25,45,35,70
214,68,58,32,62,12,15,45,65,68,52,55,45,48,65,25,40,15,30,62,72,55,50,3,3,5,2,3,2,88,50,15,35,30,45
219,72,68,32,62,30,5,42,58,88,52,68,55,62,85,15,22,12,28,68,62,52,52,0,0,2,0,2,0,92,50,40,48,38,60
