stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,65,60,45,68,48,25,25,55,75,50,62,52,75,15,30,25,25,25,68,50,60,50,90,5,5,10,5,2,5,20,15,55,30,35
24,62,45,60,68,78,90,55,60,45,50,55,55,72,20,40,30,25,10,65,20,75,40,3,5,5,2,3,2,90,20,15,55,40,30
31,45,40,50,55,62,60,35,55,35,40,55,60,40,40,55,45,25,35,55,25,50,55,3,5,10,3,5,3,80,20,30,30,25,55
40,68,58,60,68,48,92,45,60,80,55,65,45,78,15,35,25,15,30,65,30,68,45,3,5,8,2,3,2,88,20,10,62,40,35
55,68,52,30,60,12,40,55,65,85,55,65,45,55,25,30,55,20,15,65,70,55,50,5,10,15,5,5,3,80,50,20,40,35,55
60,65,60,25,55,3,25,40,60,30,45,35,45,45,65,20,30,15,35,55,75,60,50,3,3,8,3,5,2,85,20,15,20,20,55
64,68,65,45,65,42,10,30,60,85,55,72,55,75,80,25,20,30,25,68,55,55,55,5,15,55,5,10,5,45,20,15,55,40,40
67,60,65,55,65,28,90,30,60,30,50,45,50,75,30,35,25,30,90,70,40,55,50,5,40,30,5,10,3,65,50,15,50,30,40
68,68,58,45,62,32,85,40,65,85,55,70,50,55,20,30,55,15,30,65,55,60,50,2,3,5,2,5,2,90,50,20,50,35,45
71,68,62,52,62,30,90,40,55,90,55,78,58,65,20,30,35,40,90,68,48,45,55,5,20,55,15,15,5,25,20,15,48,35,55
77,68,58,45,62,42,85,35,60,92,55,80,55,65,25,35,55,20,30,70,45,55,50,3,5,8,3,5,2,88,50,25,45,35,45
89,68,65,30,60,15,10,40,55,90,50,75,55,70,80,20,35,15,70,65,80,60,50,20,10,30,10,10,5,55,50,15,40,30,35
97,68,65,40,65,38,10,25,60,85,55,65,45,70,80,20,30,15,45,65,60,60,55,3,3,5,2,3,2,88,50,15,45,30,35
102,65,48,40,68,65,15,40,60,58,55,50,45,65,60,30,40,20,35,60,35,60,55,3,3,5,3,5,2,88,50,20,45,40,35
108,55,68,45,62,25,10,30,55,30,45,40,55,60,85,35,25,35,85,60,60,45,55,20,15,55,10,20,5,40,30,20,40,30,35
159,62,58,48,60,35,88,30,55,55,50,58,52,45,35,40,35,35,90,60,45,50,55,5,30,40,5,10,3,65,50,20,45,30,68
175,45,62,55,60,27,15,30,55,20,40,40,55,65,65,45,25,15,35,70,45,55,55,3,5,8,3,5,2,85,50,25,40,20,30
185,62,65,45,65,28,15,30,60,55,50,55,50,60,75,35,30,25,85,60,60,50,60,5,25,45,5,10,5,45,50,20,45,35,55
200,55,40,58,55,60,90,60,55,40,45,55,60,40,55,45,40,40,35,60,25,45,50,5,25,30,10,15,5,65,50,15,35,30,65
210,62,58,48,60,28,90,30,60,55,50,55,45,45,30,40,35,30,85,65,45,50,55,5,30,25,5,10,3,70,50,15,40,30,70
214,68,58,30,62,12,15,40,65,68,55,50,45,45,60,30,40,15,30,62,72,55,50,3,3,5,3,5,2,90,50,15,35,30,40
219,68,70,45,65,32,10,35,55,85,55,72,60,65,85,30,30,15,35,65,68,60,55,3,3,5,3,5,2,90,50,15,45,30,45
238,65,52,40,62,55,15,55,60,70,55,58,45,60,85,30,35,25,35,60,45,50,50,5,10,25,5,10,3,65,50,20,40,40,40
