stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,65,58,45,68,48,25,30,55,72,50,60,45,75,10,20,25,25,25,65,45,55,50,90,5,5,10,5,2,5,20,15,50,30,35
24,62,45,58,65,78,90,55,60,55,50,55,52,70,20,45,30,25,10,60,20,70,40,3,5,5,3,3,3,90,50,15,55,40,30
31,48,40,52,55,62,55,40,55,35,40,55,60,40,35,50,45,25,35,55,25,50,50,3,8,15,3,8,3,75,15,25,30,20,55
40,68,58,60,70,48,90,45,65,80,55,65,45,80,10,35,25,15,30,70,30,70,40,3,5,8,3,3,2,90,50,15,65,40,35
55,68,52,35,60,12,30,55,65,85,55,65,45,55,25,30,55,20,75,60,70,60,50,5,10,10,5,5,3,85,50,25,40,35,55
60,65,60,25,55,3,25,40,60,30,45,35,45,45,65,20,30,15,35,55,75,55,50,3,3,5,3,5,2,88,30,15,30,30,60
64,68,65,45,65,42,15,35,55,85,55,72,55,75,80,25,20,30,25,70,55,55,55,5,15,55,5,10,5,55,20,15,55,40,35
67,62,68,55,65,28,88,25,60,30,50,45,50,75,30,40,25,30,90,65,40,55,45,5,40,30,5,10,3,60,50,15,50,30,35
68,68,58,42,62,32,88,40,65,85,60,70,50,60,30,35,55,15,30,65,55,60,55,2,3,5,2,3,2,90,50,20,45,35,50
71,68,62,52,60,30,90,45,60,90,55,78,58,55,20,30,30,45,90,68,55,45,55,5,25,55,10,15,10,30,20,15,45,30,55
77,68,58,45,62,42,85,35,65,92,55,80,55,60,25,40,55,20,25,70,45,60,50,3,5,8,3,5,3,85,50,25,50,35,45
89,68,65,30,60,20,15,35,60,90,50,75,55,70,80,20,35,20,30,65,80,60,55,20,10,30,10,10,5,60,50,15,45,30,30
97,72,68,40,68,38,15,30,60,85,55,70,50,75,80,25,30,15,40,65,65,60,55,3,3,5,3,3,2,90,50,15,50,35,40
102,65,45,40,68,65,15,40,60,60,55,50,45,65,60,30,45,20,35,65,40,60,55,3,5,8,3,5,3,85,50,20,45,40,30
108,58,65,45,62,25,10,30,55,30,45,40,50,55,85,30,25,40,80,60,60,45,55,15,15,55,10,15,5,35,40,20,40,30,35
159,62,58,50,60,35,90,30,60,60,50,55,55,45,35,40,35,35,90,65,45,50,55,3,25,40,3,5,2,65,50,15,45,30,70
175,45,62,55,60,27,15,25,55,15,40,40,55,60,65,45,25,15,35,70,45,55,50,3,5,8,3,5,2,85,50,20,40,20,30
185,62,65,45,62,30,15,30,60,55,50,55,50,60,75,35,30,30,80,60,62,55,60,5,25,45,5,10,5,55,50,20,45,35,55
200,55,40,58,55,58,90,60,55,40,45,55,60,35,55,40,35,40,35,60,20,40,50,5,25,30,5,10,5,65,20,15,30,35,65
210,62,58,48,60,30,90,30,60,55,45,55,45,45,30,40,40,30,85,60,45,50,55,5,30,25,5,5,3,75,20,20,45,30,65
214,68,58,30,62,12,15,40,65,68,55,55,45,45,65,30,40,12,30,62,72,55,50,3,3,5,3,5,2,88,50,15,40,30,40
219,72,70,42,65,32,10,30,55,88,55,75,60,70,85,25,35,12,35,68,72,60,58,3,3,5,2,5,2,90,50,15,45,30,40
238,65,52,40,60,55,15,45,60,70,55,55,45,60,80,30,35,25,35,60,45,50,50,5,10,25,5,10,3,65,50,20,40,35,35
245,68,60,40,65,38,10,45,60,85,55,68,50,65,75,25,40,15,35,65,55,55,55,3,3,5,3,5,2,88,50,20,50,35,55
248,68,55,45,65,42,85,45,60,88,55,72,50,65,20,30,45,20,25,68,40,60,55,3,15,10,3,3,2,85,50,15,45,30,55
260,68,70,45,65,32,10,30,60,90,55,75,60,75,65,25,20,45,90,70,70,55,55,15,15,55,15,15,5,25,50,15,50,40,55
278,65,45,40,62,55,35,35,60,45,55,45,40,55,40,35,40,20,45,60,35,55,60,3,3,5,3,5,2,88,40,30,40,30,55
282,55,58,52,62,35,20,40,55,30,40,55,50,60,15,40,30,25,35,65,45,55,60,10,15,20,5,10,5,65,50,30,45,30,35
287,50,35,55,60,48,90,68,60,25,40,40,45,55,20,45,55,30,25,60,20,55,40,5,10,15,5,5,3,80,20,15,30,30,30
295,68,55,45,65,40,90,40,65,80,55,65,45,60,20,30,55,15,20,65,45,60,50,3,5,8,3,5,3,88,50,15,50,35,40
297,68,60,42,65,32,40,30,55,92,55,78,60,55,30,25,45,25,90,75,65,55,65,10,15,30,5,10,3,55,20,40,45,25,55
299,55,35,48,60,55,25,65,55,25,45,35,45,45,55,35,45,40,20,60,30,35,50,5,15,55,5,20,5,35,30,25,30,35,25
313,62,60,55,62,40,90,45,60,78,55,68,52,65,30,40,30,30,85,65,40,58,50,3,20,35,3,5,3,65,50,20,50,35,40
315,68,65,50,65,35,85,30,55,80,50,65,50,75,25,40,30,20,80,65,50,60,50,5,15,20,5,5,3,75,50,20,55,40,40
322,48,45,55,55,38,80,35,50,20,35,40,60,40,30,35,25,30,50,65,30,35,45,5,30,30,5,15,3,65,30,20,30,25,65
332,65,55,40,60,32,10,45,60,75,55,60,45,50,80,30,40,20,75,60,60,45,55,5,5,15,5,10,3,80,50,25,40,30,30
333,72,65,52,75,33,88,25,60,78,55,62,45,82,20,35,30,15,80,70,40,70,50,3,5,8,2,3,2,88,50,15,62,30,35
352,55,40,65,70,65,90,45,55,20,40,40,55,70,10,40,35,55,25,65,15,60,45,10,40,25,10,10,30,25,20,10,55,35,20
366,62,45,48,65,45,90,55,60,85,55,65,55,45,30,40,65,30,90,60,35,55,55,5,25,25,5,5,3,70,50,20,35,30,30
372,68,62,52,65,35,90,35,60,88,55,75,55,72,10,30,25,40,90,70,45,50,50,5,40,45,5,10,5,40,50,15,50,35,45
378,62,52,35,63,22,40,30,55,58,50,45,45,48,45,38,55,15,35,60,58,55,60,3,3,5,2,3,2,88,50,35,40,30,65
381,65,40,45,60,75,90,55,60,55,55,45,45,55,10,30,55,20,20,60,30,55,40,5,5,5,5,5,3,90,20,15,40,40,35
382,62,58,42,55,42,75,35,55,72,50,65,60,40,70,35,40,30,15,60,50,40,65,5,15,30,5,10,3,70,50,30,35,30,70
389,55,68,52,62,28,10,30,55,25,45,45,60,70,85,30,15,40,95,65,60,45,55,5,25,60,5,15,5,30,30,15,40,30,30
421,68,45,35,72,52,15,35,60,75,55,55,45,65,55,25,60,15,35,70,40,60,60,5,5,5,3,5,3,88,20,20,40,30,30
424,72,45,40,65,72,20,45,65,85,60,68,50,68,15,20,45,15,10,70,55,60,55,3,3,3,2,3,2,92,30,15,45,40,35
430,72,65,20,60,5,40,30,60,90,50,65,55,45,60,20,40,15,35,65,88,55,50,5,5,10,5,5,3,85,50,15,30,20,40
446,58,45,55,70,48,90,40,55,30,45,45,48,65,20,40,55,35,15,65,25,55,45,60,15,35,10,20,3,20,50,15,45,30,25
454,55,78,45,60,25,10,20,55,40,45,55,60,85,85,40,15,15,45,65,75,60,50,90,5,5,10,5,2,10,50,15,40,30,20
457,68,72,42,65,27,10,30,55,88,55,75,60,70,85,20,20,45,80,70,75,45,60,25,15,45,30,20,10,20,20,15,45,30,55
483,65,55,55,60,40,90,55,65,68,55,60,45,60,20,35,35,20,30,62,40,60,45,3,5,5,3,5,3,90,50,15,55,40,55
496,65,50,45,62,38,45,40,60,85,55,70,50,60,20,25,45,25,20,65,55,55,60,5,5,10,3,5,3,80,50,40,45,30,55
501,65,68,45,65,28,10,30,55,60,50,60,55,65,80,35,25,45,95,65,65,45,55,30,15,40,35,20,20,25,50,15,45,35,35
