stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,65,60,45,65,48,25,30,55,75,50,60,45,75,10,30,20,25,25,65,50,55,50,90,5,5,10,5,2,5,50,15,50,30,20
24,60,45,62,65,78,92,45,60,40,45,50,55,75,20,40,25,20,10,60,20,75,35,3,5,5,2,3,2,90,20,15,60,35,10
31,40,35,55,50,62,55,40,55,30,40,55,60,35,35,45,40,25,35,55,20,45,50,5,10,20,5,10,5,65,30,25,30,25,55
40,68,58,62,68,48,92,55,65,78,55,65,45,80,10,40,25,20,30,70,30,70,40,3,5,8,3,3,2,85,30,15,65,40,20
55,65,50,30,60,12,45,45,60,85,50,65,45,55,20,25,45,20,80,65,70,55,45,5,5,10,5,5,3,80,50,20,40,30,60
60,60,55,20,50,4,20,40,55,20,40,30,45,35,65,15,30,10,35,55,70,55,40,3,3,5,3,5,2,85,40,10,20,20,60
64,68,65,45,62,45,10,35,60,88,55,75,55,78,80,20,15,35,20,68,55,55,55,5,15,55,5,15,3,45,50,10,55,40,30
67,58,68,55,62,28,90,30,60,20,45,45,50,75,30,40,20,25,85,65,40,55,45,5,35,30,5,10,3,55,50,20,45,30,20
68,68,55,45,60,32,90,40,65,85,55,70,45,60,30,30,45,15,25,65,50,55,50,3,3,3,2,3,2,90,50,20,45,30,30
71,68,62,55,60,30,90,40,55,90,50,80,60,65,20,30,25,45,90,70,55,45,55,5,20,60,10,15,5,25,50,15,50,30,60
77,68,55,50,60,42,85,35,65,90,55,78,55,65,20,45,55,25,25,70,45,55,50,3,5,8,3,5,2,80,50,20,55,40,40
89,68,65,30,55,18,10,40,60,90,55,75,55,70,80,15,30,15,55,65,80,60,55,30,10,30,10,10,3,45,50,15,45,30,20
97,72,68,40,65,35,8,30,65,85,55,70,50,75,80,20,25,15,35,65,65,60,55,3,3,5,2,5,2,88,40,15,55,30,40
102,62,45,40,60,65,10,40,60,55,50,45,45,65,60,30,40,15,30,60,35,55,55,3,5,8,3,5,2,85,40,15,40,35,20
108,55,68,45,60,26,10,30,55,20,45,40,55,60,85,30,20,35,85,60,60,45,55,15,15,55,10,20,5,35,50,20,40,30,30
159,62,60,55,60,33,88,30,60,60,50,58,55,50,30,40,30,30,90,65,45,50,55,5,30,40,5,10,3,65,50,15,45,30,70
175,40,62,55,60,27,15,25,55,15,40,35,60,55,65,45,20,15,35,70,45,55,50,3,5,8,3,5,2,85,30,20,40,20,15
185,62,65,45,62,28,10,30,55,55,50,55,50,60,75,30,25,30,85,60,60,50,55,5,30,45,5,15,3,55,50,15,45,30,65
200,52,35,62,55,58,92,60,55,30,40,45,60,30,55,45,40,40,30,60,20,35,40,5,30,40,10,15,5,60,30,15,30,35,65
210,60,58,52,60,30,90,35,60,45,50,50,45,55,30,40,35,30,85,60,40,50,55,5,30,30,5,10,3,70,50,20,45,35,75
214,65,55,25,60,12,15,40,60,60,45,45,35,45,60,30,40,15,30,55,70,55,45,3,3,5,3,5,2,90,40,15,35,30,40
219,68,70,40,65,32,10,30,60,85,50,70,55,65,90,20,25,15,30,70,65,55,55,2,3,5,2,3,2,90,50,15,50,30,55
238,65,48,40,60,55,10,45,60,70,55,55,45,60,80,30,30,25,45,60,40,45,45,5,10,30,5,10,3,65,40,15,40,40,40
245,68,60,40,65,38,8,45,60,85,55,70,50,65,75,25,35,12,40,70,60,60,55,3,3,5,2,5,2,88,50,15,50,35,70
248,68,55,50,65,42,90,45,60,88,55,70,50,60,15,30,40,20,30,65,40,60,55,3,15,10,3,5,2,80,50,15,45,30,75
260,68,70,45,62,32,10,30,55,90,55,78,60,75,70,20,15,45,90,70,68,55,60,10,15,60,10,15,5,20,50,10,45,35,40
278,62,45,42,60,52,35,35,60,40,50,40,45,55,40,35,40,20,45,55,35,55,55,5,5,8,5,8,3,85,50,30,45,35,65
282,52,55,48,60,35,15,40,55,30,45,50,48,62,15,40,25,25,35,65,45,55,55,10,15,20,5,10,3,65,40,30,45,30,20
287,45,35,60,55,50,90,65,55,20,40,35,45,45,15,45,55,25,25,55,20,50,40,5,15,20,5,5,3,70,30,15,35,30,25
295,68,55,45,62,38,85,40,65,80,55,65,45,65,20,30,45,15,25,65,40,55,45,3,5,5,3,3,2,90,50,15,50,30,30
297,68,55,40,62,32,40,30,55,90,55,75,60,55,30,25,40,25,90,70,60,55,65,10,20,35,5,15,3,55,50,35,45,30,35
299,50,35,48,55,52,25,65,55,20,45,35,45,45,60,30,45,40,25,55,25,35,50,10,15,55,10,15,5,40,20,20,30,30,20
313,62,58,55,60,40,90,45,60,75,55,65,50,65,30,40,30,30,90,65,40,55,45,5,30,40,5,5,3,65,30,15,45,30,20
315,68,65,52,65,35,85,30,60,78,50,62,50,78,20,40,25,20,85,70,45,62,50,5,15,20,5,5,3,75,50,20,55,40,20
322,40,45,55,50,35,75,40,35,15,30,35,65,40,20,30,20,30,80,65,25,30,40,10,30,30,10,20,5,55,30,20,30,25,60
332,62,48,35,55,32,8,45,60,68,50,55,40,45,80,30,35,15,75,60,55,45,55,3,5,15,3,5,2,75,50,15,35,30,25
333,68,62,55,72,35,90,25,60,75,50,62,45,82,20,35,30,15,85,68,40,72,50,3,5,8,2,3,2,85,50,15,62,35,20
352,45,35,65,68,68,92,45,55,15,40,40,55,70,10,45,40,55,30,65,15,65,40,15,40,30,10,15,30,20,15,10,55,40,15
366,60,40,50,65,45,90,55,55,85,55,65,55,45,30,40,65,30,90,60,35,50,55,5,25,30,5,5,3,70,30,20,35,30,15
372,68,62,55,62,35,90,35,60,88,55,72,55,75,10,30,20,40,90,70,45,50,55,5,40,45,5,10,5,35,20,15,50,35,30
378,62,45,35,60,20,40,35,55,45,45,40,45,45,40,40,55,20,35,55,55,55,55,5,5,5,3,5,3,85,40,30,40,30,70
381,62,35,45,60,78,90,55,60,45,50,40,45,55,10,35,55,20,15,55,20,55,40,3,3,5,3,5,2,90,50,10,40,40,55
382,58,55,40,55,42,55,35,45,68,50,62,65,40,65,40,35,30,90,55,45,40,65,5,15,35,10,15,5,60,40,35,30,30,65
389,50,68,55,60,27,10,30,55,20,45,45,60,70,85,30,15,45,90,65,55,45,55,5,20,60,5,15,5,30,30,15,40,30,20
421,65,45,40,68,55,20,40,60,70,55,45,45,65,60,30,60,20,35,65,40,55,55,5,5,5,3,5,3,85,30,20,40,35,20
424,70,45,40,62,72,20,45,60,85,55,65,45,65,10,20,40,15,10,65,40,55,45,3,3,5,3,5,2,90,20,15,45,40,25
430,68,62,20,55,6,40,35,55,90,45,65,45,40,60,20,35,15,30,60,85,55,45,5,5,10,5,5,3,80,40,15,30,30,20
446,52,45,55,68,48,90,45,55,25,40,40,45,60,20,35,45,40,90,65,25,55,40,55,15,30,10,20,3,20,20,15,45,30,15
454,52,82,45,60,24,8,15,45,30,40,55,65,85,90,40,10,10,40,65,75,60,50,90,3,3,5,3,2,5,50,15,40,30,10
457,68,72,40,62,26,8,30,55,88,50,75,60,70,90,20,15,45,85,70,75,45,60,20,10,45,25,20,10,25,30,15,45,30,55
483,62,55,55,58,40,90,55,65,65,55,60,45,60,20,40,30,20,30,60,40,60,45,3,5,8,3,5,2,88,50,15,50,40,45
496,65,48,45,60,38,40,40,60,85,55,70,45,55,20,25,40,25,20,65,50,55,60,5,5,10,5,5,3,80,50,40,45,30,65
