stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,65,60,40,65,55,40,45,50,70,40,55,50,80,0,30,20,60,50,60,40,50,50,90,0,0,0,0,0,0,30,40,55,20,30
31,45,40,60,55,65,60,50,30,40,30,50,60,40,20,45,30,50,60,60,20,40,40,10,10,10,0,0,10,80,20,40,35,10,60
40,70,65,55,65,45,85,55,60,70,50,55,40,80,0,30,20,30,40,65,20,60,40,0,0,0,0,0,0,95,30,20,60,10,20
55,65,60,30,60,25,40,40,50,70,40,55,45,70,10,20,30,60,70,65,55,50,50,10,10,20,0,0,5,70,30,40,55,10,60
60,60,70,20,50,10,40,40,50,50,40,40,40,60,80,20,30,30,50,50,70,50,50,10,10,10,0,0,0,80,30,50,40,20,50
64,65,75,40,60,45,45,50,55,80,60,65,50,80,70,20,25,60,40,60,50,55,50,20,10,40,5,5,5,40,50,30,60,20,30
68,65,60,50,55,40,80,45,60,70,50,55,50,60,10,30,40,30,30,60,40,40,45,5,5,10,0,5,5,80,30,20,55,10,30
71,65,70,50,60,35,80,50,60,85,40,65,50,70,10,20,20,70,90,60,30,40,45,10,30,40,5,5,5,5,50,20,55,10,30
77,65,60,40,60,45,70,40,60,80,50,60,40,70,10,20,30,50,40,60,30,40,40,10,10,10,0,0,0,90,30,20,50,10,20
89,65,75,30,60,25,20,40,50,80,40,60,55,85,70,20,30,40,60,65,70,60,50,70,10,15,5,5,5,10,30,20,50,20,30
97,70,75,30,65,45,25,40,60,80,50,60,55,85,70,20,15,20,30,60,65,55,50,5,5,10,0,0,0,80,40,20,60,10,30
102,70,55,40,65,65,40,45,50,55,60,40,45,75,20,30,30,70,50,60,40,55,55,5,5,10,0,5,5,85,40,30,50,20,20
108,55,70,30,60,30,40,40,50,30,40,40,50,70,80,20,20,60,70,60,40,50,50,40,20,40,10,10,10,10,50,50,50,10,30
159,60,65,55,60,35,85,45,50,60,40,55,45,65,10,30,20,55,80,60,30,40,40,5,20,30,0,0,5,40,30,20,50,10,60
175,45,60,40,65,30,40,40,50,30,40,35,50,70,30,30,20,70,40,60,40,50,50,10,5,10,0,0,5,70,30,40,50,20,20
185,60,70,30,65,30,30,40,50,55,40,50,50,75,30,20,20,60,60,60,50,50,50,10,10,40,0,0,10,10,50,50,50,10,60
200,45,35,55,50,55,80,65,60,40,50,40,60,30,30,40,50,60,60,55,25,30,35,5,10,20,5,10,10,70,30,20,40,15,70
210,65,68,55,60,35,85,45,60,55,50,55,50,70,10,30,25,60,60,65,40,50,45,5,20,25,0,5,5,70,40,20,55,10,60
214,65,60,30,55,15,40,45,50,70,40,55,45,60,60,20,30,30,30,50,70,50,50,5,5,10,0,0,0,80,30,50,40,10,40
219,65,75,30,60,40,30,40,50,70,40,55,45,80,70,20,25,20,30,60,50,60,50,5,5,10,0,0,0,85,30,20,50,10,40
238,65,55,40,60,55,45,60,50,60,50,50,45,70,70,30,30,50,40,55,40,50,50,10,10,10,0,0,0,80,20,30,50,10,30
245,65,70,30,60,45,35,50,60,75,50,55,40,70,70,20,30,30,40,60,65,50,50,5,5,10,0,0,0,80,30,20,55,10,50
248,65,60,50,60,45,70,50,60,70,50,60,40,60,20,30,30,50,40,60,30,50,40,10,10,10,0,0,0,80,50,20,50,10,60
260,65,70,30,60,40,30,45,50,80,40,60,55,75,30,20,25,65,90,65,55,45,50,50,10,40,10,10,10,5,30,30,55,10,40
278,65,45,40,60,55,45,45,50,55,40,45,40,60,10,30,35,60,50,60,30,40,50,10,10,10,0,0,0,80,30,40,50,10,60
282,45,60,40,65,35,30,40,50,30,40,45,55,70,10,30,30,60,50,60,45,50,50,10,10,15,0,5,5,70,30,30,45,10,20
287,45,35,55,60,55,70,65,50,30,40,35,40,60,10,40,35,60,40,55,20,50,40,5,10,15,0,5,5,70,30,30,40,10,40
295,65,60,45,60,45,80,50,60,70,50,55,40,70,10,30,30,60,40,60,30,50,40,5,5,10,0,5,5,80,40,20,50,10,30
297,70,65,40,60,30,45,35,30,85,20,65,40,70,10,20,30,60,80,60,50,40,50,10,20,30,0,0,0,10,20,40,50,10,30
299,55,45,50,65,55,40,50,40,30,30,35,40,60,20,30,40,65,60,60,35,40,50,10,10,70,0,10,10,10,30,40,45,20,30
313,65,68,55,60,45,80,55,50,70,40,55,50,70,20,35,30,60,70,65,40,55,45,5,10,30,0,0,5,70,30,20,60,10,30
315,60,65,45,60,40,70,40,50,65,40,50,45,75,10,30,20,40,60,60,30,55,40,5,10,20,0,0,0,70,30,20,55,10,20
