stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,65,60,40,65,55,45,40,50,70,40,55,45,75,10,30,25,55,50,60,40,50,50,80,5,5,0,0,0,5,20,30,55,20,30
24,75,60,65,70,75,70,50,60,40,50,45,55,80,10,30,20,40,20,65,10,70,40,5,10,10,0,0,0,90,30,30,70,20,20
31,45,40,60,55,65,60,50,30,35,30,45,60,40,20,40,35,55,60,50,20,45,40,5,10,10,0,0,5,70,10,40,35,15,30
40,75,65,55,60,45,70,60,65,70,60,55,40,85,5,30,20,40,40,65,20,60,40,5,10,10,0,0,0,85,20,25,70,15,20
55,65,60,30,55,25,35,45,50,70,40,60,45,70,10,20,30,55,60,65,60,55,50,5,5,10,0,0,0,80,50,40,50,30,50
60,45,60,20,40,10,35,40,50,30,40,35,45,55,70,20,30,55,60,40,70,50,50,5,5,10,0,0,0,80,30,50,30,30,40
64,65,75,40,60,45,30,55,60,80,65,70,50,85,70,20,15,55,60,65,40,60,50,30,20,40,0,0,0,30,20,20,65,10,20
67,45,75,60,65,25,85,30,50,30,40,40,55,70,10,40,20,30,80,60,25,60,30,5,40,30,0,0,0,25,10,20,50,10,10
68,65,60,50,55,35,75,50,60,70,50,60,40,60,10,30,30,30,30,60,40,50,40,0,0,0,0,0,0,95,0,30,55,20,30
71,75,78,60,65,35,70,55,50,85,40,65,55,70,10,30,20,65,80,60,30,50,45,10,40,40,5,5,5,5,20,25,60,30,40
77,65,70,40,60,45,65,50,60,85,60,70,40,75,20,25,30,50,60,65,30,55,50,5,10,10,0,0,0,80,30,30,60,20,30
89,65,80,20,60,25,25,40,50,85,40,60,60,85,70,10,15,55,50,65,75,60,50,70,5,10,5,5,5,10,30,20,55,30,20
97,65,70,30,60,45,35,50,60,75,65,60,50,80,70,20,25,30,40,55,50,60,50,5,5,10,0,0,0,80,30,20,55,20,30
102,75,60,40,70,65,30,45,50,55,50,40,45,80,20,30,30,50,50,65,30,60,50,5,5,5,0,0,0,90,50,40,60,30,20
108,45,65,30,55,25,35,45,50,30,40,40,55,70,80,20,25,60,70,50,40,55,50,30,10,20,0,0,0,20,30,40,45,20,20
159,55,65,60,55,35,75,50,50,60,40,55,45,60,10,30,20,50,80,60,20,50,40,5,20,30,0,0,5,40,30,20,50,10,50
175,45,65,40,60,30,35,45,50,30,40,35,55,70,30,35,20,30,40,65,40,60,50,5,5,5,0,0,0,90,20,30,50,10,20
185,55,65,30,60,35,30,45,50,55,40,50,45,70,30,30,35,60,60,65,50,55,50,5,20,40,0,0,10,25,30,40,50,30,40
200,45,30,60,45,65,85,70,40,35,40,30,50,20,30,30,40,55,60,50,10,30,30,5,10,20,0,0,5,70,10,20,25,20,60
210,55,60,50,55,35,70,45,50,40,50,45,40,60,10,30,30,50,60,55,30,50,40,5,15,20,0,0,0,60,50,30,50,10,50
214,65,70,20,55,15,30,50,60,75,50,60,40,65,40,20,30,40,30,60,70,50,50,5,5,10,0,0,0,80,10,50,40,30,40
219,65,75,30,60,35,20,45,50,70,40,60,45,80,70,20,25,30,30,55,50,60,50,5,5,10,0,0,0,80,30,20,55,20,30
238,65,60,30,60,55,35,55,50,65,50,50,40,70,70,30,30,50,60,55,40,50,50,10,10,10,0,0,0,80,0,50,50,20,20
245,65,68,30,55,45,35,55,50,75,50,60,40,70,70,20,30,40,45,55,45,50,50,5,5,10,0,0,0,80,50,40,55,20,55
248,65,60,55,60,45,70,55,60,75,50,65,40,70,20,30,35,50,40,60,30,55,45,5,10,15,0,0,0,70,30,30,60,20,40
260,65,75,30,60,40,35,45,60,80,50,65,55,70,70,20,15,70,75,60,55,50,50,10,10,40,10,10,20,10,20,30,60,20,30
278,65,50,40,60,55,45,45,50,55,40,45,35,60,10,30,35,55,50,60,30,50,50,5,5,5,0,0,0,90,20,40,50,20,60
282,45,60,30,65,40,35,45,40,30,40,35,50,70,10,30,30,55,40,60,40,50,50,5,10,10,0,0,0,80,30,40,45,20,20
287,45,40,55,60,55,70,65,50,30,40,35,40,60,10,45,40,55,60,50,20,50,40,5,10,10,0,0,5,70,20,30,45,10,30
295,65,60,45,55,40,70,55,60,70,50,55,40,70,10,30,35,50,60,60,30,50,40,5,5,10,0,0,0,80,30,30,55,20,30
297,65,60,30,65,25,40,40,40,85,30,70,50,70,10,20,30,55,80,70,50,40,50,10,20,30,0,0,0,40,20,40,50,10,20
299,55,40,50,65,60,45,55,40,30,35,30,45,60,20,30,40,60,65,60,25,40,50,10,40,30,0,5,5,10,20,40,45,20,25
313,65,75,60,65,40,70,55,50,70,40,60,50,70,20,30,20,50,60,60,30,50,40,5,10,20,0,0,5,60,20,20,60,10,20
315,65,70,55,65,35,70,40,50,60,50,55,40,80,20,30,20,40,60,60,30,60,40,5,10,10,0,0,0,75,20,30,60,20,20
322,45,40,60,55,45,70,55,30,20,25,30,70,40,10,35,25,60,70,65,20,30,30,5,40,30,5,10,5,10,10,20,30,20,30
332,65,60,30,55,35,30,55,60,65,50,50,40,50,70,30,40,50,60,50,60,45,50,10,10,20,0,0,0,70,50,40,50,30,30
333,75,70,55,70,35,75,40,60,70,50,60,40,85,10,30,20,40,40,65,30,60,40,5,10,10,0,0,0,80,20,20,65,10,15
352,65,45,60,70,65,75,55,40,20,30,35,50,70,5,30,15,75,60,65,10,55,40,5,20,15,5,5,60,5,10,20,50,15,10
366,65,50,55,70,45,75,55,50,60,40,45,45,40,10,30,40,50,70,60,20,40,50,5,15,10,0,0,0,70,30,30,50,20,20
372,65,70,55,60,40,75,50,60,75,50,65,40,70,10,30,20,55,70,60,30,50,40,5,60,20,0,0,5,10,10,20,60,10,20
378,55,60,30,65,25,40,45,50,60,40,50,45,70,30,35,40,55,50,65,55,60,50,5,5,10,0,0,0,80,20,30,55,20,60
381,65,40,50,60,75,70,60,50,45,50,40,40,60,0,30,40,50,10,55,10,50,40,0,10,10,0,0,0,90,10,30,40,20,40
382,45,55,40,50,45,65,50,40,60,30,55,50,35,40,30,55,50,70,55,30,30,50,5,10,30,0,0,0,55,20,30,35,10,30
389,45,75,40,60,30,35,55,50,30,40,40,60,70,80,30,20,65,85,60,40,50,50,10,20,40,10,10,10,10,50,50,45,30,30
421,65,50,30,65,55,35,50,50,60,50,45,40,60,50,30,40,50,50,55,40,50,50,10,10,10,0,0,0,90,10,40,50,20,30
424,75,50,40,65,70,30,50,50,60,50,45,40,60,10,30,40,50,20,60,30,50,50,10,10,10,0,0,10,80,20,40,50,20,30
430,65,70,20,55,15,30,40,60,80,40,60,50,50,60,20,30,50,50,60,85,50,50,10,10,10,0,0,0,80,30,50,40,30,40
446,65,50,55,70,55,70,50,60,40,55,45,50,60,10,35,40,60,80,65,20,50,45,70,20,20,5,10,5,5,30,30,55,20,25
454,45,75,20,60,25,20,30,50,40,30,40,60,85,70,30,20,20,50,60,50,60,50,90,5,5,0,0,0,5,10,20,40,20,10
457,65,75,30,60,30,35,45,60,70,50,65,60,70,80,20,25,70,75,60,65,50,50,20,10,30,40,10,10,10,50,30,55,40,40
483,65,60,55,60,45,75,60,65,60,60,55,40,70,20,30,25,40,45,65,20,55,40,5,10,15,0,0,0,80,30,20,60,10,30
496,65,60,30,55,35,30,45,50,75,40,60,45,70,10,20,30,50,40,60,50,50,50,5,5,5,0,0,0,90,20,30,50,10,30
501,65,75,30,60,35,25,55,60,65,50,60,65,70,70,30,20,75,80,60,60,40,50,5,10,15,50,10,20,5,50,50,55,40,45
515,45,75,30,60,25,20,40,50,40,45,50,60,80,90,30,20,15,20,65,40,60,50,0,0,0,0,0,0,95,50,40,55,30,20
520,65,60,30,65,35,40,50,50,70,50,60,40,60,70,30,40,50,60,60,60,50,50,10,10,10,0,0,0,80,50,50,50,30,60
527,75,70,30,65,45,30,50,60,80,50,60,40,70,60,20,20,50,60,60,40,50,50,10,10,20,0,0,0,70,50,40,60,20,30
530,65,60,40,65,55,45,60,70,75,60,65,50,70,10,30,30,55,40,60,50,55,50,5,5,10,0,0,0,80,20,40,60,30,30
552,55,60,30,65,15,40,40,50,55,45,50,40,60,20,30,40,50,60,60,65,50,50,10,5,15,0,0,0,70,20,50,40,10,30
559,55,75,30,60,25,20,40,50,40,45,40,55,70,70,30,20,55,60,65,60,60,50,10,5,15,0,0,0,70,50,40,55,30,30
594,55,50,40,60,55,45,50,50,45,50,40,40,60,30,30,40,50,60,55,30,50,50,10,10,10,0,0,0,80,50,50,50,20,30
599,65,60,40,65,55,30,55,50,60,45,50,60,60,20,35,30,60,70,60,50,40,45,10,50,20,5,5,5,10,30,40,50,40,60
606,45,60,65,55,30,70,40,50,30,40,45,55,40,10,40,30,50,80,65,30,50,40,5,20,30,0,0,0,45,10,20,40,10,50
612,65,70,30,60,25,35,45,50,75,40,60,55,70,60,20,30,55,60,65,70,65,50,5,5,10,0,0,0,80,30,40,55,30,40
619,40,65,20,45,15,40,40,50,70,40,60,45,50,10,20,30,50,60,70,80,50,50,10,10,10,0,0,0,80,50,50,30,20,20
622,70,65,40,60,65,45,40,50,80,40,60,40,70,10,30,20,50,40,60,20,50,50,5,5,5,0,0,0,90,20,30,60,10,30
626,55,60,30,65,45,35,45,50,40,45,40,50,70,20,30,35,60,70,60,45,50,50,80,10,5,5,5,5,5,50,50,50,30,60
631,45,55,30,50,25,35,45,50,40,50,40,45,60,70,30,40,55,60,55,60,50,50,5,5,10,0,0,0,80,50,50,40,30,30
656,55,50,50,65,45,70,50,60,30,50,40,40,60,10,35,45,50,60,60,20,50,50,5,15,10,0,0,0,70,50,30,50,10,20
657,65,85,40,60,35,25,45,50,80,40,70,75,90,95,20,15,60,90,70,50,60,50,5,10,20,5,5,40,10,30,30,65,40,30
683,45,55,50,55,35,70,45,40,40,30,45,35,40,10,30,40,40,30,60,30,40,50,5,10,10,0,0,0,90,20,30,40,10,60
706,65,60,30,70,55,40,50,60,65,70,50,55,75,60,30,40,50,60,70,45,60,60,5,5,5,0,0,0,90,50,40,60,20,30
718,45,60,20,55,15,30,40,50,30,40,35,40,65,70,25,40,30,35,30,65,60,50,5,5,10,0,0,0,80,20,30,40,30,60
719,65,60,40,65,65,30,50,50,70,50,60,40,70,60,30,30,40,20,60,40,50,50,0,0,0,0,0,0,95,0,40,50,20,40
721,70,75,20,60,15,30,40,50,80,40,60,40,70,60,10,20,50,50,60,85,60,50,10,5,10,0,0,0,70,20,30,40,30,40
747,65,60,20,45,10,30,40,50,60,40,50,30,50,20,20,30,60,40,50,70,50,50,10,10,10,0,0,0,70,10,50,20,30,20
758,65,75,50,60,30,70,45,60,70,55,60,40,80,20,30,20,40,70,65,30,55,40,5,10,15,0,0,0,70,30,20,60,10,20
768,65,75,30,60,35,30,55,50,70,40,60,55,80,70,20,25,30,40,65,60,65,50,0,0,5,0,0,0,95,20,30,60,30,30
774,65,55,50,60,55,70,55,60,65,60,55,40,70,10,30,35,40,45,60,20,50,40,5,5,10,0,0,0,80,30,30,55,10,20
784,65,70,55,60,50,75,50,40,75,30,65,70,60,80,30,20,50,40,60,20,50,40,0,5,5,0,0,0,90,10,20,50,10,30
794,60,75,20,55,15,40,40,50,65,45,50,55,70,75,25,30,60,60,55,80,60,50,30,20,40,5,5,5,20,50,50,40,30,30
804,65,55,40,60,55,45,55,60,75,50,60,40,70,10,30,40,50,40,60,45,50,50,10,10,10,0,0,0,90,50,50,55,30,40
810,65,70,40,60,30,65,45,60,75,50,55,40,80,10,20,25,40,45,60,40,50,45,5,5,10,0,0,0,80,30,30,60,10,20
817,65,70,20,55,10,40,40,60,75,50,60,55,65,30,20,30,60,60,60,80,50,50,80,10,10,0,0,0,0,50,50,40,30,40
820,65,68,30,75,35,25,45,60,40,55,45,50,70,80,20,30,40,60,60,45,60,55,5,10,20,0,0,0,65,30,30,50,10,20
849,75,55,60,70,65,80,60,60,65,50,55,40,70,10,30,30,50,40,60,20,60,40,5,10,10,0,0,0,90,20,20,65,30,30
877,55,60,55,60,45,70,40,50,45,40,45,35,65,10,30,30,50,40,55,30,55,40,5,10,10,0,0,0,80,20,30,50,20,30
884,55,50,60,55,45,75,55,60,40,50,45,50,40,0,45,30,55,40,65,20,40,35,5,40,30,0,0,5,15,10,20,45,10,50
891,65,80,30,70,25,20,55,60,85,50,70,60,85,70,30,20,60,50,65,60,70,50,10,5,40,0,0,0,40,10,20,65,30,20
905,60,55,30,65,45,40,50,50,60,50,55,40,70,10,30,40,50,60,60,50,50,50,10,10,10,0,0,0,80,20,50,50,10,30
