stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,55,50,60,65,55,85,50,60,30,50,40,45,60,10,35,20,50,40,60,20,50,40,5,10,10,5,5,5,80,40,20,50,10,40
2,65,75,30,60,35,20,40,50,80,40,65,60,70,60,20,25,70,80,65,55,45,50,5,5,40,5,5,50,5,30,30,55,20,40
3,65,55,60,75,55,70,40,50,30,40,35,50,70,10,30,20,30,60,65,20,60,40,5,5,5,0,0,0,90,30,20,60,10,20
4,65,75,30,60,30,25,45,50,70,40,55,50,80,20,20,20,60,80,60,65,50,50,5,5,10,5,5,70,5,40,40,60,20,30
5,65,70,30,60,55,20,40,50,80,40,60,50,75,10,20,20,40,40,60,50,50,50,10,10,10,10,10,10,80,30,30,60,10,30
6,45,50,40,60,45,65,40,30,40,30,40,60,40,60,30,40,30,50,50,30,40,60,5,5,5,5,5,5,90,30,40,40,10,30
7,55,60,50,55,40,70,45,60,55,50,50,50,60,10,30,30,50,40,60,40,40,40,5,5,10,5,5,5,70,50,30,50,10,50
8,75,70,20,60,10,40,40,50,85,50,60,50,70,30,20,30,30,40,60,80,50,50,10,10,10,10,10,10,70,50,50,50,50,50
9,70,65,40,75,65,30,55,50,70,50,55,50,70,20,30,30,60,60,65,40,50,50,5,10,10,5,5,5,70,50,30,50,20,30
10,60,45,55,65,50,80,50,50,40,40,40,50,45,30,35,40,60,70,55,25,40,45,10,60,20,5,5,5,5,50,40,45,20,30
11,65,60,40,65,55,30,40,50,70,40,55,50,75,10,30,30,40,50,60,45,50,50,90,10,10,5,5,5,10,50,50,55,20,30
12,70,75,20,60,10,30,40,60,80,50,60,60,70,30,20,30,10,20,60,80,60,50,5,5,5,5,5,5,80,50,50,50,50,50
13,65,55,60,60,55,90,60,50,70,40,55,50,45,20,30,30,50,60,60,20,40,40,5,10,10,5,5,5,80,30,20,50,10,60
14,65,68,45,60,35,70,40,60,80,50,65,55,75,10,30,25,55,60,60,40,50,45,5,5,10,5,5,5,80,50,20,60,10,30
15,55,50,40,55,20,70,40,60,45,50,45,50,60,10,30,40,70,90,60,45,30,50,90,5,5,10,5,5,5,50,50,40,20,40
16,65,50,55,60,65,70,45,60,30,50,40,55,70,10,35,20,55,70,60,20,50,40,90,5,5,5,5,5,5,30,30,50,20,30
17,55,60,45,55,30,70,40,50,50,40,45,40,60,10,30,35,40,60,55,45,45,40,5,15,30,0,5,0,40,30,20,45,10,50
18,65,75,30,60,35,20,45,50,70,40,55,60,70,80,20,25,70,85,60,55,40,50,10,15,20,5,5,70,5,50,50,55,30,30
19,65,75,30,60,30,20,40,50,70,40,55,50,80,60,20,25,30,70,65,60,50,50,5,5,10,0,0,0,80,30,30,55,10,40
20,65,70,40,60,30,60,50,40,80,30,60,50,70,10,20,20,80,80,60,40,40,50,5,5,10,5,5,80,5,30,40,50,10,20
21,65,70,30,60,30,25,45,50,60,50,55,50,75,80,20,20,40,60,55,65,50,50,30,10,20,5,5,5,40,50,40,60,10,40
22,65,60,45,60,40,60,45,50,75,40,60,50,65,70,30,35,30,40,60,40,50,50,5,5,5,5,5,5,80,30,30,55,10,60
23,65,60,50,65,45,70,40,60,60,50,55,50,75,10,30,30,40,70,60,30,50,40,10,10,30,0,0,0,50,40,30,60,10,30
24,65,50,55,70,75,85,40,50,45,40,35,45,70,10,30,20,60,70,60,15,60,40,5,5,5,0,0,0,90,30,20,55,10,20
25,65,70,30,60,55,35,45,60,75,50,55,50,80,60,20,25,40,50,60,40,50,50,5,5,10,0,0,0,80,50,20,60,10,40
26,60,75,30,65,35,30,50,40,60,30,50,50,80,70,20,20,40,40,55,60,60,50,10,10,10,0,0,0,80,20,20,50,10,20
27,65,70,30,60,45,20,40,50,80,40,60,50,75,70,20,20,50,60,55,40,45,50,50,10,20,5,5,5,40,50,20,55,10,30
28,60,65,55,60,35,75,45,50,40,40,45,50,70,10,30,20,40,80,55,30,50,45,10,60,20,0,0,0,0,30,30,55,20,30
29,65,60,60,65,40,85,55,50,60,40,55,50,70,20,30,25,60,80,60,30,50,40,10,40,30,5,5,10,40,30,20,50,10,30
30,65,60,35,65,55,30,45,50,75,40,60,50,65,70,20,25,40,45,60,50,45,50,5,5,10,5,5,5,80,30,20,55,15,60
31,45,40,60,55,65,60,50,30,40,35,50,55,40,30,40,35,50,60,55,25,45,40,10,10,10,5,5,5,80,20,30,40,15,50
32,65,75,30,60,35,30,40,50,80,40,60,50,70,70,20,20,60,60,60,50,50,50,20,10,30,5,5,5,10,50,30,50,10,40
33,70,75,10,40,5,45,50,50,60,40,45,55,70,30,20,30,20,40,55,85,50,50,10,10,10,10,10,10,70,30,50,40,30,30
34,65,75,30,60,25,35,40,50,90,40,60,55,70,70,20,30,50,70,55,70,45,50,20,10,30,5,10,5,40,40,40,55,10,60
35,45,60,55,65,40,80,45,50,30,40,45,55,60,20,35,30,50,70,75,35,50,40,10,15,20,5,5,5,70,40,20,45,10,30
36,65,60,55,70,45,75,40,50,55,40,45,45,80,20,30,25,40,80,60,30,60,40,10,40,30,5,5,5,40,30,20,60,20,20
37,65,70,10,45,10,30,40,50,40,40,35,50,70,30,15,20,30,30,55,80,50,50,10,10,10,10,10,10,70,30,50,40,20,30
38,65,60,55,65,45,80,40,60,65,50,55,45,75,10,30,20,30,40,60,30,55,40,5,5,5,5,5,5,85,50,20,60,10,30
39,65,68,35,60,45,25,55,50,75,40,55,45,70,30,20,25,60,60,55,50,45,50,5,5,10,0,5,5,80,30,30,55,10,30
40,70,65,55,65,45,80,50,60,70,60,55,50,80,10,30,20,30,60,60,30,50,40,5,5,5,0,0,0,80,50,20,60,10,20
41,45,55,50,55,40,70,45,40,60,30,55,60,40,20,35,40,40,30,60,35,50,40,10,20,20,5,5,5,70,30,30,45,30,30
42,65,70,40,60,45,30,50,55,60,50,55,50,70,30,30,20,75,80,55,45,40,50,5,5,20,30,10,60,5,50,50,55,20,40
43,65,70,30,60,40,20,60,50,80,40,60,50,75,70,20,25,50,70,55,65,40,50,10,10,15,5,5,5,80,30,30,55,10,30
44,65,60,40,60,25,70,45,70,60,50,55,50,70,10,30,35,60,90,60,50,40,50,90,5,5,5,5,5,5,50,40,55,10,40
45,65,70,50,60,35,80,40,60,70,40,60,60,70,0,30,20,90,80,70,40,30,40,0,0,5,0,0,95,0,30,20,50,10,20
46,65,75,40,60,25,70,30,50,80,40,60,50,85,10,20,15,40,80,65,40,55,45,5,5,10,0,0,0,70,30,20,60,10,30
47,70,75,20,60,15,30,40,50,70,40,55,50,70,60,20,25,60,50,65,80,50,50,10,5,10,5,5,5,70,30,50,40,20,30
49,60,70,55,65,25,80,40,50,60,40,50,55,70,10,30,20,60,80,65,30,50,40,5,60,20,0,0,0,10,30,20,50,10,30
50,65,70,40,60,25,70,40,60,75,50,55,50,80,10,20,20,40,90,60,40,50,40,90,5,5,5,5,5,5,30,30,50,10,30
51,65,70,30,60,30,20,45,55,75,50,60,55,70,30,20,25,60,80,55,65,40,50,30,20,40,10,15,10,5,50,40,55,20,30
52,60,65,55,65,30,70,40,50,40,45,40,55,70,10,30,20,55,80,60,30,50,40,20,40,30,5,10,5,5,50,30,55,20,30
53,55,70,30,60,20,35,45,50,55,40,45,50,70,80,20,30,50,70,60,65,50,50,30,10,30,5,5,5,30,50,50,50,10,30
54,55,65,50,60,30,80,40,60,45,50,50,50,70,10,30,20,20,40,55,30,50,40,5,5,10,0,0,0,80,50,20,55,10,60
55,65,60,30,65,25,40,45,50,75,40,60,50,70,10,20,30,60,70,65,55,50,50,10,10,10,0,0,0,80,30,40,50,10,60
56,60,75,40,65,40,30,55,45,85,30,70,70,75,60,20,15,60,80,70,65,40,50,5,10,40,5,5,15,5,30,30,50,20,30
57,70,75,20,60,15,30,40,65,80,50,60,60,70,20,10,20,60,70,65,85,50,50,90,5,5,5,5,5,5,50,50,50,10,50
58,65,70,30,60,45,25,55,50,75,40,60,55,70,10,20,20,60,40,60,50,50,50,5,5,10,5,5,5,80,30,30,60,10,30
59,70,65,20,60,15,40,40,50,80,40,60,50,70,20,20,30,50,50,60,70,50,50,10,10,10,10,10,10,80,40,50,50,20,30
60,60,70,20,55,10,40,45,50,50,40,45,50,60,70,20,30,30,40,50,80,50,50,10,10,10,10,10,10,70,50,50,50,50,50
61,65,70,30,60,20,40,40,50,55,40,45,50,80,10,20,30,60,70,65,75,50,50,10,20,30,0,0,0,40,50,50,50,10,30
62,65,55,30,60,20,40,40,60,60,50,55,45,70,10,30,40,30,40,65,55,50,50,10,5,10,5,5,5,80,50,50,50,10,60
63,65,70,60,65,35,85,40,50,60,40,55,50,70,10,30,20,60,60,60,30,50,40,5,15,10,0,0,0,70,50,20,60,10,30
64,65,75,40,60,45,30,45,50,80,50,60,55,80,70,20,15,55,60,60,40,50,50,20,10,40,5,5,5,40,50,20,60,10,30
65,65,50,55,60,65,70,50,50,40,45,40,40,70,20,35,30,60,70,55,20,50,45,5,5,5,5,5,5,85,30,20,55,20,30
66,55,50,40,55,30,60,45,50,70,40,55,45,50,50,30,40,60,60,50,45,40,50,10,10,15,5,5,5,70,30,40,45,10,30
67,55,75,60,65,30,80,40,50,40,30,45,50,70,20,35,20,40,80,60,30,55,40,10,30,30,0,0,0,40,30,20,50,10,30
68,65,60,45,55,35,70,40,60,75,50,60,55,60,10,30,35,30,40,60,40,45,40,5,5,10,5,5,5,80,50,20,55,10,30
69,60,70,30,65,30,30,45,50,80,40,60,50,70,80,20,30,50,80,60,60,40,50,10,10,30,0,0,0,50,50,30,50,10,60
70,65,60,55,60,50,70,50,50,60,50,55,50,70,20,30,30,40,40,60,30,50,50,5,5,5,5,5,5,80,50,30,55,20,60
71,65,70,50,60,30,80,50,60,85,40,65,55,70,10,30,20,60,80,60,40,40,40,10,20,40,5,5,10,5,30,20,55,10,30
