stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
927,65,60,45,70,40,80,40,60,55,50,45,50,75,10,30,35,50,60,65,30,50,50,5,5,10,0,0,5,80,50,20,55,10,20
683,55,50,55,55,35,70,45,50,55,40,50,50,40,10,40,45,60,60,60,40,40,50,5,5,10,0,0,5,80,30,40,50,20,70
366,60,55,50,65,45,80,50,50,70,40,45,40,55,20,30,40,50,70,60,30,40,40,10,20,20,0,0,0,80,30,30,45,10,20
656,65,55,50,70,45,90,50,60,40,50,45,50,60,10,30,40,60,40,60,30,50,50,5,10,10,0,0,0,80,50,20,55,10,30
657,65,85,40,70,45,20,40,50,80,40,60,60,85,70,20,10,60,80,65,50,50,50,5,5,30,5,5,50,5,50,50,60,10,30
530,65,60,40,60,45,40,55,50,75,40,60,50,70,20,30,30,60,40,60,50,50,50,10,10,10,0,0,0,80,30,40,55,20,30
322,45,40,60,55,40,70,50,30,20,25,30,60,40,0,30,20,60,70,65,20,30,30,10,40,30,5,10,5,10,20,30,35,20,40
71,65,70,50,60,30,80,50,50,80,40,60,50,70,10,30,20,70,90,60,40,40,50,20,30,40,10,10,10,10,50,30,60,20,40
372,70,75,50,65,40,80,45,60,85,55,65,50,75,10,20,15,40,70,60,30,40,40,5,40,30,0,0,0,10,50,20,60,10,30
979,65,60,55,65,50,80,50,60,60,50,55,50,70,20,40,30,50,70,60,30,55,40,10,10,10,0,0,0,90,40,20,60,10,20
299,55,40,45,65,55,40,50,40,30,40,35,45,50,20,35,40,60,60,60,30,40,50,20,30,40,10,10,10,10,50,50,45,20,30
102,65,55,40,60,60,30,45,50,55,50,45,40,70,20,30,35,60,50,60,30,50,50,5,5,5,5,5,5,80,50,20,55,20,30
960,65,75,30,60,40,35,45,50,70,40,60,55,70,60,20,25,75,80,65,55,40,50,5,5,10,5,5,80,5,30,30,55,20,30
606,45,60,55,65,35,80,40,50,40,30,45,50,60,10,30,30,50,10,60,30,40,40,5,20,20,0,0,0,50,30,20,45,10,60
238,65,60,40,60,55,45,55,50,70,50,55,50,70,70,30,30,50,40,55,40,50,50,10,10,20,5,5,5,70,50,50,50,20,30
594,60,55,45,65,50,40,45,50,55,50,50,50,70,60,30,30,60,60,60,40,50,50,10,10,10,5,5,5,80,50,50,50,20,40
389,55,75,40,60,30,30,45,50,30,40,45,60,70,80,30,20,60,80,60,40,50,50,20,20,40,10,10,20,10,50,50,50,20,30
884,55,55,60,55,45,80,50,60,40,50,50,50,40,0,30,30,60,50,60,20,40,40,10,30,30,5,5,5,50,50,20,50,10,60
245,65,70,30,60,40,20,55,60,75,50,55,50,70,80,20,25,30,50,55,60,50,50,5,5,10,5,5,5,80,40,30,55,20,50
210,60,65,55,60,35,85,45,60,55,50,55,50,70,10,30,25,60,70,65,30,50,45,5,20,25,0,5,5,40,50,30,55,10,60
260,65,75,30,60,40,25,45,50,80,40,60,55,70,30,20,20,60,80,65,50,40,50,40,10,40,10,10,10,10,50,50,55,10,40
159,65,70,60,65,35,85,45,50,60,40,55,50,60,10,30,20,50,80,60,30,40,40,5,15,20,0,0,0,60,30,10,55,10,60
496,65,60,30,60,40,45,45,50,80,40,60,50,70,10,20,30,60,60,65,55,40,50,10,10,10,10,10,10,80,30,40,55,10,50
527,65,68,35,60,45,25,50,55,75,50,60,55,70,70,20,25,50,60,55,50,45,50,10,15,30,5,5,5,70,40,30,55,20,40
295,65,60,45,60,40,70,50,60,70,55,55,40,70,10,30,30,40,60,55,30,45,40,5,5,10,0,5,5,80,50,20,55,10,30
804,65,55,40,60,50,45,55,50,70,40,55,45,70,10,30,35,60,40,60,40,45,50,10,10,10,5,5,5,80,30,40,50,20,30
955,65,70,30,60,45,20,40,50,75,40,55,50,70,60,20,25,55,80,60,50,40,50,30,10,30,5,5,5,10,30,20,55,10,30
381,65,40,55,60,75,85,55,50,45,40,40,45,60,5,35,40,50,30,55,20,45,40,5,5,5,5,5,5,80,30,20,45,20,40
24,65,50,60,70,75,90,50,50,40,40,40,50,70,10,30,20,50,70,60,10,60,40,5,5,5,0,0,0,90,30,20,60,20,30
817,70,75,20,60,10,30,40,60,70,50,55,50,65,30,10,20,60,70,60,80,50,50,90,5,5,5,5,5,5,50,50,40,10,50
810,65,68,45,60,35,75,40,60,70,55,55,50,75,10,30,25,50,40,60,40,50,45,5,5,10,0,5,5,80,50,20,60,10,30
483,65,60,55,65,45,85,50,70,60,50,55,50,70,10,30,20,30,40,60,30,50,40,5,5,10,0,0,0,85,30,20,60,10,30
446,60,55,50,70,50,70,50,60,40,50,40,50,70,20,30,30,60,80,60,20,50,50,80,10,10,0,10,0,0,50,30,50,20,30
200,60,45,55,50,55,70,65,50,40,40,45,50,30,30,35,40,55,60,50,25,30,35,5,10,20,5,10,5,70,30,20,40,10,60
501,65,70,30,60,30,25,45,50,60,40,55,60,75,80,20,20,70,85,65,55,40,50,10,5,15,40,10,60,5,30,30,55,20,40
774,60,55,50,60,45,75,50,60,65,50,55,50,70,10,30,30,40,40,60,30,50,40,5,5,5,5,5,5,80,50,20,55,10,30
721,75,70,20,60,15,40,45,50,85,40,65,55,70,60,10,20,55,50,60,80,50,50,20,10,30,5,5,5,40,50,50,50,10,60
454,45,75,30,60,25,20,30,70,55,40,50,65,85,70,35,20,30,60,65,60,55,50,95,5,5,5,5,5,5,40,20,50,20,30
930,60,45,55,65,50,75,60,50,40,40,40,45,65,20,40,30,60,70,60,20,55,40,5,15,10,0,0,5,70,30,20,50,10,20
40,65,60,55,65,45,80,50,60,70,50,55,45,80,10,30,20,40,60,60,25,55,40,5,5,5,0,0,0,80,40,20,60,10,30
820,65,60,30,70,35,25,45,50,40,55,45,50,75,70,20,30,40,60,60,45,50,50,5,5,15,0,0,0,70,50,20,55,10,30
352,60,55,65,70,65,85,50,40,20,30,35,50,75,10,30,20,70,40,65,15,60,45,5,10,20,5,5,75,5,25,30,55,20,30
67,55,75,60,65,30,85,40,50,30,40,45,55,70,10,35,20,45,80,60,30,55,40,5,20,30,0,0,0,50,50,20,60,10,30
278,65,45,40,60,55,45,45,50,55,40,45,40,60,10,30,35,60,40,55,30,40,50,5,5,5,5,5,5,80,30,40,50,20,60
297,65,70,40,60,30,45,40,30,90,30,60,50,70,10,20,20,40,80,60,50,40,50,10,20,30,0,0,0,50,30,40,50,10,30
599,65,55,40,60,45,30,50,40,60,30,45,40,50,10,30,30,60,70,55,40,30,40,10,70,20,0,0,0,0,30,40,45,20,60
849,75,50,60,70,65,80,55,60,60,50,45,40,70,10,30,20,30,40,65,15,55,40,5,5,5,5,5,5,85,50,10,60,20,40
424,70,55,40,65,65,30,50,50,70,40,50,45,70,10,30,30,60,30,60,40,50,50,5,5,5,0,0,0,90,20,30,60,20,30
758,75,70,55,65,30,85,40,60,70,40,60,50,80,10,30,20,30,80,60,30,60,40,5,15,10,0,0,0,70,30,20,70,10,20
185,65,70,30,60,35,25,45,50,55,40,50,55,75,30,20,25,60,70,60,50,50,50,10,20,30,5,5,15,20,50,40,55,20,60
64,65,75,40,60,45,30,45,50,80,50,60,55,80,70,20,15,60,40,65,50,55,50,20,10,30,5,5,5,40,50,20,60,10,30
891,65,75,30,70,25,20,45,60,85,50,60,55,80,70,20,25,40,60,65,70,60,50,10,5,40,5,5,5,30,50,20,55,10,20
287,45,35,55,60,50,70,65,50,20,40,30,40,60,10,30,40,50,40,55,15,45,40,10,10,10,5,5,5,80,30,20,40,10,40
794,65,70,20,60,15,30,40,50,75,40,55,50,70,80,20,30,50,40,60,80,50,50,30,10,30,5,5,5,10,50,50,40,10,30
97,70,75,30,65,45,20,40,60,80,50,65,55,80,70,20,25,20,30,60,60,50,50,5,5,10,5,5,5,85,50,20,60,10,30
934,65,70,30,60,35,25,40,55,75,50,55,50,80,70,20,20,40,60,60,50,45,50,10,5,15,0,5,5,70,40,30,60,10,30
332,60,65,30,55,40,20,55,50,70,45,50,40,50,70,20,30,60,60,55,60,40,50,10,10,20,5,5,5,70,40,30,50,10,30
315,65,68,45,60,40,75,40,55,60,40,50,45,75,20,30,25,50,60,55,30,55,40,5,5,10,0,0,0,70,30,20,50,10,20
921,65,60,30,70,30,35,45,60,70,50,45,55,75,30,20,30,30,90,65,50,40,50,95,5,5,5,5,5,5,40,40,55,20,25
622,65,55,40,60,55,45,45,50,70,40,55,45,70,10,30,35,50,40,60,40,50,50,10,10,10,5,5,5,80,30,40,55,20,40
108,55,70,30,60,25,35,45,50,40,45,40,55,75,80,20,25,60,70,55,50,50,50,30,10,30,5,5,10,10,50,50,50,20,30
945,70,65,55,70,60,85,50,60,75,40,55,45,80,10,30,20,40,60,65,25,60,40,5,5,5,0,0,0,90,30,20,65,20,30
313,65,70,55,60,40,75,55,60,70,50,60,55,70,20,30,25,50,70,60,40,50,40,10,20,30,5,5,5,70,40,20,60,20,30
