candidate_label,election_id,raw_response
G1995MS0273T0545,273.0,Robert H. Henry
G1996DE0265N0530,265.0,Cynthia L. Cooper
G1995MS0273N0546,273.0,George H.W. Bush
G1996IN0266N0532,266.0,Richard L. Trumka
G1995LA0272T0543,272.0,Charles R. Drew
G1996DE0265T0529,265.0,Robert Reich
G1996NC0267N0534,267.0,John Ashcroft
G1996ND0268N0536,268.0,Richard L. Trumka
G1996IN0266T0531,266.0,John C. Whitehead
G1996ND0268T0535,268.0,John L. Smith
G1996UT0269T0537,269.0,Robert Dole
G1996NC0267T0533,267.0,Robert McNamara
G1996UT0269N0538,269.0,John H. Sununu
G1996WV0271N0542,271.0,John Ashcroft
G1997NJ0263T0525,263.0,Robert F. Kennedy
G1996WV0271T0541,271.0,Susan Anton
G1997VA0264T0527,264.0,Robert McNamara
G1997NJ0263N0526,263.0,Carla Hills
G1997VA0264N0528,264.0,Richard Lugar
G1998AL0237T0473,237.0,Richard M. Nixon
G1998AZ0238N0476,238.0,Sandra Day O'Connor
G1998AL0237N0474,237.0,Robert Dole
G1998AZ0238T0475,238.0,Christopher Walken
G1998CA0239T0477,239.0,Bill Frist
G1998CA0239N0478,239.0,William F. Buckley Jr.
G1998CT0241T0481,241.0,Betty Ford
G1998CO0240N0480,240.0,Bill Richardson
G1998CO0240T0479,240.0,Elizabeth Dole
G1998CT0241N0482,241.0,John Thune
G1998FL0242N0484,242.0,Jeb Bush
G1998FL0242T0483,242.0,Robert F. Kennedy
G1998GA0243T0485,243.0,John H. Sununu
G1998GA0243N0486,243.0,George R. R. Martin
G1998IA0246N0492,246.0,Robert F. Kennedy
G1998HI0244T0487,244.0,Tinian M. Mendiola
G1998HI0244N0488,244.0,Susan Wojcicki
G1998IL0245T0489,245.0,William F. Weld
G1998IL0245N0490,245.0,Gordon B. Hinckley
G1998MA0249N0498,249.0,Robert F. Kennedy
G1998KS0247T0493,247.0,Carlos M. Valdes
G1998KS0247N0494,247.0,John M. O'Connor
G1998MA0249T0497,249.0,John F. Kennedy
G1998MD0248T0495,248.0,William F. Buckley Jr.
G1998MD0248N0496,248.0,Elizabeth Dole
G1998MI0250N0500,250.0,Richard L. Thomas
G1998MI0250T0499,250.0,Kevin Nealon
G1998NE0251T0501,251.0,John Ashcroft
G1998NE0251N0502,251.0,George W. Bush
G1998NM0253T0505,253.0,David M. Rubenstein
G1998NV0252N0504,252.0,Robert Loggia
G1998NM0253N0506,253.0,Richard D. Zane
G1998NY0254T0507,254.0,John H. Glenn Jr.
G1998NV0252T0503,252.0,Barbara Boxer
G1998NY0254N0508,254.0,William F. Weld
G1998OH0255T0509,255.0,Robert J. Dole
G1998OK0256T0511,256.0,Mary Bono
G1998OH0255N0510,255.0,John Ashcroft
G1998OR0257T0513,257.0,Willard Scott
G1998OK0256N0512,256.0,John W. Snow
G1998OR0257N0514,257.0,Richard L. Trumka
G1998PA0258T0515,258.0,Milton Friedman
G1998PA0258N0516,258.0,Richard M. Daley
G1998RI0259N0518,259.0,John C. Stennis
G1998RI0259T0517,259.0,Sarah McBride
G1998SC0260N0520,260.0,John F. Kennedy
G1998SC0260T0519,260.0,John Ashcroft
G1998SD0261T0521,261.0,John H. Glenn Jr.
G1998SD0261N0522,261.0,"Robert ""Bob"" Dole"
G1998TN0262T0523,262.0,Frank Sinatra
G1999KY0234N0468,234.0,Betty Ford
G1999KY0234T0467,234.0,William H. Rehnquist
G1998TN0262N0524,262.0,William F. Buckley Jr.
G1999LA0235N0470,235.0,Richard L. Trumka
G1999LA0235T0469,235.0,James Baldwin
G1999MS0236T0471,236.0,John H. Sununu
G2000MO0225N0450,225.0,John H. Marburger III
G1999MS0236N0472,236.0,Joe Biden
G2000MO0225T0449,225.0,John H. Sununu
G2000MT0226N0452,226.0,Sister Helen Prejean
G2000NC0228N0456,228.0,John H. Sununu
G2000MT0226T0451,226.0,John Major
G2000ND0229T0457,229.0,Mary Beth Kelleher
G2000NC0228T0455,228.0,John H. Sununu
G2000ND0229N0458,229.0,Richard M. Daley
G2000UT0230T0459,230.0,David R. D'Amato
G2000UT0230N0460,230.0,John Ashcroft
G2000NH0227T0453,227.0,Mary Landrieu
G2000VT0231N0462,231.0,Patricia Ireland
G2000VT0231T0461,231.0,Greg Abbott
G2000WA0232N0464,232.0,John Hickenlooper
G2000WV0233T0465,233.0,Richard Lugar
G2000WA0232T0463,232.0,Tatsuo Kawabata
S2000AZ0121N0242,121.0,John H. Glenn Jr.
S2000AZ0121I0241,121.0,Stephen Breyer
G2000WV0233N0466,233.0,John C. Whitehead
S2000CA0122N0244,122.0,Richard Nixon
S2000DE0123T0245,123.0,John H. Sununu
S2000DE0123N0246,123.0,Daniel Patrick Moynihan
S2000FL0124N0248,124.0,David Koresh
S2000FL0124T0247,124.0,Robert Schuller
S2000CA0122T0243,122.0,Betty Ford
S2000GA0125N0250,125.0,William F. Buckley Jr.
S2000GA0125T0249,125.0,George H.W. Bush
S2000HI0126N0252,126.0,Arthur C. Clarke
S2000HI0126T0251,126.0,Toru Takemitsu
S2000IN0127T0253,127.0,John Kasich
S2000IN0127N0254,127.0,Richard Lugar
S2000MA0128T0255,128.0,Bill Richardson
S2000MA0128N0256,128.0,John Lewis
S2000MD0129T0257,129.0,William F. Buckley Jr.
S2000MD0129N0258,128.0,Arthur M. Schlesinger Jr.
S2000ME0130T0259,130.0,Bill Gates
S2000ME0130N0260,130.0,Madeleine Albright
S2000MI0131N0262,131.0,Carlos Mencia
S2000MI0131T0261,131.0,Barbara Jordan
S2000MN0132T0263,132.0,John H. Sununu
S2000MN0132N0264,132.0,John Major
S2000MO0133T0265,133.0,Charles Rangel
S2000MO0133N0266,133.0,Robert Dole
