stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,55,50,65,70,65,95,50,75,20,60,40,50,60,10,30,30,20,60,70,30,60,50,0,0,0,0,0,0,95,50,50,70,50,60
2,75,70,40,70,35,5,40,60,85,50,75,65,75,80,20,20,60,85,70,70,50,60,5,10,40,10,10,50,10,50,50,70,50,60
3,70,50,55,75,60,90,40,80,50,60,50,50,85,10,30,40,10,40,70,30,70,50,0,0,0,0,0,0,100,50,50,80,50,20
4,75,82,35,72,22,5,30,65,68,50,60,55,88,45,10,20,55,85,65,80,50,50,10,25,45,15,15,35,30,50,50,75,50,40
5,75,65,40,60,55,5,40,70,85,50,70,50,70,10,20,30,10,40,70,60,50,50,0,0,0,0,0,0,100,0,50,60,50,40
6,60,50,40,60,45,85,30,50,40,50,45,50,40,60,30,30,15,30,50,40,50,60,0,0,0,0,0,0,95,0,40,50,30,60
7,65,60,45,55,30,90,40,70,50,60,55,40,50,10,30,30,20,30,55,50,40,50,0,0,5,0,0,0,95,50,20,60,40,60
8,85,80,10,50,5,40,40,70,95,60,75,50,85,60,5,30,10,30,70,95,50,50,0,0,0,0,0,0,95,50,50,50,50,50
9,80,50,30,70,75,10,60,70,85,60,70,40,75,40,10,40,30,40,65,60,50,60,0,10,20,0,0,0,80,0,20,60,50,30
10,55,45,50,70,55,100,60,50,40,50,45,50,40,30,30,40,65,85,60,35,50,50,10,40,50,10,10,5,30,0,50,50,50,40
11,75,65,40,70,45,10,40,70,80,60,70,50,80,10,20,30,35,60,70,60,50,60,95,5,10,5,5,0,5,50,50,75,50,40
12,85,75,10,50,5,45,40,70,85,60,70,50,75,40,5,30,5,10,70,95,50,50,0,0,0,0,0,0,100,0,50,10,50,50
13,75,60,50,65,60,95,60,70,85,60,70,40,50,20,20,30,20,50,60,60,50,50,0,0,0,0,0,0,95,0,50,60,50,90
14,78,65,45,68,30,85,40,82,88,75,72,40,75,15,20,35,15,60,70,60,55,50,0,0,5,0,0,0,95,50,50,70,60,50
15,65,60,40,60,20,85,30,70,50,50,45,40,60,20,30,35,60,90,55,60,40,50,95,5,10,10,5,0,0,0,50,60,50,40
16,65,50,60,65,75,90,50,60,40,55,45,50,75,25,35,30,40,20,60,40,50,50,95,5,5,5,5,0,5,0,50,70,50,50
17,70,65,40,60,20,85,30,75,50,60,50,40,70,10,20,30,20,70,60,60,50,50,5,10,30,5,5,5,85,50,50,60,50,50
18,75,72,35,68,30,5,45,60,75,50,65,55,85,85,10,15,65,85,60,70,50,50,70,20,15,10,10,10,10,50,50,70,50,50
19,75,80,40,70,25,5,30,60,70,50,65,55,85,40,20,20,15,60,70,75,50,50,0,0,0,0,0,0,100,50,50,70,50,60
20,75,65,40,60,25,70,45,50,80,50,70,50,80,20,20,30,75,90,60,70,50,50,5,10,20,10,10,90,5,50,50,60,50,40
21,75,78,35,72,25,5,40,65,55,50,50,55,85,85,20,20,30,75,60,75,50,50,65,10,15,10,10,0,40,50,50,70,50,50
22,70,60,40,55,30,85,35,50,80,50,70,60,50,80,30,60,15,20,60,65,50,60,0,0,0,0,0,0,95,0,40,50,40,70
23,70,55,50,65,45,90,45,80,60,70,50,30,75,10,20,40,30,80,60,40,50,50,0,0,10,0,0,0,90,0,50,70,50,50
