stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,55,48,62,65,52,95,50,70,35,60,40,45,45,15,30,35,25,75,70,30,60,50,5,15,20,5,5,5,95,30,15,65,40,55
2,75,70,45,65,35,10,45,60,85,60,80,65,75,70,15,25,45,85,75,65,60,60,10,25,65,30,30,50,40,20,40,65,55,60
3,65,50,45,80,55,95,50,70,40,55,40,50,85,15,45,55,25,45,75,35,75,55,5,10,15,5,5,5,95,20,40,75,40,30
4,72,76,38,68,26,8,42,62,68,52,65,55,78,45,22,28,45,88,72,74,62,58,12,25,45,18,15,62,32,20,42,68,48,42
5,78,68,38,68,42,12,42,72,88,62,78,52,76,22,18,32,22,62,82,64,68,58,2,5,8,1,3,1,96,30,35,68,50,52
6,55,45,40,55,42,75,50,65,45,50,55,52,40,70,35,40,25,40,45,35,50,75,0,5,10,0,5,0,95,30,60,35,40,65
7,62,54,52,55,32,95,50,75,45,60,55,40,45,15,40,35,25,75,65,45,50,45,5,15,25,5,10,5,85,30,35,45,35,65
8,85,75,10,55,3,45,45,75,90,60,80,50,80,55,10,20,20,40,85,95,65,50,10,10,15,5,5,5,90,30,10,5,70,45
9,75,45,35,70,62,10,55,65,80,65,68,45,60,45,15,40,25,60,70,40,60,65,5,20,45,5,5,5,75,10,35,60,50,35
10,55,45,52,70,45,95,55,65,35,50,40,45,45,30,35,55,35,85,60,30,50,60,10,40,65,10,15,5,60,30,35,45,40,45
11,75,65,40,70,42,20,45,65,75,50,70,50,80,15,25,35,30,75,75,60,65,60,95,5,10,15,10,2,10,20,40,70,45,45
12,85,75,15,60,4,45,45,70,80,60,75,50,70,45,10,35,10,25,80,90,70,50,0,0,5,0,0,0,98,30,10,20,70,50
13,75,55,52,65,45,95,55,75,85,65,70,45,50,20,25,40,25,70,75,35,60,50,2,10,15,2,5,2,95,30,30,65,30,80
14,78,68,42,68,32,82,48,75,88,72,80,45,78,18,22,35,22,62,78,65,72,52,2,5,12,2,2,1,94,30,35,74,55,52
15,55,52,45,60,20,85,40,65,40,50,48,45,50,25,35,45,45,95,65,55,40,50,98,5,15,30,10,2,5,30,45,40,45,55
16,62,45,55,68,68,88,50,65,35,50,42,48,65,25,28,22,42,35,62,20,55,50,95,5,10,15,15,2,5,30,20,58,45,55
17,60,55,48,58,24,85,48,65,45,50,52,45,55,15,35,40,30,75,65,55,55,50,5,15,45,5,10,5,75,50,40,52,45,65
18,68,70,35,62,28,8,45,60,72,50,65,55,78,85,18,25,55,95,70,68,62,52,85,35,25,20,15,15,10,30,45,65,50,40
19,75,72,38,65,24,12,42,65,74,58,70,48,78,75,22,28,20,62,82,76,68,55,2,5,10,1,2,1,95,30,45,68,45,58
20,68,58,42,62,24,82,48,65,78,50,70,45,75,12,22,35,65,95,78,62,48,58,10,15,35,15,15,75,15,30,45,58,40,45
21,65,68,40,62,28,10,42,60,52,50,55,45,72,85,35,30,25,75,60,65,62,55,50,15,30,20,25,5,60,30,45,58,45,50
22,75,68,40,65,32,70,45,60,85,55,75,60,55,75,25,45,20,30,70,60,65,65,5,5,10,5,5,5,95,10,45,45,40,85
23,65,55,45,65,42,85,50,60,65,50,60,45,65,15,30,40,30,75,65,45,60,55,35,15,45,10,15,5,60,30,40,60,40,45
24,65,45,60,75,75,90,50,70,55,60,55,50,85,15,40,30,25,15,70,25,85,50,2,5,10,2,2,2,95,20,15,80,55,20
25,75,62,38,68,48,10,45,72,82,65,70,45,68,75,15,25,20,40,72,52,68,55,2,5,10,2,5,2,95,30,35,72,55,65
26,68,76,35,62,28,8,42,65,58,50,58,55,78,72,32,22,22,38,68,74,68,55,5,10,15,2,2,2,92,20,40,62,55,30
27,78,68,35,68,40,10,45,65,85,60,75,45,75,75,12,30,32,62,78,65,62,58,35,15,40,15,20,5,55,20,45,68,50,52
28,62,65,45,68,28,85,45,55,42,50,48,45,78,15,30,35,35,90,65,55,58,55,30,60,50,10,15,5,45,30,40,62,45,45
29,65,60,55,62,32,95,50,65,58,50,58,45,60,15,38,30,35,85,65,48,55,50,5,65,40,5,5,5,75,30,40,58,45,55
30,78,62,35,65,40,12,45,68,85,60,78,48,60,70,12,30,18,35,75,65,70,62,2,5,10,2,5,2,95,30,30,68,50,82
31,50,40,52,50,62,48,54,60,45,45,55,40,42,35,45,40,30,60,50,30,55,60,5,10,15,5,5,5,85,30,55,45,35,75
32,78,74,35,68,28,8,42,65,88,62,78,48,76,85,12,25,38,62,78,72,62,60,25,20,65,20,30,5,55,35,45,68,50,58
