stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,75,65,40,70,42,20,45,60,75,50,68,50,80,15,25,35,30,75,75,60,65,65,95,5,10,10,5,2,10,10,45,70,45,45
24,68,45,58,78,75,95,50,65,52,55,55,50,85,15,38,22,20,15,72,25,85,50,2,5,8,1,1,1,95,30,30,82,45,20
31,50,40,55,52,62,45,52,60,45,40,55,45,40,35,45,40,30,65,55,30,55,60,5,10,15,5,5,5,85,10,50,40,30,75
40,68,54,55,67,45,95,55,75,72,62,68,42,85,12,38,28,22,72,75,35,78,45,2,8,15,2,5,2,95,30,25,82,50,35
55,72,62,35,60,15,70,45,75,78,65,70,52,58,15,30,40,22,78,75,76,65,50,5,10,20,5,5,2,92,30,35,45,40,75
60,75,65,15,50,4,20,45,65,40,50,45,45,55,70,10,25,15,35,45,85,60,50,0,5,10,0,5,0,95,30,10,5,60,70
64,76,72,42,68,38,10,45,65,82,58,78,52,80,85,18,22,35,65,75,64,68,55,10,25,55,15,20,5,70,30,35,78,50,45
67,62,74,60,65,28,85,45,60,38,52,50,45,82,15,35,18,35,85,72,48,65,50,12,45,55,15,15,5,75,30,45,68,40,50
68,68,56,42,62,32,85,45,68,78,58,68,45,52,22,24,42,18,32,68,52,62,55,2,5,8,2,4,2,95,30,35,58,35,58
71,75,68,45,62,30,85,50,65,88,55,78,52,72,15,22,28,55,95,75,60,52,55,40,30,65,70,40,30,20,50,45,68,45,60
77,75,55,40,65,42,85,50,70,85,60,75,45,70,20,25,45,25,65,75,50,65,50,5,10,20,5,5,5,85,35,40,68,45,50
89,75,78,30,65,20,5,45,60,85,55,75,50,80,85,15,35,20,45,80,85,65,60,70,15,30,40,15,5,45,30,40,50,60,50
97,78,68,35,68,34,5,45,75,82,65,72,48,78,85,12,25,15,35,75,68,68,58,2,5,10,2,5,2,95,50,40,68,50,55
102,78,52,42,76,62,12,48,68,62,65,58,45,78,55,22,40,22,65,72,42,72,65,5,10,15,5,5,5,92,20,35,72,60,35
108,60,72,42,65,22,5,45,60,35,50,45,55,65,85,25,20,40,80,65,68,55,60,40,15,50,30,30,10,45,20,40,55,45,55
159,65,75,55,65,33,85,45,65,60,55,60,50,55,15,35,20,35,85,70,60,60,50,5,30,45,10,10,5,80,20,35,68,40,75
175,50,68,55,62,24,12,38,65,32,50,42,55,65,60,40,25,18,35,78,62,68,58,2,5,10,1,2,1,95,50,45,52,45,48
185,65,68,40,62,28,10,45,60,55,50,58,45,55,70,25,30,35,75,65,65,60,55,15,25,65,10,15,10,60,30,45,55,40,75
200,55,40,45,50,52,95,65,65,45,55,50,45,25,40,30,45,35,75,45,25,35,40,5,25,40,5,15,5,75,10,20,30,20,80
210,58,52,50,56,32,95,48,70,48,62,52,42,45,15,38,35,32,82,65,45,55,50,5,25,35,5,5,5,80,30,30,52,35,72
214,75,65,20,55,10,15,45,70,60,50,55,45,50,65,25,35,15,20,65,80,60,50,5,5,10,5,5,5,95,20,15,10,60,50
219,75,72,40,65,30,5,45,65,75,55,70,50,65,85,25,30,15,30,70,68,65,55,0,5,10,0,0,0,95,20,35,65,50,60
238,75,55,35,65,48,10,55,70,75,65,60,45,70,80,20,35,25,45,65,50,60,50,15,15,35,5,15,5,75,30,40,65,55,50
245,78,68,35,68,32,8,42,75,82,65,72,45,75,85,15,30,15,38,75,70,72,62,2,5,10,2,5,2,95,30,35,70,50,78
248,78,52,42,68,40,85,50,72,82,65,74,45,62,35,22,40,25,60,75,48,65,58,5,10,15,5,5,5,92,35,35,62,30,80
260,75,70,40,65,32,10,45,60,85,55,75,50,75,70,15,25,45,85,75,68,60,55,40,20,65,45,35,15,30,50,40,65,45,65
278,65,45,40,65,52,25,45,65,55,55,48,45,60,25,25,40,20,40,60,40,60,65,0,5,10,0,5,0,95,30,55,58,45,65
282,62,65,42,64,30,15,45,60,35,48,45,45,72,15,38,35,25,45,60,63,62,65,15,15,20,5,10,5,85,30,55,58,45,45
287,52,38,55,62,48,95,65,78,32,63,38,42,58,12,46,54,28,72,64,22,58,38,5,12,22,5,5,5,88,30,18,48,42,46
295,72,56,42,65,38,85,50,75,74,68,67,42,58,22,28,40,22,65,70,48,65,52,2,5,12,1,2,1,94,20,30,62,45,50
297,75,60,35,65,25,25,40,60,90,55,80,55,50,20,15,45,25,85,80,65,55,70,15,20,40,10,15,5,75,30,65,55,30,55
299,55,40,45,65,52,25,58,65,35,55,40,45,50,30,25,45,45,75,60,35,48,55,15,30,65,15,40,10,45,10,45,48,45,45
313,70,60,52,65,38,95,50,75,78,60,72,45,70,15,25,35,30,85,75,45,60,50,5,20,45,5,10,5,80,30,40,68,45,48
315,65,60,52,65,35,85,40,70,60,55,58,45,75,25,40,30,20,75,70,50,65,50,5,10,20,5,5,5,90,30,45,65,45,40
322,55,52,62,58,32,65,48,45,22,40,30,68,45,40,20,15,42,85,78,28,25,35,15,70,45,15,30,10,45,20,40,45,58,75
332,68,60,32,58,24,8,44,68,65,62,58,42,52,78,18,38,22,65,62,66,52,56,5,12,20,5,5,5,88,30,40,52,45,50
333,75,62,48,72,36,85,45,70,78,58,68,42,78,15,28,35,22,65,75,52,72,50,5,10,15,2,5,2,95,30,35,76,45,30
352,65,40,60,75,65,90,55,60,30,50,40,45,70,10,35,35,60,35,70,25,60,55,15,30,50,30,15,75,15,20,30,70,50,30
366,68,48,42,72,42,95,52,65,78,62,68,45,55,28,25,58,25,82,75,42,62,65,5,15,20,5,5,5,90,40,35,52,35,48
372,75,65,45,65,33,85,50,60,85,60,75,50,70,10,20,35,45,85,75,55,55,55,10,70,65,15,15,15,45,30,40,65,45,50
378,65,55,35,60,22,40,48,65,58,50,45,45,45,30,30,55,15,40,60,62,60,65,5,5,10,2,5,2,95,30,55,40,35,85
381,65,35,45,65,72,95,55,75,48,65,45,40,60,5,25,55,20,25,55,30,60,48,5,10,15,5,5,5,95,30,20,55,45,50
382,68,58,42,62,38,72,48,60,65,55,60,48,45,42,28,40,22,85,68,52,52,65,8,15,25,5,10,5,85,30,40,45,35,72
389,58,76,44,62,24,6,42,58,35,48,46,56,68,85,28,18,42,88,65,72,58,56,20,35,60,30,25,30,45,30,45,58,45,52
421,75,50,35,78,48,15,45,65,70,60,55,45,65,70,20,55,15,40,75,45,60,65,0,5,10,0,5,0,95,30,50,60,45,55
424,80,45,35,72,68,20,55,75,82,70,68,48,65,12,12,40,15,22,70,58,65,58,2,3,4,1,2,1,96,20,30,62,60,45
430,82,70,20,65,6,45,45,70,85,50,75,40,60,65,10,35,20,55,80,90,65,50,5,10,15,5,5,5,90,35,20,15,60,45
446,65,45,50,75,52,95,55,65,45,50,55,45,75,15,30,40,35,85,70,30,65,50,65,15,40,20,25,5,30,30,20,65,20,30
454,62,86,42,68,22,4,32,55,48,45,58,65,88,82,38,12,22,48,78,82,72,58,98,2,5,8,5,1,5,30,45,52,62,30
457,75,78,38,65,24,5,42,60,82,55,75,58,68,88,18,22,58,85,78,76,52,62,55,20,45,65,40,30,15,20,45,65,50,68
