stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,85,75,45,80,40,20,45,50,85,60,75,55,90,5,10,15,25,40,70,70,60,50,95,5,5,5,5,5,5,10,50,70,10,30
31,55,60,55,50,55,85,50,45,45,40,55,50,50,40,45,35,20,40,50,40,55,50,0,0,0,0,0,0,90,0,50,50,30,65
40,85,70,55,75,40,100,50,45,75,60,70,50,90,0,10,20,20,30,65,45,75,50,0,0,0,0,0,0,95,0,0,80,10,30
55,75,70,40,60,20,15,45,50,85,60,75,55,70,5,10,30,20,30,65,80,50,50,0,0,0,0,0,0,90,50,50,50,40,70
60,75,85,20,50,10,15,45,40,45,50,55,60,50,85,10,20,20,40,60,95,50,50,0,0,0,0,0,0,85,50,50,10,10,60
64,75,80,45,70,35,15,45,50,85,60,75,65,90,85,10,15,30,30,70,75,60,50,5,15,65,5,5,5,75,50,50,65,40,45
67,65,75,55,60,25,90,40,45,50,40,55,50,85,10,30,20,20,85,60,65,60,50,5,30,15,5,5,5,85,10,50,55,30,45
68,75,65,40,60,30,10,45,50,80,55,70,45,60,10,20,40,20,60,65,70,50,50,0,0,0,0,0,0,100,50,50,50,30,40
71,75,78,45,60,30,100,45,40,95,50,85,60,70,5,10,20,35,10,70,75,40,50,0,0,60,70,50,20,10,0,0,50,10,75
77,75,65,45,60,35,100,45,50,90,55,80,40,70,10,20,30,20,30,70,60,55,50,0,0,0,0,0,0,90,0,0,60,10,30
89,75,85,30,60,20,15,40,45,90,50,80,65,85,80,10,20,20,40,70,95,60,50,0,0,0,0,0,0,80,0,0,40,10,30
97,85,75,40,70,30,15,45,50,80,60,75,55,85,80,10,20,20,40,70,75,60,50,0,0,0,0,0,0,90,50,50,65,30,40
102,85,65,40,80,75,15,45,50,60,55,65,50,85,60,10,20,20,40,70,50,65,55,0,0,0,0,0,0,95,0,0,60,40,30
108,65,78,45,60,25,15,45,40,40,50,55,65,75,90,30,20,35,85,60,75,50,50,40,30,60,70,60,10,10,50,50,50,30,45
159,75,78,60,65,30,10,45,40,60,50,65,55,60,10,30,20,25,15,70,65,45,50,0,40,30,0,0,0,85,0,50,55,30,80
