election_id,trial,slotA_face,chosen_slot,chosen_face,status,raw
1.0,0,a,B,b,ok,B
1.0,0,b,B,a,ok,B
1.0,1,a,B,b,ok,B
1.0,1,b,B,a,ok,B
2.0,0,a,B,b,ok,B
2.0,0,b,B,a,ok,B
2.0,1,a,B,b,ok,B
2.0,1,b,B,a,ok,B
2.0,2,a,B,b,ok,B
2.0,2,b,B,a,ok,B
3.0,2,a,B,b,ok,B
3.0,2,b,B,a,ok,B
3.0,1,a,B,b,ok,B
3.0,1,b,B,a,ok,B
3.0,0,a,B,b,ok,B
3.0,0,b,B,a,ok,B
4.0,0,a,B,b,ok,B
4.0,0,b,B,a,ok,B
4.0,1,a,A,a,ok,A
4.0,1,b,B,a,ok,B
4.0,2,a,B,b,ok,B
4.0,2,b,B,a,ok,B
5.0,1,a,B,b,ok,B
5.0,1,b,B,a,ok,B
5.0,0,a,B,b,ok,B
5.0,0,b,B,a,ok,B
6.0,1,a,B,b,ok,B
6.0,1,b,B,a,ok,B
5.0,2,a,B,b,ok,B
5.0,2,b,B,a,ok,B
6.0,0,a,B,b,ok,B
6.0,0,b,B,a,ok,B
7.0,0,a,B,b,ok,B
7.0,0,b,B,a,ok,B
6.0,2,a,B,b,ok,B
6.0,2,b,B,a,ok,B
7.0,1,a,B,b,ok,B
7.0,1,b,B,a,ok,B
7.0,2,a,B,b,ok,B
7.0,2,b,B,a,ok,B
8.0,0,a,B,b,ok,B
8.0,0,b,B,a,ok,B
8.0,1,a,B,b,ok,B
8.0,1,b,B,a,ok,B
9.0,0,a,B,b,ok,B
9.0,0,b,B,a,ok,B
8.0,2,a,B,b,ok,B
8.0,2,b,,,ERROR,'NoneType' object is not subscriptable
9.0,1,a,B,b,ok,B
9.0,1,b,B,a,ok,B
10.0,0,a,B,b,ok,B
10.0,0,b,B,a,ok,B
9.0,2,a,,,ERROR,'NoneType' object is not subscriptable
9.0,2,b,B,a,ok,B
10.0,1,a,B,b,ok,B
10.0,1,b,B,a,ok,B
11.0,0,a,,,ERROR,'NoneType' object is not subscriptable
11.0,0,b,B,a,ok,B
10.0,2,a,B,b,ok,B
10.0,2,b,B,a,ok,B
11.0,1,a,B,b,ok,B
11.0,1,b,B,a,ok,B
12.0,0,a,B,b,ok,B
12.0,0,b,B,a,ok,B
12.0,1,a,B,b,ok,B
12.0,1,b,B,a,ok,B
11.0,2,a,B,b,ok,B
11.0,2,b,B,a,ok,B
12.0,2,a,B,b,ok,B
12.0,2,b,B,a,ok,B
13.0,1,a,B,b,ok,B
13.0,1,b,B,a,ok,B
13.0,0,a,B,b,ok,B
13.0,0,b,B,a,ok,B
14.0,0,a,A,a,ok,A
14.0,0,b,B,a,ok,B
13.0,2,a,B,b,ok,B
13.0,2,b,B,a,ok,B
14.0,1,a,A,a,ok,A
14.0,1,b,B,a,ok,B
14.0,2,a,A,a,ok,A
14.0,2,b,,,ERROR,"Error code: 429 - {'error': {'message': ""Rate limit exceeded: limit_rpd/google/g"
15.0,0,a,B,b,ok,B
15.0,0,b,,,ERROR,Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-mi
15.0,1,a,B,b,ok,B
15.0,1,b,,,ERROR,"Error code: 429 - {'error': {'message': ""Rate limit exceeded: limit_rpd/google/g"
1.0,2,a,B,b,ok,B
1.0,2,b,,,REFUSE,<pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad><pad>
15.0,2,a,,,ERROR,"Error code: 429 - {'error': {'message': ""Rate limit exceeded: limit_rpd/google/g"
15.0,2,b,,,ERROR,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, "
16.0,1,a,,,ERROR,"Error code: 429 - {'error': {'message': ""Rate limit exceeded: limit_rpd/google/g"
16.0,1,b,,,ERROR,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, "
16.0,0,a,,,ERROR,"Error code: 429 - {'error': {'message': ""Rate limit exceeded: limit_rpd/google/g"
16.0,0,b,,,ERROR,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, "
16.0,2,a,,,ERROR,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, "
16.0,2,b,,,ERROR,Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-mi
17.0,0,a,,,ERROR,"Error code: 429 - {'error': {'message': ""Rate limit exceeded: limit_rpd/google/g"
17.0,0,b,,,ERROR,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, "
17.0,1,a,,,ERROR,Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-mi
17.0,1,b,,,ERROR,"Error code: 429 - {'error': {'message': ""Rate limit exceeded: limit_rpd/google/g"
17.0,2,a,,,ERROR,"Error code: 429 - {'error': {'message': ""Rate limit exceeded: limit_rpd/google/g"
17.0,2,b,,,ERROR,Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-mi
18.0,0,a,,,ERROR,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, "
