stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,65,60,55,65,45,95,45,50,30,55,45,50,60,10,35,30,25,30,60,35,50,50,0,10,10,0,0,0,90,50,50,55,40,65
2,75,85,45,70,35,15,45,40,90,50,85,75,80,70,10,15,30,10,80,75,50,50,0,30,60,40,0,40,10,50,50,60,30,65
3,75,55,60,85,45,85,45,40,30,45,40,50,90,5,35,30,20,40,70,35,75,50,0,0,0,0,0,0,95,10,30,65,30,20
4,75,85,40,70,25,15,45,40,70,50,65,75,85,60,10,15,75,85,70,80,55,50,5,30,40,45,40,70,5,10,50,60,30,40
5,75,70,40,65,40,15,45,50,85,55,75,50,70,10,20,30,20,40,60,65,55,50,0,0,0,0,0,0,90,0,0,50,30,45
6,65,70,55,60,35,85,45,40,45,50,55,55,65,30,40,35,20,40,60,55,55,50,0,0,0,0,0,0,95,50,50,50,40,60
7,65,70,55,58,30,95,45,50,52,45,60,40,55,5,35,30,20,40,60,55,45,50,0,0,0,0,0,0,90,50,50,55,40,75
9,85,60,40,75,65,15,55,50,80,70,75,55,70,40,10,30,20,40,65,55,50,50,0,0,0,0,0,0,90,0,50,45,30,40
10,65,55,45,60,45,85,55,50,40,50,45,50,55,20,30,40,30,85,55,45,50,50,5,40,60,10,10,5,40,50,50,50,40,55
11,85,75,45,80,40,20,45,50,85,60,75,55,90,5,10,15,25,40,70,70,60,50,95,5,5,5,5,5,5,50,50,70,10,30
12,85,80,10,65,10,20,30,40,85,50,75,60,80,10,5,15,15,30,70,95,50,50,0,0,0,0,0,0,95,50,50,40,30,40
13,85,70,55,75,40,100,55,50,90,60,80,55,65,10,15,20,25,40,70,60,45,50,0,0,0,0,0,0,95,0,50,60,40,85
14,75,70,40,65,30,100,45,50,85,60,75,50,80,10,15,30,20,30,60,75,60,50,0,0,0,0,0,0,90,50,50,60,40,45
15,65,58,45,60,25,90,45,50,40,55,50,55,65,10,30,40,40,95,60,65,45,50,100,0,0,10,10,0,0,50,50,40,30,50
16,75,65,60,70,75,85,50,40,40,50,50,60,75,20,30,20,30,40,60,30,50,50,95,10,10,10,10,5,15,10,50,65,40,60
17,65,68,45,55,25,85,40,50,50,45,55,40,60,10,30,35,25,35,60,65,50,50,5,40,45,10,10,5,75,50,50,50,30,55
18,75,85,40,65,25,15,45,40,70,50,65,70,80,90,10,15,75,90,60,80,50,50,5,10,15,30,20,85,5,10,50,55,30,45
19,75,85,40,70,25,15,40,45,75,50,70,60,85,30,10,20,20,80,65,80,60,50,0,0,0,0,0,0,90,50,50,55,30,50
20,75,70,45,65,25,15,45,40,80,50,75,60,85,5,10,20,75,90,70,75,50,50,5,5,5,5,5,95,5,50,50,60,40,40
21,75,80,40,65,25,15,45,50,55,60,65,55,85,90,30,20,20,85,60,85,55,50,70,10,30,20,10,5,15,50,50,50,10,40
22,75,70,45,60,35,15,40,45,85,50,75,55,65,75,30,40,20,30,65,70,50,50,0,0,0,0,0,0,90,50,50,50,30,80
23,75,70,45,75,40,100,45,50,65,55,60,50,80,10,20,30,25,30,65,55,60,50,0,0,0,0,0,0,85,0,0,60,30,40
24,75,60,65,75,85,85,55,40,45,50,55,55,80,10,30,20,20,20,60,20,75,45,0,0,0,0,0,0,95,10,30,70,40,40
25,85,75,40,70,40,15,45,50,80,60,75,55,85,80,10,20,20,40,70,65,60,50,0,0,0,0,0,0,90,0,0,65,30,60
26,65,85,40,60,30,15,45,40,55,30,65,70,80,85,30,20,20,30,60,80,70,50,0,10,5,0,0,0,90,10,50,50,10,30
27,85,75,40,70,35,15,45,50,90,60,80,55,85,80,10,20,30,40,75,70,50,50,0,0,60,0,0,0,40,50,50,65,30,40
28,65,75,45,70,25,100,40,45,40,50,55,55,80,10,30,35,25,95,60,70,60,50,0,70,30,0,0,0,30,50,50,55,30,40
29,75,70,55,60,30,100,50,50,55,45,55,40,75,10,30,20,30,90,60,55,50,50,0,60,30,0,0,0,70,0,50,50,40,50
30,75,65,40,60,35,15,45,50,85,55,75,50,60,70,10,20,20,40,65,70,50,50,0,0,0,0,0,0,90,50,50,50,40,75
31,55,58,62,55,55,75,50,45,45,40,55,50,55,40,45,30,25,45,55,40,55,50,5,10,10,5,5,5,85,10,50,50,30,65
32,85,88,40,75,25,15,45,40,95,60,85,70,90,95,10,15,65,35,75,90,55,50,40,45,75,60,50,10,10,50,50,65,30,60
33,85,90,10,50,5,15,40,40,75,80,60,70,85,30,5,10,10,40,70,100,50,50,0,0,0,0,0,0,95,50,50,10,30,20
34,85,75,40,70,25,15,45,50,95,60,85,65,70,80,10,30,20,30,75,85,50,50,0,0,0,0,0,0,90,50,50,50,10,70
35,55,65,60,55,35,90,45,50,40,45,55,50,65,10,45,30,25,85,75,50,55,50,0,10,10,0,0,0,85,10,50,50,30,55
36,75,70,55,75,40,100,45,40,55,45,55,50,85,10,30,20,30,15,65,45,70,50,0,40,30,0,0,0,70,20,50,65,30,40
37,75,85,10,50,10,15,40,40,45,50,50,60,70,80,5,10,15,25,60,95,60,50,0,0,0,0,0,0,95,0,50,10,10,30
38,75,65,55,70,40,100,50,55,60,50,65,45,85,5,30,20,20,30,60,45,65,50,0,0,0,0,0,0,95,50,50,70,40,55
39,75,70,40,60,35,15,45,50,85,55,75,50,70,75,10,20,20,30,65,75,50,50,0,0,0,0,0,0,85,0,0,50,10,30
40,85,70,55,75,40,100,50,45,75,60,70,50,90,0,10,20,20,30,65,45,75,50,0,0,0,0,0,0,95,50,50,80,40,40
41,65,60,45,55,35,85,40,45,55,50,60,65,55,10,40,50,25,30,60,55,50,50,0,20,10,0,0,0,85,0,50,50,30,50
42,75,80,45,70,35,15,45,50,55,40,60,55,85,30,10,15,75,10,65,75,50,50,0,0,50,60,50,70,0,0,50,60,30,55
43,75,78,45,65,30,15,45,50,85,55,80,60,85,90,20,30,20,85,70,80,60,50,0,0,0,0,0,0,90,0,0,50,10,30
