stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,85,75,45,80,40,20,45,50,85,60,75,55,90,5,10,15,25,40,70,70,60,50,95,5,5,5,5,5,5,10,50,70,10,30
24,75,60,65,70,85,85,55,40,45,50,50,55,80,10,30,20,20,20,60,20,75,40,0,0,0,0,0,0,95,0,0,70,30,40
31,55,60,55,50,55,85,50,45,45,40,55,50,50,40,40,30,20,40,50,40,50,50,0,0,0,0,0,0,85,0,50,50,30,60
40,75,65,55,70,40,100,50,55,75,60,70,45,85,5,30,25,20,30,65,50,70,50,0,0,0,0,0,0,95,50,50,75,40,45
55,75,70,40,60,20,15,45,50,85,55,75,50,70,5,10,20,20,30,65,80,50,50,0,0,0,0,0,0,90,50,50,50,40,70
60,75,85,20,50,10,15,45,40,45,60,55,65,50,90,10,20,15,35,60,95,50,50,0,0,0,0,0,0,90,50,50,10,10,60
64,75,80,45,70,35,15,45,50,85,60,75,55,90,85,10,15,30,30,70,75,60,50,0,20,60,0,0,0,70,0,0,65,10,30
67,65,75,55,60,25,90,45,50,40,45,50,55,85,10,30,20,20,85,60,65,60,50,5,40,30,5,5,5,80,50,50,55,40,50
68,75,65,40,60,30,10,45,50,80,55,70,45,60,10,20,40,20,40,65,70,50,50,0,0,0,0,0,0,100,50,50,50,30,40
71,85,75,45,60,30,100,45,40,95,50,80,55,70,5,10,20,40,10,75,70,40,50,0,0,60,70,50,30,10,50,50,60,30,75
77,75,65,40,60,35,85,45,50,90,55,80,45,70,10,20,30,20,30,65,60,55,50,0,0,0,0,0,0,90,50,50,60,30,40
89,75,85,30,60,20,15,40,45,90,50,80,70,85,80,10,20,20,40,70,95,65,50,0,0,0,0,0,0,80,0,50,40,30,40
97,85,75,40,70,30,15,45,50,80,60,75,55,85,80,10,20,20,40,70,75,60,50,0,0,0,0,0,0,90,50,50,65,30,40
102,85,65,40,80,75,15,45,50,60,55,65,50,85,40,10,20,20,40,70,50,65,55,0,0,0,0,0,0,95,0,0,60,40,30
108,65,75,40,60,25,15,45,50,40,55,50,60,70,85,30,20,30,75,55,70,50,50,40,30,60,70,60,20,20,50,50,50,40,50
159,75,78,60,65,30,100,45,40,60,50,65,55,70,10,30,20,25,90,70,65,45,50,0,40,30,0,0,0,85,50,50,60,30,85
175,55,75,45,60,25,15,40,45,30,40,45,65,75,70,35,30,20,45,60,70,65,50,0,0,0,0,0,0,85,50,50,50,30,40
185,75,80,45,70,30,15,40,45,55,50,60,65,75,70,30,35,25,30,65,75,55,50,5,40,45,10,10,5,85,50,50,50,30,60
