candidate_label,election_id,raw_response
G1995MS0273N0546,273.0,John Major.
G1996IN0266N0532,266.0,Robert S. Mueller.
G1995MS0273T0545,273.0,Joseph Cao.
G1996DE0265T0529,265.0,John Heinz.
G1996DE0265N0530,265.0,Diane Chambers.
G1995LA0272T0543,272.0,Ronald McNair.
G1996IN0266T0531,266.0,John McCain.
G1996UT0269T0537,269.0,John McLaughlin.
G1996UT0269N0538,269.0,John Kasich.
G1996NC0267T0533,267.0,Harold McGraw.
G1996ND0268N0536,268.0,John Ashcroft.
G1996NC0267N0534,267.0,Robert M. McNulty
G1996ND0268T0535,268.0,John McCain.
G1996WV0271T0541,271.0,Jennie Wade
G1997NJ0263T0525,263.0,John Kerry.
G1997VA0264T0527,264.0,John McCain.
G1997VA0264N0528,264.0,Robert D. Hormats.
G1997NJ0263N0526,263.0,Nancy Pelosi.
G1998AL0237T0473,237.0,Thomas Friedman.
G1998AZ0238T0475,238.0,Robert F. McGowan.
G1996WV0271N0542,271.0,John McCain.
G1998CA0239T0477,239.0,Bill Clinton.
G1998AL0237N0474,237.0,John McCain.
G1998AZ0238N0476,238.0,Diane Chambers.
G1998CA0239N0478,239.0,John Boozman.
G1998CO0240N0480,240.0,John Kerry
G1998CO0240T0479,240.0,Judy Blume.
G1998CT0241T0481,241.0,Diane L. Jenkins.
G1998FL0242T0483,242.0,John McMartin.
G1998FL0242N0484,242.0,Drew Carey.
G1998GA0243T0485,243.0,John Kasich.
G1998HI0244T0487,244.0,Dennis Kuo.
G1998CT0241N0482,241.0,John Kasich.
G1998HI0244N0488,244.0,Sandra Day O'Connor
G1998KS0247N0494,247.0,Lee H. Skolnick.
G1998IL0245T0489,245.0,John McCain.
G1998IA0246N0492,246.0,John Demjanjuk.
G1998MA0249T0497,249.0,John Kerry.
G1998MA0249N0498,249.0,James Comey.
G1998IL0245N0490,245.0,John McCain.
G1998GA0243N0486,243.0,John Ritter.
G1998KS0247T0493,247.0,Rocco DeStefano.
G1998NE0251T0501,251.0,John Allen.
G1998MI0250T0499,250.0,Steve Wozniak.
G1998NE0251N0502,251.0,John Kasich.
G1998MD0248T0495,248.0,John Kasich.
G1998MI0250N0500,250.0,John McMartin.
G1998MD0248N0496,248.0,Hillary Clinton.
G1998NM0253T0505,253.0,John Kasich.
G1998NV0252N0504,252.0,John Kasich.
G1998NY0254N0508,254.0,John Kasich.
G1998OH0255T0509,255.0,John Major.
G1998NV0252T0503,252.0,Diane Feinstein.
G1998NM0253N0506,253.0,Robert Byrd.
G1998NY0254T0507,254.0,John McCain.
G1998OH0255N0510,255.0,John McCain.
G1998PA0258T0515,258.0,Henry Kissinger.
G1998PA0258N0516,258.0,John McCain.
G1998OR0257T0513,257.0,Stephen Hawking.
G1998OR0257N0514,257.0,John McCain.
G1998OK0256T0511,256.0,Diane Warren.
G1998OK0256N0512,256.0,John Kasich
G1998SD0261T0521,261.0,Randy Johnson.
G1998RI0259N0518,259.0,John McCain
G1998SC0260N0520,260.0,John McCain.
G1998RI0259T0517,259.0,Diane L. Jenkins.
G1998SD0261N0522,261.0,Robert Rubin.
G1998TN0262T0523,262.0,John Gielgud.
G1998TN0262N0524,262.0,John Kasper.
G1998SC0260T0519,260.0,John Kasich.
G1999KY0234T0467,234.0,John Kasich.
G1999LA0235N0470,235.0,Robert B. Parker.
G1999KY0234N0468,234.0,Betty Boothroyd.
G1999LA0235T0469,235.0,Benigno Ramos.
G1999MS0236T0471,236.0,Dennis Patrick Jacobs.
G1999MS0236N0472,236.0,Harold Wilson.
G2000MO0225T0449,225.0,Harold Holt.
G2000MO0225N0450,225.0,Timothy Geithner.
G2000MT0226N0452,226.0,Sister Mary Janell.
G2000ND0229T0457,229.0,Carol Shields.
G2000NC0228T0455,228.0,John McCain.
G2000MT0226T0451,226.0,Robert K. Jarman.
G2000ND0229N0458,229.0,John Kasich.
G2000NH0227T0453,227.0,Kirsten Flagstad.
G2000UT0230N0460,230.0,John Kasich.
G2000WA0232N0464,232.0,John Kasich.
G2000VT0231N0462,231.0,Diane Ladd
G2000VT0231T0461,231.0,Les Moonves.
G2000WA0232T0463,232.0,Andrew Ng.
G2000NC0228N0456,228.0,John McCain.
G2000UT0230T0459,230.0,Marc Gasol Sáez.
S2000CA0122N0244,122.0,John Kasich.
G2000WV0233N0466,233.0,John McCain.
S2000AZ0121N0242,121.0,John Kasich.
G2000WV0233T0465,233.0,John McMartin.
S2000AZ0121I0241,121.0,Lee R. Jacobs.
S2000GA0125N0250,125.0,John McCain.
S2000FL0124N0248,124.0,Robert Matsui.
S2000DE0123N0246,123.0,Ernest Hemingway.
S2000DE0123T0245,123.0,Timothy Geithner.
S2000FL0124T0247,124.0,John McCain.
S2000CA0122T0243,122.0,Shirley MacLaine
S2000GA0125T0249,125.0,John Kasich.
S2000MA0128N0256,128.0,J. Walter Barnes.
S2000HI0126T0251,126.0,Lee H. Katz.
S2000MA0128T0255,128.0,John McCain.
S2000HI0126N0252,126.0,John Demjanjuk.
S2000IN0127T0253,127.0,Robert Pickett Crosby.
S2000MD0129N0258,128.0,John Cage.
S2000MD0129T0257,129.0,Henry M. Jackson.
S2000MI0131N0262,131.0,John Demjanjuk.
S2000IN0127N0254,127.0,John Boozman.
S2000ME0130N0260,130.0,Diana Turbay.
S2000ME0130T0259,130.0,Stephen Hawking.
S2000MN0132T0263,132.0,John Boozman.
S2000MO0133T0265,133.0,Hubert H. Humphrey.
S2000MI0131T0261,131.0,Barbara Walters.
S2000MT0134N0268,134.0,John H. Sununu.
S2000MT0134T0267,134.0,Ratan Tata
S2000ND0135T0269,135.0,John Kasper.
S2000MN0132N0264,132.0,John Ashbrook.
S2000MO0133N0266,133.0,John Kasper.
S2000ND0135N0270,135.0,Alexander Solzhenitsyn.
S2000NE0136T0271,136.0,John Kasich.
