stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,75,60,70,80,55,60,50,75,40,65,50,70,85,20,30,10,40,30,65,10,50,55,10,5,5,5,10,10,85,70,10,40,10,80
2,75,85,40,70,35,30,50,45,90,30,70,80,95,60,20,10,60,40,75,65,50,60,10,10,20,5,10,70,10,30,10,10,10,40
4,75,85,30,70,30,10,50,60,80,40,55,75,90,30,10,10,70,60,70,80,45,60,10,5,10,5,10,85,5,30,10,0,0,30
6,65,60,55,70,45,55,50,40,50,30,60,75,85,70,30,20,40,50,60,20,45,40,10,5,5,5,10,10,80,70,20,10,10,80
7,75,60,45,65,35,50,50,60,70,40,55,65,80,20,20,30,40,30,60,30,40,45,10,5,5,5,10,10,80,70,20,10,10,85
8,85,60,10,40,5,30,40,80,90,75,50,45,95,70,0,20,30,40,30,95,40,30,10,0,0,0,0,0,80,60,0,0,0,30
9,85,60,30,80,70,30,50,75,80,65,40,70,90,20,20,30,50,40,75,30,50,60,10,10,20,10,10,20,70,50,10,20,10,30
10,75,50,40,70,55,60,50,45,40,30,45,65,80,30,20,35,60,50,70,20,40,50,30,10,20,10,20,10,60,40,10,10,10,75
11,85,65,30,80,55,30,50,75,85,60,45,60,90,20,10,10,40,30,70,40,50,55,95,5,5,5,30,10,20,30,10,20,10,30
12,85,60,20,50,10,40,50,70,90,65,50,60,95,70,10,40,30,20,50,90,50,40,10,5,5,5,10,5,80,75,10,0,10,40
13,85,60,65,75,45,55,50,70,80,65,70,75,90,20,30,35,40,30,70,20,50,40,10,5,5,5,10,10,80,75,10,10,10,85
14,75,60,40,70,30,50,50,75,85,65,60,55,90,20,10,20,40,30,70,30,50,55,10,5,5,5,10,5,85,70,20,10,10,40
15,65,60,30,75,20,50,50,85,40,30,45,60,90,20,10,25,70,30,70,40,50,40,95,5,5,5,10,5,10,30,15,10,5,50
16,85,40,50,80,85,50,50,70,30,60,40,75,80,0,20,10,50,70,60,10,40,50,95,0,0,0,0,0,50,30,10,20,0,40
17,75,50,30,70,30,50,50,60,40,30,45,55,85,20,10,25,50,50,70,30,40,50,30,40,20,10,20,10,60,40,20,10,10,75
18,75,85,30,70,30,10,50,60,80,40,65,85,95,90,10,10,70,30,75,70,50,60,40,10,10,10,20,90,10,30,20,10,10,40
19,75,85,30,70,25,45,50,70,80,60,55,75,95,30,20,10,50,30,70,80,60,50,10,5,5,5,20,10,80,70,10,10,10,40
20,75,70,40,78,35,55,50,40,85,60,70,80,90,20,30,35,70,60,75,50,60,70,10,5,10,5,5,85,5,60,40,20,10,30
