stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,85,65,30,80,55,20,45,75,80,60,45,50,95,10,10,10,40,50,70,40,50,60,95,5,5,5,10,5,10,50,10,20,5,30
24,85,50,80,90,95,85,60,70,40,30,50,80,90,10,30,10,30,70,60,10,75,30,10,10,10,10,10,10,90,20,10,80,10,70
31,65,40,50,70,70,55,50,40,30,35,45,75,60,20,30,40,50,60,55,20,40,30,10,10,10,10,20,20,70,30,20,20,10,70
40,85,60,70,80,45,60,50,75,80,65,65,55,95,0,20,10,30,40,75,10,70,40,10,5,5,5,10,5,80,70,10,75,5,50
60,70,65,20,50,10,40,50,80,30,60,40,75,90,85,10,30,50,60,40,90,40,50,10,5,10,5,10,10,80,70,10,0,10,80
64,75,65,30,70,45,30,50,60,85,40,60,70,90,80,20,10,60,50,70,40,65,55,85,10,10,5,10,10,20,30,5,10,5,30
67,75,60,45,70,35,55,50,65,50,40,55,60,85,20,20,10,50,40,60,30,40,45,10,30,15,0,20,10,70,50,10,0,0,65
68,75,65,40,70,35,55,50,80,85,60,65,70,90,20,20,30,40,60,70,30,50,40,10,5,5,5,10,5,85,75,10,10,10,70
71,85,78,40,70,35,60,50,55,90,65,75,80,95,20,10,15,50,30,70,30,60,55,80,10,20,10,20,10,70,60,20,10,10,85
77,85,60,40,75,45,55,50,70,90,65,70,60,90,20,20,30,30,40,75,30,50,55,10,5,5,5,10,5,80,70,10,30,10,40
97,75,70,30,78,45,50,50,70,85,60,55,65,90,80,20,10,30,40,60,65,55,60,10,5,5,5,10,10,80,75,20,10,10,40
102,85,60,40,80,75,50,50,70,55,65,45,70,90,30,20,10,50,40,75,30,60,70,10,5,5,5,10,10,80,60,10,30,10,40
108,65,78,30,75,30,10,50,60,40,30,45,80,90,85,10,10,70,60,50,65,55,50,90,5,10,5,10,10,10,20,10,0,0,40
159,75,60,40,70,45,70,50,65,80,55,60,65,85,20,10,10,30,40,60,20,40,50,10,30,20,10,20,10,70,50,10,10,10,80
175,65,70,40,75,30,30,50,60,30,45,40,75,90,60,20,10,40,50,60,50,55,50,10,5,10,5,10,10,70,40,20,10,10,45
185,65,70,30,75,30,40,50,60,45,50,40,65,85,70,20,10,60,50,70,60,40,55,80,10,10,5,20,10,20,30,20,10,0,60
200,75,50,60,70,60,80,55,40,45,30,50,85,75,60,20,30,40,50,65,20,30,30,10,10,20,10,10,20,70,60,10,10,10,80
210,75,60,40,70,30,55,50,70,75,60,55,50,85,20,20,30,40,50,65,30,40,50,10,5,10,5,20,5,80,60,10,10,10,70
219,75,80,30,70,30,40,50,75,85,60,65,70,90,80,20,10,30,40,70,65,50,55,10,5,5,5,20,10,80,70,20,10,10,75
238,85,65,30,75,55,40,50,70,80,60,45,60,90,80,20,10,40,30,50,40,50,60,80,10,10,5,10,10,20,40,10,10,10,30
245,85,78,30,75,35,30,50,70,80,60,55,65,90,80,10,20,40,50,70,60,45,60,10,5,5,5,20,10,80,75,20,10,5,75
248,85,65,40,75,35,55,50,70,90,60,70,65,90,20,20,30,40,30,75,30,50,50,10,5,5,5,20,10,80,70,20,10,10,80
278,85,65,40,78,45,30,50,60,70,55,50,65,90,30,20,10,40,50,60,30,55,60,10,5,5,5,10,10,80,70,15,20,10,75
282,65,50,30,70,40,30,50,40,30,20,35,60,80,0,10,20,50,40,75,40,40,60,10,0,0,0,0,0,70,30,10,0,0,30
287,75,50,40,70,50,60,50,70,30,40,40,55,75,20,20,30,40,40,60,20,40,30,10,10,10,10,10,10,70,40,10,10,10,50
295,85,60,40,80,45,55,50,70,85,65,60,75,90,20,20,30,50,60,70,30,60,50,10,5,5,5,10,10,80,75,20,30,10,40
297,85,70,30,75,30,40,50,45,90,60,65,70,95,20,10,25,50,30,75,60,50,70,35,5,5,5,10,5,70,65,40,10,5,40
299,85,60,40,80,55,50,50,65,40,30,40,70,90,30,20,10,60,40,75,30,50,60,80,10,20,5,10,10,20,30,10,10,10,30
315,75,65,50,70,35,60,50,60,80,40,65,70,90,20,30,10,30,40,70,20,60,40,10,5,5,5,10,5,80,50,10,40,10,55
322,60,50,70,75,35,55,50,40,30,45,55,80,70,20,30,20,50,40,85,30,40,50,10,10,10,10,10,10,70,60,20,10,10,90
332,75,65,30,70,35,45,50,60,70,40,45,55,85,80,20,25,60,50,60,50,40,50,10,20,30,10,20,10,70,30,15,0,0,40
333,85,65,50,80,45,55,50,70,75,40,55,60,95,0,20,10,30,30,70,20,60,40,10,0,0,0,0,0,70,50,10,30,10,40
352,85,40,60,88,80,55,60,50,30,45,40,75,90,10,10,15,60,50,70,10,50,40,10,20,5,0,0,70,20,30,10,75,10,40
366,75,50,40,70,55,60,50,65,85,70,60,65,80,30,20,45,60,50,60,30,40,55,70,10,10,5,20,10,75,60,20,10,10,50
372,75,60,40,70,45,55,50,60,85,50,70,65,90,20,10,20,50,30,75,30,40,50,30,60,10,10,10,10,40,50,10,10,10,50
378,75,65,30,70,15,40,40,60,70,55,50,60,85,40,20,30,50,40,60,75,40,50,10,5,5,5,10,5,80,60,30,0,0,75
