stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
24,85,50,80,88,85,60,40,65,45,30,40,70,90,10,20,10,30,50,60,10,75,30,10,5,5,5,5,5,80,20,5,75,10,50
31,65,40,45,70,75,55,50,30,35,40,45,70,60,20,20,30,50,60,60,20,40,30,10,10,10,10,10,10,70,30,10,10,10,75
40,85,65,70,80,45,70,50,75,80,60,65,55,95,0,20,10,30,40,75,10,60,40,5,0,0,0,0,0,85,70,10,75,0,50
55,75,60,30,65,20,40,50,70,85,65,60,50,80,20,10,30,50,50,55,80,40,45,10,5,5,5,10,5,80,70,10,10,10,75
60,75,60,20,50,10,40,50,80,30,65,40,70,85,90,10,30,50,60,40,90,30,40,10,5,10,5,10,10,80,70,10,0,10,80
64,85,78,40,80,45,30,50,60,90,70,65,75,95,85,20,10,60,50,75,50,60,55,85,10,15,5,20,10,20,40,10,10,5,30
67,75,60,45,70,35,55,50,65,40,30,50,55,85,0,10,15,50,50,60,20,40,40,10,30,15,0,20,10,60,40,10,0,0,50
68,75,60,40,70,30,55,50,70,85,65,60,55,80,20,20,30,40,50,65,30,50,45,10,5,5,5,10,5,80,70,20,10,10,60
71,85,78,40,70,35,55,50,60,90,45,75,80,95,20,10,15,50,30,70,30,50,60,80,5,10,5,10,5,20,65,20,10,5,85
77,75,60,40,70,45,55,50,70,90,65,75,60,85,30,20,30,30,40,70,30,50,55,10,5,5,5,10,5,80,60,20,30,10,40
89,75,85,20,65,20,30,40,70,90,35,50,80,95,80,10,15,60,40,60,90,50,40,95,5,5,5,10,5,10,20,10,0,5,30
102,85,60,40,80,70,50,50,75,55,60,45,70,90,30,20,10,50,60,75,30,65,60,10,5,5,5,10,10,80,50,10,20,10,30
108,65,78,30,75,30,10,50,60,40,35,45,80,90,85,10,15,60,50,60,70,50,55,85,5,10,5,10,10,15,40,20,0,0,50
159,75,65,40,70,40,70,50,60,80,55,60,65,85,30,20,10,40,50,60,20,40,50,10,30,20,10,20,10,70,60,15,10,10,80
175,65,70,40,75,30,30,50,60,30,40,45,75,90,50,20,10,50,60,70,60,50,55,10,5,10,5,10,10,80,50,20,10,10,50
185,75,70,30,78,30,45,50,60,40,35,45,65,90,70,20,10,50,60,70,60,40,65,85,10,10,5,20,10,20,30,20,10,5,70
200,75,50,60,65,60,70,50,40,45,30,55,85,80,70,30,20,40,30,50,20,40,30,10,10,20,5,10,10,70,30,10,10,10,85
210,75,60,40,70,35,55,50,65,70,50,60,55,85,20,20,30,40,30,65,30,50,50,10,5,10,5,20,10,80,60,20,10,10,75
219,75,85,30,70,35,40,50,70,90,60,65,75,95,80,20,10,30,40,70,60,60,50,10,5,5,5,10,5,80,70,10,10,5,75
238,85,60,30,75,55,30,50,70,80,65,40,50,90,80,20,10,40,30,60,45,50,60,80,10,10,5,10,10,20,70,20,10,10,40
245,85,78,30,75,35,45,50,70,80,60,55,65,90,80,10,15,40,50,70,60,40,50,10,5,10,5,20,10,80,75,20,10,5,75
248,85,65,40,70,45,55,50,70,90,60,75,65,90,20,20,30,30,40,70,30,50,55,10,5,5,5,10,5,80,75,20,10,10,80
260,75,85,30,70,45,10,55,70,90,60,75,80,95,20,10,15,60,40,80,75,65,55,90,10,10,10,10,10,10,70,10,0,0,30
278,85,65,40,78,45,30,50,60,70,55,50,60,90,30,20,10,50,60,65,30,45,55,10,5,5,5,10,10,80,50,10,20,10,75
282,65,50,30,75,35,30,50,40,30,20,40,60,80,0,10,10,50,50,70,30,40,60,20,10,10,0,10,10,70,30,20,20,0,30
287,75,50,55,70,55,70,50,75,30,60,40,55,75,20,30,25,50,50,60,20,40,40,20,10,10,0,10,10,70,65,10,30,10,50
295,85,60,40,80,40,50,50,70,85,65,60,75,90,20,20,30,30,40,70,30,60,70,10,5,5,5,10,10,80,75,20,10,10,50
297,85,70,30,80,30,40,50,60,90,75,65,75,95,20,10,20,50,30,70,60,40,75,35,5,5,5,10,5,70,80,45,10,5,40
299,75,50,40,80,55,30,50,60,30,40,35,65,85,30,20,10,60,40,70,30,45,60,75,10,20,5,10,15,20,30,5,20,10,30
313,75,60,65,70,45,60,50,70,85,50,75,65,90,20,30,10,50,40,70,30,60,40,10,10,10,10,20,10,80,50,10,30,10,60
315,75,65,50,80,35,70,45,60,85,40,60,70,90,0,20,10,30,40,75,20,60,50,10,0,0,0,0,0,80,30,10,40,0,50
322,50,60,65,70,35,55,50,40,30,35,45,75,60,0,20,25,50,30,80,30,40,45,10,10,10,0,0,10,80,40,10,0,0,85
332,75,65,30,70,35,30,50,60,75,40,45,55,85,80,10,15,50,40,60,60,40,50,20,10,30,5,20,10,70,30,10,0,0,40
333,85,60,55,80,45,65,50,70,80,60,60,50,95,0,20,10,30,40,70,20,60,50,10,0,0,0,0,0,70,40,10,75,0,40
352,85,40,60,80,85,50,60,70,30,45,40,75,80,10,20,10,60,50,55,10,50,40,10,30,10,10,10,70,10,30,10,65,10,30
366,75,50,40,70,55,60,50,65,85,70,60,65,80,30,20,45,70,50,60,30,40,50,65,10,10,5,20,10,70,60,20,10,10,50
372,75,60,40,70,45,55,50,65,85,50,70,65,90,20,20,30,60,30,75,30,50,40,10,70,10,0,10,10,30,40,10,10,10,50
378,75,60,30,70,20,40,50,65,70,55,45,65,85,30,10,20,50,60,60,50,40,55,10,5,5,5,10,10,80,70,20,10,10,75
381,85,40,30,75,85,60,50,70,40,65,45,55,70,10,20,35,50,50,50,20,55,40,10,5,5,5,10,10,80,60,10,10,10,75
382,75,60,40,70,45,55,50,30,85,40,70,80,75,80,20,30,50,60,70,30,40,60,10,10,10,10,20,10,80,50,30,10,10,85
389,65,78,40,70,35,30,50,45,50,30,45,80,90,95,20,10,60,50,75,60,55,50,85,10,20,5,10,30,10,40,10,0,0,30
421,85,60,30,80,45,40,50,70,80,65,55,75,90,20,20,30,50,40,70,40,60,70,30,10,10,10,20,10,70,60,20,30,10,40
424,85,50,30,80,70,50,50,75,75,60,40,65,90,0,20,30,30,60,60,30,50,65,10,5,5,5,5,5,80,50,10,10,10,40
430,85,70,20,65,10,30,40,75,90,60,55,70,80,85,10,40,40,50,75,95,45,30,10,5,10,5,10,10,70,60,10,10,10,50
