stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,65,55,60,65,60,85,50,60,40,50,50,55,50,20,45,30,30,60,65,30,50,50,0,10,5,0,0,0,90,0,30,60,40,60
2,70,75,40,70,25,10,45,50,85,50,80,70,80,30,20,10,60,80,75,80,40,50,0,0,0,0,0,90,10,50,50,60,50,50
3,65,55,50,70,60,75,50,60,40,50,45,55,75,10,40,45,30,60,70,30,55,60,90,10,5,5,5,5,20,0,30,65,40,30
4,75,80,30,70,15,10,40,50,85,50,75,70,85,20,20,10,60,90,80,90,40,50,0,0,0,0,0,95,5,0,50,60,50,50
5,70,65,40,65,35,15,45,55,80,50,75,60,70,20,30,25,20,50,75,70,45,55,0,0,10,0,0,0,90,50,30,60,40,45
6,60,55,50,60,45,80,50,60,45,50,55,50,60,30,40,45,30,60,55,40,50,55,10,20,15,5,5,5,85,0,40,55,40,60
7,65,60,55,60,35,80,45,60,50,50,55,55,70,20,40,30,30,40,65,40,50,50,0,10,10,0,0,0,90,50,30,60,40,65
8,85,75,20,65,10,10,30,60,95,60,80,70,85,40,10,20,20,40,80,95,50,50,0,0,0,0,0,0,90,50,50,60,50,40
9,70,60,40,75,65,20,55,60,80,50,70,65,70,30,30,40,30,60,75,55,40,50,0,0,0,0,0,0,90,50,30,60,50,40
10,65,50,55,70,45,80,50,60,40,50,55,60,50,30,45,55,40,90,70,30,40,50,10,70,20,5,5,10,30,0,40,55,40,50
11,70,75,40,70,20,15,30,60,80,50,75,65,85,20,30,25,20,50,75,80,50,55,90,10,5,5,5,5,20,50,40,65,40,50
12,80,75,20,60,10,15,30,65,90,70,85,70,80,40,10,30,20,30,85,95,50,50,0,0,0,0,0,0,90,50,20,60,50,40
13,70,65,55,60,45,85,50,60,80,55,75,65,50,30,40,45,30,60,70,50,45,55,10,20,10,5,5,5,80,50,30,55,40,80
14,70,65,40,60,20,70,40,60,85,50,75,55,70,20,30,45,20,50,70,75,50,55,0,0,10,0,0,0,90,50,40,60,40,50
15,65,60,40,65,15,70,30,60,50,55,50,55,70,20,30,45,40,90,60,65,40,50,90,10,5,5,5,5,20,0,50,40,40,50
16,65,50,60,70,75,80,55,60,45,55,50,60,70,10,40,30,40,70,65,20,50,55,90,10,5,5,5,5,20,0,30,60,40,50
17,65,60,45,60,25,70,40,55,50,50,55,50,60,30,40,45,30,70,60,55,50,55,0,80,10,0,0,0,40,50,40,55,40,50
18,75,80,30,70,15,10,40,50,85,50,75,70,85,90,20,20,60,90,75,90,40,50,0,0,0,0,0,90,10,50,30,60,50,40
19,70,75,30,65,20,10,40,50,80,50,70,60,80,30,20,25,20,70,75,80,50,55,0,0,0,0,0,0,90,50,30,60,40,45
20,70,75,40,65,15,90,40,60,85,50,75,65,70,10,30,20,60,80,75,70,40,50,0,0,0,0,0,100,0,0,50,60,50,50
21,70,75,30,65,15,10,30,50,60,50,55,60,80,90,20,25,40,60,70,80,40,50,80,10,10,5,5,5,30,50,30,40,40,45
22,70,75,40,70,45,20,45,60,80,55,75,65,80,30,30,20,30,40,75,70,50,60,0,0,0,0,0,0,90,50,30,65,40,70
23,65,70,50,68,30,70,45,55,75,50,70,60,75,20,40,30,40,60,70,65,50,55,90,10,5,0,0,0,20,0,40,60,40,50
24,65,50,70,75,80,90,55,60,40,65,50,70,80,10,50,30,20,80,75,20,70,55,0,0,0,0,0,0,95,0,10,65,50,40
25,70,75,40,65,35,10,45,60,80,55,70,60,80,70,30,20,20,50,75,75,50,55,0,0,10,0,0,0,90,50,30,65,40,45
26,75,85,30,70,15,10,30,60,85,50,80,75,90,95,20,25,30,40,80,90,60,50,10,5,10,5,5,5,80,50,30,60,40,40
27,75,78,40,70,25,15,45,60,85,55,80,65,80,90,30,20,30,60,75,80,50,55,80,10,15,5,5,5,30,50,40,65,45,50
28,65,60,50,65,25,80,45,55,40,50,55,50,60,20,40,35,40,90,60,45,45,50,10,30,10,5,5,5,60,50,40,55,40,50
29,65,68,55,60,30,90,50,55,65,50,60,65,70,20,45,30,40,80,70,40,50,50,10,70,10,5,5,5,40,0,30,60,40,50
30,70,75,40,65,35,15,45,50,85,50,75,60,70,50,30,20,30,40,70,80,45,55,10,10,10,5,5,5,80,50,30,60,40,50
31,60,45,50,65,70,30,55,50,40,50,45,55,40,80,30,50,30,60,55,30,40,50,10,10,10,5,5,5,85,50,40,45,50,60
32,75,80,30,70,15,10,40,60,90,55,85,70,85,90,20,25,40,60,75,90,50,55,0,0,90,0,0,0,20,50,30,60,40,50
33,85,80,20,50,5,30,40,60,90,60,75,70,80,10,10,20,20,40,80,95,50,50,10,10,10,5,5,5,80,50,50,50,60,40
34,75,80,40,70,20,10,30,50,90,50,85,70,80,90,20,15,30,70,80,85,40,50,90,5,5,5,5,5,20,50,30,60,40,60
35,60,65,55,60,40,85,50,60,40,50,55,60,70,10,45,30,30,70,70,35,50,55,0,20,10,0,0,0,90,50,30,60,40,50
36,65,60,55,70,45,70,50,60,55,50,60,55,75,10,40,30,30,80,70,40,50,55,10,30,20,5,5,5,80,0,40,65,45,40
37,70,65,20,50,10,10,30,60,40,50,45,55,70,80,10,30,20,30,60,90,40,50,10,5,10,5,5,5,85,50,50,40,50,30
38,70,65,55,68,40,85,50,60,75,55,70,55,75,10,40,30,20,45,70,50,55,50,0,5,5,0,0,0,90,50,30,65,45,50
39,65,70,40,65,35,10,45,60,75,55,70,50,80,30,30,20,30,70,70,75,50,55,0,0,10,0,0,0,90,50,30,60,40,40
40,70,65,55,70,45,80,50,60,75,55,70,55,80,10,40,30,30,60,75,50,55,60,0,10,10,0,0,0,90,0,30,70,50,40
41,60,65,55,60,35,85,50,55,75,50,70,70,65,20,45,30,30,40,70,45,50,50,10,20,10,5,5,5,80,50,30,60,40,50
42,70,75,40,70,25,10,45,50,65,50,60,65,80,70,30,20,60,90,75,70,40,50,0,0,0,0,0,95,5,0,50,60,50,50
43,70,75,40,65,25,10,40,55,80,50,75,65,80,70,30,20,30,70,75,80,50,55,0,0,10,0,0,0,80,50,40,60,40,45
44,65,70,40,65,20,80,45,60,70,50,60,55,75,10,30,40,50,90,65,60,45,50,90,10,5,5,5,5,20,50,50,60,40,50
45,65,70,60,65,30,90,50,55,75,50,70,65,70,10,40,20,60,90,75,50,40,50,0,10,5,0,0,90,5,0,20,60,50,60
46,70,75,50,65,25,80,40,60,80,55,75,65,85,10,40,30,30,90,75,70,50,55,0,0,0,0,0,0,90,50,40,65,40,50
47,80,75,20,70,10,15,30,60,90,50,85,70,75,80,10,20,20,40,85,95,40,50,10,5,10,5,5,5,80,50,20,60,50,40
48,65,55,50,70,60,70,55,50,75,50,65,60,65,20,40,50,40,70,70,45,50,55,90,10,5,0,0,0,20,0,30,60,40,45
49,65,70,55,65,30,85,45,50,70,50,65,60,75,20,40,30,40,80,70,50,50,55,10,70,20,5,5,10,30,0,40,60,45,50
50,70,75,45,65,20,80,40,60,80,50,75,60,80,10,30,20,30,90,70,75,50,55,90,10,5,5,5,5,20,0,40,60,40,50
51,75,80,30,70,18,10,40,60,85,50,75,65,80,50,20,25,40,90,75,85,50,55,90,10,5,5,5,5,20,50,40,65,50,50
52,65,70,55,70,30,80,45,50,40,50,55,60,75,10,40,30,40,90,70,45,50,55,0,70,10,0,0,0,30,50,40,65,40,50
53,70,75,30,65,15,10,30,50,40,50,55,60,70,90,20,30,40,70,60,80,40,50,80,20,10,5,5,5,30,50,30,40,40,45
54,65,68,45,60,25,80,40,55,60,50,55,50,60,30,40,45,30,40,60,65,50,55,10,10,10,5,5,5,85,50,40,55,40,50
55,70,65,40,60,15,10,30,50,85,50,75,60,70,20,30,40,20,40,70,80,40,50,0,0,0,0,0,0,90,50,30,40,50,60
56,75,85,40,70,25,10,45,50,90,50,80,75,85,90,30,20,60,90,70,85,40,50,0,0,10,0,0,90,10,0,30,60,40,50
57,75,70,30,65,15,10,30,50,80,50,70,60,80,40,20,30,40,80,75,85,40,50,90,10,5,5,5,5,20,50,50,50,50,60
58,70,75,40,65,25,10,40,50,80,50,70,60,80,30,30,20,20,40,75,80,40,50,0,0,0,0,0,0,90,50,30,60,40,40
59,75,70,30,65,10,20,30,60,90,50,80,65,70,40,20,40,20,50,80,90,40,50,0,0,0,0,0,0,90,50,30,50,50,60
60,70,65,20,55,10,15,30,60,40,50,45,55,60,90,10,30,20,40,50,85,40,50,10,5,10,5,5,5,80,50,50,40,50,60
61,70,65,30,60,15,30,40,50,55,50,50,55,70,20,20,40,40,70,60,75,40,50,10,60,20,10,10,10,50,50,40,45,50,50
62,65,60,40,60,15,70,30,55,75,50,65,50,70,10,30,50,30,70,70,75,40,50,0,0,0,0,0,0,90,50,40,45,40,50
63,65,70,55,60,35,90,50,60,75,50,70,65,70,10,40,30,40,80,70,50,50,55,0,70,10,0,0,0,50,0,30,60,40,50
64,70,75,40,65,25,15,45,60,85,55,75,65,80,50,30,20,30,40,70,80,50,55,0,0,20,0,0,0,80,50,30,65,40,45
65,65,50,55,70,60,80,50,60,40,50,45,55,60,30,40,45,20,80,60,30,50,55,0,10,5,0,0,0,90,0,30,60,40,50
66,65,70,40,60,15,20,30,50,80,50,75,60,70,40,30,45,20,60,70,80,40,50,0,0,0,0,0,0,90,50,50,40,50,60
67,65,60,55,60,30,80,45,55,40,50,50,55,70,20,45,30,40,80,65,40,50,50,10,70,20,5,5,10,40,50,40,60,45,50
68,65,68,50,60,30,85,45,60,75,55,70,55,70,20,40,45,20,60,70,60,50,55,0,10,5,0,0,0,90,50,30,60,40,50
69,70,75,30,65,15,10,30,50,90,50,80,65,70,80,20,30,30,80,75,85,40,50,90,10,5,5,5,5,20,50,30,50,40,60
70,65,60,50,65,55,80,50,60,75,55,70,50,70,10,40,30,20,40,70,50,50,55,0,10,5,0,0,0,90,0,30,60,40,60
71,70,75,55,65,30,80,45,60,90,50,80,65,75,10,30,20,60,80,75,70,40,50,10,70,20,10,5,10,30,50,40,65,50,60
72,65,75,40,70,30,10,45,50,55,50,60,70,85,90,30,20,30,80,70,65,50,55,0,0,0,0,0,10,60,50,40,60,40,45
73,85,75,20,70,10,15,30,60,90,65,80,70,80,90,10,30,20,40,85,95,50,50,0,0,0,0,0,0,90,50,50,60,50,60
74,70,75,40,75,25,20,40,50,80,50,70,60,80,30,30,40,40,70,75,80,50,60,90,10,5,5,5,5,20,50,40,65,40,45
75,65,70,55,65,25,80,40,60,40,50,55,60,70,30,45,30,40,70,75,50,50,55,10,60,20,5,5,10,50,0,40,60,45,55
76,65,75,40,60,20,10,30,50,75,50,70,65,80,85,30,20,30,70,70,80,40,50,10,10,20,5,5,5,70,50,30,55,40,40
77,70,65,40,60,20,70,45,60,85,55,75,60,70,30,35,50,20,50,75,70,50,55,0,0,0,0,0,0,90,50,40,60,45,50
78,70,50,75,80,85,90,60,60,40,50,55,75,70,0,40,20,70,90,70,10,50,50,0,10,10,0,0,95,5,0,10,65,50,40
79,70,60,40,75,55,20,50,60,80,55,65,50,65,30,30,45,20,50,75,65,40,60,0,0,0,0,0,0,95,0,30,55,40,50
80,65,50,70,65,70,90,60,60,40,50,55,60,50,20,50,30,30,70,70,20,50,50,0,10,5,0,0,0,90,50,20,55,50,50
81,80,75,20,60,10,10,30,60,85,50,70,65,80,90,10,30,20,30,75,90,40,50,0,0,10,0,0,0,90,50,50,50,50,40
82,70,75,30,65,15,10,30,50,80,50,70,60,85,90,20,25,40,90,75,85,40,50,90,10,5,5,5,5,20,0,30,50,40,50
83,70,65,40,65,55,15,50,60,80,55,70,55,75,80,30,25,20,30,70,70,50,55,0,0,0,0,0,0,95,0,40,60,50,50
84,65,55,50,70,45,80,50,60,50,55,50,55,60,30,40,50,30,60,65,40,50,55,0,30,10,0,0,0,80,50,40,60,40,50
