stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,70,60,65,75,55,70,60,50,40,50,45,55,65,20,30,25,40,40,60,35,50,50,0,0,0,0,0,0,100,50,30,65,40,55
2,75,70,40,65,30,50,50,60,80,55,75,65,70,40,20,30,60,40,70,75,50,60,0,0,30,0,0,20,0,50,50,65,30,40
3,70,55,60,80,65,70,50,60,40,50,40,55,75,0,30,20,70,40,65,30,60,50,0,0,0,0,0,0,100,50,40,65,30,20
4,70,65,40,60,30,40,30,50,75,55,60,65,80,30,20,25,40,30,70,75,50,50,0,0,0,0,0,40,0,50,50,60,30,40
5,75,70,40,65,30,30,40,60,80,50,70,60,80,20,20,30,30,40,70,75,50,50,0,0,0,0,0,0,100,50,50,65,40,50
6,60,55,50,65,40,70,60,50,55,50,60,65,70,80,40,30,60,40,65,50,50,60,0,0,0,0,0,0,100,50,50,55,40,60
7,70,65,60,75,30,70,50,55,60,50,55,60,70,20,30,20,40,30,75,50,60,50,0,0,0,0,0,0,100,50,40,65,30,70
8,80,90,20,60,10,50,30,70,95,75,80,70,85,40,10,20,30,20,85,95,30,50,0,0,0,0,0,0,100,0,50,60,40,30
9,80,60,40,70,70,50,60,50,75,65,55,60,70,30,20,40,50,40,65,50,30,50,0,0,0,0,0,0,100,0,50,60,20,30
10,65,50,60,70,65,80,70,55,40,50,45,55,60,20,30,25,40,40,55,30,50,50,0,0,80,0,0,0,0,50,40,55,30,20
11,70,65,50,75,30,20,40,60,70,50,60,55,80,10,20,30,30,30,75,60,50,50,80,0,0,0,0,0,0,50,50,65,30,40
12,80,70,20,60,10,50,30,60,90,50,70,60,80,20,10,30,70,30,70,90,50,50,0,0,0,0,0,0,100,50,50,60,50,40
13,75,60,65,70,45,80,70,55,80,60,70,65,75,20,30,25,50,40,70,50,60,50,0,0,0,0,0,0,100,50,40,65,30,80
14,80,70,60,75,30,40,50,65,85,60,70,65,80,20,30,20,60,40,75,70,60,50,10,10,10,10,10,10,80,50,40,70,30,50
15,65,70,40,60,20,30,40,50,55,45,50,50,60,10,20,30,20,20,70,75,30,50,90,0,0,0,0,0,0,0,50,55,40,30
16,70,55,60,75,80,50,60,65,40,50,45,55,70,0,30,20,30,40,60,25,50,50,80,0,0,0,0,0,0,0,0,65,30,50
17,70,65,40,60,25,50,40,55,60,50,55,50,70,20,30,40,30,40,65,60,50,50,0,0,30,0,0,0,70,50,50,60,40,50
18,70,65,40,60,30,50,50,55,75,60,65,60,70,80,30,20,40,30,65,70,50,50,0,0,0,0,0,70,0,50,50,60,40,50
19,75,80,40,70,20,30,40,60,85,50,70,65,80,30,20,15,30,20,75,85,50,50,0,0,0,0,0,0,100,0,50,70,40,30
20,75,70,40,65,25,50,30,60,80,50,70,65,80,10,20,30,40,30,75,65,50,50,0,0,0,0,0,80,0,50,50,60,30,20
21,70,65,40,60,25,30,40,50,55,50,60,55,75,80,30,25,40,30,65,70,50,50,30,10,20,10,5,5,40,50,40,60,30,40
22,70,65,40,60,30,50,40,55,75,50,65,60,70,60,30,40,70,50,65,70,60,50,0,0,0,0,0,0,100,50,50,60,40,70
23,70,65,55,75,30,60,50,60,70,50,65,60,80,20,30,25,40,30,75,60,50,50,20,10,30,5,5,10,60,50,40,65,30,50
24,75,60,65,80,85,70,70,50,55,60,50,65,80,10,30,20,70,30,60,25,75,50,0,0,0,0,0,0,100,50,40,70,30,40
25,75,70,40,65,45,30,50,60,80,55,65,60,80,60,20,30,60,40,70,65,50,50,0,0,0,0,0,0,100,50,40,70,30,50
