stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,75,65,50,70,35,30,40,60,70,50,60,55,80,20,30,20,30,30,75,60,50,50,80,0,0,0,0,0,0,50,50,65,40,50
24,75,60,70,80,85,100,70,50,60,65,50,55,80,10,30,20,70,30,65,25,80,40,0,0,0,0,0,0,100,0,20,70,30,40
31,60,45,55,65,70,50,60,50,40,50,45,55,50,30,40,30,50,40,50,30,40,50,0,0,0,0,0,0,100,0,30,50,20,40
40,75,65,60,70,40,90,70,55,80,60,65,55,85,0,30,20,40,30,75,50,60,50,0,0,0,0,0,0,100,50,30,70,40,30
55,80,70,30,60,20,50,40,60,85,50,70,60,75,10,20,30,40,30,70,80,40,50,10,10,10,10,10,10,70,50,30,60,20,70
60,60,70,20,50,10,50,40,50,60,50,50,50,70,80,10,30,30,40,50,90,20,50,0,0,0,0,0,0,100,0,50,50,20,40
64,80,75,60,70,35,30,40,50,85,50,70,65,90,70,20,15,40,30,75,70,60,50,20,10,40,10,5,5,30,50,40,70,30,50
67,70,65,60,75,25,70,50,55,40,50,55,60,80,20,30,20,40,30,70,50,60,50,10,10,20,10,10,10,70,50,40,65,30,40
68,75,65,50,70,30,40,50,60,80,55,65,60,70,20,30,40,60,40,75,70,50,50,0,0,0,0,0,0,100,50,40,65,30,50
71,80,75,60,70,30,70,50,65,85,60,75,70,80,20,30,20,40,30,75,70,50,50,0,0,0,0,0,70,0,0,50,70,40,60
77,75,70,60,65,35,40,50,55,80,50,70,60,75,20,30,25,70,40,75,65,50,50,0,0,0,0,0,0,100,50,40,65,30,50
89,75,80,30,65,20,20,40,60,85,50,70,60,80,40,20,30,30,40,75,90,40,50,70,0,0,0,0,0,0,0,50,60,30,20
97,80,75,40,70,30,20,40,60,85,50,70,60,90,70,20,30,30,30,75,80,50,50,0,0,0,0,0,0,100,50,50,70,40,30
102,80,60,30,75,80,50,50,70,65,60,40,55,75,20,10,30,40,40,70,50,40,50,0,0,0,0,0,0,100,0,20,60,30,20
108,65,70,40,60,25,30,40,50,55,50,45,60,70,80,20,30,40,30,65,75,50,50,60,0,0,0,0,0,0,50,50,55,30,40
159,70,65,60,75,30,80,50,55,70,60,65,60,75,20,30,20,40,30,70,55,50,50,10,10,20,10,10,10,70,50,40,65,30,80
175,60,70,50,65,30,30,40,50,40,50,40,55,75,40,30,20,30,40,60,50,50,50,0,0,0,0,0,0,100,50,50,60,30,20
185,70,65,40,60,30,30,40,50,55,50,60,55,70,30,20,25,40,30,65,60,50,50,0,0,0,0,0,0,50,0,50,60,30,40
200,65,50,60,55,70,80,70,50,40,50,45,55,60,30,40,30,50,40,50,30,40,50,0,0,0,0,0,0,100,50,30,55,40,60
210,70,65,55,60,30,40,50,60,70,50,60,55,75,20,30,25,40,30,65,50,50,50,0,0,0,0,0,0,100,50,50,60,40,70
214,70,65,30,60,10,50,30,55,75,60,65,50,70,40,20,30,20,30,60,80,40,50,0,0,0,0,0,0,100,0,50,40,30,50
219,70,75,40,65,25,20,30,60,80,50,70,65,80,70,20,15,30,40,75,80,60,50,0,0,0,0,0,0,100,50,30,65,20,50
238,70,65,40,60,45,50,50,55,70,60,55,60,75,60,30,20,40,40,65,50,50,50,10,10,30,10,10,10,50,50,40,60,30,40
245,75,70,40,65,25,30,40,60,80,50,65,55,75,60,20,30,30,40,70,75,50,50,0,0,0,0,0,0,100,0,50,60,30,40
248,75,70,60,65,30,80,50,55,80,60,70,65,75,20,30,25,40,30,70,65,60,50,0,0,0,0,0,0,100,50,40,70,30,60
260,75,80,40,70,30,20,40,60,85,50,70,65,90,60,20,15,40,30,75,80,50,50,70,0,0,0,0,0,0,50,50,65,30,40
278,70,55,45,65,60,50,50,55,50,60,45,50,60,30,40,30,50,40,55,40,50,50,0,0,0,0,0,0,100,50,50,60,40,70
282,65,70,55,60,30,40,50,50,45,50,55,60,75,20,30,25,40,30,65,50,50,50,0,0,0,0,0,0,100,0,50,60,30,20
287,60,45,55,65,60,70,65,50,40,50,40,50,55,10,30,25,50,40,50,30,40,50,0,0,50,0,0,0,60,50,30,55,20,40
295,75,65,50,70,30,40,50,60,80,55,65,60,75,10,20,30,70,40,75,60,50,50,0,0,0,0,0,0,100,50,40,65,30,50
297,80,70,40,65,25,50,40,60,85,50,75,60,70,10,20,30,50,30,75,80,50,60,20,10,30,10,10,10,40,50,50,60,30,40
299,70,45,40,65,60,50,55,50,40,50,45,50,60,20,30,40,50,40,55,35,30,50,10,10,40,10,10,10,30,50,30,50,20,30
313,75,65,60,70,35,70,50,55,80,60,65,55,80,20,30,25,40,40,75,60,50,50,0,0,0,0,0,0,100,50,40,70,30,50
315,70,65,60,75,30,80,50,55,70,60,65,55,80,20,30,20,60,40,75,60,65,50,10,10,10,10,10,10,80,50,40,70,30,40
322,60,65,55,70,30,50,60,50,40,50,45,60,70,0,30,20,40,30,65,50,40,50,0,0,70,0,0,0,30,0,50,55,40,50
332,70,65,40,60,25,30,40,50,60,55,50,55,65,70,30,40,30,40,60,70,40,50,0,0,0,0,0,0,100,0,50,60,30,40
333,75,70,60,80,30,70,50,65,80,50,60,55,85,10,20,15,40,30,75,65,70,50,10,10,10,10,10,10,80,50,40,70,30,40
352,70,55,65,75,70,60,50,60,40,50,45,60,70,10,30,20,60,40,65,30,50,50,10,10,20,10,10,30,40,50,30,65,40,30
366,70,60,50,65,45,80,60,55,75,50,60,55,70,20,30,40,50,40,65,50,50,50,0,0,0,0,0,0,100,50,50,60,30,40
372,75,70,60,65,30,50,40,55,80,60,70,65,80,10,20,15,40,30,75,65,50,50,10,20,30,10,10,10,40,50,40,70,30,50
378,70,60,40,65,25,50,40,55,60,50,55,50,65,30,20,40,70,40,60,70,50,50,0,0,0,0,0,0,100,50,50,55,30,60
381,75,40,30,65,85,100,60,70,50,60,40,50,60,0,20,30,70,40,50,20,50,40,0,0,0,0,0,0,100,0,20,50,30,40
382,70,60,40,65,30,50,40,55,65,50,60,55,70,40,30,40,50,40,65,60,50,50,0,0,0,0,0,0,100,50,50,60,40,70
389,65,70,50,60,30,40,40,55,50,45,50,60,75,80,30,20,40,40,60,65,50,50,20,10,70,10,5,10,20,50,40,55,30,40
421,75,60,40,80,40,30,50,70,65,50,45,55,70,30,20,40,50,40,60,50,40,50,10,10,10,10,10,10,70,50,30,60,20,40
424,80,60,40,70,80,50,50,60,70,60,50,50,70,20,30,40,20,30,60,40,50,50,0,0,0,0,0,0,100,50,50,60,30,40
430,80,75,20,60,10,50,30,70,85,60,70,65,70,40,10,30,50,30,75,90,20,50,0,0,0,0,0,0,100,0,50,40,20,30
446,70,60,55,75,45,50,60,65,50,40,45,50,70,10,30,20,40,30,65,40,50,50,70,0,0,0,0,0,0,0,50,60,30,20
454,70,85,40,65,20,20,30,50,60,55,50,60,80,70,30,20,30,40,75,80,50,50,80,0,0,0,0,0,0,0,50,60,40,30
457,75,80,40,65,25,30,50,60,85,50,70,65,80,70,20,15,40,30,75,85,40,50,30,0,20,30,0,0,0,50,50,60,30,40
483,75,65,60,70,35,80,60,55,70,50,65,60,80,20,30,25,70,50,75,55,60,40,0,0,0,0,0,0,100,50,30,70,40,50
496,70,65,40,60,25,50,40,55,80,50,70,60,75,10,20,30,50,30,70,75,50,50,0,0,0,0,0,0,100,50,50,60,30,40
501,70,75,40,65,30,20,50,60,70,50,60,65,80,30,20,15,40,20,75,70,50,50,0,0,0,0,0,100,0,50,50,65,30,40
515,70,85,60,75,25,20,30,50,40,30,55,65,90,80,40,20,20,30,75,70,60,50,0,0,0,0,0,0,100,0,50,65,40,30
520,75,60,40,70,30,50,40,55,80,65,70,60,65,40,20,30,50,40,70,75,40,50,10,10,10,10,10,10,70,50,50,60,30,60
527,75,65,40,70,30,30,40,60,80,50,70,60,80,40,20,30,40,30,75,70,50,60,0,0,0,0,0,0,100,50,50,65,30,40
530,70,65,40,60,30,50,40,55,75,60,70,65,70,30,20,30,50,40,65,70,40,50,0,0,0,0,0,0,100,50,50,60,30,40
552,65,70,40,60,20,50,30,55,75,50,60,55,70,20,30,40,50,40,65,80,50,50,0,0,0,0,0,0,100,50,50,60,40,50
559,70,65,40,60,20,30,40,50,55,50,45,60,75,60,30,25,30,40,65,70,50,50,20,10,10,10,10,10,60,50,50,55,40,30
594,65,50,45,70,40,50,60,55,50,60,45,55,70,40,30,40,50,40,60,45,50,50,0,0,0,0,0,0,100,50,50,60,30,40
599,70,65,40,60,30,50,50,55,60,50,45,55,70,30,20,25,40,30,65,60,30,50,0,100,0,0,0,0,0,0,50,60,40,50
606,65,70,60,75,30,70,50,55,40,50,45,60,65,10,30,20,50,40,70,50,50,50,0,0,0,0,0,0,100,0,30,60,20,50
612,80,70,30,60,10,50,30,50,90,40,70,60,80,40,20,30,50,40,80,90,30,50,20,10,30,10,10,10,40,20,30,60,40,70
619,80,85,20,40,10,50,30,60,90,70,75,65,70,10,15,25,50,30,70,95,40,50,0,0,0,0,0,0,100,50,20,30,25,40
622,75,60,50,70,40,50,60,55,80,65,70,60,80,20,30,40,70,40,75,50,60,50,0,0,0,0,0,0,100,50,50,70,40,50
626,70,65,40,60,30,20,50,50,55,60,50,55,70,30,20,25,30,30,65,60,40,50,80,0,0,0,0,0,0,0,50,60,30,40
631,60,55,40,65,20,40,50,50,45,50,40,55,60,70,30,50,50,40,55,65,50,50,0,0,0,0,0,0,100,50,50,55,40,50
656,70,60,50,75,30,60,50,55,65,50,55,60,70,20,30,40,60,40,65,50,50,50,0,0,0,0,0,0,100,0,50,65,30,40
657,80,75,60,70,30,20,40,50,85,60,75,70,90,80,20,10,60,40,75,70,50,50,0,0,0,0,0,100,0,0,50,70,30,40
683,65,60,50,70,30,60,50,55,60,50,55,60,70,30,40,30,60,40,70,55,50,50,0,0,0,0,0,0,100,50,50,60,40,80
706,75,60,40,70,40,30,50,60,65,50,45,55,70,30,20,40,70,40,65,50,50,50,0,0,0,0,0,0,100,50,50,60,30,20
718,70,75,30,60,20,20,40,50,40,50,40,60,70,80,20,30,20,20,50,80,50,50,0,0,0,0,0,0,100,50,50,60,30,40
719,75,60,40,70,70,50,50,65,80,60,55,65,80,40,30,20,70,30,65,50,60,50,0,0,0,0,0,0,100,50,30,70,40,60
721,80,75,20,60,10,50,30,50,90,60,70,65,70,40,10,20,40,30,75,90,30,50,20,10,60,10,10,10,20,50,50,40,30,50
747,70,80,20,60,10,50,30,60,90,50,70,60,50,20,10,30,40,30,70,90,20,50,0,0,0,0,0,0,50,0,50,30,20,40
758,75,70,60,65,30,50,40,55,80,50,65,60,80,20,30,20,40,30,75,65,60,50,0,0,0,0,0,0,100,0,50,70,40,30
768,75,70,40,65,30,20,40,60,80,50,65,55,80,30,20,15,30,40,70,75,50,50,0,0,0,0,0,0,100,0,50,65,30,40
774,75,60,50,65,40,70,60,55,70,50,60,55,70,20,30,25,60,40,65,50,60,50,0,0,0,0,0,0,100,0,50,65,30,50
784,70,65,60,75,40,80,60,50,80,55,70,65,75,80,30,20,70,40,75,60,50,50,0,0,0,0,0,0,100,50,40,65,30,60
794,70,75,30,60,10,50,40,55,80,65,70,60,75,60,20,30,40,30,70,85,40,50,60,0,0,0,0,0,0,0,50,50,20,30
804,70,60,50,65,40,40,50,55,75,60,65,55,70,10,30,40,50,30,65,55,50,50,0,0,0,0,0,0,100,50,50,60,30,40
810,75,65,50,70,30,40,50,60,80,55,65,60,80,10,20,30,30,40,75,70,60,50,0,0,0,0,0,0,100,50,40,70,30,50
817,80,85,10,50,10,50,30,60,90,70,75,65,70,40,10,20,30,40,70,95,20,50,80,0,0,0,0,0,0,0,0,20,10,50
820,70,60,40,75,30,20,40,50,55,60,45,50,65,70,30,40,30,40,65,50,40,50,0,0,0,0,0,0,100,0,50,60,20,30
849,80,50,40,70,75,50,60,65,60,55,45,50,70,0,30,20,70,50,60,30,60,50,0,0,0,0,0,0,100,0,20,70,30,50
877,70,65,60,75,30,80,50,55,60,50,55,65,70,20,40,30,40,30,70,50,60,50,0,0,0,0,0,0,100,0,50,65,40,60
884,70,65,60,75,35,70,55,50,60,50,55,60,65,20,30,25,40,30,70,50,40,50,0,0,20,0,0,0,70,0,30,65,20,60
891,75,80,40,70,20,50,30,60,85,65,75,70,80,60,30,20,40,30,75,85,50,50,0,0,80,0,0,0,20,0,50,70,30,40
905,75,60,40,70,30,30,40,50,65,50,55,60,70,10,20,30,60,40,65,70,50,60,10,10,10,10,10,10,70,50,40,60,30,50
907,80,70,40,60,25,30,40,50,90,60,70,65,75,60,20,30,50,40,75,85,40,50,20,10,30,10,10,10,40,50,30,60,20,50
915,70,65,40,60,30,20,40,50,55,50,45,60,75,40,30,25,30,30,60,50,50,50,80,0,0,0,0,0,0,0,50,55,30,20
921,70,60,40,75,30,20,50,55,65,50,45,50,70,30,20,40,30,20,65,55,40,50,80,0,0,0,0,0,0,50,30,60,20,30
927,70,60,50,75,30,40,50,55,65,50,55,60,80,10,20,30,70,40,75,50,60,50,0,0,0,0,0,0,100,50,40,65,30,40
930,70,55,60,75,60,80,65,50,50,40,45,50,70,0,30,20,40,40,65,30,60,50,0,0,0,0,0,0,100,50,30,65,20,30
934,75,70,40,65,30,20,40,60,80,50,65,55,80,60,30,20,40,30,70,75,50,60,0,0,0,0,0,0,100,0,50,65,30,40
945,75,65,60,70,65,80,70,55,70,60,50,55,80,0,30,20,60,40,75,40,65,50,0,0,0,0,0,0,100,0,30,70,40,50
953,70,55,40,60,70,50,60,50,60,65,50,55,70,30,20,40,40,40,50,45,50,50,0,0,0,0,0,0,100,50,50,60,30,50
955,80,70,40,75,30,20,40,60,85,50,70,60,80,40,20,30,40,30,75,65,50,50,70,0,0,0,0,0,0,0,50,70,30,40
960,75,80,40,70,25,30,40,60,85,50,70,65,80,30,20,15,60,40,75,85,50,50,0,0,0,0,0,100,0,0,50,70,40,50
979,70,60,55,65,40,70,60,50,65,50,55,60,75,10,30,20,60,40,65,50,60,50,0,0,0,0,0,0,100,50,40,65,30,50
