stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,42,52,61,60,59,74,44,55,12,41,24,54,63,8,18,20,22,72,58,24,56,44,3,18,10,1,1,2,86,50,10,57,16,34
2,67,70,52,58,34,30,38,44,88,42,81,73,78,72,12,18,54,88,66,69,40,56,8,14,18,6,5,46,22,0,28,57,33,61
3,46,41,34,77,55,48,38,52,10,44,24,63,74,5,18,51,27,70,66,29,62,54,6,6,8,1,2,2,84,0,14,58,16,18
4,68,71,42,63,27,18,30,54,64,37,52,58,79,18,22,14,53,92,61,74,46,45,52,10,18,5,3,26,22,1,15,57,34,23
5,81,73,34,64,39,18,32,58,88,44,66,61,78,18,22,16,18,82,72,71,54,49,5,6,7,2,2,1,88,0,18,55,24,28
6,51,54,39,56,38,44,28,27,42,33,34,61,60,63,28,31,34,70,49,41,43,58,3,4,5,2,2,1,92,0,46,31,22,57
7,62,64,56,57,29,78,28,58,44,52,46,53,66,4,37,22,24,80,61,48,46,41,8,7,10,3,4,3,78,0,22,54,18,63
8,78,84,12,52,8,35,18,58,90,62,64,71,86,46,8,14,18,34,67,96,55,50,18,6,8,3,4,2,90,0,2,1,48,41
9,79,63,42,71,67,28,62,45,82,51,58,66,74,44,14,28,42,76,63,57,38,48,58,18,22,5,4,3,47,0,12,54,41,22
10,59,52,47,68,47,78,42,38,34,31,28,57,54,29,24,40,52,84,58,33,46,41,55,58,32,8,6,8,43,5,14,39,21,36
11,72,63,44,66,41,29,34,55,68,47,46,57,78,12,18,22,32,72,64,61,48,52,84,3,4,2,2,1,9,0,35,62,24,36
12,82,74,12,47,8,32,18,55,78,34,58,69,80,29,7,18,8,14,71,93,50,50,5,3,4,2,2,1,90,5,50,2,12,48
13,83,62,56,61,48,78,46,58,86,52,62,67,71,12,18,24,78,68,66,54,52,53,3,8,7,1,2,3,95,0,12,60,34,74
14,82,78,34,66,28,62,35,55,89,45,72,58,83,42,18,26,25,82,74,71,63,57,6,8,7,2,2,3,90,0,41,61,32,38
15,48,42,37,50,23,72,28,55,18,31,29,41,54,4,22,21,62,95,46,34,35,38,82,3,5,2,1,1,6,0,18,27,20,19
16,57,46,61,58,71,68,46,44,38,52,34,55,69,12,29,22,38,68,54,24,49,42,67,8,12,5,6,2,22,0,18,56,31,28
17,58,62,38,55,26,68,28,54,46,49,42,57,63,8,24,28,28,82,61,60,44,52,28,18,20,5,6,4,72,50,22,48,34,37
18,62,70,38,57,27,18,42,48,58,52,49,61,68,82,18,16,62,88,60,67,41,47,12,18,24,6,8,78,20,3,24,44,40,36
19,74,78,41,63,28,18,32,66,63,58,56,57,85,72,18,20,20,88,69,67,54,52,8,6,10,2,2,1,92,0,14,61,31,34
20,72,61,44,59,27,67,38,42,70,31,58,63,74,5,26,22,78,94,68,66,36,48,14,10,18,5,7,88,8,1,24,51,32,23
21,57,68,36,56,28,18,28,54,49,42,39,47,72,88,20,23,24,82,55,71,43,51,62,8,12,3,4,2,76,5,21,45,27,34
22,72,67,41,63,33,28,34,44,78,30,56,57,65,74,24,32,22,72,68,62,58,55,2,3,4,1,2,1,87,5,12,46,31,74
23,52,58,48,57,34,66,28,41,56,35,44,47,63,15,31,28,28,82,58,44,45,50,78,6,8,2,2,1,26,50,34,49,20,22
24,61,50,63,70,86,72,42,34,18,57,28,68,82,11,29,12,18,16,54,19,76,38,3,4,6,1,1,1,92,0,8,58,41,22
25,78,72,42,64,47,26,38,62,74,55,56,61,78,82,18,22,32,61,66,58,58,54,8,10,12,4,4,5,82,0,17,63,28,36
26,58,72,34,52,28,18,38,22,42,18,33,66,83,67,24,12,28,74,61,70,45,41,8,18,22,2,3,4,78,5,18,46,24,32
27,78,74,33,62,34,18,28,55,83,60,58,66,82,78,10,20,38,70,64,72,47,52,68,6,10,2,2,3,18,0,14,57,22,31
28,62,66,48,62,28,67,28,45,34,32,38,57,70,4,22,18,55,92,63,56,49,46,74,28,18,3,4,4,34,50,18,52,31,26
29,58,67,49,56,33,78,37,41,55,35,41,57,70,4,29,23,35,90,61,46,45,42,19,66,24,3,5,2,54,0,20,52,33,18
30,79,68,41,62,49,26,39,58,88,46,74,63,71,72,18,22,22,76,67,65,47,56,4,4,6,1,2,3,86,5,12,60,28,73
31,49,52,57,54,67,58,43,48,41,46,44,73,47,82,39,28,68,76,52,31,56,50,9,8,12,4,3,2,88,0,20,51,22,35
33,82,78,5,48,3,38,8,40,68,36,22,62,88,12,2,8,12,78,64,96,35,45,12,8,10,6,7,5,88,0,2,1,24,28
34,78,72,32,60,24,22,28,45,91,34,72,63,74,78,8,12,38,88,67,84,46,58,68,12,18,4,6,8,52,10,24,61,39,57
35,42,67,58,61,34,86,34,52,41,54,39,68,71,8,44,18,32,88,79,45,55,48,6,18,30,2,2,4,78,0,8,57,22,20
36,63,58,42,68,42,68,28,44,50,37,35,52,83,5,34,18,36,92,71,49,57,41,21,54,19,2,1,1,78,50,16,46,22,19
37,50,68,5,45,5,28,10,40,35,30,30,62,70,72,5,12,8,20,55,92,40,30,5,5,8,2,5,2,90,0,5,0,20,20
38,77,58,52,63,40,78,35,68,67,54,46,57,80,4,32,18,18,62,60,49,70,45,2,1,2,1,1,0,98,5,6,73,44,38
39,72,58,32,52,31,24,62,68,74,66,55,57,64,58,18,22,28,73,61,67,44,52,8,6,10,2,4,3,82,0,17,49,30,34
40,74,58,62,66,45,82,52,63,68,57,54,52,84,6,28,22,22,84,69,43,61,45,5,4,6,1,1,2,93,50,18,67,40,31
41,52,56,44,50,35,78,35,41,58,39,48,61,62,12,28,22,32,88,55,48,42,51,22,56,14,6,4,3,68,0,18,46,34,21
42,72,61,41,58,38,28,48,50,56,42,49,54,67,18,22,21,62,92,57,52,44,51,8,9,24,8,6,52,18,50,35,57,46,34
43,72,78,43,58,39,12,32,41,84,46,64,63,82,89,22,14,41,88,71,73,52,54,5,8,18,2,1,3,82,0,18,44,37,29
44,61,57,44,56,23,68,42,52,55,45,48,54,72,4,38,46,42,93,57,62,41,50,77,4,7,2,4,3,14,5,22,39,31,44
45,62,64,58,54,28,79,28,34,61,33,56,52,68,3,28,12,88,93,67,57,32,43,6,10,8,4,3,84,6,0,18,45,27,22
46,78,77,42,63,27,82,28,54,78,45,62,56,84,7,18,22,34,95,71,74,58,56,8,18,22,3,4,2,86,0,24,68,31,18
47,74,68,18,56,10,30,32,51,72,34,48,62,77,63,8,22,18,67,71,89,45,40,8,7,12,5,4,3,78,5,1,2,6,41
