stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,74,63,41,67,44,32,38,54,68,57,52,58,82,8,22,18,24,72,66,61,45,51,80,4,5,1,2,1,18,0,18,56,39,32
24,72,54,61,73,84,74,38,42,43,62,31,58,86,34,46,18,18,7,66,22,82,38,3,2,4,1,1,2,96,0,14,77,41,27
31,41,38,44,52,64,56,42,32,39,46,41,58,50,78,34,47,58,72,46,28,45,50,8,7,18,5,4,3,78,3,24,40,18,38
40,75,62,61,68,45,76,38,68,68,52,58,54,80,3,22,20,24,78,67,48,72,44,12,10,12,2,4,5,88,50,14,66,28,35
55,74,61,34,57,18,79,28,63,76,42,58,52,71,4,18,33,18,88,68,73,54,49,18,8,10,4,6,5,78,1,18,45,39,61
60,65,63,15,45,10,30,25,55,35,30,25,60,70,85,5,20,10,25,40,92,45,45,5,5,8,2,3,1,92,5,5,5,15,60
64,75,78,48,64,34,20,38,57,84,52,63,61,86,82,16,12,36,82,73,69,54,56,8,24,42,5,6,8,70,50,18,67,41,28
67,61,66,58,64,34,76,28,44,22,31,29,49,79,10,24,18,42,92,63,48,55,41,18,57,28,3,2,1,69,0,21,57,23,34
68,78,68,34,57,28,72,28,55,79,42,66,49,71,8,19,24,18,79,63,62,54,47,4,4,6,1,2,1,88,0,18,58,31,37
71,82,77,42,66,28,78,32,48,91,52,74,67,71,6,14,18,58,92,69,63,41,55,24,22,46,8,4,18,38,50,18,59,31,64
77,78,69,38,64,32,68,28,57,91,46,74,62,79,22,24,31,22,78,76,68,61,52,4,4,8,1,2,3,87,0,26,57,31,54
89,81,86,18,67,12,18,35,52,89,33,78,74,88,62,8,12,18,72,80,95,44,44,58,7,10,4,3,2,38,0,8,2,20,42
97,82,77,34,67,28,18,28,62,79,58,64,55,84,82,13,18,14,30,72,74,52,57,6,4,6,2,2,1,88,50,12,63,45,41
102,74,52,34,68,74,28,43,56,49,61,42,63,78,62,18,39,36,82,66,34,55,47,12,10,14,2,5,3,84,0,14,59,33,24
108,54,70,40,56,28,18,30,45,40,25,38,58,60,80,25,20,32,72,55,62,40,50,70,10,8,4,3,5,20,50,24,42,28,52
159,47,62,49,54,30,76,28,58,61,43,50,67,60,12,41,18,38,88,63,55,46,52,12,28,24,3,4,5,48,50,23,51,29,69
175,38,62,42,58,29,19,37,55,18,34,28,57,66,68,22,18,18,34,61,59,44,56,5,8,7,2,2,2,84,50,18,48,24,17
185,52,63,34,58,27,23,38,44,46,35,38,54,60,68,24,18,34,82,54,62,41,49,10,18,32,4,3,8,68,50,22,31,12,58
200,58,42,64,54,58,78,57,31,42,33,38,74,51,22,36,29,48,72,53,30,41,34,52,46,44,20,18,18,56,5,17,41,37,63
210,61,56,57,59,31,72,28,43,52,46,49,58,63,5,41,28,42,83,64,57,52,47,8,42,18,2,4,2,72,50,21,60,18,67
214,73,62,18,54,12,22,38,61,68,45,49,56,63,72,14,22,20,22,57,79,50,50,10,8,10,5,5,6,86,50,50,7,20,42
219,72,84,38,63,28,18,32,54,82,50,61,67,74,88,16,12,18,28,71,78,52,58,3,3,4,1,1,1,96,0,11,61,54,57
238,72,58,40,55,57,28,58,62,56,54,49,61,68,84,20,24,35,72,52,51,48,50,12,10,18,5,6,4,84,0,10,47,18,34
245,78,67,34,62,28,18,46,58,72,47,55,54,74,78,18,22,18,68,63,71,53,56,8,7,10,3,4,2,83,0,12,59,32,61
248,74,67,42,58,46,72,38,61,78,55,63,54,72,8,24,21,22,78,63,60,58,51,4,6,8,2,2,3,80,50,14,59,31,47
260,78,80,42,60,28,22,28,45,82,38,67,62,84,72,18,12,58,92,72,74,40,55,70,8,12,6,4,8,20,0,22,57,31,41
278,68,52,41,63,48,32,28,56,55,57,40,51,61,12,33,29,22,72,58,46,52,54,5,4,7,1,2,1,88,50,20,55,39,62
282,54,55,39,56,28,26,38,52,43,58,41,62,73,8,28,24,38,72,57,63,47,50,67,8,5,2,4,2,74,50,30,45,23,34
287,35,28,46,54,47,72,64,68,22,44,31,52,66,5,28,41,32,78,56,22,60,38,8,12,10,1,2,2,92,50,13,45,18,34
295,72,60,38,56,35,78,45,64,74,57,52,49,63,8,18,29,20,78,58,55,52,47,18,8,12,3,4,2,92,50,18,54,22,34
297,78,66,24,58,32,42,22,40,92,34,71,60,63,31,18,29,38,92,74,77,39,61,24,14,20,5,6,8,78,0,48,22,19,27
299,56,42,38,63,52,28,54,44,28,35,33,57,55,62,22,48,54,88,61,34,45,50,72,8,6,2,4,5,26,50,14,41,24,30
313,72,74,56,62,34,72,28,42,78,48,63,57,76,10,18,22,34,92,70,66,52,54,12,24,61,6,4,8,68,50,31,61,27,29
315,78,76,58,70,38,72,30,57,62,44,49,61,86,2,31,18,28,88,67,55,63,47,6,24,18,2,2,1,90,0,12,72,36,22
322,42,58,48,50,32,58,45,30,20,28,28,66,55,10,18,22,35,70,56,40,45,38,18,24,18,12,8,10,62,0,15,42,34,52
332,62,58,25,54,24,18,48,58,54,41,42,52,47,72,14,28,26,72,56,63,40,50,8,18,24,3,4,3,72,50,18,31,12,35
333,78,67,42,69,34,68,38,58,76,54,57,52,86,8,21,29,28,82,71,64,63,55,5,4,7,1,1,2,88,0,18,66,24,22
352,52,31,60,79,86,74,48,30,18,22,24,58,74,2,16,18,72,66,61,12,63,47,78,8,4,3,2,6,12,0,3,66,34,19
366,61,48,42,68,38,72,34,45,72,33,47,58,57,22,27,54,52,88,66,44,41,50,75,58,32,3,4,5,28,0,21,46,20,18
372,78,74,45,62,34,68,30,52,88,46,72,61,82,3,12,18,44,88,71,66,49,54,18,62,48,8,10,12,38,0,21,63,41,44
378,58,52,32,55,22,35,28,48,54,40,44,51,42,72,22,41,18,62,57,63,46,50,8,5,7,3,4,2,82,0,25,29,18,76
381,58,36,44,62,86,82,62,61,48,67,34,71,66,2,28,41,78,92,52,22,56,45,3,4,5,1,2,1,94,0,8,54,37,46
382,68,62,42,54,39,58,45,31,64,36,47,57,58,71,28,44,38,92,61,60,41,55,12,8,14,3,4,4,68,0,37,46,22,33
