stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,78,61,35,64,43,28,28,54,72,22,55,57,80,10,18,14,18,72,66,52,48,56,86,2,3,1,1,1,7,0,14,58,21,12
24,64,42,78,72,87,92,52,58,41,35,34,73,84,8,24,8,23,7,67,12,80,41,2,1,4,1,1,1,96,0,5,74,28,12
31,45,32,58,50,73,58,48,22,10,18,32,68,55,70,18,12,55,82,42,8,38,45,8,6,10,2,2,1,86,0,12,18,8,24
40,78,67,56,68,47,76,54,66,72,41,55,44,84,3,18,22,18,77,73,38,72,39,5,4,6,1,2,2,90,0,8,74,23,9
55,62,54,42,56,16,82,28,66,74,18,58,57,77,6,18,35,18,88,66,72,61,52,6,4,8,2,3,2,84,0,9,18,34,71
60,72,82,8,52,8,18,18,54,18,26,28,61,84,78,8,24,12,28,46,94,55,42,4,3,5,1,2,1,94,0,7,0,14,71
64,84,77,45,63,38,15,44,58,84,42,72,61,86,86,18,10,31,82,71,68,58,57,7,41,47,2,1,1,46,0,18,66,52,22
67,52,71,62,68,29,88,33,58,20,18,31,60,83,8,28,14,42,88,73,33,56,39,12,34,28,2,2,3,78,1,21,67,41,10
68,74,66,35,58,29,68,22,61,80,29,67,52,72,8,19,18,88,73,63,54,63,52,2,1,3,0,1,0,96,0,12,53,20,18
71,78,84,63,62,28,84,18,54,95,16,86,72,79,4,18,22,58,95,72,56,44,47,8,28,24,4,2,6,18,1,18,61,48,87
77,74,68,42,66,33,72,18,58,93,22,78,61,80,34,14,27,24,78,73,55,63,57,5,4,6,1,1,1,89,0,12,67,35,8
89,74,82,28,55,16,18,24,52,92,18,68,61,90,82,12,8,18,75,84,91,58,52,85,3,2,1,1,0,10,0,7,12,48,9
97,79,82,35,62,29,18,28,55,86,18,67,52,85,78,14,10,22,72,68,77,61,55,6,7,8,1,2,1,84,5,18,63,36,20
102,74,41,42,71,67,28,34,61,36,34,39,56,79,68,22,32,55,78,62,29,50,52,38,9,6,2,2,3,74,0,5,42,24,18
108,43,78,44,57,28,20,18,52,23,20,34,64,72,91,18,14,42,82,54,67,48,54,72,10,8,2,1,1,14,0,18,45,34,41
159,58,73,61,57,33,78,28,47,63,18,52,61,68,9,44,20,35,92,66,48,39,42,9,72,19,2,2,1,14,0,11,54,31,84
175,48,73,46,55,28,18,28,52,18,20,31,57,70,72,17,12,16,34,63,68,54,53,4,3,4,1,1,1,86,0,19,47,22,8
185,55,57,42,56,31,28,28,54,36,18,44,45,63,67,18,20,52,82,57,52,43,50,32,26,28,6,4,3,58,0,18,46,34,71
200,39,32,61,45,68,88,58,22,27,12,32,71,45,18,20,14,38,72,54,11,29,18,18,52,12,3,2,2,64,0,7,12,16,29
210,62,68,64,56,28,82,22,58,54,21,52,49,66,12,41,18,42,88,67,34,47,38,6,58,20,2,1,1,86,0,18,57,22,83
214,86,67,18,58,12,20,18,44,72,12,47,52,78,58,6,18,18,22,63,90,40,42,6,3,6,2,4,2,82,1,4,0,24,67
219,78,87,40,62,28,17,30,61,84,18,68,52,81,91,19,12,12,22,73,79,60,56,4,3,6,1,1,1,88,0,20,67,28,62
238,72,58,42,54,63,22,66,68,61,35,55,57,74,82,18,22,45,72,56,49,52,50,8,10,18,2,3,2,78,0,7,56,28,22
245,74,67,28,63,29,18,42,56,72,30,58,52,82,84,18,21,18,66,64,63,55,58,8,6,8,3,3,2,88,0,22,64,48,67
248,80,72,48,66,38,78,34,61,82,45,67,52,78,8,18,22,22,78,60,58,63,50,5,8,10,1,2,1,92,0,18,69,34,86
260,70,78,42,58,32,18,28,55,88,18,72,64,84,72,14,8,62,88,68,66,60,54,86,6,8,2,1,2,7,1,18,63,38,22
278,68,44,46,57,58,28,34,61,39,27,36,54,69,26,20,22,18,62,56,28,41,56,2,3,7,1,2,1,91,0,10,38,19,72
282,54,51,32,52,38,28,34,57,18,14,31,55,63,12,27,24,36,68,63,44,50,52,18,8,12,2,3,4,78,0,25,41,24,18
287,46,34,54,52,52,82,66,58,20,22,32,41,57,10,29,38,40,66,44,18,62,35,6,18,12,1,1,2,88,1,11,44,8,52
295,74,56,52,58,38,72,35,66,72,18,56,45,73,4,28,39,22,78,59,44,57,43,4,6,8,1,1,1,84,12,7,60,41,31
297,77,68,28,60,33,28,28,52,94,19,84,72,78,32,18,35,33,92,73,79,41,64,20,18,22,8,6,5,82,8,28,24,44,18
299,52,41,38,63,54,38,61,47,22,18,29,57,66,76,18,44,48,77,58,35,41,50,78,5,7,2,3,2,18,0,7,39,20,14
313,66,79,63,68,38,72,34,48,82,22,69,57,83,8,28,12,42,94,71,34,61,44,12,58,24,4,2,2,36,5,18,67,41,12
315,66,74,52,63,36,74,28,58,62,33,54,47,87,10,28,12,42,86,68,32,71,56,6,20,34,1,1,1,73,0,18,69,24,12
322,35,48,63,46,34,88,42,22,8,10,18,68,51,10,22,12,28,12,58,24,30,34,32,18,24,4,3,2,48,0,8,25,12,32
332,68,63,34,54,26,18,34,58,62,18,48,56,67,78,18,22,22,72,60,74,43,52,8,7,14,2,2,1,82,0,18,49,31,12
333,78,71,45,74,35,82,28,72,68,18,55,52,86,5,22,24,38,88,71,54,66,48,1,3,4,1,1,1,92,0,12,69,44,6
352,52,39,61,74,81,87,45,48,14,22,28,66,78,2,21,8,82,83,64,12,58,49,72,3,2,1,1,14,7,0,3,68,20,9
366,71,55,42,76,37,78,28,35,72,29,48,61,66,18,24,44,52,85,63,34,46,44,55,24,18,2,3,1,58,0,18,39,22,14
372,82,80,58,62,30,74,22,67,88,28,79,57,86,4,18,12,63,92,73,61,45,49,12,40,56,3,2,2,22,0,18,68,24,20
378,58,52,38,57,24,38,28,61,56,18,42,47,43,58,34,44,18,66,63,67,52,55,6,5,7,2,3,1,92,0,49,44,39,84
381,76,31,46,60,86,92,62,58,44,43,32,68,72,0,18,39,22,8,52,12,57,44,2,4,5,1,1,1,93,0,4,52,34,57
382,62,56,42,54,40,58,32,41,66,28,52,61,56,74,38,29,55,88,60,49,34,51,12,18,42,4,5,3,68,0,33,43,24,57
389,52,83,42,55,28,18,28,41,28,18,43,67,80,82,18,10,34,92,58,68,54,58,15,48,54,6,3,2,28,0,22,52,35,16
421,78,56,34,86,46,22,38,62,70,41,48,58,77,62,18,44,30,68,72,47,54,58,18,8,10,2,2,1,84,0,19,55,28,22
424,78,54,38,67,82,24,48,61,72,46,55,58,72,12,18,31,8,18,63,34,52,50,1,1,2,0,0,0,96,0,4,41,44,24
430,82,84,18,45,8,18,18,66,88,22,67,64,78,72,8,14,18,78,74,96,38,22,6,4,6,2,2,2,84,1,2,4,29,18
446,58,41,48,72,54,63,49,46,28,18,34,55,72,5,32,38,42,88,69,18,52,39,86,3,4,1,1,1,7,0,12,54,22,20
454,55,88,42,63,24,8,22,35,28,12,46,70,92,95,18,8,22,68,72,80,44,52,88,3,2,1,1,1,4,0,14,41,20,10
457,67,78,40,58,24,22,28,55,84,14,63,61,80,93,20,8,68,88,72,82,46,50,92,5,3,1,1,2,7,0,18,57,41,18
483,78,71,55,64,42,79,35,62,48,18,50,44,77,8,29,22,18,68,63,39,64,41,3,4,5,1,1,1,89,5,9,69,22,24
496,75,74,28,57,27,22,35,56,88,24,69,52,68,76,18,24,22,78,64,81,43,54,14,10,8,3,4,2,82,0,16,31,20,77
501,68,82,45,62,28,24,28,46,54,12,48,63,81,68,18,10,72,96,66,70,38,52,30,22,18,10,5,58,14,0,15,56,44,33
515,45,92,55,52,24,8,18,35,12,18,40,78,90,95,18,5,12,18,62,68,72,54,2,2,3,1,1,1,96,0,14,55,22,20
520,78,62,32,68,32,22,35,58,86,44,64,57,65,78,18,42,28,68,61,70,52,60,8,6,10,3,2,3,88,0,16,46,22,84
527,78,71,34,57,35,18,42,62,83,28,67,55,79,72,18,22,27,82,61,63,52,54,2,10,14,1,1,1,81,0,14,64,22,39
530,70,66,43,52,42,28,35,58,83,17,62,64,72,74,18,22,28,74,66,61,54,58,4,3,8,1,1,1,89,5,12,49,22,18
552,52,61,38,57,16,58,22,54,34,35,39,63,66,28,44,51,58,85,55,72,49,46,34,18,22,4,6,8,72,0,18,20,28,8
559,58,69,45,57,24,18,28,54,19,18,32,62,75,83,18,12,20,72,63,66,44,51,28,26,18,2,2,1,76,0,21,46,31,48
594,52,49,42,60,52,28,44,66,22,28,30,57,68,18,18,31,28,72,47,34,48,53,22,5,8,3,2,1,86,0,18,45,28,12
599,71,68,44,58,38,22,35,52,66,18,49,63,76,12,28,14,48,20,70,60,34,41,18,62,6,2,2,1,56,3,11,58,39,78
606,41,69,67,63,32,88,28,44,22,18,28,71,56,7,24,18,35,88,72,38,36,33,7,52,14,2,3,2,74,1,7,42,18,73
612,74,71,31,54,11,22,18,42,83,18,61,66,78,62,14,12,27,32,69,88,38,40,43,10,8,3,6,4,78,0,6,14,35,72
619,78,66,14,52,4,18,18,56,48,12,35,62,72,3,5,28,18,88,74,96,45,47,5,4,4,2,3,2,84,1,3,1,22,8
622,72,60,48,67,73,58,38,61,86,32,62,54,78,12,24,18,18,88,64,41,61,54,2,1,2,0,0,0,95,0,12,56,28,22
626,58,53,42,60,36,18,35,47,29,25,34,52,67,32,18,22,22,90,56,50,34,51,86,3,4,1,1,1,5,0,24,38,24,72
631,52,61,34,56,18,22,28,58,28,24,29,62,74,78,19,34,18,78,50,71,52,51,6,4,8,2,3,2,78,0,18,41,36,18
656,58,54,39,82,34,78,28,62,43,24,35,49,72,8,22,57,24,82,63,30,54,61,8,22,10,2,1,1,83,0,12,44,18,20
657,82,93,61,69,31,18,32,44,97,18,85,77,96,89,24,6,58,96,79,74,63,58,12,8,10,3,2,84,18,1,7,72,70,12
683,62,58,34,56,29,78,28,44,39,16,41,61,67,8,28,22,20,62,59,45,46,52,3,8,7,1,1,1,88,0,18,33,24,85
706,74,58,42,66,52,18,35,54,61,36,47,58,71,68,22,34,20,78,64,43,45,57,3,4,6,1,2,1,86,0,18,44,20,18
718,68,72,18,55,12,14,18,48,28,22,29,58,73,88,8,12,14,18,36,84,56,44,3,3,4,1,2,1,92,0,3,12,26,82
719,78,63,44,52,63,18,42,66,74,28,51,62,70,63,16,9,14,15,67,41,58,51,2,1,2,0,0,0,97,0,10,57,36,72
721,85,78,20,58,10,20,28,72,90,22,68,60,80,65,8,12,28,78,74,90,48,50,22,8,10,2,4,2,52,0,3,0,20,88
747,88,78,8,28,6,18,12,82,60,22,35,55,72,18,4,10,18,70,76,98,40,32,8,6,10,4,3,2,86,0,2,1,12,18
758,72,70,48,64,33,74,18,58,78,22,61,52,81,4,18,24,28,88,66,58,62,54,12,46,34,2,1,1,88,3,18,57,33,8
768,78,74,46,58,32,20,28,64,68,31,60,55,82,72,18,12,18,72,63,66,60,55,2,2,3,1,1,1,90,0,12,66,24,12
774,66,54,49,56,41,68,28,63,71,37,58,55,74,9,33,24,19,34,61,35,58,48,3,4,5,1,1,1,92,0,9,62,31,14
784,78,80,42,68,44,68,24,28,82,18,66,83,76,89,18,22,14,18,72,62,61,64,1,1,2,0,0,0,96,0,18,54,33,27
794,68,83,28,56,24,12,28,62,61,18,46,61,72,88,18,14,38,82,54,84,41,52,78,9,6,2,2,2,14,0,18,29,35,18
804,72,58,39,54,48,34,59,55,84,43,56,62,74,4,18,45,28,76,58,56,58,49,22,8,10,3,4,3,82,0,18,52,22,12
810,68,70,42,67,32,72,35,62,61,34,55,48,78,14,22,28,28,72,64,58,63,48,10,8,12,2,2,3,78,5,22,61,35,18
817,86,74,12,42,5,8,20,58,78,12,56,62,70,65,6,12,28,88,68,97,18,35,82,2,3,1,1,1,8,0,1,0,12,81
820,62,57,35,72,36,24,32,58,42,18,38,44,70,78,22,48,42,76,61,49,49,57,8,7,10,2,2,2,84,0,24,52,20,12
849,76,49,45,72,79,78,58,62,58,40,42,55,79,3,18,28,85,76,66,26,72,44,2,3,4,1,1,1,95,0,8,74,31,67
877,54,45,62,57,41,86,22,58,21,18,28,44,66,8,38,21,18,22,46,15,57,45,2,4,5,1,2,1,94,0,18,54,24,82
884,54,55,62,56,43,73,41,52,39,18,41,58,63,5,31,18,47,28,68,22,38,44,4,31,41,1,2,3,57,0,8,49,26,56
891,78,88,44,61,24,18,32,41,95,28,77,73,86,72,18,12,25,72,67,84,55,63,12,46,52,3,2,1,84,0,17,71,42,8
905,72,58,34,61,36,27,30,52,64,33,46,56,70,5,18,28,18,72,60,67,45,56,4,5,6,2,3,2,87,3,18,44,22,41
907,84,75,33,58,24,18,22,62,91,18,76,57,78,87,9,15,18,78,69,82,55,54,12,3,10,2,2,2,81,1,12,48,28,87
915,67,78,42,72,40,20,34,55,48,22,38,64,84,76,28,12,32,85,66,62,46,53,88,2,3,1,1,0,6,0,18,57,44,42
