stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
927,74,58,52,72,34,73,48,62,57,50,43,61,72,5,41,54,68,82,69,49,66,54,18,22,14,2,4,5,87,50,26,64,38,37
631,62,48,33,54,18,15,32,58,42,51,37,57,66,72,22,41,78,70,52,55,50,49,8,8,10,5,6,5,82,10,28,41,36,29
683,54,61,41,59,28,69,34,42,42,31,38,63,71,5,29,34,68,28,57,58,51,63,7,12,9,2,4,1,89,5,44,48,46,72
515,52,86,58,62,24,19,35,42,41,18,45,74,90,94,34,8,72,15,76,77,68,54,4,4,5,2,2,1,89,3,18,66,61,48
366,64,52,41,69,43,71,38,34,77,42,48,60,55,22,30,58,45,82,67,49,45,56,58,34,23,5,10,8,44,50,34,47,41,28
657,83,89,67,82,35,24,38,12,88,28,76,77,92,90,34,9,75,92,84,68,71,66,3,4,12,2,2,84,10,1,18,80,64,18
530,66,63,42,56,44,22,48,52,71,58,57,64,67,67,31,28,34,72,61,69,47,56,8,12,9,2,4,3,78,5,29,52,34,43
322,32,46,67,48,28,72,38,12,18,20,24,68,55,12,22,18,40,88,62,39,35,22,8,14,18,10,8,18,84,5,20,34,28,78
71,84,83,46,66,28,72,42,41,96,54,80,67,79,5,12,14,48,88,73,74,44,52,46,18,35,6,5,10,31,5,19,63,41,44
891,77,84,44,63,24,14,42,41,93,36,74,66,88,86,14,18,62,72,80,89,62,55,6,18,28,4,3,2,82,50,22,58,41,22
372,78,74,57,62,34,79,43,56,84,53,71,68,82,4,18,21,44,88,69,67,57,48,22,46,68,4,8,7,33,5,18,63,56,41
768,72,68,42,61,34,18,43,58,62,55,59,60,74,68,18,22,22,78,66,71,57,60,8,6,10,2,4,3,84,5,18,63,45,41
248,79,64,43,62,38,86,52,58,83,56,66,58,76,26,24,31,85,74,63,57,67,54,6,12,11,2,3,2,86,50,18,72,46,55
612,73,67,28,58,18,34,35,42,71,44,55,62,80,36,12,22,32,34,66,74,50,46,40,18,16,8,14,6,58,5,18,52,33,68
706,78,56,41,73,49,28,44,61,58,52,46,63,69,78,34,57,58,78,64,54,55,58,6,5,7,1,3,4,80,0,31,62,47,28
979,56,54,52,59,39,79,48,58,60,43,53,61,61,8,39,27,58,84,54,46,54,48,16,34,46,3,4,2,86,5,20,57,32,34
299,54,39,42,63,56,22,67,48,24,41,32,58,56,62,28,61,46,78,52,30,44,52,70,7,6,2,4,4,20,5,23,47,31,22
102,71,48,42,67,68,26,45,52,46,57,39,61,67,62,29,41,45,78,63,42,54,55,18,14,9,2,3,4,92,5,22,49,33,28
656,68,57,34,83,33,76,42,52,48,39,33,61,67,4,31,58,38,78,62,45,61,64,14,22,12,3,4,4,87,50,23,55,37,28
457,74,78,44,67,24,18,42,56,82,47,68,61,73,85,18,15,62,92,71,80,43,58,18,12,22,8,7,14,38,5,21,63,57,54
1,48,50,64,56,50,88,42,58,18,47,22,57,54,8,34,28,52,74,61,29,52,41,8,16,20,2,6,3,86,5,18,55,24,38
2,72,68,45,61,32,22,52,48,91,43,78,70,76,76,18,22,58,92,64,67,54,63,18,28,34,8,12,22,78,5,41,57,54,44
3,62,41,44,83,56,68,42,52,28,39,34,68,77,10,31,57,66,78,72,33,71,52,18,12,10,2,3,1,88,5,22,58,24,18
4,68,63,41,61,24,24,43,46,62,40,48,59,75,18,27,22,58,88,58,67,54,52,68,11,10,4,5,28,22,3,18,60,57,31
5,78,72,42,64,39,22,34,57,82,61,68,56,74,18,18,24,20,74,67,71,52,56,6,4,5,2,3,2,88,0,18,58,41,44
6,56,49,43,55,36,68,42,34,34,44,41,63,52,61,38,57,66,73,52,36,42,61,6,8,12,4,5,3,81,5,54,34,22,57
7,54,59,57,56,32,81,44,63,46,38,49,55,60,3,41,29,18,86,58,47,56,44,4,7,8,1,3,2,92,5,18,57,31,62
8,82,78,12,56,6,28,18,58,88,54,62,61,86,74,8,22,14,74,63,95,48,50,12,10,10,5,5,4,86,5,5,2,34,41
9,84,58,42,72,68,31,66,54,82,67,61,63,78,58,18,35,42,77,74,57,52,63,78,18,24,10,8,9,74,50,22,69,56,29
10,62,47,49,74,46,78,52,58,41,63,38,61,61,26,32,49,48,80,66,35,55,52,64,30,18,7,6,12,45,50,18,56,34,37
12,85,82,15,55,5,20,15,35,78,60,62,72,88,35,8,20,92,15,74,97,55,50,3,2,3,1,1,1,92,5,5,10,40,18
13,67,60,56,63,55,79,52,58,80,55,66,64,61,20,34,28,39,78,63,45,57,61,3,8,7,1,3,2,93,50,14,61,54,69
14,82,76,42,64,28,71,41,56,88,49,73,58,86,43,24,31,17,76,77,79,67,58,11,9,8,3,4,2,83,5,24,66,37,39
15,52,49,44,56,21,70,40,54,28,36,34,63,58,8,31,42,58,95,61,41,47,49,92,3,4,2,4,3,2,0,26,35,22,39
16,54,46,58,63,72,78,48,52,34,57,38,60,67,22,34,18,54,82,62,28,54,42,72,14,10,4,5,4,20,50,18,61,49,44
17,54,56,39,58,24,82,35,62,47,41,43,52,58,6,30,37,28,78,63,60,52,49,34,36,28,5,8,6,77,5,24,48,46,55
19,78,73,39,64,28,18,42,61,66,54,56,57,82,22,12,18,62,84,67,71,58,55,3,6,8,1,2,1,87,5,14,60,48,43
20,68,62,42,58,24,68,58,41,72,39,61,55,66,10,28,31,72,93,70,74,49,51,18,15,20,5,4,77,16,5,27,46,44,22
21,64,61,34,62,27,22,38,58,48,40,41,57,69,88,24,18,22,78,58,67,55,60,72,8,10,2,3,2,68,5,32,56,44,28
22,71,67,44,61,36,34,42,48,66,49,57,58,63,78,28,41,74,68,63,62,54,63,8,4,6,2,6,2,88,5,39,52,46,65
23,64,58,42,63,33,73,40,45,62,48,54,55,70,8,28,35,34,79,58,57,52,56,78,7,18,2,3,1,26,5,22,61,49,21
24,58,41,72,68,86,88,52,46,36,31,34,72,79,12,44,18,78,18,63,24,79,41,2,2,3,1,1,1,95,5,14,73,46,12
25,78,67,38,67,54,20,45,55,72,58,63,62,74,78,24,18,22,68,64,61,54,60,8,12,18,3,4,2,86,5,18,56,41,57
