stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,42,48,56,61,56,72,28,58,18,40,34,51,54,8,27,22,24,88,58,29,45,44,2,8,6,1,1,2,92,50,10,55,18,33
2,62,71,44,56,32,29,33,42,86,38,78,69,76,74,24,18,58,96,67,66,46,55,8,12,18,6,4,22,28,5,21,57,14,41
3,62,41,48,77,56,74,22,58,18,46,22,63,82,6,28,54,24,28,73,29,71,44,12,8,10,2,2,1,83,4,18,58,21,20
4,64,61,42,58,26,22,32,43,56,37,48,58,78,20,22,18,54,92,62,64,47,51,28,31,24,8,6,34,38,50,32,55,40,24
5,76,67,39,61,43,28,35,52,82,41,63,58,69,63,18,27,18,82,71,69,45,54,8,7,10,2,2,1,84,5,16,57,34,38
6,51,54,43,54,34,58,38,31,42,38,47,57,56,58,32,41,17,71,44,48,53,57,2,4,7,2,2,1,88,50,36,39,34,63
7,58,54,56,51,30,76,32,63,46,44,52,52,68,4,35,28,20,82,60,49,52,49,4,6,10,2,2,3,88,0,17,55,22,58
8,78,73,8,45,8,35,18,52,82,41,56,58,84,42,4,18,12,78,64,92,50,50,18,6,8,3,4,1,82,0,50,6,44,28
9,78,46,35,67,67,28,55,54,84,61,48,62,72,24,12,44,55,85,63,40,38,42,35,28,22,10,8,12,62,0,9,57,46,33
10,58,45,52,68,48,74,52,40,38,46,34,57,60,20,28,44,62,88,63,31,35,47,82,58,22,6,6,8,28,0,18,41,26,24
11,68,58,41,60,52,30,34,49,62,56,55,61,74,12,23,18,22,68,63,57,44,52,78,5,6,3,4,2,18,0,21,58,32,34
12,74,72,8,55,8,45,18,52,68,42,41,61,82,28,5,18,10,18,63,93,58,50,5,3,6,2,4,1,96,0,2,4,12,34
13,78,61,58,62,53,83,48,54,80,58,67,66,61,12,28,39,34,72,63,45,54,61,4,8,6,2,3,2,85,0,22,57,42,69
14,78,70,38,63,28,63,28,62,85,54,67,58,82,8,14,33,18,78,69,76,55,52,3,4,6,1,2,1,93,50,31,58,47,41
15,52,56,44,50,19,71,32,58,39,43,35,57,52,9,41,47,64,95,54,58,42,44,83,4,5,3,2,1,7,0,27,41,30,39
16,62,54,63,69,73,84,44,58,39,55,42,57,66,17,34,18,35,22,61,28,52,46,82,5,4,2,3,2,18,0,9,56,33,49
17,58,64,34,61,25,67,28,47,49,44,41,58,63,8,24,35,18,82,57,66,48,52,24,18,19,3,2,2,78,0,18,39,37,28
18,72,68,38,61,27,22,42,54,58,31,45,55,71,78,24,18,38,92,63,67,41,52,14,10,22,4,6,58,20,5,27,43,46,18
19,74,72,38,63,27,21,34,58,61,46,56,49,78,26,18,20,18,88,62,70,52,56,5,4,7,1,1,1,88,3,12,54,41,42
