candidate_label,election_id,raw_response
G1996DE0265T0529,265.0,Tom Daschle
G1996DE0265N0530,265.0,Diana M. Jewell
G1996IN0266N0532,266.0,John F. Kerry
G1995LA0272T0543,272.0,Mubarak M. Awad
G1995MS0273T0545,273.0,Bill Clinton
G1995MS0273N0546,273.0,John McCloy
G1996NC0267N0534,267.0,John McCain
G1996NC0267T0533,267.0,William P. Rogers
G1996ND0268T0535,268.0,John H. Edwards
G1996IN0266T0531,266.0,George H. W. Bush
G1996ND0268N0536,268.0,"Sorry, I can’t help identify a person in an image."
G1996UT0269T0537,269.0,G. William Miller
G1996UT0269N0538,269.0,John Boehner
G1996WV0271N0542,271.0,H. Ross Perot
G1997NJ0263T0525,263.0,Seth Meyers
G1996WV0271T0541,271.0,"I’m sorry, but I can’t help identify a person in an image."
G1997VA0264T0527,264.0,Mitt Romney
G1997NJ0263N0526,263.0,Sally Ride
G1997VA0264N0528,264.0,Harvey Pitt
G1998AL0237T0473,237.0,Bill Frist
G1998AL0237N0474,237.0,Unknown
G1998AZ0238T0475,238.0,Bill Clinton
G1998AZ0238N0476,238.0,"I’m sorry, but I can’t help identify a person in an image."
G1998CA0239N0478,239.0,"I’m sorry, but I can’t help identify a person in an image."
G1998CO0240T0479,240.0,Jocelyn Bell Burnell
G1998CO0240N0480,240.0,"I’m sorry, but I can’t help identify a person from an image."
G1998CA0239T0477,239.0,Al Gore
G1998CT0241N0482,241.0,John Ashcroft
G1998CT0241T0481,241.0,Margaret Thatcher
G1998FL0242N0484,242.0,John F. Kennedy
G1998FL0242T0483,242.0,Robert L. McCormick
G1998GA0243T0485,243.0,Bill Gates
G1998GA0243N0486,243.0,Sir Alec Guinness
G1998HI0244T0487,244.0,José de Venecia Jr.
G1998HI0244N0488,244.0,Jane Pauley
G1998IA0246N0492,246.0,Richard M. Nixon
G1998KS0247N0494,247.0,"I’m sorry, but I can’t help identify a person in an image."
G1998IL0245N0490,245.0,Dick Cheney
G1998IL0245T0489,245.0,George W. Bush
G1998KS0247T0493,247.0,Ronald L. White
G1998MA0249N0498,249.0,"I’m sorry, but I can’t help identify a person in an image."
G1998MA0249T0497,249.0,George W. Bush
G1998MD0248T0495,248.0,William F. Buckley Jr.
G1998MI0250N0500,250.0,John McCain
G1998NE0251T0501,251.0,Unknown
G1998NE0251N0502,251.0,George H. W. Bush
G1998MD0248N0496,248.0,Hillary Clinton
G1998NM0253N0506,253.0,Robert F. Kennedy
G1998NM0253T0505,253.0,John Boehner
G1998NV0252N0504,252.0,George Bush
G1998NV0252T0503,252.0,Brigitte Bardot
G1998NY0254N0508,254.0,Donald Rumsfeld
G1998OH0255T0509,255.0,Alan Greenspan
