election_id,trial,slotA_face,chosen_slot,chosen_face,status,raw
1.0,2,a,A,a,ok,A
1.0,2,b,B,a,ok,B
1.0,0,a,B,b,ok,B
1.0,0,b,B,a,ok,B
1.0,1,a,B,b,ok,B
1.0,1,b,B,a,ok,B
2.0,0,a,A,a,ok,A
2.0,0,b,B,a,ok,B
2.0,1,a,A,a,ok,A
2.0,1,b,B,a,ok,B
3.0,0,a,B,b,ok,B
3.0,0,b,A,b,ok,A
3.0,1,a,A,a,ok,A
3.0,1,b,B,a,ok,B
2.0,2,a,B,b,ok,B
2.0,2,b,B,a,ok,B
4.0,0,a,A,a,ok,A
4.0,0,b,B,a,ok,B
4.0,1,a,A,a,ok,A
4.0,1,b,B,a,ok,B
4.0,2,a,A,a,ok,A
4.0,2,b,B,a,ok,B
3.0,2,a,A,a,ok,A
3.0,2,b,A,b,ok,A
5.0,0,a,A,a,ok,A
5.0,0,b,B,a,ok,B
5.0,2,a,A,a,ok,A
5.0,2,b,B,a,ok,B
5.0,1,a,A,a,ok,A
5.0,1,b,B,a,ok,B
6.0,0,a,B,b,ok,B
6.0,0,b,A,b,ok,A
6.0,1,a,B,b,ok,B
6.0,1,b,A,b,ok,A
6.0,2,a,B,b,ok,B
6.0,2,b,A,b,ok,A
7.0,0,a,A,a,ok,A
7.0,0,b,B,a,ok,B
7.0,1,a,A,a,ok,A
7.0,1,b,A,b,ok,A
8.0,0,a,B,b,ok,B
8.0,0,b,B,a,ok,B
7.0,2,a,A,a,ok,A
7.0,2,b,A,b,ok,A
8.0,1,a,B,b,ok,B
8.0,1,b,A,b,ok,A
8.0,2,a,B,b,ok,B
8.0,2,b,A,b,ok,A
9.0,0,a,A,a,ok,A
9.0,0,b,B,a,ok,B
9.0,1,a,A,a,ok,A
9.0,1,b,B,a,ok,B
9.0,2,a,B,b,ok,B
9.0,2,b,B,a,ok,B
10.0,0,a,B,b,ok,B
10.0,0,b,A,b,ok,A
10.0,1,a,B,b,ok,B
10.0,1,b,A,b,ok,A
10.0,2,a,B,b,ok,B
10.0,2,b,A,b,ok,A
11.0,0,a,B,b,ok,B
11.0,0,b,A,b,ok,A
11.0,1,a,B,b,ok,B
11.0,1,b,A,b,ok,A
12.0,0,a,A,a,ok,A
12.0,0,b,A,b,ok,A
11.0,2,a,B,b,ok,B
11.0,2,b,B,a,ok,B
12.0,2,a,A,a,ok,A
12.0,2,b,B,a,ok,B
12.0,1,a,A,a,ok,A
12.0,1,b,B,a,ok,B
13.0,1,a,A,a,ok,A
13.0,1,b,B,a,ok,B
13.0,0,a,B,b,ok,B
13.0,0,b,B,a,ok,B
14.0,0,a,A,a,ok,A
14.0,0,b,B,a,ok,B
13.0,2,a,A,a,ok,A
13.0,2,b,B,a,ok,B
14.0,1,a,A,a,ok,A
14.0,1,b,B,a,ok,B
14.0,2,a,A,a,ok,A
14.0,2,b,B,a,ok,B
15.0,1,a,A,a,ok,A
15.0,1,b,B,a,ok,B
15.0,0,a,A,a,ok,A
15.0,0,b,B,a,ok,B
15.0,2,a,A,a,ok,A
15.0,2,b,B,a,ok,B
16.0,0,a,A,a,ok,A
16.0,0,b,B,a,ok,B
16.0,1,a,A,a,ok,A
16.0,1,b,B,a,ok,B
16.0,2,a,A,a,ok,A
16.0,2,b,B,a,ok,B
17.0,0,a,A,a,ok,A
17.0,0,b,A,b,ok,A
17.0,1,a,A,a,ok,A
17.0,1,b,B,a,ok,B
17.0,2,a,A,a,ok,A
17.0,2,b,B,a,ok,B
18.0,0,a,B,b,ok,B
18.0,0,b,A,b,ok,A
18.0,1,a,B,b,ok,B
18.0,1,b,A,b,ok,A
18.0,2,a,B,b,ok,B
18.0,2,b,A,b,ok,A
19.0,0,a,A,a,ok,A
19.0,0,b,B,a,ok,B
19.0,1,a,A,a,ok,A
19.0,1,b,B,a,ok,B
19.0,2,a,B,b,ok,B
19.0,2,b,B,a,ok,B
20.0,0,a,A,a,ok,A
20.0,0,b,B,a,ok,B
20.0,1,a,B,b,ok,B
20.0,1,b,B,a,ok,B
20.0,2,a,A,a,ok,A
20.0,2,b,B,a,ok,B
21.0,0,a,B,b,ok,B
21.0,0,b,A,b,ok,A
21.0,1,a,B,b,ok,B
21.0,1,b,A,b,ok,A
21.0,2,a,B,b,ok,B
21.0,2,b,A,b,ok,A
22.0,0,a,A,a,ok,A
22.0,0,b,B,a,ok,B
22.0,1,a,B,b,ok,B
22.0,1,b,B,a,ok,B
22.0,2,a,A,a,ok,A
22.0,2,b,B,a,ok,B
23.0,0,a,A,a,ok,A
23.0,0,b,A,b,ok,A
23.0,1,a,B,b,ok,B
23.0,1,b,B,a,ok,B
23.0,2,a,B,b,ok,B
23.0,2,b,A,b,ok,A
24.0,0,a,B,b,ok,B
24.0,0,b,B,a,ok,B
24.0,1,a,B,b,ok,B
24.0,1,b,B,a,ok,B
24.0,2,a,A,a,ok,A
24.0,2,b,B,a,ok,B
25.0,1,a,B,b,ok,B
25.0,1,b,A,b,ok,A
25.0,0,a,B,b,ok,B
25.0,0,b,A,b,ok,A
25.0,2,a,B,b,ok,B
25.0,2,b,A,b,ok,A
26.0,0,a,B,b,ok,B
26.0,0,b,B,a,ok,B
26.0,1,a,A,a,ok,A
26.0,1,b,B,a,ok,B
26.0,2,a,A,a,ok,A
26.0,2,b,B,a,ok,B
27.0,0,a,A,a,ok,A
27.0,0,b,A,b,ok,A
27.0,1,a,A,a,ok,A
27.0,1,b,B,a,ok,B
27.0,2,a,A,a,ok,A
27.0,2,b,B,a,ok,B
28.0,0,a,B,b,ok,B
28.0,0,b,B,a,ok,B
28.0,1,a,B,b,ok,B
28.0,1,b,B,a,ok,B
28.0,2,a,B,b,ok,B
28.0,2,b,A,b,ok,A
29.0,0,a,A,a,ok,A
29.0,0,b,B,a,ok,B
29.0,1,a,A,a,ok,A
29.0,1,b,B,a,ok,B
29.0,2,a,B,b,ok,B
29.0,2,b,B,a,ok,B
30.0,0,a,A,a,ok,A
30.0,0,b,B,a,ok,B
30.0,1,a,A,a,ok,A
30.0,1,b,B,a,ok,B
30.0,2,a,A,a,ok,A
30.0,2,b,B,a,ok,B
31.0,0,a,B,b,ok,B
31.0,0,b,B,a,ok,B
31.0,1,a,A,a,ok,A
31.0,1,b,A,b,ok,A
31.0,2,a,A,a,ok,A
31.0,2,b,A,b,ok,A
32.0,0,a,B,b,ok,B
32.0,0,b,A,b,ok,A
32.0,1,a,B,b,ok,B
32.0,1,b,A,b,ok,A
32.0,2,a,B,b,ok,B
32.0,2,b,A,b,ok,A
33.0,1,a,A,a,ok,A
33.0,1,b,A,b,ok,A
33.0,0,a,A,a,ok,A
33.0,0,b,A,b,ok,A
33.0,2,a,B,b,ok,B
33.0,2,b,B,a,ok,B
34.0,1,a,B,b,ok,B
34.0,1,b,A,b,ok,A
34.0,0,a,B,b,ok,B
34.0,0,b,A,b,ok,A
34.0,2,a,B,b,ok,B
34.0,2,b,B,a,ok,B
35.0,0,a,B,b,ok,B
35.0,0,b,B,a,ok,B
35.0,2,a,B,b,ok,B
35.0,2,b,B,a,ok,B
35.0,1,a,B,b,ok,B
35.0,1,b,A,b,ok,A
36.0,0,a,B,b,ok,B
36.0,0,b,A,b,ok,A
36.0,1,a,A,a,ok,A
36.0,1,b,A,b,ok,A
36.0,2,a,B,b,ok,B
36.0,2,b,B,a,ok,B
37.0,0,a,B,b,ok,B
37.0,0,b,B,a,ok,B
37.0,1,a,B,b,ok,B
37.0,1,b,B,a,ok,B
37.0,2,a,A,a,ok,A
37.0,2,b,A,b,ok,A
38.0,0,a,A,a,ok,A
38.0,0,b,B,a,ok,B
38.0,1,a,A,a,ok,A
38.0,1,b,B,a,ok,B
38.0,2,a,A,a,ok,A
38.0,2,b,B,a,ok,B
39.0,0,a,A,a,ok,A
39.0,0,b,B,a,ok,B
39.0,1,a,B,b,ok,B
39.0,1,b,B,a,ok,B
40.0,0,a,B,b,ok,B
40.0,0,b,B,a,ok,B
39.0,2,a,A,a,ok,A
39.0,2,b,B,a,ok,B
40.0,1,a,B,b,ok,B
40.0,1,b,B,a,ok,B
40.0,2,a,A,a,ok,A
40.0,2,b,A,b,ok,A
41.0,0,a,A,a,ok,A
41.0,0,b,A,b,ok,A
41.0,1,a,A,a,ok,A
41.0,1,b,A,b,ok,A
41.0,2,a,A,a,ok,A
41.0,2,b,A,b,ok,A
42.0,0,a,B,b,ok,B
42.0,0,b,A,b,ok,A
42.0,1,a,B,b,ok,B
42.0,1,b,A,b,ok,A
42.0,2,a,B,b,ok,B
42.0,2,b,A,b,ok,A
43.0,0,a,A,a,ok,A
43.0,0,b,B,a,ok,B
43.0,1,a,A,a,ok,A
43.0,1,b,A,b,ok,A
43.0,2,a,A,a,ok,A
43.0,2,b,B,a,ok,B
44.0,0,a,A,a,ok,A
44.0,0,b,B,a,ok,B
44.0,1,a,A,a,ok,A
44.0,1,b,B,a,ok,B
44.0,2,a,A,a,ok,A
44.0,2,b,A,b,ok,A
