stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,70,68,35,60,48,50,45,55,82,50,60,58,75,15,10,20,22,72,70,65,50,50,50,50,50,50,50,50,50,50,50,50,50,50
24,65,60,55,60,85,85,50,55,35,40,40,55,75,15,20,15,20,10,65,15,50,50,50,50,50,50,50,50,50,50,50,55,50,50
31,55,50,48,55,68,62,58,55,35,45,42,60,48,62,30,45,22,68,52,35,50,50,50,50,50,50,50,50,50,50,50,50,50,55
40,68,62,52,60,48,75,65,60,72,50,58,48,76,5,18,22,18,72,64,35,50,50,50,50,50,50,50,50,50,50,50,62,50,50
55,68,70,38,58,18,78,42,58,86,32,67,61,63,18,12,44,18,78,66,76,50,50,50,50,50,50,50,50,50,50,50,48,20,62
60,55,65,20,50,8,50,45,55,35,40,35,65,45,85,10,60,10,35,55,80,50,50,50,50,50,50,50,50,50,50,50,10,50,65
68,72,68,48,60,42,85,50,58,84,45,70,55,61,8,18,32,25,42,67,58,50,50,50,50,50,50,50,50,50,50,50,54,20,55
71,78,76,52,58,38,82,45,54,96,48,78,68,72,8,12,18,42,90,62,64,50,50,50,50,50,50,50,50,50,50,50,58,50,72
77,68,70,38,50,42,50,50,58,96,35,72,64,66,8,12,28,25,28,67,62,50,50,50,50,50,50,50,50,50,50,50,55,50,50
89,72,82,25,55,25,20,45,55,90,45,78,70,82,85,8,35,18,78,75,88,50,50,50,50,50,50,50,50,50,50,50,45,20,35
97,78,82,35,62,38,18,48,58,92,45,72,58,78,72,8,18,18,38,72,74,50,50,50,50,50,50,50,50,50,50,50,58,12,50
102,62,58,38,64,62,50,48,62,42,45,40,55,72,68,28,32,20,72,70,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50
108,55,78,35,55,28,15,45,55,35,40,35,65,65,85,20,20,42,78,60,72,50,50,50,50,50,50,50,50,50,50,50,45,50,50
159,58,67,55,55,42,78,50,56,57,45,52,60,48,18,38,30,35,82,55,40,50,50,50,50,50,50,50,50,50,50,50,52,50,72
175,55,68,42,58,35,18,50,55,38,35,35,55,72,70,25,30,18,28,65,62,50,50,50,50,50,50,50,50,50,50,50,50,20,50
185,58,67,42,58,38,50,48,55,45,40,48,55,62,72,18,28,30,78,62,58,50,50,50,50,50,50,50,50,50,50,50,52,20,65
200,60,55,65,55,65,90,65,55,35,45,45,70,45,35,30,20,35,75,55,25,50,50,50,50,50,50,50,50,50,50,50,50,50,75
210,58,62,55,50,42,82,50,55,48,35,50,52,58,12,28,18,25,78,63,35,50,50,50,50,50,50,50,50,50,50,50,50,50,72
214,65,62,25,55,12,15,45,60,70,35,55,50,55,65,10,35,15,25,55,75,50,50,50,50,50,50,50,50,50,50,50,50,50,55
219,72,82,38,58,38,50,50,55,88,45,70,62,76,82,18,25,18,42,72,78,50,50,50,50,50,50,50,50,50,50,50,50,50,55
238,68,70,35,50,58,15,62,60,65,50,55,52,72,85,15,20,25,38,65,55,50,50,50,50,50,50,50,50,50,50,50,50,50,50
245,72,76,38,50,42,15,55,62,88,50,72,58,68,78,12,25,18,42,68,74,50,50,50,50,50,50,50,50,50,50,50,50,50,78
248,75,72,45,55,48,50,48,55,90,50,68,55,70,12,15,20,18,72,65,55,50,50,50,50,50,50,50,50,50,50,50,60,50,75
260,72,78,38,55,43,50,50,52,94,35,76,61,82,68,8,12,56,88,64,70,50,50,50,50,50,50,50,50,50,50,50,50,50,50
278,62,58,42,55,56,28,50,55,48,38,45,48,58,38,18,28,18,68,58,42,50,50,50,50,50,50,50,50,50,50,50,48,50,72
282,52,58,43,55,42,25,50,55,35,38,40,55,65,20,45,35,18,62,62,48,50,50,50,50,50,50,50,50,50,50,50,45,20,35
287,55,45,55,55,55,90,65,55,25,35,35,45,65,5,20,35,20,75,55,20,50,50,50,50,50,50,50,50,50,50,50,50,50,45
295,68,62,40,55,38,78,58,65,82,35,62,48,58,18,12,55,22,72,58,55,50,50,50,50,50,50,50,50,50,50,50,55,50,50
297,78,72,38,55,35,70,45,55,95,50,78,62,68,35,8,28,35,88,72,65,50,50,50,50,50,50,50,50,50,50,50,50,50,50
299,52,48,42,58,55,50,62,52,38,45,35,55,58,62,20,48,42,72,65,38,50,50,50,50,50,50,50,50,50,50,50,50,50,35
313,72,74,58,62,45,90,48,55,82,40,68,60,70,18,18,20,30,85,62,42,50,50,50,50,50,50,50,50,50,50,50,65,20,50
315,72,75,58,68,48,85,45,60,68,42,58,55,82,8,18,12,28,82,72,48,50,50,50,50,50,50,50,50,50,50,50,64,50,35
322,55,70,68,58,40,75,50,45,35,30,40,75,55,10,25,15,48,85,65,35,50,50,50,50,50,50,50,50,50,50,50,50,35,65
333,72,70,48,65,42,75,50,65,85,45,60,55,78,12,18,22,18,78,72,58,50,50,50,50,50,50,50,50,50,50,50,55,20,40
352,62,58,66,65,78,50,58,55,28,42,35,63,70,5,30,18,50,50,62,20,50,50,50,50,50,50,50,50,50,50,50,60,50,20
366,70,65,48,62,55,85,55,50,82,50,68,62,58,35,18,35,42,85,70,45,50,50,50,50,50,50,50,50,50,50,50,55,50,35
372,72,74,48,55,42,85,50,58,91,45,70,62,68,5,12,25,42,88,66,61,50,50,50,50,50,50,50,50,50,50,50,55,50,50
381,62,48,42,55,78,88,58,57,43,38,40,52,61,0,18,35,12,8,58,28,50,50,50,50,50,50,50,50,50,50,50,47,50,65
389,55,78,42,58,30,25,50,55,35,40,40,65,72,90,20,15,48,88,62,72,50,50,50,50,50,50,50,50,50,50,50,48,50,50
421,68,62,28,65,48,18,50,58,72,35,55,48,72,68,12,42,22,38,70,55,50,50,50,50,50,50,50,50,50,50,50,55,18,45
430,70,65,25,50,10,50,45,65,90,45,65,55,65,75,10,55,15,75,70,85,50,50,50,50,50,50,50,50,50,50,50,20,50,50
446,58,52,50,60,48,75,50,55,38,45,42,55,62,15,35,48,42,85,65,35,50,50,50,50,50,50,50,50,50,50,50,50,50,50
454,55,85,35,55,28,15,30,55,45,45,40,65,85,90,15,20,15,65,65,85,50,50,50,50,50,50,50,50,50,50,50,45,20,35
457,72,82,35,60,32,20,50,55,88,35,70,65,78,85,10,15,55,78,75,78,50,50,50,50,50,50,50,50,50,50,50,50,50,50
483,66,70,58,60,48,85,55,62,57,38,55,52,63,8,18,22,22,72,68,42,50,50,50,50,50,50,50,50,50,50,50,61,18,48
496,72,78,38,58,24,50,50,58,94,42,73,61,67,43,8,35,18,68,68,76,50,50,50,50,50,50,50,50,50,50,50,57,50,62
501,60,78,42,58,35,50,50,55,48,45,48,62,75,65,18,20,50,85,65,70,50,50,50,50,50,50,50,50,50,50,50,50,25,50
515,55,85,35,55,25,15,45,55,40,45,40,65,80,90,20,15,12,25,70,75,50,50,50,50,50,50,50,50,50,50,50,50,20,50
520,72,68,35,62,45,25,50,58,88,45,70,55,60,78,8,35,18,42,65,72,50,50,50,50,50,50,50,50,50,50,50,50,50,70
527,68,72,35,60,48,20,55,58,82,52,65,58,74,78,12,28,22,78,68,70,50,50,50,50,50,50,50,50,50,50,50,48,50,40
530,72,70,38,55,55,50,68,58,91,45,74,65,62,72,12,28,25,38,71,61,50,50,50,50,50,50,50,50,50,50,50,54,50,45
552,55,62,38,55,18,75,38,55,52,35,45,52,48,65,38,48,22,78,58,68,50,50,50,50,50,50,50,50,50,50,50,50,50,50
559,58,78,35,58,35,18,42,55,42,38,35,62,70,82,18,20,22,82,68,72,50,50,50,50,50,50,50,50,50,50,50,50,50,50
606,55,68,62,58,43,82,45,55,38,42,48,63,57,18,44,28,34,88,67,35,50,50,50,50,50,50,50,50,50,50,50,55,50,78
612,65,75,25,55,10,50,35,60,90,45,70,65,55,20,10,65,25,35,75,85,50,50,50,50,50,50,50,50,50,50,50,35,50,80
619,55,60,20,50,5,50,35,55,45,40,45,60,55,15,10,65,15,75,55,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50
622,78,72,48,55,62,50,50,58,91,35,74,55,72,18,12,22,18,55,78,48,50,50,50,50,50,50,50,50,50,50,50,65,20,35
631,58,62,35,55,20,45,52,55,35,28,38,48,58,78,18,62,18,75,50,68,50,50,50,50,50,50,50,50,50,50,50,50,50,50
656,58,56,48,60,42,78,50,58,42,45,40,54,62,8,20,38,18,78,58,32,50,50,50,50,50,50,50,50,50,50,50,52,18,50
657,72,82,35,58,38,15,45,50,95,40,75,70,85,90,8,10,72,95,78,72,50,50,50,50,50,50,50,50,50,50,50,50,50,45
683,58,62,48,55,38,50,42,55,35,45,42,60,55,5,20,35,20,75,65,40,50,50,50,50,50,50,50,50,50,50,50,50,20,85
706,62,58,35,60,58,20,50,55,52,35,42,48,68,65,18,35,18,78,72,45,50,50,50,50,50,50,50,50,50,50,50,48,50,30
718,55,70,25,50,25,50,35,55,40,35,30,55,65,85,20,35,15,25,35,75,50,50,50,50,50,50,50,50,50,50,50,50,20,60
719,68,67,35,60,72,15,53,63,72,45,58,55,66,82,12,20,18,12,63,52,50,50,50,50,50,50,50,50,50,50,50,58,18,60
721,72,70,25,50,10,50,35,55,92,45,75,65,60,45,8,35,25,35,70,88,50,50,50,50,50,50,50,50,50,50,50,50,50,80
747,55,72,25,55,8,50,35,55,58,35,50,62,55,25,10,48,12,35,72,86,50,50,50,50,50,50,50,50,50,50,50,20,50,45
758,78,76,48,58,38,50,50,62,86,35,72,58,76,8,12,18,18,78,68,52,50,50,50,50,50,50,50,50,50,50,50,70,30,42
768,68,70,35,55,38,18,50,58,78,45,62,55,72,60,12,18,18,38,58,65,50,50,50,50,50,50,50,50,50,50,50,52,50,50
774,64,62,58,60,58,85,52,61,70,45,63,57,57,18,28,42,18,38,64,35,50,50,50,50,50,50,50,50,50,50,50,54,50,50
784,68,72,48,55,48,90,50,52,82,45,68,70,62,95,18,28,18,35,70,48,50,50,50,50,50,50,50,50,50,50,50,54,50,58
794,58,78,28,55,25,20,45,55,48,35,42,62,52,82,18,28,20,78,62,76,50,50,50,50,50,50,50,50,50,50,50,50,18,50
804,72,68,48,50,43,50,58,55,86,35,65,57,64,8,18,30,28,57,63,56,50,50,50,50,50,50,50,50,50,50,50,50,50,50
810,72,68,42,60,38,50,38,62,78,35,58,48,76,12,18,34,18,72,65,62,50,50,50,50,50,50,50,50,50,50,50,58,50,50
817,65,75,20,50,8,50,35,55,82,35,60,65,55,70,8,45,35,75,65,90,50,50,50,50,50,50,50,50,50,50,50,50,50,65
