candidate_label,election_id,competence_score,won_real,vote_share,status
G1995LA0272T0543,272.0,,False,0.36,I can’t assess competence from appearanc
G1995MS0273N0546,273.0,50,True,0.56,ok
G1995MS0273T0545,273.0,50,False,0.44,ok
G1996DE0265T0529,265.0,50,True,0.69,ok
G1996DE0265N0530,265.0,,False,0.31,I can’t assess competence from appearanc
G1996IN0266N0532,266.0,50,False,0.48,ok
G1996IN0266T0531,266.0,,False,0.52,Cannot determine from appearance.
G1996NC0267N0534,267.0,,False,0.43,I can’t assess competence from appearanc
G1996NC0267T0533,267.0,,True,0.57,Cannot determine from appearance alone.
G1996ND0268T0535,268.0,50,False,0.34,ok
G1996ND0268N0536,268.0,,True,0.66,Cannot determine from appearance.
G1996UT0269T0537,269.0,50,False,0.24,ok
G1996UT0269N0538,269.0,50,True,0.76,ok
G1996WV0271T0541,271.0,50,False,0.47,ok
G1996WV0271N0542,271.0,50,True,0.53,ok
G1997NJ0263T0525,263.0,50,False,0.49,ok
G1997NJ0263N0526,263.0,,True,0.51,I can’t assess competence from appearanc
G1997VA0264T0527,264.0,74,False,0.43,ok
G1997VA0264N0528,264.0,,True,0.57,I can’t assess competence from appearanc
