stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,58,63,72,62,58,92,48,65,18,45,38,61,69,8,31,22,24,82,74,28,50,50,50,50,50,50,50,50,50,0,50,63,50,58
2,68,72,52,60,38,18,48,55,92,45,84,74,76,58,10,18,60,90,82,70,50,50,50,50,50,50,50,50,50,0,50,66,50,58
3,60,55,55,65,65,50,48,60,25,60,35,55,85,5,25,55,20,55,72,35,50,50,50,50,50,50,50,50,50,0,50,60,50,35
4,68,76,38,50,22,8,44,58,70,35,57,61,88,20,12,18,55,96,74,72,50,50,50,50,50,50,50,50,50,50,50,59,50,42
5,50,70,50,50,42,50,48,62,92,40,50,58,82,18,12,30,18,82,86,68,50,50,50,50,50,50,50,50,50,0,50,50,50,50
6,50,62,54,50,43,78,48,58,38,50,50,61,57,28,35,32,24,68,48,42,50,50,50,50,50,50,50,50,50,50,50,48,50,50
7,50,65,58,50,32,90,48,60,47,50,50,48,65,5,38,28,22,78,70,48,50,50,50,50,50,50,50,50,50,0,50,55,20,65
8,50,50,20,50,3,50,40,60,95,50,65,58,80,45,5,25,15,45,80,95,50,50,50,50,50,50,50,50,50,50,50,50,50,50
9,78,62,45,68,78,50,60,58,88,38,70,61,76,28,12,42,38,78,74,69,50,50,50,50,50,50,50,50,50,0,50,66,50,42
10,55,53,57,50,58,50,55,58,40,50,50,55,62,20,35,45,58,88,66,42,50,50,50,50,50,50,50,50,50,50,50,50,50,50
11,50,68,50,50,47,50,43,58,74,50,50,57,88,8,12,35,27,76,78,64,50,50,50,50,50,50,50,50,50,50,50,50,50,50
12,50,50,20,50,5,50,35,55,72,20,50,58,78,35,8,20,8,28,75,88,50,50,50,50,50,50,50,50,50,0,50,50,50,50
13,74,68,63,50,48,88,57,62,91,50,76,67,72,8,19,35,22,81,79,61,50,50,50,50,50,50,50,50,50,0,50,69,50,78
14,78,70,48,60,34,88,45,68,95,50,80,62,86,8,15,28,22,72,82,68,50,50,50,50,50,50,50,50,50,50,50,74,50,45
15,50,58,55,50,24,50,42,55,30,20,40,58,62,18,38,35,57,95,60,48,50,50,50,50,50,50,50,50,50,0,50,50,50,50
16,62,53,61,58,78,50,55,60,27,44,39,57,71,18,29,24,42,58,62,34,50,50,50,50,50,50,50,50,50,0,50,57,50,50
17,58,67,46,55,20,82,42,62,52,40,48,50,68,8,15,38,18,88,70,61,50,50,50,50,50,50,50,50,50,0,50,54,30,48
18,50,78,50,50,18,50,45,55,72,50,50,65,82,88,12,20,58,94,76,74,50,50,50,50,50,50,50,50,50,0,50,50,50,50
19,50,78,50,50,24,50,43,65,76,50,50,58,84,58,14,24,21,82,78,74,50,50,50,50,50,50,50,50,50,50,50,50,50,50
20,50,68,50,50,27,50,55,58,76,50,50,61,82,4,18,32,67,94,75,64,50,50,50,50,50,50,50,50,50,50,50,50,50,50
21,50,72,42,50,24,12,45,58,57,50,50,61,82,88,18,28,24,88,67,70,50,50,50,50,50,50,50,50,50,50,50,50,50,50
22,72,66,48,58,42,76,38,61,84,44,70,64,67,73,18,36,16,47,73,62,50,50,50,50,50,50,50,50,50,0,50,59,50,76
23,50,62,55,50,48,90,48,58,70,50,50,55,78,5,20,35,30,82,68,45,50,50,50,50,50,50,50,50,50,50,50,50,50,50
24,50,58,62,50,82,88,54,61,35,50,50,57,82,8,24,22,27,18,73,31,50,50,50,50,50,50,50,50,50,0,50,59,50,50
25,74,68,45,50,53,50,43,65,91,50,69,57,82,72,12,21,24,67,76,64,50,50,50,50,50,50,50,50,50,0,50,67,50,50
26,68,82,42,58,24,7,45,61,65,50,56,70,91,78,28,18,22,62,76,79,50,50,50,50,50,50,50,50,50,0,50,55,50,42
27,50,72,50,50,42,12,48,55,94,50,50,62,91,78,12,50,22,78,86,69,50,50,50,50,50,50,50,50,50,0,50,50,50,50
28,50,67,55,50,27,92,46,63,24,50,50,56,78,5,18,50,36,96,72,54,50,50,50,50,50,50,50,50,50,50,50,50,50,50
29,68,66,59,62,31,92,48,67,58,34,53,55,78,8,25,27,35,94,72,52,50,50,50,50,50,50,50,50,50,0,50,61,28,47
30,78,72,38,65,42,8,46,64,94,50,79,67,76,72,12,24,22,64,81,70,50,50,50,50,50,50,50,50,50,50,50,68,50,78
31,50,58,50,50,63,78,57,55,38,50,50,68,57,34,32,42,24,72,50,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50
32,50,76,42,50,29,50,46,64,92,50,72,61,86,84,12,28,38,72,79,78,50,50,50,50,50,50,50,50,50,50,50,68,50,50
33,50,50,15,50,2,50,48,65,70,50,50,70,80,10,5,20,12,65,75,95,50,50,50,50,50,50,50,50,50,0,50,5,50,65
34,76,72,38,55,32,25,48,58,96,50,76,68,74,67,8,22,35,91,72,78,50,50,50,50,50,50,50,50,50,50,50,62,50,65
35,58,68,64,61,43,94,48,62,22,45,48,63,76,12,39,34,27,94,91,43,50,50,50,50,50,50,50,50,50,0,50,59,50,42
36,50,66,55,50,43,88,46,58,61,50,50,57,90,7,34,28,22,94,78,51,50,50,50,50,50,50,50,50,50,50,50,68,50,50
37,50,50,12,50,2,20,45,68,35,25,40,62,82,70,3,20,12,25,78,92,50,50,50,50,50,50,50,50,50,0,50,0,50,50
38,72,64,58,62,45,90,55,67,72,48,57,52,88,4,24,18,22,58,69,45,50,50,50,50,50,50,50,50,50,0,50,68,35,44
39,68,67,43,50,38,8,58,65,91,50,72,57,79,68,15,28,18,82,76,67,50,50,50,50,50,50,50,50,50,0,50,61,50,50
40,72,64,57,50,48,92,61,72,84,50,66,48,88,5,24,28,20,82,75,45,50,50,50,50,50,50,50,50,50,50,50,70,50,40
41,50,62,58,50,38,92,48,54,67,50,50,72,61,12,24,38,24,86,74,52,50,50,50,50,50,50,50,50,50,50,50,50,50,50
42,50,67,50,50,39,50,52,61,64,50,50,58,84,38,12,16,61,96,75,59,50,50,50,50,50,50,50,50,50,50,50,50,50,58
43,68,78,48,60,42,8,55,63,92,50,72,66,88,72,18,22,22,85,82,70,50,50,50,50,50,50,50,50,50,50,50,67,50,35
44,50,68,50,50,25,50,48,62,61,50,50,55,82,8,28,30,38,94,67,58,50,50,50,50,50,50,50,50,50,50,50,50,50,58
45,62,64,58,55,28,90,52,55,58,45,55,60,62,10,35,30,72,90,68,52,50,50,50,50,50,50,50,50,50,0,50,55,50,40
46,50,82,58,50,22,50,45,60,88,50,50,62,90,15,18,25,22,88,75,72,50,50,50,50,50,50,50,50,50,0,50,70,50,50
47,65,60,20,50,8,15,45,60,75,50,60,65,78,65,12,25,25,65,82,90,50,50,50,50,50,50,50,50,50,50,50,50,50,45
48,68,52,48,60,70,88,58,62,76,45,67,56,72,5,18,35,28,80,74,44,50,50,50,50,50,50,50,50,50,0,50,58,50,35
49,62,74,58,50,27,88,48,58,64,35,55,58,76,8,32,24,34,96,63,61,50,50,50,50,50,50,50,50,50,50,50,57,50,45
50,65,67,45,50,22,50,48,58,76,50,56,54,80,5,18,30,35,94,66,62,50,50,50,50,50,50,50,50,50,50,50,58,50,50
51,72,70,42,50,30,8,45,60,72,45,58,58,78,60,15,20,45,95,80,68,50,50,50,50,50,50,50,50,50,0,50,68,30,45
