stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,72,68,48,50,58,50,44,61,76,50,59,57,88,6,12,18,27,78,81,61,50,50,50,50,50,50,50,50,50,0,50,67,50,50
24,58,54,62,50,82,50,54,62,38,50,45,58,88,12,28,22,28,18,74,25,50,50,50,50,50,50,50,50,50,0,50,66,35,42
31,50,52,50,50,68,50,58,52,38,50,50,66,55,22,38,42,18,78,45,38,50,50,50,50,50,50,50,50,50,50,50,50,50,50
40,50,63,50,50,48,92,58,67,78,20,50,55,88,3,20,30,15,78,68,55,50,50,50,50,50,50,50,50,50,0,50,50,50,50
55,68,66,38,50,22,78,48,65,84,50,67,55,76,8,24,42,18,78,72,73,50,50,50,50,50,50,50,50,50,0,50,55,50,62
60,50,50,20,50,5,20,45,60,35,20,50,55,70,80,5,30,15,35,60,85,50,50,50,50,50,50,50,50,50,0,50,5,50,75
64,50,78,50,50,48,50,56,62,92,50,50,68,91,79,12,18,35,82,84,72,50,50,50,50,50,50,50,50,50,50,50,50,50,50
67,58,78,67,56,30,88,45,62,35,45,45,58,85,15,35,25,35,90,75,55,50,50,50,50,50,50,50,50,50,0,50,60,50,45
68,50,66,48,50,35,90,52,60,87,30,65,52,72,5,12,32,20,42,68,58,50,50,50,50,50,50,50,50,50,0,50,64,50,45
71,78,76,59,55,32,91,48,62,96,38,84,68,82,3,12,22,43,96,76,72,50,50,50,50,50,50,50,50,50,0,50,74,30,62
77,78,68,55,60,42,90,48,58,96,50,82,65,76,8,18,35,20,82,80,64,50,50,50,50,50,50,50,50,50,50,50,72,50,45
89,78,85,35,55,22,5,45,58,94,45,76,74,93,82,8,24,15,76,88,90,50,50,50,50,50,50,50,50,50,0,50,62,50,42
97,50,76,50,50,34,50,46,63,88,50,50,61,86,82,9,22,18,55,78,72,50,50,50,50,50,50,50,50,50,0,50,50,50,50
102,50,60,45,50,70,10,50,55,60,25,50,55,75,45,15,35,30,75,75,45,50,50,50,50,50,50,50,50,50,0,50,55,50,50
108,50,78,48,50,25,12,45,60,25,35,50,64,80,88,12,20,35,88,72,72,50,50,50,50,50,50,50,50,50,0,50,50,50,45
159,60,70,55,55,35,90,45,60,65,45,55,58,60,15,20,25,35,90,65,55,50,50,50,50,50,50,50,50,50,50,50,58,20,75
175,50,68,50,50,28,50,42,55,18,50,50,58,75,65,22,30,18,45,78,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50
185,50,68,50,50,35,50,45,50,46,50,50,58,72,48,35,50,30,88,67,62,50,50,50,50,50,50,50,50,50,50,50,50,50,82
200,58,57,67,50,58,92,61,55,38,42,48,68,54,42,38,32,34,78,66,40,50,50,50,50,50,50,50,50,50,0,50,47,50,78
210,50,68,50,50,31,92,43,55,58,50,50,54,70,5,27,35,30,88,67,55,50,50,50,50,50,50,50,50,50,50,50,50,50,70
214,50,62,35,50,12,50,42,58,68,50,50,55,67,63,18,50,18,27,66,74,50,50,50,50,50,50,50,50,50,50,50,50,50,50
219,50,78,50,50,30,50,48,55,88,50,50,62,82,86,20,30,12,42,85,74,50,50,50,50,50,50,50,50,50,50,50,50,50,55
238,50,58,50,50,61,15,62,50,68,50,50,52,72,76,18,50,24,72,66,55,50,50,50,50,50,50,50,50,50,0,50,50,50,42
245,68,72,42,58,33,10,55,62,76,45,64,57,78,75,18,28,18,72,70,67,50,50,50,50,50,50,50,50,50,50,50,61,50,67
248,50,68,54,50,43,50,48,66,92,50,72,55,78,8,18,32,18,78,75,62,50,50,50,50,50,50,50,50,50,50,50,61,50,68
260,50,72,50,50,43,8,48,55,91,50,67,64,86,62,12,18,58,94,78,70,50,50,50,50,50,50,50,50,50,50,50,60,50,50
278,50,58,45,50,58,35,45,60,57,50,50,54,67,35,18,32,22,68,72,48,50,50,50,50,50,50,50,50,50,0,50,50,50,68
282,50,62,64,50,43,18,51,58,22,50,50,61,78,4,57,18,22,72,68,43,50,50,50,50,50,50,50,50,50,50,50,50,50,12
287,52,48,64,55,48,50,68,62,18,42,38,48,67,4,46,40,24,82,57,29,50,50,50,50,50,50,50,50,50,50,50,51,31,40
295,68,61,48,50,35,88,52,70,82,45,67,48,74,12,18,38,18,78,72,58,50,50,50,50,50,50,50,50,50,0,50,62,35,48
299,50,50,55,50,62,35,65,55,30,40,45,50,62,35,20,40,35,85,60,40,50,50,50,50,50,50,50,50,50,0,50,50,50,40
313,50,72,50,50,40,95,52,60,86,50,50,64,84,10,18,28,27,91,78,66,50,50,50,50,50,50,50,50,50,0,50,50,50,50
315,68,72,56,62,38,88,42,67,74,50,61,54,86,8,24,27,24,88,79,58,50,50,50,50,50,50,50,50,50,50,50,64,50,45
322,50,62,64,50,32,88,45,42,12,20,50,76,58,10,18,20,38,50,77,35,50,50,50,50,50,50,50,50,50,0,50,52,50,62
332,64,65,34,58,22,18,47,62,63,48,53,51,60,72,18,40,18,82,66,68,50,50,50,50,50,50,50,50,50,0,50,54,50,50
333,72,68,48,60,35,50,48,65,82,45,66,52,84,5,18,38,18,82,75,60,50,50,50,50,50,50,50,50,50,0,50,72,50,45
352,55,48,72,60,78,94,58,55,12,35,35,62,76,3,28,22,66,35,74,18,50,50,50,50,50,50,50,50,50,50,50,57,50,38
366,50,62,50,50,42,50,50,55,92,50,50,63,78,12,15,45,35,92,86,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50
372,72,68,57,50,36,88,52,62,91,50,76,58,82,4,18,22,42,92,78,63,50,50,50,50,50,50,50,50,50,50,50,67,50,50
382,50,64,50,50,38,76,48,50,72,50,50,58,61,34,18,32,30,91,73,57,50,50,50,50,50,50,50,50,50,50,50,50,50,74
389,52,82,56,50,24,50,48,55,28,35,42,69,84,88,22,18,43,94,72,68,50,50,50,50,50,50,50,50,50,0,50,52,50,45
421,50,62,43,50,47,50,48,55,72,50,50,54,78,63,15,42,24,72,77,58,50,50,50,50,50,50,50,50,50,50,50,58,50,50
424,72,58,42,62,78,50,59,68,88,52,67,55,76,8,18,40,18,15,71,66,50,50,50,50,50,50,50,50,50,0,50,59,50,45
430,50,50,25,50,8,50,45,60,90,50,65,55,72,68,12,35,15,78,75,90,50,50,50,50,50,50,50,50,50,0,50,50,50,50
