stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
24,55,54,55,58,84,78,48,56,45,42,48,55,72,20,38,40,35,20,64,35,50,50,50,50,50,50,50,50,50,50,50,60,50,42
31,50,52,50,50,68,76,53,50,42,50,50,54,45,54,50,50,35,68,52,45,50,50,50,50,50,50,50,50,50,50,50,50,50,48
40,68,62,58,64,56,84,54,67,79,48,65,55,78,12,30,35,31,72,66,39,50,50,50,50,50,50,50,50,50,50,50,64,50,43
55,78,70,42,61,22,50,45,66,88,30,70,58,71,12,18,42,50,72,77,75,50,50,50,50,50,50,50,50,50,50,50,55,35,68
64,78,82,42,68,45,8,52,60,92,50,75,70,88,85,18,22,45,72,78,68,50,50,50,50,50,50,50,50,50,50,50,67,50,42
67,54,62,60,58,42,78,45,58,24,35,45,52,78,18,38,30,42,82,70,38,50,50,50,50,50,50,50,50,50,50,50,56,36,42
68,76,68,42,63,35,72,43,58,86,46,66,55,62,18,16,38,24,63,68,58,54,50,50,50,50,50,50,50,50,50,50,56,35,48
71,78,75,55,65,30,70,45,58,96,42,82,67,70,10,12,25,55,90,72,68,50,50,50,50,50,50,50,50,50,50,50,58,50,76
77,78,72,58,68,48,78,48,63,96,45,82,65,68,30,18,30,38,76,75,55,50,50,50,50,50,50,50,50,50,50,50,68,30,46
89,75,74,32,62,17,10,42,60,92,20,72,64,87,78,12,30,25,68,79,84,50,50,50,50,50,50,50,50,50,50,50,50,20,35
97,78,74,42,50,38,12,50,62,92,48,68,59,82,88,18,32,24,48,70,73,50,50,50,50,50,50,50,50,50,50,50,50,50,45
102,68,52,38,70,68,12,48,60,54,35,48,51,77,72,25,54,30,75,70,35,50,50,50,50,50,50,50,50,50,50,50,45,50,42
108,58,68,42,61,34,14,50,57,38,35,48,56,69,84,34,30,50,73,63,62,50,50,50,50,50,50,50,50,50,50,50,48,42,43
175,52,72,48,58,35,50,45,55,35,42,45,65,75,62,40,35,25,48,72,62,50,50,50,50,50,50,50,50,50,50,50,48,38,42
185,58,62,38,57,33,50,47,59,43,50,49,54,60,72,24,36,50,76,54,61,50,50,50,50,50,50,50,50,50,50,50,48,34,57
200,50,50,50,50,65,85,60,50,40,50,50,55,55,35,45,45,45,75,55,45,50,50,50,50,50,50,50,50,50,50,50,50,50,65
210,62,66,57,62,38,72,43,61,54,42,56,58,61,12,38,32,38,78,66,49,52,50,50,50,50,50,50,50,50,50,50,55,48,66
219,72,76,38,63,43,50,46,58,85,45,67,64,73,91,18,32,28,48,72,70,50,50,50,50,50,50,50,50,50,50,50,55,48,57
238,72,61,38,62,58,18,56,65,63,47,55,53,68,88,20,36,36,66,57,49,50,50,50,50,50,50,50,50,50,50,50,48,32,43
245,78,72,38,66,50,50,50,62,85,45,68,58,76,76,18,32,50,58,70,65,50,50,50,50,50,50,50,50,50,50,50,59,50,67
248,76,68,45,62,50,50,54,65,88,48,70,55,72,18,20,38,50,62,63,52,50,50,50,50,50,50,50,50,50,50,50,58,45,68
260,78,74,43,66,45,18,48,59,95,40,78,70,87,35,12,24,50,82,76,67,56,50,50,50,50,50,50,50,50,0,50,62,38,46
