stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,85,70,65,78,55,30,45,60,75,40,68,62,80,10,25,20,30,60,85,55,60,75,90,5,5,10,5,5,15,35,50,70,40,30
24,78,52,65,70,85,90,55,60,40,30,50,65,85,20,35,25,30,10,75,15,80,45,5,5,10,5,5,5,90,20,25,70,50,30
31,65,58,70,68,75,85,60,55,45,30,65,70,60,40,35,25,30,65,70,20,60,65,10,15,20,10,10,10,85,35,40,55,30,75
40,78,65,60,68,65,90,60,75,70,45,72,55,85,10,30,25,30,70,75,35,70,50,5,5,10,5,5,5,90,40,20,75,45,30
55,78,65,40,60,25,65,45,60,80,30,70,55,75,10,20,35,20,85,75,70,50,60,10,5,15,10,5,5,85,40,30,45,35,60
60,85,70,30,65,10,20,60,75,40,50,35,70,75,90,10,25,20,40,70,90,65,55,5,5,15,10,5,5,85,50,20,10,60,70
64,85,78,60,70,45,20,40,65,80,30,75,65,85,80,25,15,40,70,80,60,65,70,10,15,85,20,10,10,25,35,40,75,50,30
67,68,75,62,70,35,90,45,58,30,35,50,65,85,10,25,15,40,85,80,30,60,55,15,20,65,25,10,10,70,40,35,70,45,50
68,78,65,55,60,30,85,45,60,80,35,70,55,70,10,20,30,25,60,75,40,65,60,5,5,10,10,5,5,90,30,40,55,35,45
71,85,78,60,70,30,80,55,65,90,40,80,75,70,10,20,15,60,95,85,65,55,70,20,15,75,40,10,30,15,35,45,65,50,60
77,85,70,60,65,45,90,50,75,90,30,80,70,80,20,30,25,30,70,85,40,65,60,10,5,15,10,5,5,90,35,20,70,50,40
89,85,78,30,65,20,15,55,60,90,40,80,75,90,85,10,25,30,60,80,90,65,70,45,10,55,20,15,10,35,40,30,20,50,35
97,85,78,45,65,30,20,40,70,80,50,75,60,80,90,15,20,25,40,70,75,60,65,10,5,15,10,5,5,85,50,30,55,40,35
102,85,60,45,75,70,25,50,65,60,30,55,65,80,70,30,40,40,60,75,45,55,70,10,10,20,15,10,10,80,35,30,50,40,35
108,78,65,45,68,25,10,40,55,30,35,40,50,70,90,20,15,50,85,75,60,50,65,60,15,55,30,20,10,25,40,55,45,35,40
159,78,65,60,70,45,90,55,60,75,30,70,65,60,20,35,25,40,90,80,40,55,65,10,15,30,25,10,5,80,35,40,65,50,85
175,65,70,55,75,30,25,40,60,35,45,50,70,80,60,30,20,20,30,85,65,60,70,10,5,15,5,5,5,85,40,50,65,35,40
185,78,65,55,70,30,25,40,50,60,35,65,60,75,40,20,15,45,85,70,65,55,75,30,20,60,40,10,15,35,45,50,65,30,55
200,68,52,65,60,70,90,65,45,35,30,55,70,50,70,40,35,40,60,75,25,50,65,10,20,40,30,25,15,70,35,45,55,60,80
210,78,65,55,70,35,85,45,60,60,30,65,55,70,10,25,20,50,80,75,40,60,65,15,20,40,10,5,5,70,35,45,65,30,75
214,85,70,30,65,20,10,40,60,75,35,60,55,70,65,20,30,25,15,70,85,50,60,5,5,10,10,5,5,90,40,25,10,40,30
219,85,80,45,65,25,10,30,70,85,35,75,70,80,90,20,15,20,30,85,80,65,60,5,5,10,10,5,5,90,40,50,55,45,60
238,85,65,45,60,60,20,65,70,75,50,65,55,70,80,30,25,30,60,65,50,55,60,10,15,60,20,10,10,70,50,40,55,45,35
245,78,65,42,60,35,15,60,68,85,40,70,55,75,80,20,30,25,50,70,75,55,65,5,5,10,5,5,5,90,45,50,55,40,60
248,78,65,55,70,60,90,45,60,85,30,75,65,70,20,35,25,25,70,80,40,60,65,10,15,20,10,5,5,85,35,40,65,30,70
260,85,78,45,60,35,20,40,65,90,30,80,70,85,60,15,20,65,90,80,75,50,70,20,10,85,30,15,10,20,35,40,60,55,50
278,78,65,45,70,60,30,40,55,50,35,55,60,70,20,25,30,25,50,75,45,55,70,10,5,15,10,5,5,85,40,60,50,35,70
282,65,68,58,70,35,25,45,55,40,30,50,60,75,10,20,30,30,50,70,55,50,75,15,10,40,20,10,10,70,35,60,55,30,40
287,65,48,60,70,65,90,60,75,30,25,40,55,70,10,35,50,30,60,75,20,55,45,5,5,10,5,5,5,90,30,20,50,35,40
295,78,65,55,70,45,90,40,60,75,30,65,50,70,10,20,30,30,60,75,40,60,65,5,5,10,5,5,5,90,35,25,60,30,40
297,85,70,45,65,30,25,40,55,90,35,80,75,70,15,20,30,35,90,85,75,50,75,20,10,60,25,15,10,65,40,60,55,30,45
299,75,50,60,70,65,30,60,55,40,35,45,55,70,40,20,30,60,70,75,35,45,65,20,15,70,25,10,20,30,30,40,55,35,30
313,78,65,60,68,45,85,55,62,80,35,75,60,70,10,30,25,40,90,75,35,65,60,10,15,50,20,10,20,70,30,40,70,45,35
315,78,65,55,70,35,90,45,60,75,30,65,55,85,20,40,35,25,70,80,45,70,65,10,5,15,5,5,5,85,35,50,60,40,45
322,65,58,60,62,45,35,55,40,30,25,50,70,60,10,20,30,60,90,75,45,40,70,15,20,65,30,25,35,40,30,55,45,35,60
332,78,65,42,60,30,15,55,68,70,45,60,55,70,85,20,35,30,75,75,70,50,65,20,15,40,25,10,10,70,40,55,45,35,40
333,85,70,60,75,40,90,45,70,80,30,75,65,85,10,20,25,30,60,80,35,70,65,10,5,15,5,5,5,85,30,20,75,40,35
352,85,60,75,80,75,90,55,65,30,70,45,75,85,10,20,35,80,70,85,25,70,75,5,10,20,15,5,85,15,30,20,80,65,35
366,78,65,55,75,60,90,55,60,85,40,70,75,70,30,25,65,45,90,80,35,55,65,10,15,20,10,5,5,85,30,40,50,35,30
372,85,78,65,70,45,90,50,60,88,55,80,75,80,10,30,20,60,90,85,50,65,70,20,30,75,40,10,25,15,50,40,75,55,45
378,75,60,45,70,25,30,55,50,65,35,55,50,60,70,30,40,20,50,70,65,50,65,10,5,15,10,5,5,85,40,55,45,30,70
381,78,45,65,70,85,90,60,75,30,40,50,65,70,10,25,35,30,20,75,15,60,45,5,5,10,5,5,5,90,30,20,55,50,40
382,78,65,45,60,55,35,40,30,70,25,65,60,55,60,20,30,40,90,75,50,45,70,10,10,20,15,10,10,70,35,65,30,25,60
389,68,75,58,65,30,25,45,55,40,35,50,65,80,85,30,15,50,95,70,60,55,65,20,15,70,30,10,25,20,35,45,55,30,40
421,85,60,45,78,55,30,40,50,70,35,60,55,80,70,20,40,25,50,80,55,50,75,10,5,15,10,5,5,85,40,50,45,30,35
424,85,60,45,70,80,20,65,75,80,50,70,60,75,10,20,30,25,10,70,40,55,65,5,5,10,10,5,5,90,50,30,40,50,30
430,85,78,30,65,20,45,55,60,90,50,75,70,70,80,10,30,25,85,80,95,60,65,10,5,20,15,10,5,85,50,35,20,40,30
446,65,58,60,75,60,90,55,65,40,30,50,60,70,10,25,35,45,90,75,20,55,60,85,10,15,20,10,5,15,35,25,50,30,20
454,78,85,45,65,25,10,30,55,60,35,50,70,90,80,20,15,20,60,75,70,65,60,85,5,10,15,5,5,15,30,40,35,25,20
457,85,78,45,65,25,10,40,60,80,30,75,65,80,90,20,15,70,85,85,70,55,65,20,10,60,30,15,40,10,35,45,60,50,30
483,78,65,55,60,45,90,50,70,60,30,65,55,75,10,20,25,20,60,70,35,60,50,5,5,10,5,5,5,90,40,20,65,40,50
496,85,70,45,65,30,25,40,55,80,35,75,60,70,10,20,30,30,70,80,65,50,75,10,5,20,15,5,5,80,40,60,55,30,65
501,78,75,55,68,30,25,45,60,65,40,60,70,85,70,20,15,70,95,80,65,50,65,10,15,40,30,10,75,15,35,45,60,55,40
515,68,85,58,70,25,30,40,55,45,30,55,75,90,95,35,15,20,10,80,70,75,65,5,5,10,10,5,5,90,35,50,60,45,40
520,85,60,40,75,30,20,45,65,80,35,70,60,70,75,15,55,30,70,80,70,50,75,10,5,20,15,5,5,80,40,50,45,30,65
527,85,68,45,70,55,20,50,60,80,30,75,65,80,70,25,35,30,80,75,60,55,70,10,15,40,20,10,10,70,45,50,65,40,35
530,78,65,55,68,45,20,55,60,85,30,75,70,80,40,25,15,30,60,80,65,50,65,5,5,10,10,5,5,85,35,40,55,30,40
552,78,65,35,60,25,45,40,60,55,30,50,55,70,30,20,35,20,85,70,75,55,60,10,5,15,10,5,5,85,30,25,20,35,40
559,78,75,45,68,25,30,40,55,35,30,40,65,70,85,20,15,30,70,75,60,55,65,10,15,40,20,10,5,60,35,50,45,30,40
594,68,58,45,70,55,30,50,55,40,35,45,60,75,65,25,30,30,60,65,40,55,65,10,5,15,10,5,5,85,30,50,55,35,40
599,78,65,45,60,55,30,60,50,70,40,65,60,70,20,30,25,45,80,75,55,40,65,10,20,70,30,15,25,35,45,50,55,40,85
606,65,68,70,75,45,85,50,60,30,25,55,70,60,10,35,20,30,90,80,35,55,65,10,15,30,20,10,5,80,30,40,60,25,85
612,85,70,30,65,20,40,45,60,90,35,75,70,80,30,10,20,30,30,85,90,60,65,10,10,25,20,15,10,75,40,30,20,45,70
619,85,78,30,65,10,70,45,60,75,50,65,80,70,20,15,30,20,90,85,95,60,55,10,5,15,10,5,5,85,50,20,10,40,30
622,85,70,65,75,60,45,40,55,80,30,75,65,80,20,30,25,25,50,85,40,70,75,10,5,15,10,5,5,85,35,60,70,50,40
626,78,65,55,70,45,30,40,50,35,40,45,60,70,20,15,25,30,90,75,55,50,65,85,10,15,20,10,5,15,30,40,55,35,60
631,68,58,42,65,30,35,55,60,45,30,40,55,70,75,20,35,25,60,70,75,50,65,10,5,20,15,5,5,85,40,50,35,45,30
656,68,58,52,75,45,85,50,60,35,30,45,65,70,10,25,55,30,70,75,30,55,65,10,10,20,10,10,10,85,40,35,50,20,30
657,85,88,65,70,45,20,40,55,90,30,80,75,90,85,15,10,60,95,80,65,60,75,10,15,70,25,10,50,20,35,40,70,55,30
683,65,58,52,60,35,85,45,50,40,30,55,60,40,30,25,45,20,70,75,40,45,65,10,5,15,10,5,5,85,35,40,50,30,80
706,78,65,45,82,55,30,40,50,70,40,60,65,80,70,35,55,25,70,85,60,55,75,10,5,15,10,5,5,85,30,50,45,35,30
718,78,65,30,60,25,15,40,55,45,35,40,50,70,85,20,30,20,10,55,75,60,65,5,5,10,10,5,5,90,30,50,40,55,70
719,85,68,55,70,65,30,50,75,80,45,70,60,80,60,20,15,20,10,75,50,65,60,5,5,10,10,5,5,90,35,30,65,55,40
721,85,78,30,65,20,10,45,60,90,55,75,70,80,40,10,20,50,40,85,90,50,60,30,15,70,25,10,10,20,40,15,20,30,75
747,85,78,20,65,10,45,55,60,65,30,50,70,75,20,10,25,20,40,80,90,50,55,15,10,30,20,10,5,70,35,20,15,30,25
758,78,65,55,68,30,90,45,60,85,35,70,50,80,10,20,15,25,85,75,40,65,60,5,10,20,15,5,5,85,30,25,70,35,20
768,78,65,45,60,30,20,55,50,75,35,65,55,80,60,25,15,20,40,70,65,60,65,5,5,10,10,5,5,85,30,40,55,45,35
774,75,60,55,65,55,85,45,60,70,30,65,50,70,20,35,25,25,30,75,30,55,45,10,5,15,5,5,5,90,35,20,50,30,40
784,78,65,55,60,55,85,45,30,80,25,75,70,60,90,30,20,20,30,75,40,65,70,5,5,10,15,10,5,90,35,40,50,30,70
794,78,65,35,60,25,15,45,55,60,30,55,65,70,85,20,25,40,70,75,80,45,60,30,15,70,20,10,10,20,35,40,30,25,35
804,85,60,45,65,55,30,60,70,85,40,75,65,70,20,15,30,35,50,70,55,50,75,10,5,20,15,10,5,85,40,60,65,45,35
810,78,65,55,70,45,90,40,60,75,30,65,50,85,10,20,35,25,60,70,40,65,60,10,5,15,5,5,5,85,35,30,65,40,35
817,85,78,20,65,10,30,60,55,80,45,65,70,75,40,10,25,45,90,80,95,50,60,90,5,10,15,5,5,5,30,20,15,40,60
820,78,65,45,80,35,20,40,55,30,35,40,60,70,85,25,60,30,70,75,55,50,75,15,10,40,20,10,10,70,45,55,50,30,35
849,85,60,70,80,75,90,65,70,75,50,65,60,80,10,30,40,20,80,85,25,70,55,5,5,10,5,5,5,90,50,20,75,60,40
877,75,60,55,70,45,85,40,65,30,25,45,50,70,10,20,35,30,50,70,30,60,65,10,5,15,5,5,5,85,30,40,60,35,55
884,65,58,60,62,55,90,50,70,45,30,55,60,65,10,35,40,40,70,75,30,50,60,10,20,60,25,15,10,75,35,20,55,30,70
891,85,78,45,70,25,15,65,60,90,30,80,75,90,80,20,10,30,60,85,80,65,70,10,5,75,20,5,10,25,35,40,55,60,30
905,85,68,45,70,55,30,40,50,75,40,65,60,70,10,20,30,35,60,80,65,50,75,10,5,15,10,5,5,80,45,60,55,30,40
907,85,70,45,65,25,30,55,60,90,40,80,75,70,85,15,20,30,60,80,85,50,65,10,5,40,20,10,5,70,35,55,45,50,70
915,78,65,45,68,35,20,55,50,60,30,55,60,85,70,30,15,30,90,75,55,50,65,85,10,15,20,10,5,25,35,40,55,30,40
921,85,65,40,75,30,20,45,55,80,35,60,65,80,30,15,45,35,90,85,60,50,70,90,5,10,15,5,5,10,30,40,55,25,35
927,78,65,55,80,45,90,50,60,65,30,60,55,75,10,40,55,20,70,80,35,65,60,10,5,15,5,5,5,90,30,40,65,35,40
930,65,58,70,82,55,90,60,75,45,30,55,65,80,10,35,40,30,90,85,20,70,60,10,20,25,15,10,10,85,35,25,75,30,20
934,85,78,45,68,30,20,40,65,80,35,70,60,80,75,25,15,45,60,75,70,55,65,10,5,30,15,5,5,70,40,50,60,35,45
945,85,68,70,75,65,90,45,72,78,55,70,60,85,10,30,20,30,60,80,25,75,50,5,5,10,5,5,5,90,40,20,80,50,30
953,78,52,45,60,75,30,70,65,68,40,62,55,70,10,25,35,45,55,65,40,50,60,5,5,20,15,10,10,80,30,35,55,45,50
955,85,78,45,65,50,20,40,60,80,35,70,65,80,70,15,20,30,90,85,60,55,65,30,15,70,25,10,10,40,30,45,60,35,40
960,85,78,60,70,30,25,45,55,80,40,75,70,80,90,15,20,75,90,85,70,50,75,10,15,40,30,10,70,20,35,55,65,40,45
979,78,65,60,75,55,90,50,70,75,40,70,65,80,20,30,25,30,85,70,35,65,60,10,15,20,10,5,5,85,30,20,70,40,35
