stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,75,60,65,70,55,90,40,80,30,60,45,70,75,20,35,10,65,60,85,25,50,55,5,10,5,5,5,5,90,40,10,70,30,60
2,75,85,40,65,35,55,45,60,90,50,70,80,70,85,20,10,65,100,80,75,40,50,10,20,70,10,10,85,10,30,30,60,20,30
3,75,60,65,85,60,50,40,70,30,55,40,75,90,20,30,10,60,70,80,25,70,60,0,0,0,0,0,0,100,30,10,80,40,20
4,75,85,30,65,25,40,45,70,80,60,70,85,90,10,15,5,60,100,85,80,35,50,10,10,85,10,10,85,10,50,30,60,40,30
5,75,85,40,65,45,85,45,70,90,60,75,80,85,30,20,10,55,75,80,70,50,60,0,0,0,0,0,0,100,50,30,65,40,35
6,65,70,40,60,35,85,30,20,45,30,50,75,60,70,35,25,40,45,70,55,40,50,0,0,0,0,0,0,95,30,70,55,35,80
7,70,65,40,60,30,95,35,75,50,60,55,70,80,10,20,10,50,50,85,40,30,50,0,0,0,0,0,0,100,50,0,60,30,70
8,75,85,20,60,10,30,30,80,90,70,75,65,85,70,10,10,40,50,65,95,30,40,10,10,10,10,10,10,90,50,10,20,30,20
9,85,70,40,75,70,30,45,60,80,65,55,75,85,20,10,15,50,50,70,60,30,50,0,0,0,0,0,0,100,40,0,50,30,20
10,70,60,40,65,45,85,40,75,30,55,35,65,50,20,10,15,60,100,80,20,30,50,0,90,85,10,10,10,80,30,20,40,35,25
11,75,68,40,65,45,30,35,55,80,45,50,60,85,10,20,10,40,50,70,55,30,40,90,5,5,5,5,5,85,30,20,60,35,25
12,75,85,30,60,20,40,30,70,90,65,70,80,85,60,20,10,10,10,80,95,50,50,0,0,0,0,0,0,100,50,0,30,40,30
13,85,70,40,65,45,90,30,75,90,60,70,80,55,10,20,10,50,50,80,30,40,50,0,0,0,0,0,0,100,30,0,60,30,85
14,75,80,40,65,30,85,35,70,90,60,75,65,85,20,30,10,50,60,80,70,40,50,0,0,0,0,0,0,100,50,20,60,30,40
15,65,50,30,55,25,30,35,70,20,40,25,60,45,10,15,10,60,100,75,30,10,40,95,5,5,5,5,5,5,20,10,25,10,30
16,75,60,45,65,85,10,30,70,35,50,25,60,80,10,20,10,60,70,70,20,30,40,95,5,5,5,5,5,40,30,10,50,30,20
