candidate_label,election_id,raw_response
G1996DE0265T0529,265.0,Gary Johnson
G1995MS0273T0545,273.0,John Kasich
G1995LA0272T0543,272.0,Dr. Manning Marable
G1995MS0273N0546,273.0,Walter Mondale
G1996DE0265N0530,265.0,Barbara Boxer
G1996IN0266N0532,266.0,Bob Dole
G1996IN0266T0531,266.0,Robert C. Byrd
G1996NC0267T0533,267.0,John R. Commons
G1996ND0268T0535,268.0,John R. Commons
G1996NC0267N0534,267.0,John R. Bolton
G1996ND0268N0536,268.0,John R. Bolton
G1996UT0269T0537,269.0,Robert C. Harvey
G1996UT0269N0538,269.0,Hans-Peter Friedrich
G1996WV0271N0542,271.0,Alan Greenspan
G1996WV0271T0541,271.0,Carolyn B. Maloney
G1997NJ0263T0525,263.0,Robert F. Kennedy
G1997NJ0263N0526,263.0,Suzanne P. Blakeslee
G1997VA0264T0527,264.0,Nicholas Negroponte
G1997VA0264N0528,264.0,Robert Gates
G1998AL0237N0474,237.0,John R. Bolton
G1998AZ0238T0475,238.0,Michael J. Fox
G1998AL0237T0473,237.0,John H. Sununu
G1998AZ0238N0476,238.0,Barbara Boxer
G1998CA0239T0477,239.0,John Glenn
G1998CO0240N0480,240.0,Bill O'Reilly
G1998CA0239N0478,239.0,Frank C. Pellegrino
G1998CO0240T0479,240.0,Margaret Thatcher
G1998CT0241T0481,241.0,Eleanor Roosevelt
G1998CT0241N0482,241.0,David A. Hogue
G1998FL0242N0484,242.0,John C. Maxwell
G1998GA0243T0485,243.0,Robert H. Grubbs
G1998FL0242T0483,242.0,Robert C. Weaver
G1998GA0243N0486,243.0,John R. Tunis
G1998HI0244T0487,244.0,Terry Branstad
G1998HI0244N0488,244.0,Elizabeth Warren
G1998IA0246N0492,246.0,John R. Bolton
G1998IL0245N0490,245.0,Warren Buffett
G1998IL0245T0489,245.0,John Kerry
G1998KS0247N0494,247.0,John R. Bolton
G1998KS0247T0493,247.0,Michael Crichton
G1998MA0249N0498,249.0,Klaus Uwe Benneter
G1998MA0249T0497,249.0,John Kerry
G1998MD0248T0495,248.0,John R. Bolton
G1998MD0248N0496,248.0,Doris Kearns Goodwin
G1998MI0250N0500,250.0,H. Ross Perot
G1998MI0250T0499,250.0,Tom Hanks
G1998NE0251N0502,251.0,George W. Bush
G1998NE0251T0501,251.0,John R. Bolton
G1998NM0253T0505,253.0,John Kerry
G1998NM0253N0506,253.0,John R. Macdonald
G1998NV0252N0504,252.0,John McCain
G1998NY0254N0508,254.0,John H. Sununu
G1998NV0252T0503,252.0,Doris Day
G1998NY0254T0507,254.0,Richard G. Leventhal
G1998OH0255T0509,255.0,Walter Isaacson
G1998OH0255N0510,255.0,Alan Greenspan
G1998OK0256N0512,256.0,John McCain
G1998OK0256T0511,256.0,Gloria Macapagal-Arroyo
G1998OR0257T0513,257.0,Lars Knutzon
G1998OR0257N0514,257.0,Bill Clinton
G1998PA0258T0515,258.0,Walter Mondale
G1998PA0258N0516,258.0,John R. Bolton
G1998RI0259N0518,259.0,Franklin D. Roosevelt
G1998SC0260N0520,260.0,Frank Rich
G1998RI0259T0517,259.0,Barbara Boxer
G1998SC0260T0519,260.0,Michael Bloomberg
G1998SD0261T0521,261.0,John H. Sununu
G1998SD0261N0522,261.0,John R. Bolton
G1998TN0262T0523,262.0,Kurt Waldheim
G1998TN0262N0524,262.0,Robert H. B. Smith
G1999KY0234N0468,234.0,Barbara Bush
G1999LA0235N0470,235.0,Klaus Uwe Benneter
G1999KY0234T0467,234.0,John B. Taylor
G1999MS0236T0471,236.0,John R. Bolton
G1999LA0235T0469,235.0,Benjamin F. Chavis Jr.
G1999MS0236N0472,236.0,John H. Sununu
