stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1.0,55,52,65,68,55,85,45,60,15,35,30,45,40,10,25,20,25,65,75,20,50,50,5,10,10,5,5,5,90,10,20,60,15,55
2.0,75,78,35,65,30,5,35,45,95,60,85,70,80,60,10,15,65,90,80,75,60,50,5,15,25,10,5,85,10,10,40,65,30,85
3.0,65,55,60,80,65,85,45,60,25,45,35,50,85,10,20,35,25,50,75,20,80,50,5,5,10,5,5,5,90,10,30,75,10,10
4.0,82,78,25,72,22,8,35,55,88,45,75,65,85,40,10,15,55,90,75,80,60,50,20,25,65,10,10,30,50,0,50,75,50,5
5.0,75,72,25,75,55,10,40,50,95,65,85,60,80,15,10,30,20,75,85,75,65,50,5,5,10,5,5,5,95,10,20,70,15,20
6.0,62,68,35,65,42,85,30,45,40,85,55,75,45,70,20,40,15,45,70,55,60,65,0,0,5,0,0,0,95,10,35,50,15,60
7.0,75,72,45,65,28,85,45,60,65,40,60,55,65,10,15,25,25,70,75,60,50,55,5,10,20,5,5,5,85,10,35,65,20,85
8.0,85,75,10,50,10,60,50,60,95,10,80,60,80,60,10,20,15,35,80,90,70,50,5,5,10,5,5,5,90,0,40,5,40,10
9.0,85,65,20,80,75,10,45,60,90,50,70,60,80,20,10,30,35,65,80,60,60,55,5,15,35,5,5,5,85,10,20,75,20,40
10.0,65,55,50,75,45,95,55,60,25,30,35,45,45,15,15,45,50,90,65,25,40,50,5,65,75,5,5,5,25,0,20,55,5,40
11.0,75,72,40,80,50,5,25,55,75,60,65,65,90,0,10,10,35,60,80,60,70,55,95,0,0,0,0,0,5,0,20,80,5,60
12.0,85,75,10,60,10,60,40,60,90,20,75,50,80,25,10,30,10,15,85,90,70,50,5,5,10,5,5,5,95,10,30,5,40,10
13.0,75,60,50,65,55,90,55,60,85,30,75,55,40,15,15,35,25,75,70,40,50,50,5,10,10,5,5,5,90,10,25,60,20,90
14.0,82,74,30,68,25,85,35,65,92,40,78,55,88,15,10,35,20,60,75,68,65,55,5,5,10,5,5,5,90,10,25,78,15,30
15.0,62,60,45,65,22,85,35,70,30,15,40,45,55,10,15,35,55,95,75,55,45,50,95,5,10,5,5,5,5,10,45,55,10,70
16.0,65,55,70,75,80,90,50,60,20,40,30,60,45,10,10,10,40,20,70,20,50,50,95,5,5,5,5,5,10,10,20,65,10,70
17.0,65,72,40,68,22,85,45,60,55,50,60,55,55,10,15,35,25,75,75,65,55,55,5,15,30,5,5,5,80,10,35,60,10,90
18.0,75,78,25,65,22,5,35,50,75,40,60,65,85,80,10,15,65,90,80,75,60,50,85,20,15,10,10,10,5,0,50,65,45,10
19.0,80,75,20,70,20,10,40,60,85,40,70,50,85,60,10,15,15,75,80,75,60,55,5,10,10,5,5,5,90,20,50,75,40,50
20.0,75,72,40,68,22,85,55,60,85,45,75,55,85,10,15,55,75,90,80,78,60,50,5,10,15,20,5,90,5,50,45,75,20,10
21.0,75,72,20,65,20,15,30,60,55,40,45,50,80,85,10,15,30,80,60,75,60,50,70,15,40,10,10,5,50,10,50,65,10,70
22.0,75,65,35,65,25,60,30,50,85,30,75,60,60,80,20,55,15,25,70,65,60,65,5,5,10,5,5,5,90,10,30,50,10,70
23.0,65,72,45,78,48,92,30,55,75,90,80,85,85,15,25,35,35,75,85,60,75,95,5,10,85,5,5,5,70,20,10,60,30,40
24.0,68,58,62,82,85,92,35,45,42,78,38,65,88,25,48,18,18,8,75,22,78,55,2,3,5,1,1,2,96,5,25,72,12,15
25.0,78,72,45,82,55,15,45,50,85,60,70,65,85,65,15,20,25,45,80,55,75,60,5,5,10,5,5,5,95,20,40,85,30,75
26.0,65,78,30,65,20,5,35,50,60,85,60,70,85,75,40,35,15,25,75,80,75,50,0,0,5,0,0,0,95,0,15,60,10,10
27.0,80,75,25,70,25,10,30,50,90,60,85,65,85,80,10,30,35,60,75,85,60,55,10,20,60,10,10,5,40,0,50,70,10,70
28.0,65,72,55,78,25,85,40,60,30,45,40,65,80,15,20,10,35,90,80,55,65,50,10,75,35,5,5,5,45,10,35,70,30,10
29.0,72,76,58,71,28,92,48,62,68,15,64,52,78,12,18,22,42,92,75,62,58,50,8,65,25,5,5,5,65,0,35,72,25,5
30.0,82,70,25,72,45,10,45,65,95,55,85,50,75,60,5,35,20,40,75,75,55,55,5,5,10,5,5,5,90,20,30,65,10,90
31.0,55,65,60,55,65,85,45,40,40,80,50,75,35,55,50,20,20,65,60,30,70,55,5,10,10,5,5,5,90,10,20,40,20,70
32.0,82,78,25,72,28,8,35,65,92,45,85,55,88,85,5,10,45,65,80,80,60,55,15,25,65,5,5,5,40,10,45,75,15,50
33.0,85,80,5,50,5,35,45,70,75,10,60,60,80,20,5,10,10,40,85,95,60,50,5,5,10,5,5,5,90,0,50,0,30,50
