stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,78,68,35,82,55,12,30,55,75,45,65,60,88,10,15,10,25,65,85,55,70,60,95,5,5,5,5,5,10,10,40,85,10,50
24,75,65,60,85,85,85,50,60,40,90,40,75,90,15,25,15,20,10,75,30,85,50,5,5,5,5,5,5,95,10,15,75,20,10
31,55,72,78,70,65,90,45,30,40,85,75,85,70,60,60,15,25,65,75,30,85,60,5,10,15,5,5,5,90,50,35,40,10,65
40,78,72,55,75,55,90,50,85,85,40,75,45,90,10,20,40,25,60,80,55,80,50,5,5,10,5,5,5,95,30,20,85,10,10
55,75,70,20,65,15,60,45,80,90,10,75,40,70,5,10,25,15,60,80,80,55,50,5,10,15,5,5,5,90,20,50,40,10,90
60,85,75,10,50,5,15,40,60,30,10,40,60,60,75,5,20,15,35,70,90,60,50,5,5,10,5,5,5,90,10,50,20,40,95
64,78,72,25,68,42,5,45,60,92,35,80,55,88,85,10,12,30,65,82,65,65,55,10,15,75,10,10,5,35,10,45,85,15,5
67,65,78,60,72,25,85,45,55,20,40,45,60,85,15,30,10,35,85,80,45,65,50,10,35,40,5,5,5,75,10,35,70,55,25
68,75,65,30,60,25,85,35,60,90,30,80,50,45,15,10,45,15,30,75,70,50,55,0,5,5,0,0,0,95,10,35,55,10,50
71,82,78,45,72,28,85,40,55,95,35,88,70,85,10,15,20,65,90,80,75,60,55,20,30,75,25,10,30,15,0,35,78,20,60
77,75,65,40,60,35,85,40,60,95,30,80,50,75,10,20,45,15,60,80,55,60,55,5,5,10,5,5,5,90,0,30,70,20,10
89,82,78,15,60,20,5,30,55,95,65,85,70,90,80,10,35,20,65,85,92,65,55,10,15,25,5,5,5,85,0,30,50,40,30
97,82,76,15,72,28,8,35,65,92,45,78,55,88,90,5,12,18,40,80,75,60,55,2,3,8,2,2,1,96,20,15,78,10,40
102,75,60,30,80,75,10,40,60,55,60,50,45,75,50,10,40,25,60,70,40,65,60,5,10,20,5,5,5,85,10,30,70,20,20
