stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
11,75,68,35,72,48,18,22,55,82,45,75,58,85,8,25,12,38,65,78,70,55,50,92,5,8,5,5,5,15,10,25,65,20,30
24,75,45,70,80,85,95,55,65,35,60,50,65,85,15,45,25,25,15,70,20,80,45,5,10,10,5,5,5,90,30,25,75,40,35
31,45,35,65,50,70,85,50,55,25,40,45,60,40,65,55,25,25,55,55,15,65,35,5,10,15,5,10,5,85,20,25,45,20,75
40,72,58,55,68,58,88,48,72,78,52,68,48,82,12,38,22,18,68,72,32,68,48,5,8,12,5,5,5,92,28,22,68,25,32
55,75,65,45,70,25,85,35,55,90,45,75,50,65,15,25,35,25,75,80,80,55,50,5,10,15,5,5,5,85,40,20,40,25,70
60,75,80,20,65,15,15,25,55,35,60,45,65,70,85,25,30,20,45,70,90,50,50,5,5,10,5,5,5,85,20,40,10,20,60
64,78,72,35,70,52,12,38,65,88,55,82,60,85,78,18,12,22,68,68,68,58,52,8,12,25,6,5,5,82,25,18,68,35,45
67,65,72,55,68,28,88,25,52,32,40,48,58,72,12,42,22,38,82,68,62,58,48,8,32,42,8,8,8,72,18,28,62,18,38
68,68,52,45,62,28,85,35,55,82,48,75,50,58,15,35,48,25,65,72,45,60,55,5,5,10,0,5,0,85,25,25,65,20,40
71,72,68,42,60,28,88,48,55,92,50,78,68,70,18,28,22,62,92,72,68,52,58,8,28,52,38,18,42,22,25,28,62,22,48
77,72,55,45,68,52,88,42,68,92,48,82,52,72,18,32,42,22,62,78,48,58,52,5,5,8,0,0,0,92,25,22,62,18,38
89,72,78,28,62,22,18,32,48,92,38,82,65,82,58,18,28,22,62,72,88,52,55,32,12,42,18,12,8,55,22,28,48,22,38
97,68,72,25,62,32,18,22,55,82,48,75,58,78,82,22,18,18,42,68,78,55,52,8,6,12,5,5,5,88,25,22,58,12,38
102,68,42,35,72,78,15,55,62,58,38,52,48,80,45,22,45,25,65,75,28,65,55,5,5,10,0,5,0,85,10,25,55,40,35
108,68,78,35,62,24,18,28,52,38,48,45,65,82,92,25,18,38,72,70,82,48,55,85,8,22,35,12,10,15,20,28,58,32,42
159,65,60,50,65,35,85,35,55,70,45,60,50,50,15,45,30,55,80,65,55,55,50,5,25,20,5,5,5,75,20,15,60,25,75
175,65,75,45,70,28,15,25,50,30,45,40,60,80,45,50,20,20,35,70,70,60,50,10,10,15,5,5,5,90,30,40,65,20,30
185,68,72,35,65,28,18,32,48,75,52,68,58,78,42,28,22,38,62,72,74,45,55,25,12,42,8,10,15,48,30,25,62,15,48
200,55,35,60,50,58,88,68,55,25,45,45,70,25,40,35,45,55,75,65,15,35,50,5,15,25,10,15,5,80,20,15,40,10,75
210,65,55,45,60,38,88,28,55,52,40,55,48,45,5,40,25,35,78,65,48,55,50,5,15,20,5,5,5,75,20,25,50,15,65
214,72,68,28,62,20,12,28,52,72,42,68,48,65,42,32,38,18,22,62,82,55,48,8,6,10,5,5,5,92,25,28,38,22,48
219,68,82,25,62,28,12,22,48,88,35,72,55,78,85,18,25,18,55,65,80,52,45,5,8,12,5,5,5,92,15,22,58,28,38
238,72,58,38,68,58,18,48,62,72,58,68,52,78,68,28,22,22,62,68,52,52,48,5,5,8,2,5,2,88,28,22,62,38,42
245,68,72,25,65,28,8,22,55,85,45,75,50,80,55,15,35,12,45,70,78,48,55,5,5,8,3,5,5,92,20,25,62,25,40
248,68,52,45,70,42,88,45,65,82,55,78,48,60,25,35,50,18,62,75,38,55,52,5,10,8,0,0,0,92,25,22,62,15,75
260,72,78,38,68,32,18,28,48,92,52,82,62,82,65,22,18,58,88,72,78,48,62,28,12,78,22,18,12,32,25,28,68,28,52
278,68,52,38,62,58,28,32,55,48,42,50,53,72,58,32,45,18,42,60,48,58,55,8,6,12,5,7,5,82,22,48,52,25,40
