candidate_label,election_id,raw_response
G1995MS0273T0545,273.0,John Ashcroft
G1996DE0265N0530,265.0,Geraldine Ferraro
G1995LA0272T0543,272.0,Thabo Mvuyelwa Mbeki
G1996DE0265T0529,265.0,Mitt Romney
G1996IN0266N0532,266.0,Mitt Romney
G1995MS0273N0546,273.0,"Strom Thurmond 

(The image is a classic late-career portrait of the long-serving U.S. senator.)"
G1996IN0266T0531,266.0,Paul Volcker
G1996ND0268N0536,268.0,Sam Elliott
G1996NC0267N0534,267.0,Rudolph Giuliani
G1996NC0267T0533,267.0,Valéry Giscard d'Estaing
G1996ND0268T0535,268.0,Joe Lieberman
G1996UT0269T0537,269.0,Bob Barker
G1997NJ0263T0525,263.0,Robert Francis Kennedy
G1996UT0269N0538,269.0,Jens Stoltenberg
G1996WV0271T0541,271.0,Geraldine Ferraro
G1996WV0271N0542,271.0,Alan Greenspan
G1997NJ0263N0526,263.0,Christine Todd Whitman
G1998AZ0238N0476,238.0,Elizabeth Dole
G1997VA0264T0527,264.0,Mitt Romney
G1997VA0264N0528,264.0,Henry Kissinger
G1998AL0237N0474,237.0,"Thomas P. ""Tip"" O'Neill Jr."
G1998AL0237T0473,237.0,Al Gore
G1998AZ0238T0475,238.0,Tony Blair
G1998CO0240N0480,240.0,John Boehner
G1998CO0240T0479,240.0,Helen Mirren
G1998CA0239T0477,239.0,Anderson Hays Cooper
G1998CT0241N0482,241.0,Dennis Hastert
G1998CT0241T0481,241.0,Barbara Bush
G1998CA0239N0478,239.0,"George Stephanopoulos
\confidence{40}"
G1998FL0242N0484,242.0,Jeb Bush
G1998GA0243T0485,243.0,John Ashcroft
G1998HI0244T0487,244.0,Fidel Valdez Ramos
G1998FL0242T0483,242.0,Robert Mueller
G1998HI0244N0488,244.0,Janet Reno
G1998IL0245T0489,245.0,Mitt Romney
G1998KS0247N0494,247.0,Addison Mitchell McConnell Jr.
G1998IA0246N0492,246.0,George Shultz
G1998GA0243N0486,243.0,John le Carré
G1998IL0245N0490,245.0,Alan Greenspan
G1998KS0247T0493,247.0,John Ehrlichman
G1998MA0249N0498,249.0,Robert McNamara
G1998MA0249T0497,249.0,Paul Ryan
G1998MD0248N0496,248.0,Nancy Reagan
G1998MD0248T0495,248.0,Orrin Grant Hatch
G1998MI0250N0500,250.0,Leon Panetta
G1998MI0250T0499,250.0,Martina Navratilova
G1998NE0251N0502,251.0,John Kerry
G1998NM0253T0505,253.0,Howard Dean
G1998NV0252T0503,252.0,Carmen Dell'Orefice
G1998NM0253N0506,253.0,David Letterman
G1998NV0252N0504,252.0,Richard Gere
G1998NE0251T0501,251.0,Herman Cain
G1998NY0254N0508,254.0,Lowell Weicker Jr.
G1998NY0254T0507,254.0,Walter Mondale
G1998OK0256T0511,256.0,Susan Collins
G1998OH0255N0510,255.0,Samuel Alito
G1998OK0256N0512,256.0,George H. W. Bush
G1998OH0255T0509,255.0,Sir Martin Sorrell
G1998PA0258T0515,258.0,Milton Friedman
G1998OR0257T0513,257.0,Sam Elliott
G1998RI0259T0517,259.0,Janet Reno
G1998OR0257N0514,257.0,Rob Reiner
G1998PA0258N0516,258.0,Dick Cheney
G1998RI0259N0518,259.0,Jack French Kemp
G1998SC0260N0520,260.0,John Edwards
G1998SD0261N0522,261.0,John Shelby Spong
G1998SC0260T0519,260.0,Leon Panetta
G1998SD0261T0521,261.0,Aldrich Hazen Ames
G1998TN0262T0523,262.0,Bob Hope
G1999KY0234N0468,234.0,Ann Richards
G1998TN0262N0524,262.0,Chuck Grassley
G1999KY0234T0467,234.0,Warren Buffett
G1999LA0235N0470,235.0,Philip McGraw
G1999LA0235T0469,235.0,Kofi Annan
G1999MS0236N0472,236.0,Richard Cheney
G1999MS0236T0471,236.0,Alan Greenspan
G2000MO0225T0449,225.0,Henry Kissinger
G2000MT0226T0451,226.0,John Major
G2000NC0228N0456,228.0,George Shultz
G2000MT0226N0452,226.0,Sandra Day O'Connor
G2000MO0225N0450,225.0,Alan Stuart Franken
G2000ND0229T0457,229.0,Temple Grandin
G2000NH0227T0453,227.0,Janet Reno
G2000NC0228T0455,228.0,Mitt Romney
G2000UT0230N0460,230.0,Merrick Garland
G2000UT0230T0459,230.0,Andrew S. Tanenbaum
G2000ND0229N0458,229.0,Tommy Thompson
G2000VT0231T0461,231.0,George H. W. Bush
G2000VT0231N0462,231.0,Janet Yellen
G2000WA0232N0464,232.0,Mitt Romney
G2000WV0233N0466,233.0,Henry Kissinger
G2000WA0232T0463,232.0,Ma Ying-jeou
S2000AZ0121I0241,121.0,Alan Greenspan
S2000AZ0121N0242,121.0,Mario Matthew Cuomo
G2000WV0233T0465,233.0,Burt Reynolds
S2000CA0122N0244,122.0,Mitt Romney
S2000DE0123T0245,123.0,John Edwards
S2000CA0122T0243,122.0,Doris Roberts
S2000FL0124N0248,124.0,Bjarne Stroustrup
S2000GA0125T0249,125.0,George Herbert Walker Bush
S2000FL0124T0247,124.0,Bob Barker
S2000DE0123N0246,123.0,Samuel Beckett
