stimulus,trustworthy,attractive,dominant,smart,age,gender,weight,typical,happy,familiar,outgoing,memorable,well-groomed,long-haired,smug,dorky,skin-color,hair-color,alert,cute,privileged,liberal,asian,middle-eastern,hispanic,islander,native,black,white,looks-like-you,gay,electable,godly,outdoors
1,62,48,58,65,55,92,52,70,28,55,38,60,48,15,45,35,22,58,72,32,60,48,5,12,10,3,4,5,88,50,25,58,40,68
2,68,72,38,65,32,12,52,58,92,45,85,70,78,55,18,22,55,82,80,75,42,62,8,18,48,25,15,52,22,50,35,58,40,55
3,65,42,58,72,62,95,52,68,28,55,38,48,82,12,45,48,18,42,75,22,70,48,0,5,5,0,0,0,92,50,25,68,35,20
4,68,76,35,62,28,12,42,58,82,48,72,55,78,25,18,22,55,85,70,80,45,55,8,15,35,18,12,58,32,50,30,60,40,35
5,68,62,38,65,55,12,58,72,92,48,78,55,70,18,22,35,18,58,75,65,52,55,5,8,12,5,5,5,88,50,35,60,40,45
6,62,58,55,65,42,88,54,52,45,35,60,72,48,68,42,50,18,38,70,40,58,62,5,8,12,5,5,5,92,50,45,48,30,55
7,65,58,55,60,34,92,48,70,62,45,55,52,42,15,35,45,22,62,68,48,52,48,5,8,12,5,5,5,88,50,25,55,28,72
8,78,72,18,55,12,45,48,68,96,52,82,65,85,38,8,25,12,32,74,97,62,50,3,4,8,3,3,2,92,50,35,30,45,40
9,78,62,35,72,68,18,58,65,88,55,74,60,76,42,22,38,32,55,82,58,52,55,8,18,35,10,12,5,78,0,28,65,30,40
10,62,48,58,68,52,92,54,65,42,55,48,60,52,35,45,58,38,88,72,35,48,52,8,45,55,12,15,10,55,50,35,50,40,45
11,68,62,38,70,52,18,48,65,82,55,72,58,78,15,28,35,32,58,75,65,55,60,92,8,12,15,10,5,18,50,35,65,40,45
12,78,72,25,65,12,68,42,75,88,55,80,62,82,35,15,45,8,12,85,96,65,50,2,2,3,2,2,2,96,50,35,15,55,45
13,68,55,60,65,55,95,62,70,92,48,78,65,52,25,35,45,22,70,75,40,55,50,5,10,15,5,5,5,90,50,30,60,40,85
14,78,68,42,72,32,88,48,75,92,55,85,60,80,15,25,45,18,55,82,65,70,55,5,8,12,5,5,5,92,50,35,72,40,30
15,62,58,45,68,28,82,42,65,38,48,40,55,72,15,35,45,48,92,75,60,35,55,95,8,12,18,10,5,10,50,42,52,40,45
16,62,38,58,68,78,92,52,65,28,48,35,55,72,15,32,22,42,25,75,20,55,48,90,8,10,18,12,5,22,50,30,58,35,45
17,65,62,42,68,28,88,42,72,48,45,50,55,58,15,35,48,22,78,75,60,55,52,8,18,35,5,10,5,82,50,28,58,40,70
18,70,78,35,65,28,12,42,55,82,48,75,68,85,88,18,22,72,92,74,80,45,55,15,35,40,45,20,75,12,50,30,60,48,40
19,78,72,28,68,22,8,38,74,82,55,76,58,80,25,18,32,12,58,80,78,62,55,3,4,8,3,3,2,92,50,35,65,42,45
20,68,62,45,65,28,82,58,55,88,48,78,60,72,15,35,40,72,92,75,58,42,55,8,18,25,15,12,85,10,50,45,58,35,30
21,68,70,35,62,28,12,42,58,52,48,50,55,75,92,22,28,32,78,72,74,55,52,75,18,35,15,20,5,40,50,35,58,38,45
22,68,62,42,58,32,82,48,55,88,45,78,70,60,75,25,55,18,35,72,65,58,55,5,5,10,5,5,5,90,50,40,52,35,80
23,68,58,45,70,48,88,52,72,65,55,62,48,78,15,42,38,22,68,75,45,65,50,5,10,15,5,5,5,90,50,35,60,40,55
24,68,52,70,78,82,96,58,65,48,55,50,62,88,12,45,28,18,8,75,25,80,48,3,4,8,2,3,2,96,15,25,72,35,28
25,78,68,35,72,52,12,48,70,88,55,80,58,82,72,18,25,18,58,85,65,62,55,5,8,12,5,5,5,92,50,40,68,45,60
26,68,78,32,62,28,12,42,58,66,45,72,70,85,75,38,25,18,28,74,82,65,55,5,8,12,5,5,5,92,50,35,48,30,25
27,78,72,38,68,42,12,48,65,92,55,80,58,74,72,18,28,32,62,75,76,52,55,15,12,45,10,18,5,58,50,35,62,40,60
28,62,58,45,70,28,88,42,55,40,48,35,52,65,15,25,40,35,92,70,50,55,50,45,40,35,10,8,5,50,30,25,48,20,30
29,65,58,62,60,38,92,55,70,72,45,68,55,75,15,40,35,35,90,70,50,45,50,10,75,30,10,10,5,40,50,25,55,40,45
30,70,65,40,60,55,15,55,60,90,50,75,60,55,65,25,45,15,35,70,65,60,55,5,5,10,5,5,5,90,50,30,55,40,85
31,62,45,68,60,68,92,58,65,42,55,58,72,52,45,55,35,22,58,70,28,60,48,5,10,15,5,5,5,88,50,35,55,40,75
32,78,72,35,68,28,12,42,65,92,55,80,60,82,88,15,25,45,55,75,78,55,60,25,10,65,20,15,5,40,50,30,65,45,50
33,80,85,15,50,8,35,60,75,78,65,70,85,75,15,10,25,12,25,82,98,55,50,5,5,8,5,5,5,92,50,50,15,45,65
34,78,72,28,68,28,12,38,65,92,55,80,62,70,75,18,35,22,82,70,85,55,58,35,15,25,10,10,5,75,50,30,60,40,75
35,55,48,62,58,42,92,48,65,45,40,50,55,60,25,70,55,25,85,75,35,55,50,5,10,15,5,5,5,85,50,30,45,30,40
36,68,58,55,72,48,92,48,70,62,45,52,55,82,15,42,28,22,85,75,38,68,50,8,35,25,5,5,5,82,50,30,72,35,20
