candidate_label,election_id,raw_response
G1995MS0273T0545,273.0,Don Nickles
G1995LA0272T0543,272.0,Ralph Gilles
G1996DE0265T0529,265.0,Dan Quayle
G1996DE0265N0530,265.0,Linda McMahon
G1996IN0266N0532,266.0,Gary Gensler
G1995MS0273N0546,273.0,Walter P. Reuther
G1996IN0266T0531,266.0,Richard Lugar
G1996ND0268N0536,268.0,John Cleese
G1996NC0267N0534,267.0,William Cohen
G1996NC0267T0533,267.0,Brian Mulroney
G1996UT0269N0538,269.0,Jürgen Stark
G1996UT0269T0537,269.0,Tom Harkin
G1996ND0268T0535,268.0,Klaus Zwickel
G1997NJ0263T0525,263.0,Robert F. Kennedy
G1996WV0271N0542,271.0,Helmut Kohl
G1996WV0271T0541,271.0,Michele Bachmann
G1997VA0264N0528,264.0,George Tenet
G1997VA0264T0527,264.0,Paul Wolfowitz
G1997NJ0263N0526,263.0,Victoria Nuland
G1998AL0237T0473,237.0,Michael Leavitt
G1998CA0239N0478,239.0,John Negroponte
G1998AZ0238T0475,238.0,David Duke
G1998AL0237N0474,237.0,Sonny Perdue
G1998AZ0238N0476,238.0,Christine Todd Whitman
G1998CA0239T0477,239.0,William Cohen
G1998CO0240N0480,240.0,Steve Martin
G1998CT0241N0482,241.0,John G. Rowland
G1998FL0242T0483,242.0,Michael Porter
G1998CT0241T0481,241.0,Sandra Day O'Connor
G1998HI0244T0487,244.0,Daniel Inouye
G1998GA0243N0486,243.0,Donald Sutherland
G1998HI0244N0488,244.0,Susan Collins
G1998IA0246N0492,246.0,Robert Hanssen
G1998GA0243T0485,243.0,William Perry
G1998FL0242N0484,242.0,John Grisham
G1998CO0240T0479,240.0,Celia Imrie
G1998IL0245N0490,245.0,William Rehnquist
G1998IL0245T0489,245.0,Steve Case
G1998MA0249N0498,249.0,Pascal Lamy
G1998MD0248N0496,248.0,Christine Todd Whitman
G1998KS0247N0494,247.0,Dan Quayle
G1998KS0247T0493,247.0,Elliott Abrams
G1998MD0248T0495,248.0,John Ashcroft
G1998MA0249T0497,249.0,Mike Eskew
G1998MI0250N0500,250.0,Bob Dole
G1998NE0251N0502,251.0,Vicente Fox
G1998NE0251T0501,251.0,Mark Penn
G1998NV0252N0504,252.0,Steve Martin
G1998MI0250T0499,250.0,Kevin Nealon
G1998NM0253T0505,253.0,Dan Quayle
G1998NM0253N0506,253.0,William Cohen
G1998NV0252T0503,252.0,Joan Rivers
G1998NY0254T0507,254.0,Ted Koppel
G1998OK0256N0512,256.0,Lincoln Chafee
G1998OR0257T0513,257.0,John Sayles
G1998OR0257N0514,257.0,Richard Blumenthal
G1998PA0258N0516,258.0,Tommy Lee Jones
G1998RI0259N0518,259.0,John Madden
G1998OH0255T0509,255.0,Howard Gardner
G1998NY0254N0508,254.0,George W. Bush
G1998OH0255N0510,255.0,William Perry
G1998OK0256T0511,256.0,Muffet McGraw
G1998SD0261T0521,261.0,John Major
G1998RI0259T0517,259.0,Mary Meeker
G1998SC0260N0520,260.0,William Cohen
G1998SD0261N0522,261.0,Dennis Hastert
G1998SC0260T0519,260.0,Abraham Foxman
G1998PA0258T0515,258.0,Paul Volcker
G1998TN0262T0523,262.0,Robert Vaughn
G1999KY0234N0468,234.0,Mary Robinson
G1998TN0262N0524,262.0,William Cohen
G1999KY0234T0467,234.0,Dallin H. Oaks
G1999LA0235N0470,235.0,James J. Hill
G1999MS0236T0471,236.0,Robert Zoellick
G1999LA0235T0469,235.0,Johnnie Cochran
G1999MS0236N0472,236.0,Bob Kerrey
G2000MO0225N0450,225.0,Jens Weidmann
G2000MT0226N0452,226.0,Joan Claybrook
G2000MO0225T0449,225.0,Paul Keating
G2000MT0226T0451,226.0,John Negroponte
G2000NC0228T0455,228.0,Warren Christopher
G2000ND0229T0457,229.0,Mary Meeker
G2000NC0228N0456,228.0,Ian Smith
G2000ND0229N0458,229.0,Jeffrey R. Immelt
G2000UT0230N0460,230.0,Thomas Bach
G2000NH0227T0453,227.0,Sally Ride
G2000UT0230T0459,230.0,John Negroponte
G2000VT0231N0462,231.0,Samantha Power
G2000VT0231T0461,231.0,Franklin D. Roosevelt
G2000WV0233N0466,233.0,Helmut Kohl
G2000WV0233T0465,233.0,John Otho Marsh Jr.
G2000WA0232T0463,232.0,John Liu
S2000AZ0121N0242,121.0,John Ashcroft
G2000WA0232N0464,232.0,John Negroponte
S2000AZ0121I0241,121.0,Bob Dole
S2000CA0122N0244,122.0,Dan Quayle
S2000CA0122T0243,122.0,Lucille Ball
S2000FL0124N0248,124.0,William Perry
S2000DE0123N0246,123.0,W. H. Auden
S2000FL0124T0247,124.0,Dan Rather
S2000DE0123T0245,123.0,Robert D. Ray
S2000GA0125N0250,125.0,Donald Rumsfeld
