stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
1,1840,270,anthropic/claude-sonnet-5,2026-08-07T08:57:41.254507
2,1840,270,anthropic/claude-sonnet-5,2026-08-07T08:58:00.950289
3,1840,270,anthropic/claude-sonnet-5,2026-08-07T08:58:11.821264
4,1840,270,anthropic/claude-sonnet-5,2026-08-07T08:58:22.183341
5,1840,270,anthropic/claude-sonnet-5,2026-08-07T08:58:32.166718
6,1840,270,anthropic/claude-sonnet-5,2026-08-07T08:58:43.160303
7,1840,270,anthropic/claude-sonnet-5,2026-08-07T08:58:53.402858
8,1840,270,anthropic/claude-sonnet-5,2026-08-07T08:59:03.545887
9,1840,270,anthropic/claude-sonnet-5,2026-08-07T08:59:14.284106
10,1840,270,anthropic/claude-sonnet-5,2026-08-07T08:59:24.853846
11,1840,270,anthropic/claude-sonnet-5,2026-08-07T08:59:36.055633
12,1840,270,anthropic/claude-sonnet-5,2026-08-07T08:59:49.199611
13,1840,270,anthropic/claude-sonnet-5,2026-08-07T09:00:02.102239
14,1840,270,anthropic/claude-sonnet-5,2026-08-07T09:00:12.214203
15,1840,270,anthropic/claude-sonnet-5,2026-08-07T09:00:22.238289
16,1840,270,anthropic/claude-sonnet-5,2026-08-07T09:00:32.413399
17,1840,270,anthropic/claude-sonnet-5,2026-08-07T09:00:42.701485
18,1840,270,anthropic/claude-sonnet-5,2026-08-07T09:00:53.620315
19,1840,270,anthropic/claude-sonnet-5,2026-08-07T09:01:03.614388
20,1840,270,anthropic/claude-sonnet-5,2026-08-07T09:01:14.435447
21,1840,270,anthropic/claude-sonnet-5,2026-08-07T09:01:25.481906
22,1840,270,anthropic/claude-sonnet-5,2026-08-07T09:01:36.812366
23,1840,270,anthropic/claude-sonnet-5,2026-08-07T09:01:47.632763
24,1840,270,anthropic/claude-sonnet-5,2026-08-07T09:01:58.591004
25,1840,270,anthropic/claude-sonnet-5,2026-08-07T09:02:08.485979
