stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
11,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:46:36.095229
24,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:46:47.231260
31,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:46:56.207293
40,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:47:05.772606
55,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:47:20.327876
60,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:47:29.890697
64,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:47:40.338290
67,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:47:49.593051
68,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:47:58.838102
71,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:48:08.034441
77,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:48:17.254723
89,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:48:27.198814
97,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:48:36.379466
102,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:48:46.118933
108,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:48:55.251552
159,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:49:05.012561
175,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:49:13.930035
185,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:49:23.376082
200,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:49:32.591800
210,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:49:42.076359
214,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:49:50.729375
219,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:50:00.428279
238,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:50:10.483615
245,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:50:20.212158
248,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:50:32.229642
260,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:50:41.072253
278,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:50:50.754910
282,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:50:59.847998
287,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:51:09.003559
295,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:51:18.711718
297,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:51:28.353192
299,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:51:37.519264
313,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:51:46.687233
315,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:51:56.299473
322,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:52:05.861841
332,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:52:15.117419
333,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:52:24.287944
352,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:52:33.673914
366,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:52:43.152746
372,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:52:53.488404
378,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:53:03.063105
381,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:53:12.490372
382,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:53:22.081002
389,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:53:31.486868
421,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:53:41.257509
424,1840,270,anthropic/claude-sonnet-5,2026-07-23T16:53:50.835794
