stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
11,1613,329,google/gemini-2.5-flash-lite,2026-07-23T16:25:39.184322
31,1613,334,google/gemini-2.5-flash-lite,2026-07-23T16:25:53.268923
40,1613,329,google/gemini-2.5-flash-lite,2026-07-23T16:26:01.958357
55,1613,333,google/gemini-2.5-flash-lite,2026-07-23T16:26:08.866232
60,1613,333,google/gemini-2.5-flash-lite,2026-07-23T16:26:15.217037
64,1613,258,google/gemini-2.5-flash-lite,2026-07-23T16:26:22.804176
68,1613,331,google/gemini-2.5-flash-lite,2026-07-23T16:26:38.603698
71,1613,257,google/gemini-2.5-flash-lite,2026-07-23T16:26:44.313949
77,1613,258,google/gemini-2.5-flash-lite,2026-07-23T16:26:50.296051
89,1613,333,google/gemini-2.5-flash-lite,2026-07-23T16:26:55.799006
97,1613,331,google/gemini-2.5-flash-lite,2026-07-23T16:27:02.916407
102,583,255,google/gemini-2.5-flash-lite,2026-07-23T16:27:09.486531
108,1613,261,google/gemini-2.5-flash-lite,2026-07-23T16:27:15.648717
159,1613,257,google/gemini-2.5-flash-lite,2026-07-23T16:27:21.435835
175,1613,332,google/gemini-2.5-flash-lite,2026-07-23T16:27:28.741047
185,1613,259,google/gemini-2.5-flash-lite,2026-07-23T16:27:34.836891
200,1613,334,google/gemini-2.5-flash-lite,2026-07-23T16:27:41.924351
210,583,256,google/gemini-2.5-flash-lite,2026-07-23T16:27:49.544003
214,583,256,google/gemini-2.5-flash-lite,2026-07-23T16:27:55.980948
219,583,255,google/gemini-2.5-flash-lite,2026-07-23T16:28:02.346640
238,1613,333,google/gemini-2.5-flash-lite,2026-07-23T16:28:17.022901
245,583,255,google/gemini-2.5-flash-lite,2026-07-23T16:28:22.776138
248,1613,258,google/gemini-2.5-flash-lite,2026-07-23T16:28:28.522036
260,1613,335,google/gemini-2.5-flash-lite,2026-07-23T16:28:35.246210
278,1613,258,google/gemini-2.5-flash-lite,2026-07-23T16:28:41.153284
282,1613,258,google/gemini-2.5-flash-lite,2026-07-23T16:28:47.353205
287,1613,332,google/gemini-2.5-flash-lite,2026-07-23T16:28:53.311513
295,1613,256,google/gemini-2.5-flash-lite,2026-07-23T16:28:58.928064
297,583,332,google/gemini-2.5-flash-lite,2026-07-23T16:29:05.363986
299,583,335,google/gemini-2.5-flash-lite,2026-07-23T16:29:11.265135
313,1613,332,google/gemini-2.5-flash-lite,2026-07-23T16:29:18.173080
315,1613,332,google/gemini-2.5-flash-lite,2026-07-23T16:29:25.659396
322,583,331,google/gemini-2.5-flash-lite,2026-07-23T16:29:31.393494
332,583,331,google/gemini-2.5-flash-lite,2026-07-23T16:29:37.360388
333,1613,331,google/gemini-2.5-flash-lite,2026-07-23T16:29:47.064443
352,1613,330,google/gemini-2.5-flash-lite,2026-07-23T16:29:52.747209
366,1613,258,google/gemini-2.5-flash-lite,2026-07-23T16:29:59.475931
372,1613,332,google/gemini-2.5-flash-lite,2026-07-23T16:30:05.613573
378,1613,261,google/gemini-2.5-flash-lite,2026-07-23T16:30:10.698842
381,1613,254,google/gemini-2.5-flash-lite,2026-07-23T16:30:15.994303
382,1613,333,google/gemini-2.5-flash-lite,2026-07-23T16:30:22.956109
389,1613,261,google/gemini-2.5-flash-lite,2026-07-23T16:30:29.627998
421,1613,256,google/gemini-2.5-flash-lite,2026-07-23T16:30:35.481158
424,1613,329,google/gemini-2.5-flash-lite,2026-07-23T16:30:40.527055
454,1613,330,google/gemini-2.5-flash-lite,2026-07-23T16:30:56.322928
457,1613,261,google/gemini-2.5-flash-lite,2026-07-23T16:31:09.168836
483,1613,331,google/gemini-2.5-flash-lite,2026-07-23T16:31:16.498530
496,1613,257,google/gemini-2.5-flash-lite,2026-07-23T16:31:22.000519
501,583,332,google/gemini-2.5-flash-lite,2026-07-23T16:31:27.417364
515,1613,255,google/gemini-2.5-flash-lite,2026-07-23T16:31:33.192384
520,1613,257,google/gemini-2.5-flash-lite,2026-07-23T16:31:40.576140
527,1613,333,google/gemini-2.5-flash-lite,2026-07-23T16:31:46.849028
530,1613,334,google/gemini-2.5-flash-lite,2026-07-23T16:31:53.492695
552,1613,333,google/gemini-2.5-flash-lite,2026-07-23T16:31:59.007025
559,1613,332,google/gemini-2.5-flash-lite,2026-07-23T16:32:05.496074
594,1613,333,google/gemini-2.5-flash-lite,2026-07-23T16:32:13.070000
599,1613,334,google/gemini-2.5-flash-lite,2026-07-23T16:32:18.610334
606,1613,332,google/gemini-2.5-flash-lite,2026-07-23T16:32:26.482482
612,1613,258,google/gemini-2.5-flash-lite,2026-07-23T16:32:32.608001
619,1613,261,google/gemini-2.5-flash-lite,2026-07-23T16:32:37.903082
622,1613,258,google/gemini-2.5-flash-lite,2026-07-23T16:32:43.611662
626,1613,261,google/gemini-2.5-flash-lite,2026-07-23T16:32:49.834891
631,583,257,google/gemini-2.5-flash-lite,2026-07-23T16:32:55.421434
656,1613,257,google/gemini-2.5-flash-lite,2026-07-23T16:33:01.955285
657,1613,331,google/gemini-2.5-flash-lite,2026-07-23T16:33:07.740040
706,583,329,google/gemini-2.5-flash-lite,2026-07-23T16:33:16.897443
718,1613,257,google/gemini-2.5-flash-lite,2026-07-23T16:33:23.578753
719,583,255,google/gemini-2.5-flash-lite,2026-07-23T16:33:28.554247
721,1613,332,google/gemini-2.5-flash-lite,2026-07-23T16:33:34.752511
747,583,257,google/gemini-2.5-flash-lite,2026-07-23T16:33:39.976478
758,583,328,google/gemini-2.5-flash-lite,2026-07-23T16:33:45.251706
768,1613,330,google/gemini-2.5-flash-lite,2026-07-23T16:33:51.161856
774,1613,331,google/gemini-2.5-flash-lite,2026-07-23T16:33:56.635143
784,1613,331,google/gemini-2.5-flash-lite,2026-07-23T16:34:01.752730
794,1613,333,google/gemini-2.5-flash-lite,2026-07-23T16:34:07.381879
804,1613,258,google/gemini-2.5-flash-lite,2026-07-23T16:34:12.798983
810,1613,331,google/gemini-2.5-flash-lite,2026-07-23T16:34:18.927348
817,583,253,google/gemini-2.5-flash-lite,2026-07-23T16:34:23.956406
820,1613,256,google/gemini-2.5-flash-lite,2026-07-23T16:34:29.484544
849,1613,255,google/gemini-2.5-flash-lite,2026-07-23T16:34:34.365709
877,583,330,google/gemini-2.5-flash-lite,2026-07-23T16:34:39.535698
884,1613,331,google/gemini-2.5-flash-lite,2026-07-23T16:34:45.656148
891,1613,332,google/gemini-2.5-flash-lite,2026-07-23T16:34:50.514345
905,1613,258,google/gemini-2.5-flash-lite,2026-07-23T16:34:55.668620
907,1613,262,google/gemini-2.5-flash-lite,2026-07-23T16:35:01.388922
915,583,328,google/gemini-2.5-flash-lite,2026-07-23T16:35:06.901821
921,1613,255,google/gemini-2.5-flash-lite,2026-07-23T16:35:12.148660
927,1613,331,google/gemini-2.5-flash-lite,2026-07-23T16:35:17.168048
930,583,327,google/gemini-2.5-flash-lite,2026-07-23T16:35:22.683468
934,583,331,google/gemini-2.5-flash-lite,2026-07-23T16:35:28.448100
953,1613,264,google/gemini-2.5-flash-lite,2026-07-23T16:35:39.443630
955,1613,258,google/gemini-2.5-flash-lite,2026-07-23T16:35:45.062614
960,1613,331,google/gemini-2.5-flash-lite,2026-07-23T16:35:50.720194
24,1613,330,google/gemini-2.5-flash-lite,2026-07-23T17:04:59.974121
67,1613,332,google/gemini-2.5-flash-lite,2026-07-23T17:05:06.806272
430,1613,332,google/gemini-2.5-flash-lite,2026-07-23T17:05:11.970729
