stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
11,881,255,google/gemini-2.5-flash-lite,2026-07-17T22:25:48.421550
24,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:25:55.333207
31,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:26:01.144905
40,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:26:06.244552
55,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:26:12.695746
60,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:26:18.254785
64,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:26:23.353528
67,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:26:28.360931
68,881,254,google/gemini-2.5-flash-lite,2026-07-17T22:26:35.128418
71,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:26:41.139795
77,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:26:46.684612
89,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:26:51.547416
97,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:26:58.424591
102,881,255,google/gemini-2.5-flash-lite,2026-07-17T22:27:05.519043
108,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:27:11.852352
159,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:27:18.921899
175,881,255,google/gemini-2.5-flash-lite,2026-07-17T22:27:25.824468
185,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:27:32.429578
200,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:27:39.675795
210,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:27:46.025237
214,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:27:53.212447
219,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:27:59.674399
238,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:28:06.269042
245,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:28:13.306120
248,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:28:20.733446
260,881,261,google/gemini-2.5-flash-lite,2026-07-17T22:28:27.067902
278,881,255,google/gemini-2.5-flash-lite,2026-07-17T22:28:33.288367
282,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:28:40.280059
287,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:28:46.798532
295,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:28:53.278185
297,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:28:59.650851
299,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:29:06.929334
313,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:29:14.187438
315,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:29:21.235536
322,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:29:27.939007
332,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:29:34.932028
333,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:29:41.179143
352,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:29:48.257039
366,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:29:55.628911
372,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:30:02.534429
378,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:30:09.139793
381,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:30:15.700245
382,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:30:22.190424
389,881,261,google/gemini-2.5-flash-lite,2026-07-17T22:30:28.942416
421,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:30:38.224884
424,881,259,google/gemini-2.5-flash-lite,2026-07-17T22:30:44.749853
430,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:30:52.453944
446,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:30:58.791971
454,881,255,google/gemini-2.5-flash-lite,2026-07-17T22:31:06.485432
457,881,261,google/gemini-2.5-flash-lite,2026-07-17T22:31:13.594822
483,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:31:21.128309
496,881,255,google/gemini-2.5-flash-lite,2026-07-17T22:31:27.553923
501,881,259,google/gemini-2.5-flash-lite,2026-07-17T22:31:34.897913
515,881,255,google/gemini-2.5-flash-lite,2026-07-17T22:31:42.087419
520,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:31:49.123799
527,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:31:56.304697
530,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:32:03.084872
552,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:32:09.335956
559,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:32:15.746361
594,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:32:23.358292
599,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:32:29.711534
606,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:32:36.203599
612,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:32:42.912113
619,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:32:49.101173
622,881,255,google/gemini-2.5-flash-lite,2026-07-17T22:32:55.628682
626,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:33:02.077310
631,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:33:09.216161
656,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:33:16.530379
657,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:33:23.610521
683,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:33:30.025275
706,881,255,google/gemini-2.5-flash-lite,2026-07-17T22:33:36.977029
718,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:33:44.236385
719,881,254,google/gemini-2.5-flash-lite,2026-07-17T22:33:51.323043
721,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:33:58.075864
747,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:34:04.625697
758,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:34:11.622419
768,881,255,google/gemini-2.5-flash-lite,2026-07-17T22:34:18.702751
774,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:34:26.019811
784,881,255,google/gemini-2.5-flash-lite,2026-07-17T22:34:33.330885
794,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:34:40.513294
804,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:34:47.724928
810,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:34:54.218763
817,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:35:00.219258
820,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:35:06.457819
849,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:35:12.721032
877,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:35:20.109498
884,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:35:27.557357
891,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:35:34.847186
905,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:35:41.410322
907,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:35:48.804488
915,881,255,google/gemini-2.5-flash-lite,2026-07-17T22:35:55.197156
921,881,255,google/gemini-2.5-flash-lite,2026-07-17T22:36:02.453423
927,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:36:09.782889
930,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:36:16.810959
934,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:36:23.822474
945,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:36:30.039590
953,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:36:37.236286
955,881,258,google/gemini-2.5-flash-lite,2026-07-17T22:36:44.730692
960,881,256,google/gemini-2.5-flash-lite,2026-07-17T22:36:51.260363
979,881,257,google/gemini-2.5-flash-lite,2026-07-17T22:36:59.028703
