stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
1,1623,262,google/gemini-2.5-flash-lite,2026-07-20T08:37:42.987796
2,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:37:50.723742
3,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:37:56.256483
4,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:38:01.657476
5,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:38:07.210348
6,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:38:13.679288
7,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:38:19.421767
8,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:38:25.681231
9,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:38:32.149058
10,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:38:37.892201
11,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:38:43.980051
12,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:38:49.914591
13,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:38:55.488223
14,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:39:01.392849
15,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:39:07.123057
16,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:39:13.564263
17,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:39:19.245306
18,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:39:24.896541
19,1623,331,google/gemini-2.5-flash-lite,2026-07-20T08:39:30.852486
20,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:39:36.485837
21,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:39:42.002717
22,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:39:47.631440
23,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:39:53.741244
24,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:40:01.689457
25,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:40:07.447785
26,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:40:14.442847
27,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:40:19.947530
28,1623,332,google/gemini-2.5-flash-lite,2026-07-20T08:40:25.599351
29,1623,259,google/gemini-2.5-flash-lite,2026-07-20T08:40:31.519826
30,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:40:37.103225
31,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:40:42.752850
32,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:40:49.376207
33,1623,260,google/gemini-2.5-flash-lite,2026-07-20T08:40:55.719565
34,1623,259,google/gemini-2.5-flash-lite,2026-07-20T08:41:01.770937
35,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:41:07.517851
36,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:41:14.094351
37,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:41:21.159452
38,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:41:26.583299
39,1623,331,google/gemini-2.5-flash-lite,2026-07-20T08:41:39.961118
40,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:41:47.384432
41,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:41:53.049768
42,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:41:58.619334
43,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:42:04.504571
44,1623,260,google/gemini-2.5-flash-lite,2026-07-20T08:42:10.109008
45,1623,254,google/gemini-2.5-flash-lite,2026-07-20T08:42:16.323024
46,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:42:23.352694
47,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:42:29.305693
49,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:42:42.031110
50,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:42:48.742129
51,1623,260,google/gemini-2.5-flash-lite,2026-07-20T08:42:55.019538
52,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:43:00.457813
53,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:43:05.976874
54,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:43:11.456376
55,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:43:17.499642
56,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:43:23.814236
57,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:43:30.576071
58,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:43:36.794371
59,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:43:42.624010
60,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:43:48.869141
61,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:43:54.436024
62,1623,262,google/gemini-2.5-flash-lite,2026-07-20T08:44:00.710099
63,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:44:06.148530
64,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:44:12.287062
65,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:44:18.475094
66,1623,263,google/gemini-2.5-flash-lite,2026-07-20T08:44:23.902363
67,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:44:30.840756
68,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:44:36.928716
69,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:44:43.007429
70,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:44:49.100305
71,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:44:55.669990
72,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:45:01.880701
73,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:45:07.395588
74,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:45:13.320207
75,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:45:19.807723
76,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:45:25.842719
77,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:45:31.931731
78,1623,329,google/gemini-2.5-flash-lite,2026-07-20T08:45:38.142792
79,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:45:43.684552
80,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:45:50.415269
81,1623,254,google/gemini-2.5-flash-lite,2026-07-20T08:45:57.110897
82,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:46:03.036756
83,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:46:08.658144
84,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:46:13.998836
85,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:46:20.703071
86,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:46:26.435438
87,1623,331,google/gemini-2.5-flash-lite,2026-07-20T08:46:33.425176
88,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:46:39.579916
89,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:46:45.624743
90,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:46:52.023340
91,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:46:59.507695
92,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:47:05.810351
93,1623,330,google/gemini-2.5-flash-lite,2026-07-20T08:47:13.245234
94,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:47:19.494137
95,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:47:25.442701
96,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:47:31.085743
97,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:47:37.184659
98,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:47:42.781264
99,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:47:48.629560
100,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:47:54.704166
101,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:48:00.988141
102,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:48:06.607913
103,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:48:13.692440
104,1623,331,google/gemini-2.5-flash-lite,2026-07-20T08:48:21.214419
105,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:48:27.442343
106,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:48:33.691925
107,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:48:39.289797
108,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:48:45.345020
109,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:48:52.046601
110,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:48:57.817198
111,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:49:04.015399
112,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:49:10.467749
113,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:49:16.681163
114,1623,260,google/gemini-2.5-flash-lite,2026-07-20T08:49:23.214189
115,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:49:29.743468
116,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:49:35.802874
117,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:49:41.721021
118,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:49:47.322475
119,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:49:53.006417
120,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:49:59.081531
121,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:50:04.737263
122,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:50:10.704388
123,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:50:17.257168
124,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:50:23.825101
125,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:50:29.949110
126,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:50:35.775498
127,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:50:42.301933
128,1623,259,google/gemini-2.5-flash-lite,2026-07-20T08:50:48.592304
129,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:50:54.957160
130,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:51:02.088884
131,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:51:07.899992
132,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:51:13.656294
133,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:51:19.936118
134,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:51:25.464594
135,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:51:31.025913
136,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:51:36.769312
137,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:51:42.229783
138,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:51:48.135650
139,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:51:53.904973
140,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:51:59.524896
141,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:52:05.524583
142,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:52:11.147308
143,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:52:16.944333
144,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:52:23.309787
145,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:52:29.450093
146,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:52:35.985426
147,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:52:43.095171
148,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:52:52.942502
149,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:52:59.131378
150,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:53:04.810054
151,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:53:10.705746
152,1623,254,google/gemini-2.5-flash-lite,2026-07-20T08:53:19.278373
153,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:53:25.463960
154,1623,260,google/gemini-2.5-flash-lite,2026-07-20T08:53:31.336372
155,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:53:37.398330
156,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:53:43.327112
157,1623,330,google/gemini-2.5-flash-lite,2026-07-20T08:53:51.276791
158,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:53:57.845047
159,1623,257,google/gemini-2.5-flash-lite,2026-07-20T08:54:04.355137
160,1623,256,google/gemini-2.5-flash-lite,2026-07-20T08:54:11.833864
161,1623,331,google/gemini-2.5-flash-lite,2026-07-20T08:54:18.550007
162,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:54:24.367251
163,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:54:30.028978
164,1623,266,google/gemini-2.5-flash-lite,2026-07-20T08:54:36.479934
165,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:54:42.648674
166,1623,258,google/gemini-2.5-flash-lite,2026-07-20T08:54:48.902381
167,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:54:54.782586
168,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:55:00.617211
169,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:55:06.237080
170,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:55:12.821930
171,1623,255,google/gemini-2.5-flash-lite,2026-07-20T08:55:18.497684
172,1623,261,google/gemini-2.5-flash-lite,2026-07-20T08:55:25.059087
