stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
11,1411,1020,google/gemini-3.1-flash-lite,2026-08-03T14:13:35.675928
24,1411,961,google/gemini-3.1-flash-lite,2026-08-03T14:13:48.411916
31,1414,886,google/gemini-3.1-flash-lite,2026-08-03T14:13:56.854074
40,1414,960,google/gemini-3.1-flash-lite,2026-08-03T14:14:05.742371
55,1414,861,google/gemini-3.1-flash-lite,2026-08-03T14:14:13.748787
60,1414,1066,google/gemini-3.1-flash-lite,2026-08-03T14:14:23.081006
64,1414,858,google/gemini-3.1-flash-lite,2026-08-03T14:14:31.443357
67,1411,875,google/gemini-3.1-flash-lite,2026-08-03T14:14:40.384330
68,1411,915,google/gemini-3.1-flash-lite,2026-08-03T14:14:50.906010
71,1411,1403,google/gemini-3.1-flash-lite,2026-08-03T14:15:02.340056
77,1414,953,google/gemini-3.1-flash-lite,2026-08-03T14:15:10.948543
89,1411,1201,google/gemini-3.1-flash-lite,2026-08-03T14:15:21.453616
97,1411,962,google/gemini-3.1-flash-lite,2026-08-03T14:15:30.983211
102,1411,923,google/gemini-3.1-flash-lite,2026-08-03T14:15:41.541025
108,1414,986,google/gemini-3.1-flash-lite,2026-08-03T14:15:50.416095
159,1414,900,google/gemini-3.1-flash-lite,2026-08-03T14:15:59.340470
175,1411,778,google/gemini-3.1-flash-lite,2026-08-03T14:16:08.747270
185,1411,836,google/gemini-3.1-flash-lite,2026-08-03T14:16:18.523767
200,1414,1165,google/gemini-3.1-flash-lite,2026-08-03T14:16:27.577067
210,1414,867,google/gemini-3.1-flash-lite,2026-08-03T14:16:35.891245
214,1414,1207,google/gemini-3.1-flash-lite,2026-08-03T14:16:45.502804
238,1414,997,google/gemini-3.1-flash-lite,2026-08-03T14:17:03.052277
245,1414,1357,google/gemini-3.1-flash-lite,2026-08-03T14:17:12.583927
248,1414,992,google/gemini-3.1-flash-lite,2026-08-03T14:17:21.298998
260,1414,1141,google/gemini-3.1-flash-lite,2026-08-03T14:17:29.933213
278,1411,1142,google/gemini-3.1-flash-lite,2026-08-03T14:17:41.200987
282,1414,979,google/gemini-3.1-flash-lite,2026-08-03T14:17:54.475128
287,1411,1054,google/gemini-3.1-flash-lite,2026-08-03T14:18:03.670892
295,1414,966,google/gemini-3.1-flash-lite,2026-08-03T14:18:12.274648
297,1414,1032,google/gemini-3.1-flash-lite,2026-08-03T14:18:22.737804
299,1414,932,google/gemini-3.1-flash-lite,2026-08-03T14:18:31.588030
315,1411,855,google/gemini-3.1-flash-lite,2026-08-03T14:18:52.836787
322,1414,975,google/gemini-3.1-flash-lite,2026-08-03T14:19:01.276133
332,1411,1192,google/gemini-3.1-flash-lite,2026-08-03T14:19:13.057372
333,1411,875,google/gemini-3.1-flash-lite,2026-08-03T14:19:23.573467
352,1414,979,google/gemini-3.1-flash-lite,2026-08-03T14:19:31.920580
366,1411,1404,google/gemini-3.1-flash-lite,2026-08-03T14:19:42.193602
372,1414,1095,google/gemini-3.1-flash-lite,2026-08-03T14:19:50.644167
378,1411,1015,google/gemini-3.1-flash-lite,2026-08-03T14:19:59.879284
381,1414,1216,google/gemini-3.1-flash-lite,2026-08-03T14:20:09.217692
382,1411,1309,google/gemini-3.1-flash-lite,2026-08-03T14:20:20.397167
389,1414,873,google/gemini-3.1-flash-lite,2026-08-03T14:20:28.464639
421,1411,1214,google/gemini-3.1-flash-lite,2026-08-03T14:20:38.407708
