stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
11,1411,1591,google/gemini-3.5-flash,2026-07-31T18:36:52.458226
24,1411,1891,google/gemini-3.5-flash,2026-07-31T18:37:08.621583
31,1411,1530,google/gemini-3.5-flash,2026-07-31T18:37:21.411152
40,1411,1476,google/gemini-3.5-flash,2026-07-31T18:37:34.039160
55,1411,1660,google/gemini-3.5-flash,2026-07-31T18:37:47.842338
60,1411,1670,google/gemini-3.5-flash,2026-07-31T18:38:00.684499
64,1411,1826,google/gemini-3.5-flash,2026-07-31T18:38:14.716737
67,1411,1585,google/gemini-3.5-flash,2026-07-31T18:38:28.190181
68,1411,1658,google/gemini-3.5-flash,2026-07-31T18:38:41.431223
71,1411,1675,google/gemini-3.5-flash,2026-07-31T18:38:54.937923
77,1411,1594,google/gemini-3.5-flash,2026-07-31T18:39:08.939782
89,1411,1665,google/gemini-3.5-flash,2026-07-31T18:39:24.713827
97,1411,1146,google/gemini-3.5-flash,2026-07-31T18:39:35.912898
102,1411,1358,google/gemini-3.5-flash,2026-07-31T18:39:48.219727
108,1411,1534,google/gemini-3.5-flash,2026-07-31T18:40:00.980902
159,1411,1726,google/gemini-3.5-flash,2026-07-31T18:40:15.149354
175,1411,1643,google/gemini-3.5-flash,2026-07-31T18:40:28.719537
185,1411,1666,google/gemini-3.5-flash,2026-07-31T18:40:41.369732
200,1411,1706,google/gemini-3.5-flash,2026-07-31T18:40:55.174436
210,1411,1753,google/gemini-3.5-flash,2026-07-31T18:41:08.805877
214,1411,1532,google/gemini-3.5-flash,2026-07-31T18:41:20.371401
219,1411,1508,google/gemini-3.5-flash,2026-07-31T18:41:32.339828
238,1411,1477,google/gemini-3.5-flash,2026-07-31T18:41:44.298936
245,1411,1666,google/gemini-3.5-flash,2026-07-31T18:41:58.506567
248,1411,1755,google/gemini-3.5-flash,2026-07-31T18:42:11.376579
260,1411,1693,google/gemini-3.5-flash,2026-07-31T18:42:24.554405
278,1411,1571,google/gemini-3.5-flash,2026-07-31T18:42:37.755268
282,1411,1656,google/gemini-3.5-flash,2026-07-31T18:42:51.091875
287,1411,2020,google/gemini-3.5-flash,2026-07-31T18:43:05.198245
295,1411,1709,google/gemini-3.5-flash,2026-07-31T18:43:19.148054
297,1411,1380,google/gemini-3.5-flash,2026-07-31T18:43:30.517867
299,1411,1257,google/gemini-3.5-flash,2026-07-31T18:43:42.383638
313,1411,1189,google/gemini-3.5-flash,2026-07-31T18:43:53.111953
315,1411,1610,google/gemini-3.5-flash,2026-07-31T18:44:05.158241
322,1411,1777,google/gemini-3.5-flash,2026-07-31T18:44:20.491456
332,1411,1573,google/gemini-3.5-flash,2026-07-31T18:44:33.948124
333,1411,1580,google/gemini-3.5-flash,2026-07-31T18:44:46.142608
352,1411,1731,google/gemini-3.5-flash,2026-07-31T18:44:59.903435
366,1411,1912,google/gemini-3.5-flash,2026-07-31T18:45:14.831161
372,1411,1263,google/gemini-3.5-flash,2026-07-31T18:45:27.056720
378,1411,1687,google/gemini-3.5-flash,2026-07-31T18:45:42.558978
381,1411,1197,google/gemini-3.5-flash,2026-07-31T18:45:54.361610
382,1411,1319,google/gemini-3.5-flash,2026-07-31T18:46:06.571979
389,1411,1570,google/gemini-3.5-flash,2026-07-31T18:46:20.177780
421,1411,1177,google/gemini-3.5-flash,2026-07-31T18:46:34.218983
424,1411,1608,google/gemini-3.5-flash,2026-07-31T18:46:48.080415
430,1411,1861,google/gemini-3.5-flash,2026-07-31T18:47:02.466170
446,1411,1514,google/gemini-3.5-flash,2026-07-31T18:47:15.642972
454,1411,1640,google/gemini-3.5-flash,2026-07-31T18:47:29.329548
457,1411,1968,google/gemini-3.5-flash,2026-07-31T18:47:45.022072
483,1411,1669,google/gemini-3.5-flash,2026-07-31T18:47:58.969065
496,1411,1322,google/gemini-3.5-flash,2026-07-31T18:48:11.221272
501,1411,1552,google/gemini-3.5-flash,2026-07-31T18:48:24.605532
515,1411,1469,google/gemini-3.5-flash,2026-07-31T18:48:37.121422
520,1411,1630,google/gemini-3.5-flash,2026-07-31T18:48:50.591200
527,1411,1691,google/gemini-3.5-flash,2026-07-31T18:49:05.127401
530,1411,1254,google/gemini-3.5-flash,2026-07-31T18:49:18.375125
552,1411,1612,google/gemini-3.5-flash,2026-07-31T18:49:32.642144
559,1411,1625,google/gemini-3.5-flash,2026-07-31T18:49:51.828994
594,1411,1616,google/gemini-3.5-flash,2026-07-31T18:50:03.931655
599,1411,1781,google/gemini-3.5-flash,2026-07-31T18:50:18.542867
606,1411,1753,google/gemini-3.5-flash,2026-07-31T18:50:33.580154
612,1411,1248,google/gemini-3.5-flash,2026-07-31T18:50:45.866970
